cow-puncher [01/'kau,pʌnt∫ə/]	[01* dtừ]\n- (Mỹ)(tục)(như) [03cow-boy] 
cowrie [01/'kauri/]	[01* dtừ]\n- (động vật) ốc tiền\n- tiền vỏ ốc (ở Nam phi và Nam á) 
cowshed [01/'kau∫ed/]	như [03ox-stall]
cowslip [01/'kauslip/]	[01* dtừ]\n- (thực vật) cây anh thảo hoa vàng
cowy	như [03cowedly]
cox [01/kɔks/]	[01* ngđtừ]\n- lái (tàu, thuyền) 
coxa [01/'kɔksə/]	như [03coxae]
coxae [01/'kɔksə/]	[01* dtừ] s/n [03coxae] /'kɔksi:/\n- (y) háng, khớp háng
coxal	- xem [03coxa] 
coxalgia [01/'kau'ældʒiə/]	[01* dtừ]\n- (y) lao khớp xương
coxalgic [01/kau'ælgic/]	[01* ttừ]\n- thuộc lao khớp xương
coxcomb [01/'kɔkskoum/]	[01* dtừ]\n- công tử bột\n- người tự phụ, người tự mãn, người hợm hĩnh
coxcombry [01/kɔkskoumri/]	[01* dtừ]\n- người khoe khoang, người ăn diện
coxswain [01/'kɔkswein, 'kɔksn/]	như [03cockswain]
coxy [01/'kɔksi/]	như [03cocksy]
coy [01/kɔi/]	[01* ttừ]\n- bẽn lẽn, xấu hổ, rụt rè, e lệ\n- (Mỹ) làm duyên, làm dáng\n- cách biệt, hẻo lánh (nơi chốn)\n[04! to be coy of speech]\n- ăn nói giữ gìn, ít nói
coyish [01/'kɔi:i∫/]	[01* ttừ]\n- xem [03coy] 
coyly	- xem [03coy] 
coyness [01/'kɔinis/]	[01* dtừ]\n- tính bẽn lẽn, tính xấu hổ, tính rụt rè, tính e lệ\n- tính hay làm duyên làm dáng
coyote [01/kɔi'outi/]	[01* dtừ]\n- (động vật) chó sói đồng cỏ (Bắc mỹ)\n- kẻ vô lại
coypu [01/'kɔipu:/]	[01* dtừ]\n- loài gặm nhấm được nuôi để lấy lông
coz [01/kʌz/]	[01* dtừ]\n- xem [03cousin] (dùng trong khẩu ngữ) 
coze [01/kouz/]	[01* ngđtừ]\n- nói chuyện phiếm\n[02= to coze with somebody] tán gẫu với ai
cozen [01/'kʌzn/]	[01* ngđtừ (văn học)]\n- lừa đảo, lừa gạt, lừa dối\n[02= to cozen somebody into doing something] lừa (dụ dỗ) ai làm việc gì
cozenage [01/'kʌznidʒ/]	[01* dtừ]\n- (văn học) sự lừa đảo, sự lừa gạt, sự lừa dối; sự bị lừa, sự bị lừa gạt
cozener	- xem [03cozen] 
cozily	- xem [03cozy] 
coziness	như [03cozily]
cozy [01/'kouzi/]	[01* ttừ]\n- ấm cúng, thoải mái dễ chịu\n[02= a cosy life] một cuộc đời ấm cúng\n[01* dtừ]\n- ấm giỏ ((cũng) [03tea cosy] )\n- ghế hai chỗ có nệm
cp [01/si: 'pi:/]	[01* (vt)]\n- so sánh ([03compare])\n- Đảng cộng sản ([03Communist Party]) 
cp. [01/'si:pi:/]	- (vt) của [03compare] 
cp/m	- Một hệ điều hành sử dụng cho máy tính cá nhân dùng loại vi xử lý 8 bit Intel 8088 và Zilog Z- 80
cpi	- ký tự/inch, số ký tự trên mỗi inch
Cpl	- (vt) + [03corp]
cpm	- phương pháp đường tới hạn
cps [01/,si: pi: 'es/]	[01* (vt)]\n- vòng /giây ([03cycles per second])\n- ký tự/giây, số ký tự trong mỗi giây (đơn vị đo tốc độ thiết bị truyền thông hoặc thiết bị in) 
cpu	- Đơn vị xử lý trung tâm
CPU (central processing unit)	- (kỹ) bộ xử lý trung ương
CPU time	- (kỹ) thời gian chạy bộ xử lý trung ương
