culler	- xem [03cull] 
cullet [01/'kʌlit/]	[01* dtừ]\n- thuỷ tinh vụn (để nấu lại) 
cullion [01/'kʌliən/]	[01* dtừ]\n- (tục) đồ hèn hạ
cullis [01/'kʌlis/]	[01* dtừ]\n- (kiến trúc) vữa lòng\n[01* dtừước hầm thịt]\n- máng nước mưa
cully [01/'kʌli/]	[01* dtừ]\n- (lóng) anh chàng ngốc\n- bạn thân
culm [01/kʌlm/]	[01* dtừ]\n- bụi than đá\n- cọng (cỏ, rơm) 
culmen [01/'kʌlmin/]	[01* dtừ]\n- đỉnh (núi), đỉnh chót vót\n- (sinh học) đường sống mỏ
culminal [01/'kʌlminəl/]	[01* ttừ]\n- ở trên đỉnh, thuộc đỉnh
culminant [01/'kʌlminənt/]	[01* ttừ]\n- cao nhất, tột độ, tột bậc\n- (thiên văn) qua đường kinh (thiên thể...) 
culminate [01/'kʌlmineit/]	[01* nđtừ]\n- lên đến cực điểm, lên đến tột độ, lên đến tột bậc\n- (thiên văn) qua đường kinh (thiên thể...) 
culmination [01/,kʌlmi'nei∫n/]	[01* dtừ]\n- điểm cao nhất, cực điểm, tột độ, tột bậc\n- (thiên văn) qua đường kinh (thiên thể...) 
culottes [01/kju:'lɔts/]	[01* dtừ]\n- quần sooc rộng
culpa [01/'kʌlpə/]	[01* dtừ]\n- tội lỗi; sai lầm
culpability [01/,kʌlpə'biliti/]	như [03culpableness]
culpable [01/'kʌlpəbl/]	[01* ttừ] đáng khiển trách, có tội, tội lỗi
culpableness [01/'kʌlpəblnis/]	[01* dtừ]\n- sự có tội
culpably [01/'kʌlpəbli/]	[01* phtừ]\n- đáng trách
culprit [01/'kʌlprit/]	[01* dtừ]\n- kẻ có tội; thủ phạm\n[02= chief culprit] kẻ có tội chính, thủ phạm\n- bị cáo
cult [01/kʌlt/]	[01* dtừ]\n- sự thờ cúng, sự cúng bái\n- sự tôn sùng, sự tôn kính, sự sùng bái; sự sính\n[02= the cult of the individual] sự sùng bái cá nhân\n[02= the cult of the monocle] sự sính đeo kính một mắt\n- (Mỹ) giáo phái
cultic	- xem [03cult] 
cultiform [01/'kʌltifɔ:m/]	[01* ttừ]\n- dạng dao
cultillus [01/'kʌlteləs/]	[01* dtừ]\n- lưỡi dao
cultish	như [03cultic]
cultism	như [03cultic]
cultist	như [03cultic]
cultivability	- xem [03cultivable] 
cultivable [01/'kʌltivəbl/]	[01* ttừ]\n- có thể trồng trọt, có thể canh tác
cultivar [01/'kʌltiva:/]	[01* dtừ]\n- cây trồng
cultivatable	- xem [03cultivate] 
cultivate [01/'kʌltiveit/]	[01* ngđtừ]\n- cày cấy, trồng trọt\n- trau dồi, tu dưỡng (trí tuệ...)\n[02= to cultivate the mind] trau dồi trí tuệ\n- chuyên tâm, mài miệt nghiên cứu, ham mê (nghệ thuật, khoa học...)\n- nuôi dưỡng (tình cảm... đối với ai)\n- xới (đất) bằng máy xới
cultivated [01/'kʌltiveitid/]	[01* ttừ]\n- có trồng trọt, có cày cấy (đất...)\n- có học thức; có trau dồi, có tu dưỡng
cultivation [01/,kʌlti'vei∫n/]	[01* dtừ]\n- sự cày cấy, sự trồng trọt\n[02= land under cultivation] đất đai đang được trồng trọt\n[02= extensive cultivation] quảng canh\n[02= intensive cultivation] thâm canh\n- sự dạy dỗ, sự mở mang, sự giáo hoá; sự trau dồi, sự tu dưỡng, sự nuôi dưỡng, sự bồi dưỡng (tình cảm...) 
cultivator [01/'kʌltiveitə/]	[01* dtừ]\n- người làm ruộng, người trồng trọt ((cũng) [03culturist] )\n- (nông nghiệp) máy xới
cultural [01/'kʌlt∫ərəl/]	[01* ttừ]\n- (thuộc) văn hoá\n[02= cultural exchange] sự trao đổi văn hoá\n[02= cultural standard] trình độ văn hoá\n- (thuộc) trồng trọt
cultural anthropology [01/'kʌlt∫ərəl ænθrə 'pɔlədzi/]	[01* dtừ]\n- nhần loại học văn hoá
culturally [01/'kʌlt∫ərəli/]	[01* phtừ]\n- về phương diện văn hoá
culture [01/'kʌlt∫ə/]	[01* dtừ]\n- sự mở mang, sự tu dưỡng, sự trao đổi\n[02= the culture of the mind] sự mở mang trí tuệ\n[02= physical culture] thể dục\n- sự giáo dục, sự giáo hoá\n- văn hoá, văn minh\n- sự trồng trọt\n- sự nuôi (tằm, ong, cá, sò...)\n- sự cấy (vi khuẩn) ; số lượng vi khuẩn cấy; mẻ cấy vi khuẩn\n[02= the culture of cholera germs] sự cấy vi trùng bệnh tả; mẻ cấy vi trùng bệnh tả\n[01* ngđtừ]\n- cày cấy, trồng trọt\n- nuôi (tằm, ong...)\n- cấy (vi khuẩn)\n- tu dưỡng, trau dồi\n- giáo hoá, mở mang
culture shock [01/'kʌlt∫ə(r) ∫ɔk/]	[01* dtừ]\n- cú sốc văn hoá
culture vulture [01/'kʌlt∫ə(r),vʌlt∫ə(r) /]	[01* dtừ]\n- người ao ước có được văn hoá
cultured [01/'kʌlt∫əd/]	[01* ttừ]\n- có học thức\n- có giáo dục, có văn hoá
culturist [01/'kʌlt∫ərist/]	[01* dtừ]\n- người làm ruộng, người trồng trọt ((cũng) [03cultivator] )\n- người thiết tha với văn hoá
culturology [01/'kʌlt∫ə'rɔlədʒi/]	[01* dtừ]\n- văn hoá học
cultus [01/'kʌltəs/]	[01* dtừ]\n- phần nghi lễ trong tôn giáo, việc thờ cúng
culver [01/'kʌlvə/]	[01* dtừ]\n- (động vật) bồ câu rừng lông xám (Châu-Âu) 
culverin [01/'kʌlvərin/]	[01* dtừ]\n- (lịch sử) súng thần công
culvert [01/'kʌlvət/]	[01* dtừ]\n- cống nước\n- ống dây điện ngầm
cum [01/kʌm/]	[01* gtừ]\n- với, kể cả\n[02= cum dividend] kể cả tiền lời cổ phần
cumber [01/'kʌmbə/]	[01* dtừ]\n- sự làm trở ngại\n- vật để ngổn ngang choán chỗ\n[01* ngđtừ]\n- làm trở ngại, làm vướng, gây cản trở\n- để ngổn ngang, chồng chất lên
cumberer	- xem [03cumber] 
cumbersome [01/'kʌmbəsəm/]	[01* ttừ]\n- ngổn ngang, cồng kềnh, làm vướng\n- nặng nề
cumbersomely	- xem [03cumbersome] 
cumbersomeness [01/'kʌmbəsəmnis/]	[01* dtừ]\n- sự ngổn ngang, sự cồng kềnh, sự làm vướng\n- tính nặng nề
cumbrous [01/'kʌmbrəs/]	như [03cumbersome]
cumbrously	như [03cumbrousness]
cumbrousness	- xem [03cumbrous] 
cumin [01/'kʌmin/]	[01* dtừ]\n- (thực vật) cây thìa là Ai-cập
cummer [01/'kʌmə/]	[01* dtừ]\n- (Ê-cốt) mẹ đỡ đầu\n- bạn gái\n- đàn bà, con gái
cummerbund [01/'kʌməbʌnd/]	[01* dtừ]\n- (Anh-Ân) khăn thắt lưng
cummin [01/'kʌmin/]	như [03cumin]
cummingtonite [01/'kʌmiηtə,nait/]	[01* dtừ]\n- (khoáng) cumingtonit
cumquat [01/'kʌmkwət/]	[01* dtừ]\n- quả kim quất\n- (thực vật) cây kim quất
cumshaw [01/'kʌm∫ɔ:/]	[01* dtừ]\n- quà tặng
cumulant	- nửa bất biến\n- factorial c. nửa bất biến giai thừa
cumulate [01/'kju:mjulit/]	[01* ttừ]\n- chất chứa, dồn lại\n[01* đtừ]\n- chất chứa, dồn lại, tích luỹ
cumulation [01/,kju:mju'lei∫n/]	[01* dtừ]\n- sự chất chứa, sự dồn lại, sự tích luỹ
cumulative [01/'kju:mjulətiv/]	[01* ttừ]\n- luỹ tích, dồn lại, chồng chất mãi lên\n[02= cumulative evidence] chứng cớ luỹ tích
cumulative data	- (kỹ) dữ kiện tích lũy
cumulative distribution	- (kỹ) phân bố tích lũy
cumulative error	- (kỹ) sai số tích lũy
cumulatively [01/'kju:mjulətivli/]	[01* phtừ]\n- tích tụ, lũy tích
cumulativeness	- xem [03cumulative] 
cumuli [01/'kju:mjuləs/]	[01* dtừ] s/n [03cumuli]\n- mây tích\n- đống
cumuliform [01/'kju:mjuli,fɔ:m/]	[01* ttừ]\n- giống như đống mây
cumulo-nimbus [01/kju:mjulə'nimbəs/]	[01* dtừ] s/n [02cumulo-nimbi, cumulo-nimbuses]\n- (khí tượng) mây tích mưa
cumulo-stratus [01/,kju:mjulə 'streitəs/]	[01* dtừ] s/n [02cumulostrati]\n- (khí tượng) mây tích tầng
cumulus [01/'kju:mjuləs/]	như [03cumuli]
cunctation [01/kʌηk'tei∫n/]	[01* dtừ]\n- sự trì hoãn
cunctative [01/'kʌηkteitiv/]	[01* ttừ]\n- trì hoãn
cunctator [01/'kʌηkteitə/]	[01* dtừ]\n- người trì hoãn
cuneate [01/'kju:niit/]	như [03cuneiform]
cuneately	- xem [03cuneate] 
cuneate-obovoid [01/'kju:niit ɔ'bouvɔid/]	[01* ttừ]\n- dạng nêm - trứng ngược
cuneiform [01/'kju:niifɔ:m/]	[01* ttừ]\n- hình nêm\n[01* dtừ]\n- chữ hình nêm (ví dụ chữ Ba-tư xưa) 
cuneus [01/'kʌniəs/]	[01* dtừ]\n- mảnh nêm (cánh côn trùng) 
cunnilingual	- xem [03cunnilingus] 
cunnilingus [01/,kʌni'liηgəs/]	[01* dtừ]\n- sự kích dụng bằng cách liếm
cunning [01/'kʌniη/]	[01* dtừ]\n- sự xảo quyệt, sự xảo trá, sự gian giảo, sự láu cá, sự ranh vặt, sự khôn vặt\n- (cổ) sự khéo léo, sự khéo tay\n[01* ttừ]\n- xảo quyệt, xảo trá, gian giảo, láu cá, ranh vặt, khôn vặt\n[02= a cunning trick] trò láu cá, thủ đoạn xảo quyệt\n- (Mỹ),(tục) xinh xắn, đáng yêu, duyên dáng; quyến rũ\n[02= a cunning smile] nụ cười duyên dáng\n- (cổ) khéo léo, khéo tay\n[02= a cunning workman] người thợ khéo tay
cunningly [01/'kʌniηli/]	[01* phtừ]\n- xảo trá, gian trá
cunningness	- xem [03cunning] 
cunt [01/'kʌnt/]	[01* dtừ]\n- bộ phận sinh dục của giống cái\n- kẻ đáng ghét
cup [01/kʌp/]	[01* dtừ]\n- tách, chén\n- (thể thao) cúp, giải\n[02= to win a cup] đoạt giải\n- (thực vật) đài (hoa)\n- (y) ống giác\n- rượu\n- vật hình chén\n- nguồn cơn, nỗi khổ, niềm vui\n[02= the cup is full] niềm vui thật là trọn vẹn, niềm hạnh phúc thật là trọn vẹn; nỗi khổ thật là tột cùng\n[02= a bitter cup] nỗi cay đắng\n- (số nhiều) sự say sưa\n[02= to be in one's cups] đang say sưa\n[04! to be a cup too low]\n- chán nản, uể oải, nản lòng\n[04! to be quarrelsome in one's cups]\n- rượu vào là gây gỗ\n[04! a cup that cheers but not inebriates]\n- trà\n[04! to drain (drink) the cup of bitterness (socrow...) to the dregs]\n- nếm hết mùi cay đắng ở đời\n[04! to fill up the cup]\n- làm cho không thể chịu đựng được nữa\n[04! one's cup of tea]\n- người (vật) làm cho vui thích; người (vật) mình ưa; người vật hợp với mình\n- người (vật, điều...) cần phải dè chừng\n[04! there's many a slip 'twixt the cup and the lip; between the cup and the lip a morsel may slip]\n- (tục ngữ) miếng ăn đến miệng rồi vẫn có thể mất\n[01* ngđtừ]\n- khum thành hình chén, chu thành hình chén (bàn tay...)\n- (y) giác
cup and ball [01/'kʌpən'bɔ:l/]	[01* dtừ]\n- trò chơi tung hứng bóng
