dangly	- xem [03dangle] 
daniel [01/'deiniəl/]	[01* dtừ]\n- một tiên tri trong kinh thánh\n- vị tiên tri\n- người sáng suốt, công minh
Daniell cell battery	- (kỹ) pin Daniell (Đaniên) 
danish [01/'deini∫/]	[01* ttừ]\n- (thuộc) Đan-mạch\n[01* dtừ]\n- tiếng Đan-mạch
dank [01/dæηk/]	[01* ttừ]\n- ẩm ướt, ướt át, nhớp nháp khó chịu; có âm khí nặng nề\n[02= dank air] không khí ẩm ướt khó chịu\n[02= dank weather] tiết trời ẩm ướt
dankly	- xem [03dank] 
dankness [01/'dæηknis/]	[01* dtừ]\n- sự ẩm ướt, sự nhớp nháp
dap [01/dæp/]	[01* dtừ]\n- sự nảy lên (quả bóng)\n[01* nđtừ] [03dib] /dib/\n- câu nhắp (thả mồi xấp xấp trên mặt nước)\n- nảy lên (quả bóng)\n- hụp nhẹ (chim)\n[01* ngđtừ]\n- làm nảy lên (quả bóng) 
daphne [01/'dæfni/]	[01* dtừ]\n- (thực vật) cây thuỵ hương
dapper [01/'dæpə/]	[01* ttừ]\n- bánh bao, sang trọng\n- lanh lợi, nhanh nhẹn, hoạt bát
dapperly	như [03dapperness]
dapperness	- xem [03dapper] 
dapple [01/'dæpl/]	[01* dtừ]\n- đốm, vết lốm đốm\n[01* ngđtừ]\n- chấm lốm đốm, làm lốm đốm\n[02= to dapple paint on a picture] chấm màu lốm đốm lên tranh\n[01* nđtừ]\n- có đốm, lốm đốm\n[02= dappled deer] hươu sao\n- vầng mây trắng và xám, lốm đốm mây trắng và xám (trời) 
dappled	[01* ttừ]\n- có đốm sáng
dapple-grey [01/'dæpl'grei/]	[01* ttừ]\n- đốm xám\n[01* dtừ]\n- ngựa đốm xám
darbies [01/'dɑ:biz/]	[01* dtừ s/n]\n- (lóng) xích tay, khoá tay
dare [01/deə/]	như [03durst]
daredevil [01/'deə,devl/]	[01* dtừ]\n- người sáng tạo, người cả gan
dare-devil [01/'deə,devl/]	[01* dtừ]\n- người táo bạo, người liều lĩnh, người liều mạng, người không biết sợ là gì cả\n[01* ttừ]\n- táo bạo, liều lĩnh, liều mạng, không biết sợ là gì cả
darer	- xem [03dare] 
daresay [01/'deɜ'sei/]	cũng [03dare say]\n- dám nói
daring [01/'deəriη/]	[01* dtừ]\n- sự táo bạo, sự cả gan\n[01* ttừ]\n- táo bạo, cả gan; phiêu lưu
daringly	- xem [03daring] 
daringness	như [03daringly]
dariole [01/'dærioul/]	[01* dtừ]\n- khuôn nhỏ để làm bánh, kem
darjeeling [01/da:zi:liη/]	[01* dtừ]\n- loại chè dac-gi-linh ở ấn Độ
