data-in	- số liệu vào
dataller [01/'deitələ/]	[01* dtừ]\n- người làm công nhật
data-processing	[01* dtừ]\n- sự xủ lý dữ liệu
datary [01/'deitəri/]	[01* dtừ]\n- cơ quan của nhà thờ công giáo khảo sát tư cách người làm trưởng quan trong toà thánh
data-sheet [01/'deitə∫i:t/]	[01* dtừ]\n- (tin học) dải dữ liệu
datatron	- máy xử lý số liệu
data-uot	- số liệu ra
date	[01* dtừ]\n- quả chà là\n- (thực vật) cây chà là\n[01* dtừ]\n- ngày tháng; niên hiệu, niên kỷ\n[02= what's the date today?] hôm nay ngày bao nhiêu?\n[02= date of birth] ngày tháng năm sinh\n- (thương nghiệp) kỳ, kỳ hạn\n[02= to pay at fixed dates] trả đúng kỳ hạn\n[02= at long date] kỳ hạn dài\n[02= at short date] kỳ hạn ngắn\n- thời kỳ, thời đại\n[02= Roman date] thời đại La mã\n[02= at that date electric light was unknown] thời kỳ đó người ta chưa biết đến đèn điện\n- (cổ) ; (thơ ca) tuổi tác; đời người\n- (Mỹ),(tục) sự hẹn hò, sự hẹn gặp\n[02= to have a date with somebody] hẹn gặp ai\n[02= to make a date] hẹn hò\n[01* ngđtừ]\n- đề ngày tháng; ghi niên hiệu\n[02= to date a letter] đề ngày tháng vào một bức thư\n[02= to date back] đề lùi ngày tháng\n- xác định ngày tháng, xác định thời đại\n[02= to date an old statue] xác định thời đại của một pho tượng thời thượng cổ\n- (tục) hẹn hò, hẹn gặp (ai)\n[01* nđtừ]\n- có từ, bắt đầu từ, kể từ\n[02= this manuscrips dates from the XIVth century] bản viết tay này có từ thế kỷ 14\n[02= dating from this period] kể từ thế kỷ đó\n- đã lỗi thời, đã cũ; trở nên lỗi thời\n- (tục) hẹn hò với bạn (bạn trai, bạn gái) 
dateable	- xem [03date] 
date-cancel [01/'deitkænsəl/]	[01* ngđtừ]\n- gạt bỏ
dated [01/'deitid/]	[01* ttừ]\n- đề nghị\n[02= dated April 5th] đề ngày mồng 5 tháng 4\n- lỗi thời, cũ kỹ, không hợp thời
datedly	như [03datedness]
datedness	- xem [03dated] 
dateless [01/'deitlis/]	[01* ttừ]\n- không đề ngày tháng\n- (thơ ca) bất tận, bất diệt\n- (hiếm) có quá không xác định được thời đại; cũ quá không nhớ được ngày tháng
date-line [01/'deitlain/]	[01* dtừ]\n- đường sang ngày, đường đổi ngày, múi giờ\n- dòng đề ngày tháng trên một tờ báo
date-palm [01/'deitpɑ:m/]	[01* dtừ]\n- (thực vật) cây chà là
dater	như [03dateable]
datestamp [01/'deitstæmp/]	[01* dtừ]\n- dấu đóng ngày tháng
dative [01/'deitiv/]	[01* ttừ]\n- (ngôn)(thuộc) tặng cách\n[01* dtừ]\n- (ngôn) tặng cách
datively	- xem [03dative] 
datum [01/'deitəm/]	[01* dtừ] s/n [03data]\n- số lượng đã cho (bài toán...) ; điều đã cho biết\n- luận cứ\n- (số nhiều datums) mốc tính toán, mốc đo lường
datum-level [01/'deitəm'levl/]	[01* dtừ]\n- mực chuẩn, mặt gốc (làm mốc đo bề cao hay bề sâu) 
datum-line [01/'deitəm'lain/]	[01* dtừ]\n- đường mốc\n- (toán) trục toạ độ
datum-point [01/deitəm'pɔint/]	[01* dtừ]\n- điểm mốc
datura [01/də'tjuərə/]	như [03jimson-weed]
daub [01/dɔ:b/]	[01* dtừ]\n- lớp vữa (thạch cao, đất bùn trộn rơm...) trát tường; lớp trát bên ngoài\n- (kiến trúc) vách đất\n- sự bôi bẩn, sự bôi bác, sự bôi màu lem nhem\n- bức vẽ bôi bác, bức tranh lem nhem\n[01* ngđtừ]\n- trát lên, phết lên\n[02= to daub the walls of a hut with mud] trát bùn lên tường một túp lều\n- (kiến trúc) xây vách đất\n- bôi bẩn, bôi bác, bôi màu lem nhem\n- vẽ bôi bác, vẽ lem nhem\n- (cổ) che đậy\n[01* nđtừ]\n- vẽ bôi bác, vẽ lem nhem
daube [01/doub/]	[01* dtừ]\n- món thịt bò om với rượu vang đỏ
dauber [01/'dɔ:bə/]	như [03daubster]
daubery	- xem [03daub] 
daubster [01/'dɔ:bstə/]	[01* dtừ]\n- người vẽ bôi bác, người vẽ lem nhem; hoạ sĩ tồi
dauby [01/'dɔ:bi/]	[01* ttừ]\n- bôi bác, lem nhem (bức vẽ)\n- dính nhớp nháp
daughter [01/'dɔ:tə/]	[01* dtừ]\n- con gái
daughter board	- (kỹ) bảng con
daughter cell [01/'dɔ:təsel/]	[01* dtừ]\n- tế bào con
daughter chromosome [01/'dɔ:tə'krouməsoum/]	[01* dtừ]\n- thể nhiễm sắc con
daughter-in-law [01/'dɔ:tərinlɔ:/]	như [03daughters-in-law]
daughterless [01/'dɔ:təlis/]	[01* ttừ]\n- không có con gái
daughterly [01/'dɔ:teli/]	[01* ttừ]\n- (thuộc) đạo làm con gái
daughters-in-law [01/'dɔ:tərinlɔ:/]	[01* dtừ] s/n [03daughters-in-law]\n- con dấu\n- con gái riêng (của vợ, của chồng) 
daunt [01/dɔ:nt/]	[01* ngđtừ]\n- đe doạ, doạ nạt, doạ dẫm; làm thoái chí, làm nản lòng; khuất phục\n[02= torture can never daunt his spirit] sự tra tấn không thể khuất phục được tinh thần của anh ta\n- ấn (cá mòi) vào thùng
daunter	như [03dauntingly]
daunting [01/'dɔ:ntiη/]	[01* ttừ]\n- làm thoái chí, làm nản chí
dauntingly	- xem [03daunt] 
dauntless [01/'dɔ:ntlis/]	[01* ttừ]\n- không sợ, dũng cảm, gan dạ; tinh thần bất khuất, tinh thần kiên cường
dauntlessly [01/'dɔ:ntlisli/]	[01* phtừ]\n- gan dạ, dũng cảm, bất khuất
dauntlessness [01/'dɔ:ntlisnis/]	[01* dtừ]\n- sự dũng cảm, sự gan dạ; tinh thần bất khuất, tinh thần kiên cường
dauphin [01/'dɔ:fin/]	[01* dtừ]\n- hoàng thái tử
daven [01/'dɔvn/]	[01* nđtừ]\n- tụng kinh hằng ngày (Do - thái giáo) 
davenport [01/'dævnpɔ:t/]	[01* dtừ]\n- bàn viết mặt nghiêng\n- (Mỹ) ghế bành ba chỗ ngồi, xôfa
david	- chỉ tên của người đàn ông
davit [01/'dævit/]	[01* dtừ]\n- (hàng hải) cần trục neo, cần trục xuống (để treo, thả, kéo neo, xuồng trên tàu) 
davy [01/'deivi/]	[01* dtừ]\n- (lóng) to take one's davy that... thề rằng
Davy Jones [01/'deivi 'dzounz/]	[01* dtừ]\n- đáy biển (nhần cách hoá) 
davy jones's locker [01/'deivi'dʤounzis'lɔkə/]	[01* dtừ]\n- (hàng hải),(lóng) đáy biên, biển sâu; nầm mồ nơi biển cả\n[02= to go to davy_jones's_locker] chết đuối, chìm sâu dưới đáy biển
davy lamp [01/'deivi'læmp/]	[01* dtừ]\n- đền Đa-vi (đèn an toàn cho thợ mỏ) 
daw [01/dɔ:/]	[01* dtừ]\n- (động vật) quạ gáy xám
dawdle [01/'dɔ:dl/]	[01* ngđtừ]\n- lãng phí (thời gian)\n[02= to dawdle away one's time] lãng phí thời gian\n[01* nđtừ]\n- lêu lỏng, đi nhởn, la cà lãng phí thời gian\n- làm chậm chạp, đà đẫn, lần nữa, dây dưa
dawdler [01/'dɔ:dlə/]	[01* dtừ]\n- người lêu lỏng, người hay la cà\n- người biếng nhác hay lần lữa dây dưa
dawdlingly	- xem [03dawdle] 
dawn [01/dɔ:n/]	[01* dtừ]\n- bình minh, rạng đông, lúc sáng tinh mơ\n[02= from dawn till dark] từ lúc sáng tinh mơ cho đến lúc tối trời\n- (bóng) buổi đầu; sự hé rạng; tia sáng đầu tiên (của hy vọng...)\n[02= at the dawn of love] ở buổi ban đầu của tình yêu\n[02= the dawn of civilization] buổi đầu của thời đại văn minh\n[02= the dawn of brighter days] tia sáng đầu tiên của cuộc sông tốt đẹp hơn\n[01* nđtừ]\n- bắt đầu rạng, bắt đầu lộ ra, bắt đầu nở ra, hé nở\n[02= the morning was just dawning] trời vừa tảng sáng\n[02= a smile dawning on her lips] nụ cười hé mở trên môi cô ta\n- bắt đầu hiện ra trong trí, loé ra trong trí\n[02= it has just dawned on (upon) me] tôi chợt nhận ra; một ý nghĩ loé ra trong trí óc tôi\n- trở nên rõ ràng\n[02= the truth at last dawned upon him] cuối cùng sự thật đã trở nên rõ ràng đối với anh ta
dawning [01/'dɔ:niη/]	[01* dtừ]\n- bình minh, rạng đông\n- (bóng) buổi đầu, buổi ban đầu, buổi sơ khai\n[02= the first dawnings] buổi đầu\n- phương đông
