deprecator	- xem [03deprecate] 
deprecatorily	- xem [03deprecatory] 
deprecatory [01/'deprikətəri/]	[01* ttừ] ((cũng) [03deprecative] )\n- khẩn khoản, nài xin, có tính chất cầu xin, có tính chất cầu nguyện ((cũng) [03deprecative] )\n- để cáo lỗi
depreciate [01/di'pri:∫ieit/]	[01* ngđtừ]\n- làm sụt giá, làm giảm giá\n- gièm pha, nói xấu, làm giảm giá trị; chê bai, coi khinh, đánh giá thấp\n[01* nđtừ]\n- sụt giá\n- giảm giá trị
depreciatingly [01/di'pri:∫ieitiηli/]	[01* phtừ]\n- làm giảm giá trị; ra ý chê bai, ra ý khinh, đánh giá thấp
depreciation [01/di,pri:∫i'ei∫n/]	[01* dtừ]\n- sự sụt giá, sự giảm giá\n- sự gièm pha, sự nói xấu, sự làm giảm giá trị; sự chê bai, sự coi khinh, sự đánh giá thấp
depreciative [01/di'pri:∫ieitiv/]	[01* ttừ]\n- làm giảm giá\n- làm giảm giá trị
depreciator [01/di'pri:∫ieitə/]	[01* ttừ]\n- người làm giảm giá trị; vật làm giảm giá trị; kẻ gièm pha, người nói xấu
depreciatory [01/di'pri:∫ətəri/]	như [03depreciative]
depredate [01/'deprideit/]	[01* ngđtừ]\n- cướp bóc, phá phách
depredation [01/,depri'dei∫n/]	[01* dtừ]\n- ((thường) số nhiều) sự cướp bóc, sự phá phách
depredator [01/'deprideitə/]	[01* dtừ]\n- kẻ cướp bóc, kẻ phá phách
depredatory [01/di'predətəri/]	[01* ttừ]\n- ăn cướp, cướp bóc, phá phách\n[02= a depredatory war] cuộc chiến tranh ăn cướp
depress [01/di'pres/]	[01* ngđtừ]\n- làm chán nản, làm ngã lòng; làm buồn, làm sầu não, làm phiền muộn\n[02= failure didn't depress him] thất bại không làm anh ta ngã lòng\n- làm giảm (giá), làm giảm sút; làm chậm trễ, làm đình trệ\n[02= to depress trade] làm đình trệ việc buôn bán\n- làm yếu đi, làm suy nhược\n[02= to depress the action of the heart] làm yếu hoạt động của tim\n- ấn xuống, nén xuống, kéo xuống, đẩy xuống, hạ xuống\n[02= to depress one's voice] hạ giọng
depressant [01/di'presənt/]	[01* dtừ]\n- (y) thuốc làm dịu, thuốc làm giảm đau
depressed [01/di'prest/]	[01* ttừ]\n- chán nản, thất vọng, ngã lòng; buồn phiền, phiền muộn\n[02= to look depressed] trông có vẻ chán nản thất vọng\n- trì trệ, đình trệ\n[02= trade is depressed] việc buôn bán bị đình trệ\n- suy yếu, suy nhược, sức khoẻ kém sút\n- bị ấn xuống, bị nén xuống\n[02= depressed button] nút bị ấn xuống\n[04! depressed classes]\n- (Ân) tiện dân (xem [03untouchable] ) 
depressible [01/di'presəbl/]	[01* ttừ]\n- có thể làm chán nản, có thể làm ngã lòng; có thể làm buồn phiền, có thể làm sầu não\n- có thể làm giảm sút; có thể làm đình trệ\n- có thể làm yếu đi, có thể làm suy nhược\n- có thể ấn xuống, có thể nén xuống, có thể hạ xuống
depressing [01/di'presiη/]	[01* ttừ]\n- làm chán nản, làm thất vọng, làm ngã lòng; làm buồn rầu, làm buồn phiền, làm phiền muộn\n- làm trì trệ, làm đình trệ
depressingly [01/di'presiηli/]	[01* phtừ]\n- đáng ngại, đáng buồn
depression [01/di'pre∫n/]	[01* dtừ]\n- chỗ lõm, chỗ đất lún, chỗ sụt xuống\n- sự chán nản, sự ngã lòng; sự buồn rầu, sự phiền muộn\n- tình trạng đình đốn, tình trạng trì trệ, tình trạng đình trệ\n- sự suy yếu, sự suy nhược, sự sút kém (về thể lực)\n- sự giảm giá, sự sụt giá\n- sự nén xuống, sự đẩy xuống, sự hạ xuống\n- sự hạ (giọng)\n- (lý),(toán) sự giảm, sự hạ thấp\n[02= the depression of mercury in a thermometer] sự hạ thuỷ ngân trong nhiệt biểu\n[02= depression of order of differential equation] sự giảm cấp của một phương trình vi phân\n- (thiên văn) góc nổi, phù giác
depressive [01/di'presiv/]	[01* ttừ]\n- làm suy nhược, làm suy yếu\n[01* dtừ]\n- người bị chứng trầm cảm
depressively	như [03depressiveness]
depressiveness	- xem [03depressive] 
depressor [01/di'presə/]	[01* dtừ]\n- (phẫu) cơ hạ\n- (sinh học) chất giảm vận động
depressurisation [01/,di:'preʃəri'zeiʃn/]	[01* dtừ]\n- như [03depressurization] 
depressurise [01/,di:'preʃəraiz/]	- (ngđtừ) như depressurize
depressurization [01/di:,pre∫ərai'zei∫n/]	- sự làm giảm áp suất, sự hạ áp
depressurize [01/di'pre∫əraiz/]	[01* đtừ]\n- làm giảm áp suất, hạ áp
deprivable	- xem [03deprive] 
deprivation [01/,depri'vei∫n/]	[01* dtừ]\n- sự mất\n- sự lấy đi, sự tước đoạt\n- sự cách chức (mục sư...) 
deprive [01/di'praiv/]	[01* ngđtừ]\n- lấy đi, cướp đi, tước đoạt, cướp đoạt\n- cách chức (mục sư...) 
deprived [01/di'praivd/]	[01* ttừ]\n- túng quẫn, thiếu thốn
dept	- (vt của [03department] ) cục, vụ, ty, ban, khoa, bộ
depth [01/depθ/]	[01* dtừ]\n- chiều sâu, bề sâu, độ sâu; độ dày\n[02= the depth of a river] chiều sâu của con sông\n[02= a well five meters in depth] giếng sâu năm mét\n[02= atmospheric depth] độ dày của quyển khí\n- (lóng) sự sâu xa, tính thâm trầm (của tư tưởng...) ; tầm hiểu biết, năng lực, trình độ\n[02= a man of great depth] người có trình độ hiểu biết sâu\n[02= to be out of one's depth] (bóng) bị ngợp; quá năng lực; không với tới được; quá tầm hiểu biết\n[02= to be beyond one's depth] quá khả năng, quá sức mình\n- chỗ sâu, chỗ thầm kín, đáy, chỗ tận cùng\n[02= in the depth of one's hear] trong thâm tâm, tận đáy lòng\n[02= in the depth(s) of winter] giữa mùa đông\n[02= in the depths of depair] trong cơn tuyệt vọng\n[02= a cry from the depths] tiếng kêu từ đáy lòng\n- (số nhiều) vực thẳm
depth-bomb [01/'depθbɔm/]	như [03depth-charge]
depth-charge [01/'depθtʃɑ:dʤ/]	[01* dtừ]\n- (hàng hải) bom phá tàu ngầm
depth-finder [01/'depθfaində/]	[01* dtừ]\n- dụng cụ đo độ sâu của nước
depth-gauge [01/'depθgeidʒ/]	[01* dtừ]\n- thước đo chiều sâu
depth-psychology [01/'depθsai'kɔlədʒi/]	[01* dtừ]\n- tâm lý học chiều sâu; phân tâm học
depurate [01/'depjureit/]	[01* đtừ]\n- lọc sạch, lọc trong, tẩy uế
depuration [01/,depju'rei∫n/]	[01* dtừ]\n- sự lọc sạch, sự lọc trong, sự tẩy uế
depurative [01/'depjurətiv/]	[01* ttừ]\n- để lọc sạch, để lọc trong, để tẩy uế\n[01* dtừ]\n- chất (để) lọc sạch; chất tẩy uế
depurator [01/'depjureitə/]	[01* dtừ]\n- người lọc sạch; người tẩy uế\n- dụng cụ lọc sạch; dụng cụ tẩy uế
deputation [01/,depju:'tei∫n/]	[01* dtừ]\n- sự uỷ nhiệm\n- sự cử đại biểu\n- đại biểu, đại diện; đoàn đại biểu, phái đoàn
depute [01/di'pju:t/]	[01* ngđtừ]\n- uỷ, uỷu nhiệm, uỷ quyền\n[02= to depute someone to do something] uỷ cho ai làm việc gì\n- cử làm đại biểu, cử (người) thay mình
deputise [01/'depjutaiz/]	như [03deputize]
deputization	- xem [03deputize] 
deputize [01/'depjutaiz/]	[01* nđtừ]\n- thế, thay thế; đại diện, thay mặt (người nào) ; thay quyền (người nào)\n[02= to deputise for someone] thay mặt người nào\n- (sân khấu) ; (điện ảnh) đóng thay, biểu diễn thay (cho một diễn viên)\n[01* nđtừ]\n- (Mỹ) cử làm đại diện
deputy [01/'depjuti/]	[01* dtừ]\n- người được uỷ quyền, người thay quyền; người thay mặt, đại biểu, đại diện\n[02= by deputy] thay quyền, được uỷ quyền\n- (trong dtừ ghép) phó\n[02= deputy chairman] phó chủ tịch\n- nghị sĩ\n[02= Chamber of Deputies] hạ nghị viện (ở Pháp)\n- người quản lý nhà trọ (cho người nghèo ở các nước tư bản) 
deputy mayor	[01* dtừ]\n- phó thị trưởng
deputy sheriff [01/'deputi'∫erif/]	[01* dtừ]\n-(Mỹ) phó quận trưởng cảnh sát
dequeue	- (kỹ) rời hàng, rút khỏi hàng
deracinate [01/di'ræsineit/]	[01* ngđtừ]\n- nhổ rễ, làm bật rễ\n- (bóng) trừ tiệt
deracination [01/di,ræsi'nei∫n/]	[01* dtừ]\n- sự nhổ rễ\n- (bóng) sự trừ tiệt
derail [01/di'reil/]	[01* ngđtừ, (thường) động tính từ quá khứ]\n- làm trật bánh (xe lửa...)\n[01* nđtừ]\n- (hiếm) trật bánh (xe lửa...) 
derailment [01/di'reilmənt/]	[01* dtừ]\n- sự trật bánh (xe lửa...) 
derange [01/di'reindʒ/]	[01* ngđtừ]\n- làm trục trặc\n[02= to derange a machine] làm trục trặc máy\n- làm mất trật tự, làm mất thứ tự, làm đảo lộn, xáo trộn, làm rối loạn\n- quấy rối, quấy rầy, làm phiền\n- làm loạn trí
deranged [01/di'reindʒd/]	[01* ttừ]\n- bị trục trặc (máy...)\n- bị loạn trí
derangement [01/di'reindʒmənt/]	[01* dtừ]\n- sự trục trặc (máy móc...)\n- sự xáo trộn, sự làm lộn xộn\n- sự quấy rối, sự quấy rầy\n- sự loạn trí; tình trạng loạn trí
derate [01/di:'reit/]	[01* ngđtừ]\n- giảm thuế
deration [01/'di:'ræʃn/]	[01* ngđtừ]\n- không cung cấp theo phiếu nữa, bán tự do
derby [01/'dɑ:bi/]	[01* dtừ]\n- cuộc đua ngựa ba tuổi (tổ chức ở Êp-xơn gần Luân-đôn vào ngày thứ tư đầu tiên tháng 6 hằng năm do Đa-bi đặt ra năm 1780)((cũng) [03derby day] )\n[04! Derby dog]\n- chó chạy lạc qua đường ngựa thi; (bóng) sự ngắt quãng không đúng lúc; lời nhận xét lạc lõng\n[01* dtừ]\n- (Mỹ) mũ quả dưa
deregister [01/di:'redʒistə/]	[01* ngđtừ]\n- xoá tên trong sổ đăng ký
deregistration [01/di:,redʒis'trei∫n/]	[01* dtừ]\n- sự xoá tên trong sổ đăng ký
deregulate [01/di:'regjuleit/]	[01* đtừ]\n- bãi bỏ quy định
deregulation [01/di:,regju'lei∫n/]	[01* dtừ]\n- sự bãi bỏ quy định
deregulator	như [03deregulatory]
deregulatory	- xem [03deregulate] 
derelict [01/'derilikt/]	[01* ttừ]\n- bị bỏ rơi, không ai nhìn nhận, vô chủ\n[02= a derelict ship] chiếc tàu vô chủ\n[01* dtừ]\n- tàu vô chủ, tàu trôi giạt ngoài biển cả không ai nhận\n- vật không ai nhìn nhận, vật không ai thừa nhận, vật vô chủ; người bị bỏ rơi không ai nhìn nhận
dereliction [01/,deri'lik∫n/]	[01* dtừ]\n- sự bỏ rơi, sự không nhìn nhận tới; tình trạng bỏ rơi, tình trạng không nhìn nhận tới; tình trạng vô chủ\n- sự sao lãng nhiệm vụ, sự lơ là bổn phận ((cũng) [03dereliction of duty] ) ; sự không làm tròn nhiệm vụ, sự thiếu sót\n- sự rút, sự thoái lui (của biển để lại đất bồi) 
dereliction of duty [01/,deri'lik∫n əv'djuti/]	[01* dtừ]\n- sự xao lãng nhiệm vụ; sự lơ là bổn phận
derepress [01/,di:ri'pres/]	[01* ngđtừ]\n- giải phóng (một gen) khỏi tình trạng bị cản trở để nó hoạt động tích cực
derepression [01/,di:ri'pre∫n/]	[01* dtừ]\n- việc giải phóng (một gen) khỏi tình trạng bị cản trở để nó hoạt động tích cực
derequisition [01/di:,rekwi'zi∫n/]	[01* ngđtừ]\n- thôi trưng dụng, thôi trưng thu
derestrict [01/,di:ris'trikt/]	[01* đtừ]\n- bãi bõ sự hạn chế về tốc độ
deride [01/di'raid/]	[01* ngđtừ]\n- cười nhạo, chế nhạo, nhạo báng, chế giễu
derider [01/di'raidə/]	[01* dtừ]\n- người hay chế nhạo, người hay nhạo báng, người hay chế giễu
deridingly	- xem [03deride] 
