differentiae [01/,difə'renʃiə/]	như [03differentia]
differential [01/,difə'ren∫əl/]	[01* ttừ]\n- khác nhau, phân biệt, chênh lệch\n[02= differential duties] mức thuế chênh lệch\n[02= differential diagnosis] chẩn đoán phân biệt\n- (toán) vi phân\n[02= differential equation] phương trình vi phân\n- (kỹ) vi sai\n[02= differential gear] truyền động vi sai\n[01* dtừ]\n- (toán) vi phân\n- (kỹ) truyền động vi sai ((cũng) [03differential gear] )\n- sự chênh lệch về lương (giữa hai ngành công nghiệp hoặc giữa hai loại công nhân cùng ngành) 
differential amplifier	như [03difference amplifier]
differential calculus	- phép tính vi phân
differential circuit	- (kỹ) mạch vi sai
differential coil	như [03differential winding]
differential discriminator	- (kỹ) bộ phân biệt vi sai
differential duplex system	- (kỹ) hệ thống song công vi sai
differential encoding	- (kỹ) mã hóa vi phân
differential equation	- phương trình vi phân
differential gain control	- (kỹ) điều chỉnh tăng ích vi phân
differential galvanometer	- (kỹ) điện kế sai động
differential gear	- sự chênh lệch về mức lương (ví dụ như giữa nam và nữ)\n- truyền động vi sai
differential PCM (pulse code modulation)	- (kỹ) điều xung mã vi sai
differential tone	- (kỹ) âm vi sai
differential transformer	- (kỹ) bộ biến áp sai tiếp; cuộn hỗn hợp (ĐL) 
differential wage	- sự chênh lệch về mức lương (ví dụ như giữa nam và nữ) 
differential winding	- (kỹ) cuộn dây sai động
differentiate [01/,difə'ren∫ieit/]	[01* ngđtừ]\n- phân biệt\n[02= to differentiate something from another] phân biệt cái này với cái khác\n- (toán) lấy vi phân\n[01* nđtừ]\n- trở thành khác biệt, khác biệt
differentiating transformer	- (kỹ) bộ biến áp lấy vi phân
differentiation [01/,difərenʃi'eiʃn/]	[01* dtừ]\n- sự phân biệt\n- (toán) phép lấy vi phân
differentitor	- bộ lấy vi phân, máy lấy vi phân
differently [01/'difrəntli/]	[01* phtừ]\n- khác, khác nhau, khác biệt\n[02= to think quite differently] nghĩ khác hẳn
differenttiate	- lấy vi phân; tìm đạo hàm; phana biệt\n- d. with respect to x lấy vi phân theo x
difficile [01/'difisi:l/]	[01* ttừ]\n- khó tính, khó làm vừa lòng; khó thuyết phục; khó chơi (người...) 
difficult [01/'difikəlt/]	[01* ttừ]\n- khó, khó khăn, gay go\n[02= a question difficult to answer] câu hỏi khó trả lời\n[02= to be difficult of access] khó đến gần, khó lui tới\n- khó tính, khó làm vừa lòng (người) 
difficulty [01/'difikəlti/]	[01* dtừ]\n- sự khó khăn, nỗi khó khăn, nỗi gay go; điều cản trở, điều trở ngại\n[02= to overcome a difficulty] vượt qua khó khăn; vượt qua trở ngại\n- (số nhiều) sự túng bấn; cảnh khó khăn\n[02= to be in difficulties] túng bấn\n- (số nhiều) sự làm khó dễ; sự phản đối\n[02= to make difficulties] làm khó dễ; phản đối
diffidence [01/'difidəns/]	[01* dtừ]\n- sự thiếu tự tin\n- sự quá khiêm tốn; sự rụt rè, sự nhút nhát
diffident [01/'difidənt/]	[01* ttừ]\n- thiếu tự tin; quá khiêm tốn; rụt rè, nhút nhát
diffidently [01/'difidəntli/]	[01* phtừ]\n- rụt rè, nhút nhát
diffluence [01/'difluəns/]	[01* dtừ]\n- sự tràn ra, sự chảy ra\n- sự chảy thành nước, sự chảy rữa
diffluent [01/'difluənt/]	[01* ttừ]\n- tràn ra, chảy ra\n- chảy thành nước, chảy rữa
difform [01/'difɔ:m/]	[01* ttừ]\n- dị hình; không ngay ngắn; xấu xí
diffract [01/di'fræk∫n/]	[01* ngđtừ]\n- (lý) làm nhiễu xạ
diffraction [01/di'fræk∫n/]	[01* dtừ]\n- (lý) sự nhiễu xạ\n[02= diffraction of light] sự nhiễu xạ ánh sáng\n[02= electron diffraction] sự nhiễu xạ electron\n[02= crystal diffraction] sự nhiễu xạ qua tinh thể\n[02= X-ray diffraction] sự nhiễu xạ qua tia X
diffraction by disk	- (kỹ) nhiễu xạ do đĩa
diffraction grating	- (kỹ) lưới nhiễu xạ
diffractive [01/di'fræktiv/]	[01* ttừ]\n- nhiễu xạ
diffuence [01/'difluəns/]	như [03diffluence]
diffuse [01/di'fju:s/]	[01* ttừ]\n- (lý) khuếch tán\n[02= diffuse light] ánh sáng khuếch tán\n- rườm rà, dài dòng (văn)\n[01* ngđtừ]\n- truyền, đồn (tin) ; truyền bá; phổ biến\n[02= to diffuse knowledge] truyền bá kiến thức\n- (lý) khuếch tán (ánh sáng)\n[01* nđtừ]\n- tràn, lan\n- (lý) khuếch tán (ánh sáng) 
diffused [01/di'fju:zd/]	[01* ttừ]\n- lan rộng; truyền bá; phổ biến\n- lộn xộn; rối rắm; tản mạn; thiếu chặt chẽ
diffused capacitor	- (kỹ) bộ điện dung khuếch tán
diffused junction	- (kỹ) tiếp giáp khuếch tán
diffused photodevice	- (kỹ) bộ quang điện khuếch tán
diffusely [01/di'fju:sli/]	[01* phtừ]\n- luộm thuộm, rườm rà
diffuseness [01/di'fju:snis/]	[01* dtừ]\n- sự khuếch tán (ánh sáng)\n- tính rườm rà, tính dài dòng (văn) 
diffuser [01/di'fju:zə/]	[01* dtừ]\n- (lý) máy khuếch tán
diffusibility [01/di,fju:zə'biliti/]	[01* dtừ]\n- tính khuếch tán
diffusible [01/di'fju:zəbl/]	[01* ttừ]\n- có thể khuếch tán
diffusion [01/di'fju:ʒn/]	[01* dtừ]\n- sự truyền tin; sự truyền bá; sự phổ biến\n- sự khuếch tán (ánh sáng)\n- sự rườm rà, sự dài dòng (văn) 
diffusion capacitance	- (kỹ) điện dung khuếch tán
diffusion coefficient	- (kỹ) hệ số khuếch tán
diffusion conductance	- (kỹ) dẫn điện khuếch tán
diffusion constant	- (kỹ) hằng số khuếch tán
diffusion current	- (kỹ) dòng điện khuếch tán
diffusional [01/di'fju:ʒnəl/]	[01* ttừ]\n- xem [03diffuse] 
