disbelief [01/,disbi'li:f/]	[01* dtừ]\n- sự không tin
disbelieve [01/,disbi'li:v/]	[01* ngđtừ]\n- không tin (ai, cái gì...)\n[01* nđtừ]\n- hoài nghi\n- (+[04 in]) không tin (ở cái gì...) 
disbeliever [01/,disbi'li:və/]	[01* dtừ]\n- người không tin, người hoài nghi
disbench [01/dis'bent∫/]	[01* ngđtừ]\n- (pháp lý) khai trừ khỏi ban chấp hành của tổ chức luật sư (ở Anh) 
disbosom [01/dis'buzəm/]	[01* ngđtừ]\n- bộc lộ can tràng; thừa nhận điều dấu kín
disbound [01/dis'baund/]	[01* ttừ]\n- thoát khỏi sự ràng buột
disbranch [01/dis'brɑ:nt∫/]	[01* ngđtừ]\n- bẻ cành, tỉa cành (khô) 
disbud [01/dis'bʌd/]	[01* ngđtừ]\n- cắt chồi; tỉa chồi; bấm chồi (cây) 
disburd [01/dis'bʌ:d/]	[01* ngđtừ]\n- bấm chồi, tỉa chồi
disburden [01/dis'bə:dn/]	[01* ngđtừ]\n- cất gánh nặng; làm cho thoát gánh nặng\n[02= to disburden one's mind of] làm cho tâm trí thảnh thơi, làm cho tâm trí thoát khỏi gánh nặng (ưu tư, buồn phiền...) 
disburse [01/dis'bə:s/]	[01* đtừ]\n- dốc túi, dốc hầu bao, chi tiêu
disbursement [01/dis'bə:smənt/]	[01* dtừ]\n- sự dốc túi, sự dốc hầu bao, sự chi tiêu
disc [01/disk/]	[01* dtừ]\n- (thể thao) đĩa\n- đĩa hát\n- đĩa, vật hình đĩa, bộ phận hình đĩa
disc [audio,video,data (compact) discs/]	- (kỹ) đĩa
disc brake [01/'diskbreik/]	[01* dtừ]\n- phanh dựa
disc floret [01/'disk,flɔrit/]	[01* dtừ]\n- hoa dạng đĩa
disc flower [01/'disk flauə/]	như [03disc floret]
disc jockey [01/'disk,dʒɔki/]	- (vt dj) phát thanh viên nhạc dân gian (trên đài truyền thanh, truyền hình) 
disc player	- (kỹ) máy quay đĩa
discalceate [01/dis'kælsieit/]	như [03discalceated]
discalceated [01/dis'kælsieitid/]	[01* ttừ]\n- đi chân đất, đi dép (thầy tu) 
discalced [01/dis'kælst/]	như [03discalceated]
