dismally [01/'dizməli/]	[01* phtừ]\n- u sầu, rầu rự
dismalness [01/'dizməlnis/]	[01* dtừ]\n- cảnh buồn thảm, cảnh tối tăm, cảnh ảm đạm\n- sự buồn nản, sự u sầu, sự phiền muộn
dismals [01/'dizməlz/]	[01* dtừ]\n- the dismals tâm trạng buồn nản, tâm trạng u sầu, tâm trạng phiền muộn\n[02= to be in the dismals] buồn nản, u sầu, phiền muộn
dismantle [01/dis'mæntl/]	[01* ngđtừ]\n- dỡ hết vật che đậy, lột bỏ vật phủ ngoài\n- tháo dỡ hết các thứ trang bị (súng ống, buồm... trên tàu)\n- tháo dỡ (máy móc)\n- phá huỷ, triệt phá (thành luỹ) 
dismantlement [01/dis'mæntlmənt/]	[01* dtừ]\n- sự dỡ hết vật che đậy, sự lột bỏ vật phủ ngoài\n- sự tháo dỡ hết các thứ trang bị (trên tàu)\n- sự tháo dỡ (máy móc)\n- sự phá huỷ, sự triệt phá (thành luỹ) 
dismask [01/dis'ma:k/]	[01* ngđtừ]\n- cởi mặt nạ
dismast [01/dis'mɑ:st/]	[01* ngđtừ]\n- tháo dỡ cột buồm
dismay [01/dis'mei/]	[01* dtừ]\n- sự mất tinh thần; sự mất hết can đảm\n[01* ngđtừ]\n- làm mất tinh thần; làm mất hết can đảm
dismember [01/dis'membə/]	[01* ngđtừ]\n- chặt chân tay\n- chia cắt (một nước...) 
dismemberment [01/dis'membəmənt/]	[01* dtừ]\n- sự chặt chân tay\n- sự chia cắt (một nước...) 
dismiss [01/dis'mis/]	[01* ngđtừ]\n- giải tán (đám đông tụ tập, quân đội...)\n[02= dismiss!] giải tán! (tiếng ra lệnh sau buổi tập...)\n- cho đi\n- đuổi ra, thải hồi, sa thải (người làm...)\n- gạt bỏ, xua đuổi (ý nghĩ...)\n- bàn luận qua loa, nêu lên qua loa (một vấn đề, cốt để bỏ qua)\n- (thể thao) đánh đi (quả bóng crickê)\n- (pháp lý) bỏ không xét (một vụ) ; bác (đơn)\n[01* dtừ]\n- the dismiss (qsự) sự giải tán (sau buổi tập luyện) 
dismissal [01/dis'misəl/]	[01* dtừ] ((cũng) [03dismission] )\n- sự giải tán\n- sự cho đi\n- sự đuổi đi, sự thải hồi, sự sa thải (người làm...)\n- sự gạt bỏ, sự xua đuổi (ý nghĩ...)\n- sự bàn luận qua loa, sự nêu lên qua loa (một vấn đề cốt để bỏ qua)\n- (thể thao) sự đánh đi ((quả bóng crickê)\n- (pháp lý) sự bỏ không xét (một vụ) ; sự bác (đơn) 
dismissible [01/dis'misibl/]	[01* ttừ]\n- có thể giải tán\n- có thể bị đuổi, có thể bị thải hồi, có thể bị sa thải (người làm...)\n- có thể gạt bỏ (ý nghĩ...)\n- (pháp lý) có thể bỏ không xét (một vụ kiện...) ; có thể bác (đơn) 
dismission [01/dis'mi∫n/]	[01* dtừ]\n- (hiếm),(như) [03dismissal] 
dismissive [01/dis'misiv/]	[01* ttừ]\n- thô bạo, tùy tiện
dismissively [01/dis'misivli/]	[01* phtừ]\n- thô bạo, tùy tiện
