dissemblance [01/di'sembləns/]	[01* dtừ]\n- sự khác nhau\n- sự giả vờ, đạo đức giả
dissemble [01/di'sembl/]	[01* ngđtừ]\n- che giấu, giấu giếm, che đậy (ý định, hành động...)\n- không nói đến, không kể đến, làm ngơ (một sự việc)\n- (cổ) làm như không biết, làm như không thấy, lờ đi (một câu chửi...)\n[01* nđtừ]\n- che giấu động cơ, giấu giếm ý định\n- giả vờ, giả trá, giả đạo đức
dissembler [01/di'semblə/]	[01* dtừ]\n- người giả vờ, người giả trá, người giả đạo đức
disseminate [01/di'semineit/]	[01* ngđtừ]\n- gieo rắc (hạt giống, tư tưởng...) ; phổ biến
disseminated [01/di'semineitid/]	[01* ttừ]\n- được gieo rắc, bị gieo rắc; được phổ biến\n[04! disseminated sclerosis]\n- (y) xơ cứng toả lan
dissemination [01/di,semi'nei∫n/]	[01* dtừ]\n- sự gieo rắc, sự phổ biến
disseminator [01/di'semineitə/]	[01* dtừ]\n- người gieo rắc, người phổ biến
disseminule [01/di'seminju:l/]	[01* dtừ]\n- (thực vật) thể phát tán; bào tử phát tán; hạt gieo vãi; hạt phát tán
dissension [01/di'sen∫n/]	[01* dtừ]\n- mối bất đồng, mối chia rẽ
dissent [01/di'sent/]	[01* dtừ]\n- sự bất đồng quan điểm, sự bất đồng ý kiến\n- (tôn giáo) sự không theo nhà thờ chính thống, sự không quy phục nhà thờ chính thống\n[01* nđtừ]\n- (+[04 from]) bất đồng quan điểm, bất đồng ý kiến\n- (tôn giáo) không theo nhà thờ chính thống, không quy phục nhà thờ chính thống
dissenter [01/di'sentə/]	[01* dtừ] ((cũng) [03dissident] )\n- (tôn giáo) người không theo nhà thờ chính thống, người không quy phục nhà thờ chính thống\n- người biệt giáo (theo giáo phái tách khỏi nhà thờ Anh) 
dissentient [01/di'sen∫iənt/]	[01* ttừ]\n- không tán thành quan điểm của đa số; không tán thành quan điểm chính thức\n[02= without a dissentient voice] không có ai chống, hoàn toàn nhất trí\n[01* dtừ]\n- người không tán thành quan điểm của đa số; người không tán thành quan điểm chính thức
dissenting [01/di'sentiη/]	[01* ttừ]\n- không theo nhà thờ chính thống
dissenting vote [01/di'sentiηvout/]	[01* dtừ]\n- phiếu chống; sự bỏ phiếu chống\n[02= without a dissenting_vote] không có phiếu chống, hoàn toàn nhất trí (bầu) 
dissentingly [01/di'sentiηli/]	[01* phtừ]\n- bất đồng quan điểm, bất đồng ý kiến
dissepiment [01/'disepimənt/]	[01* dtừ]\n- (sinh vật) vách, vách ngăn
dissert [01/di'sə:t/]	như [03dissertate]
dissertate [01/'disə:teit/]	- nđtừ\n- nghị luận, bàn luận; bình luận\n[02= to dissert upon some subject] nghị luận về vấn đề gì
dissertation [01/,disə:'tei∫n/]	[01* dtừ]\n- sự nghị luận, sự bàn luận; sự bình luận\n- bài nghị luận, bài luận văn; bài bình luận
disserve [01/di'sə:v/]	[01* ngđtừ]\n- làm hại, báo hại (ai) ; chơi khăm, chơi xỏ (ai) 
disservice [01/di'sə:vis/]	[01* dtừ]\n- sự làm hại, sự báo hại; sự chơi khăm, sự chơi xỏ\n[02= to do somebody a disservice] báo hại ai; chơi khăm ai một vố
dissever [01/di'sevə/]	[01* đtừ]\n- chia cắt, phân chia
disseverance [01/di'sevərəns/]	[01* dtừ]\n- sự chia cắt, sự phân chia
dissidence [01/'disidəns/]	[01* dtừ]\n- mối bất đồng\n- sự bất đồng ý kiến, sự bất đồng quan điểm
dissident [01/'disidənt/]	[01* ttừ]\n- bất đồng, bất đồng quan điểm, bất đồng ý kiến; không tán thành quan điểm của đa số, không tán thành quan điểm chính thức; chống đối, phản đối\n[01* dtừ]\n- người bất đồng, người bất đồng quan điểm, người bất đồng ý kiến; người không tán thành quan điểm của đa số, người không tán thành quan điểm chính thức; người chống đối, người phản đối\n- (như) [03dissenter] 
dissimilar [01/di'similə/]	[01* ttừ]\n- ((thường) + [02to], đôi khi + [02from, with])\n- không giống, khác\n- (toán) không đồng dạng
dissimilarily [01/di'similərili/]	[01* phtừ]\n- khác nhau
dissimilarity [01/,disimi'læriti/]	[01* dtừ]\n- tính không giống nhau, tính khác nhau\n- (toán) tính không đồng dạng
dissimilate [01/di'simileit/]	[01* phtừ]\n- (ngôn) làm cho không giống nhau, làm cho khác nhau
dissimilation [01/di,simi'lei∫n/]	[01* dtừ]\n- (ngôn)\n- sự làm cho không giống nhau, sự làm cho khác nhau
dissimilatory [01/disimi'leitəri/]	[01* ttừ]\n- có tác dụng dị hoá; làm dị hoá
dissimilitude [01/,disi'militju:d/]	như [03dissimilarity]
dissimulate [01/di'simjuleit/]	[01* đtừ]\n- che đậy, che giấu (ý nghĩ, tình cảm...)\n- vờ vĩnh, giả vờ, giả đạo đức
dissimulation [01/di,simju'lei∫n/]	[01* dtừ]\n- sự che đậy, sự che giấu\n- sự vờ vĩnh, sự giả vờ, sự giả đạo đức
dissimulator [01/di'simjuleitə/]	[01* dtừ]\n- kẻ vờ vĩnh, kẻ giả vờ, kẻ giả đạo đức
dissipate [01/'disipeit/]	[01* ngđtừ]\n- xua tan, làm tiêu tan (bóng tối, mây mù, nỗi lo sợ...)\n- phung phí (tiền của)\n- tiêu mòn, làm hao mòn, uổng phí (nghị lực) ; làm tản mạn (sự chú ý) ; làm lãng (trí)\n- nđtừ\n- tiêu tan\n- chơi bời phóng đãng
dissipated [01/'disipeitid/]	[01* ttừ]\n- bị xua tan, bị tiêu tan\n- bị phung phí (tiền của)\n- bị tiêu mòn, bị uổng phí (nghị lực) ; tản mạn (sự chú ý...)\n- chơi bời phóng đãng
dissipated power	- (kỹ) công suất tiêu tán
dissipation [01/,disi'pei∫n/]	[01* dtừ]\n- sự xua tan, sự tiêu tan\n- sự phung phí (tiền của)\n- sự tiêu mòn, sự uổng phí (nghị lực) ; sự không tập trung (tư tưởng, sự chú ý...)\n- sự chơi bời phóng đãng; cuộc sống phóng đãng
dissipative [01/'disipeitiv/]	[01* ttừ]\n- xua tan, làm tiêu tan\n- phung phí
dissociable [01/di'sou∫jəbl/]	[01* ttừ]\n- có thể phân ra, có thể tách ra\n- (hoá) có thể phân tích, có thể phân ly\n- không ưa giao du, không ưa xã hội
dissocial [01/di'sou∫əl/]	[01* ttừ]\n- không thích giao thiệp, không ưa giao du
dissocialise [01/di'sou∫əlaiz/]	như [03dissocialize]
dissocialize [01/di'sou∫əlaiz/]	[01* ngđtừ]\n- làm cho không thích giao thiệp, làm cho không ưa giao du
dissociate [01/di'sou∫ieit/]	[01* ngđtừ]\n- (+[04 from]) phân ra, tách ra\n- (hoá) phân tích, phân ly
dissociated [01/di'sou∫ieitid/]	[01* ttừ]\n- bị phân ra, bị tách ra\n- (hoá) bị phân tích, bị phân ly
dissociation [01/di,sousi'ei∫n/]	[01* dtừ]\n- sự phân ra, sự tách ra\n- (hoá) sự phân tích, sự phân ly\n[02= electrolytic dissociation] sự điện ly
dissociative [01/di'sou∫iətiv/]	[01* ttừ]\n- phân ra, tách ra\n- (hoá) phân tích, phân ly
dissolubility [01/di,sɔlju'biliti/]	[01* dtừ]\n- tính hoà tan được; độ hoà tan\n- tính rã ra được
dissoluble [01/di'sɔljubl/]	[01* ttừ]\n- hoà tan được\n- có thể làm rã ra
dissolute [01/'disəlu:t/]	[01* ttừ]\n- chơi bời phóng đãng
dissolutely [01/'disəlu:tli/]	[01* phtừ]\n- phóng đãng, trác táng
dissoluteness [01/'disəlu:tnis/]	[01* dtừ]\n- sự chơi bời phóng đãng
