ephemeris [01/i'feməris/]	như [03ephemerides]
ephemeron [01/i'femərɔn/]	[01* dtừ] s/n [02ephemerons, ephemera]\n- (như) [03ephemera] 
ephemerous [01/i'femərəs/]	như [03ephemeral]
ephidrosis [01/ifi'drousis/]	[01* dtừ]\n- (y) chứng có quá nhiều mồ hôi
ephilaltes [01/i'fiæltis/]	[01* dtừ]\n- bóng đè\n- việc nằm mơ thấy ma
ephod [01/'i:fɔd/]	[01* dtừ]\n- bộ áo lễ (của thầy tế Do-thái) 
ephor [01/'efɔ:/]	[01* dtừ]\n- viên thanh tra, viên giám sát, êfô (Hy-lạp)\n- (sử học) quan ngự sử, êfô (Hy-lạp) 
ephorate [01/'efɔ:reit/]	[01* dtừ]\n- (lịch sử) chức pháp quan (từ cổ Hy lạp) 
epibiosis [01/epi'baiɔsis/]	[01* dtừ]\n- xem [03epibiotic] 
epibiotic [01/,epibai'ɔtik/]	[01* ttừ]\n- sống sót; sót lại; tàn dư
epiblast [01/'epiblɑ:st/]	[01* dtừ]\n- (sinh vật) lá mặt
epiblastic	- xem [03epiblast] 
epiblem [01/'epiblem/]	[01* dtừ]\n- lớp hút (rễ), vỏ rễ
epibole [01/'epibɔl/]	[01* dtừ]\n- (thực vật) sự phát triển phủ; sự mọc phủ
epibolic	- xem [03epiboly] 
epiboly [01/e'pibɔli/]	[01* dtừ]\n- (sinh vật) sự mọc phủ
epic [01/'epik/]	như [03epopee]
epical [01/'epikəl/]	như [03epopee]
epicalyx [01/,epi'keiliks/]	[01* dtừ]\n- (thực vật) đài phụ; đài nhỏ; đài ngoài
epicanthus [01/,epi'ka:nθəs/]	[01* dtừ]\n- nếp quạt (ở mắt) 
epicarp [01/'epikɑ:p/]	như [03exocarp]
epicarpic [01/epi'ka:pik/]	[01* ttừ]\n- thuộc vỏ quả ngoài
epicarpium [01/epi'ka:piəm/]	[01* dtừ]\n- vỏ quả ngoài
epicedia [01/,epi'sentrəm/]	[01* dtừ] s/n [03epicedia]\n- bài thơ điếu tang
epicedium [01/,epi'sediəm/]	như [03epicedia]
epicene [01/'episi:n/]	[01* ttừ]\n- (ngôn)(thuộc) giống trung\n- ái nam ái nữ (người)\n- dùng cho cả đàn ông đàn bà\n[01* dtừ]\n- người ái nam ái nữ
epicenism	- xem [03epicene] 
epicenter [01/'episentə/]	- chấn tâm
epicentra [01/,epi'sentrəm/]	như [03epicentrum]
epicentre [01/'episentə/]	[01* dtừ]\n- (địa) tâm động đất ((cũng) [03epicentrum] ) 
epicentrum [01/,epi'sentrəm/]	[01* dtừ] s/n [03epicentra]\n- (như) [03epicentre] 
epicerebral [01/epi'serəbrəl/]	[01* ttừ]\n- (phẫu) trên não
epichilium [01/epi'kiliəm/]	[01* dtừ]\n- (thực vật) cựa cánh tràng
epichordal [01/epi'kɔ:dəl/]	[01* ttừ]\n- (phẫu) trên dây sống
epichroic [01/epi'krɔik/]	[01* ttừ]\n- mất màu; bạc màu
epiclinal [01/epi'klinəl/]	[01* ttừ]\n- trên đế hoa
epicondyle [01/epi'kɔndil/]	[01* dtừ]\n- (phẫu) lồi cầu trên
epicontinental [01/,epikɔnti'nentəl/]	[01* ttừ]\n- nằm trên lục địa hay trên thềm lục địa
epicotyl [01/epi'kɔtil/]	[01* dtừ]\n- (thực vật) trụ trên lá mầm
epicranial [01/,epi'kreinjəl/]	[01* ttừ]\n- (y) trên sọ
epicranium [01/,epi'kreinjəm/]	[01* dtừ]\n- (y) màng trên sọ
epicrisis [01/e'pikrisis/]	[01* dtừ] s/n [02epicrisises]\n- cơn thứ phát
epicure [01/'epikjuə/]	[01* dtừ]\n- người sành ăn\n- (Mỹ) hưởng lạc ((cũng) [03epicurean] ) 
epicurean [01/,epikjuə'ri:ən/]	[01* ttừ]\n- (thuộc) E-pi-cua\n- hưởng lạc ((Mỹ)(cũng) [03epicure] )\n[01* dtừ]\n- người theo thuyết E-pi-cua\n- người hưởng lạc
