equivariant	- đẳng biến
equivocal [01/i'kwivəkəl/]	[01* ttừ]\n- lập lờ, nước đôi, hai nghĩa\n[02= an equivocal reply] câu trả lời lập lờ, nước đôi\n- đáng nghi ngờ, khả nghi\n[02= an equivocal conduct] cách cư xử khả nghi\n- không rõ rệt, không chắc chắn, không quyết định\n[02= an equivocal outcome] kết quả không rõ rệt
equivocality [01/i,kwivə'kæliti/]	như [03equivocalness]
equivocally	- xem [03equivocal] 
equivocalness [01/i'kwivəkəlnis/]	[01* dtừ]\n- tính lập lờ, tính nước đôi; lời nói hai nghĩa\n- tính khả nghi, tính đáng ngờ\n- tính không rõ rệt, tính không chắc chắn, tính không quyết định
equivocate [01/i'kwivəkeit/]	[01* nđtừ]\n- nói lập lờ, nói nước đôi
equivocation [01/i,kwivə'kei∫n/]	[01* dtừ]\n- sự nói lập lờ, sự nói nước đôi\n- lời nói lập lờ, lời nói nước đôi, lời nói hai nghĩa
equivocator [01/i'kwivəkeitə/]	[01* dtừ]\n- người nói lập lờ, người nói nước đôi
equivoke [01/'ekwivouk/]	[01* dtừ]\n- lời nói lập lờ, lời nói nước đôi, lời nói hai nghĩa\n- sự chơi chữ
equivoque [01/'ekwivouk/]	như [03equivoke]
er [01/ə:/]	[01* thán từ]\n- A à! ờ ờ!
era [01/'iərə/]	[01* dtừ]\n- thời đại, kỷ nguyên\n[02= Christian era] công nguyên\n- (địa) đại\n[02= mesozoic era] đại trung sinh
eradiate [01/i'reidieit/]	[01* nđtừ]\n- phát xạ, phát tia (sáng) 
eradiation [01/i,reidi'ei∫n/]	[01* dtừ]\n- sự phát xạ, sự phát tia (sáng) 
eradicable [01/i'rædikəbl/]	[01* ttừ]\n- có thể nhổ rễ được\n- có thể trừ tiệt được
eradicate [01/i'rædikeit/]	[01* ngđtừ]\n- nhổ rễ\n- trừ tiệt
eradication [01/i,rædi'kei∫n/]	[01* dtừ]\n- sự nhổ rễ\n- sự trừ tiệt
eradicative	- xem [03eradicate] 
eradicator [01/i'rædikeitə(r) /]	[01* dtừ]\n- người nhổ rễ, người bài trừ
erasability	- xem [03erase] 
erasable [01/i'reizəbl/]	[01* ttừ]\n- có thể xoá, có thể xoá bỏ
erasable memory	- (kỹ) bộ nhớ xóa được
erasable optical storage	- (kỹ) bộ trữ quang xóa được
erasable programmable ROM (EPROM)	- (kỹ) bộ nhớ thảo chương và xóa được
erasable ROM	như [03erasable programmable ROM (EPROM)]
erasable storage	- (kỹ) bộ trữ xóa được
erase [01/i'reiz/]	[01* ngđtừ]\n- xoá, xoá bỏ
erase character	- (kỹ) ký tự xóa = [03delete character] 
erase key	như [03delete [Del] key]
erased	- bị xoá, bị khử
erasement [01/i'reizmənt/]	[01* dtừ]\n- sự xoá, sự xoá bỏ
eraser [01/i'reizə/]	[01* dtừ]\n- người xoá, người xoá bỏ\n- cái tẩy, cái cạo\n- giẻ lau bảng tha thiết
erasibility [01/ireizi'biliti/]	[01* dtừ]\n- khả năng xoá được, tẩy được
erassibility	- tính xoá được, tính khử được
erastian [01/i'ræstiən/]	[01* ttừ]\n- thuộc học thuyết chủ trương nhà nước chiếm ưu thế trong lĩnh vực tôn giáo\n[01* dtừ]\n- người chủ trương nhà nước chiếm ưu thế trong lĩnh vực tôn giáo
erastianism [01/i'ræsiənizm/]	[01* dtừ]\n- học thuyết chủ trương ưu thế nhà nước trong lĩnh vực tôn giáo
erasure [01/i'reiʒə/]	như [03earsure]
erbium [01/'ə:biəm/]	[01* dtừ]\n- (hoá) Ebiri
erd [01/ə:d ; erd/]	[01* dtừ]\n- địa cầu; đất; khu vực
ere [01/eə/]	[01* gtừ]\n- (cổ),(thơ ca) trước\n[02= ere while] trước đây, trước kia\n[02= ere long] không lâu nữa, chăng bao lâu\n[01* liên từ]\n- (cổ),(thơ ca) trước khi
erect [01/i'rekt/]	[01* ttừ]\n- thẳng, đứng thẳng\n- dựng đứng (tóc...)\n[01* ngđtừ]\n- dựng đứng thẳng, đặt đứng thẳng\n- dựng nên, xây dựng (đen & bóng)\n- (sinh vật) làm cương lên\n- (kỹ) ghép, lắp ráp\n- (toán) dựng (hình...)\n[01* nđtừ]\n- cương lên
erectable	như [03erectly]
erecter [01/i'rektə/]	[01* dtừ]\n- người xây dựng\n- cơ cương; cơ dựng
erectile [01/i'rektail/]	[01* ttừ]\n- (sinh vật) cương
erectility [01/,i:rek'tiliti/]	[01* dtừ]\n- trạng thái cương
erection [01/i'rek∫n/]	[01* dtừ]\n- sự đứng thẳng; sự dựng đứng\n- sự dựng lên, sự xây dựng; công trình xây dựng (đen & bóng)\n- (sinh vật) sự cương; trạng thái cương\n- (kỹ) sự ghép, sự lắp ráp\n- (toán) sự dựng (hình...) 
erectly	- xem [03erect] 
erectness [01/i'rektnis/]	[01* dtừ]\n- vị trí thẳng đứng; sự đứng thẳng; sự dựng đứng
erectopatent [01/i,rektou'peitənt/]	[01* ttừ]\n- nửa khép nửa hở
erector [01/i'rektə/]	[01* dtừ]\n- người dựng, người làm đứng thẳng; vật làm đứng thẳng\n- (phẫu) cơ cương ((cũng) [03erector muscle] )\n- (kỹ) thợ lắp ráp
E-region	- (kỹ) vùng (trường) E
erelong [01/,eə'lɔη/]	[01* phtừ]\n- (cổ) chẳng bao lâu nửa
eremic [01/i'ri:mik/]	[01* ttừ]\n- ở sa mạc; thuộc hoang mạc
eremite [01/'erimait/]	[01* dtừ]\n- ẩn sĩ
eremitic [01/,eri'mitik/]	như [03eremitical]
eremitical [01/,eri'mitikəl/]	[01* ttừ]\n- (thuộc) ẩn sĩ
eremitism [01/'erimaitizm/]	[01* dtừ]\n- cuộc sống ẩn sĩ
erenow [01/,eə'nau/]	[01* phtừ]\n- trước đây
erethism [01/'eriθizm/]	[01* dtừ]\n- (y) trạng thái kích thích
erethismic	- xem [03erethism] 
erethistic [01/eri'θiztik/]	- Cách viết khác : [03erethitic]
erewhile [01/eə'wail/]	[01* phtừ]\n- cũng [03erewhiles]\n- (cổ) trước đây ít lâu
erg [01/ə:g/]	như [03ergon]
ergastic [01/ə:gæstik/]	[01* ttừ]\n- (sinh học) thuộc hậu chất
ergastoplasm [01/ə:'gæstəplæzm/]	[01* dtừ]\n- (sinh học) chất phân bào
ergastoplasmic [01/ə:gæstə'plæzmik/]	[01* ttừ]\n- thuộc chất phân bào
ergatocracy [01/,ə:gə'tɔkrəsi/]	[01* dtừ]\n- chính quyền công nhân
ergo [01/'ə:gou/]	[01* phtừ]\n- ((thường),(đùa)) do đó, vậy thì
ergodic	- egodic
ergodic function	- (kỹ) hàm thiên lịch, hàm ergôddic
ergodic theorem	- (kỹ) định lý thiên lịch
ergodicity	- tính góc egodic
ergograph [01/'ə:gəgra:f/]	[01* dtừ]\n- (sinh học) máy ghi cơ công
ergology [01/ə:'gɔlədʒi/]	[01* dtừ]\n- sinh lý học lao động
ergometer [01/ə:'gɔmitə/]	[01* dtừ]\n- (sinh học) cơ công kế
ergometrine [01/ə:gə'metri:n/]	[01* dtừ]\n- (dược học) ecgometrin
ergon [01/'ə:gɔn/]	[01* dtừ]\n- (lý) éc
ergonometric	như [03ergonomic]
ergonomic	- xem [03ergonomics] 
ergonomically	như [03ergonomic]
ergonomics [01/,ə:gə'nɔmiks/]	- (kỹ) môn tối ưu nhân tố
ergonomist	như [03ergonomic]
ergonovine [01/,ə:gə'nouvi:n/]	[01* dtừ]\n- ecgometrin
ergot [01/'ə:gət/]	[01* dtừ (thực vật)]\n- cựa (của lúa mạch, do nấm gây nên)\n- hạt cựa (hạt lúa mạch có cựa dùng làm thuốc) 
ergotamin [01/ə:'gɔtəmi:n/]	[01* dtừ]\n- (dược) ecgotamin
ergotic	- xem [03ergot] 
ergotine [01/'ə:gətain/]	[01* dtừ]\n- (dược học) Ecgôtin
ergotinin [01/ə:'gɔtini:n/]	[01* dtừ]\n- cũng [03ergotinine]\n- (dược học) ecgotinin
ergotism [01/'ə:gətizm/]	[01* dtừ]\n- (thực vật)(như) [03ergot]\n- sự nhiễm độc Ecgôtin
ergotoxine [01/,ə:gətɔk'sin/]	[01* dtừ]\n- (dược) ecgotoxin
erica [01/'erikə/]	[01* dtừ]\n- (thực vật) cây thạch nam
ericaceous [01/,eri'kei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ đỗ quyên
erigeron [01/i'ridʒərən/]	[01* ttừ]\n- (thực vật) giống có tai hùm
erin [01/'erin/]	[01* dtừ]\n- (thơ ca) Airơlân
erinaceous [01/,eri'nei∫əs/]	[01* ttừ]\n- (động vật) thuộc họ chuột nhím
erinys [01/i'rinis ; i'rainis/]	[01* dtừ] s/n [02erinyes]\n- Ê-ri-ni (nữ thần trả thù của thần thoại Hy lạp) 
eristic [01/ə'ristik/]	[01* ttừ]\n- (thuộc) tranh luận\n- nhằm thắng hơn là nhằm sự thực (người tranh luận, lập luận)\n[01* dtừ]\n- tài tranh luận
erlang	- (kỹ) erlang (đơn vị lưu lượng thông tin) 
erlangmeter	- (kỹ) máy đo erlang
erl-king [01/'ə:l'kiη/]	[01* dtừ]\n- thần dụ trẻ (thần thoại Đức (cổ)) 
ermine [01/'ə:min/]	[01* dtừ]\n- (động vật) chồn ecmin\n- da lông chồn ecmin (dùng làm áo...)\n- (tục) chức quan toà\n[02= to rise to ermine] được bổ nhiệm làm quan toà\n[02= a dispute between silk and ermine] sự tranh cãi giữa luật sư và quan toà\n- (thơ ca) sự trong trắng
erne [01/ə:n/]	[01* dtừ]\n- (động vật) ó biển
ernie [01/ə:ni/]	[01* dtừ]\n- (vt) của [03electronic random number indicator equipment]\n- máy xổ số
erode [01/i'roud/]	[01* ngđtừ]\n- xói mòn, ăn mòn
eroded [01/i'roudid/]	[01* ttừ]\n- bị xói mòn, bị ăn mòn
erodent [01/i'roudənt/]	như [03erosive]
erodibility	như [03erodible]
erodible	- xem [03erode] 
erogeneity [01/irɔ'dʒineiti/]	[01* dtừ]\n- tính kích thích tính dục
erogenous [01/i'rɔdʒənəs/]	[01* ttừ]\n- nhạy kích thích tình dục
eros [01/'erɔs/]	[01* dtừ]\n- thần ái tình
erosion [01/i'rouʒn/]	[01* dtừ]\n- sự xói mòn, sự ăn mòn
erosional	như [03erosionally]
erosionally	- xem [03erosion] 
erosive [01/i'rousiv/]	[01* ttừ]\n- xói mòn, ăn mòn
erosiveness	như [03erosivity]
erosivity	- xem [03erosive] 
erotamania [01/i,rɔtə'meinjə/]	[01* dtừ]\n- bệnh tương tư; bệnh điên vì tình\n- xung động thoả dục
erotematic [01/,erəti'mætik/]	[01* ttừ]\n- (văn học) mang hình thức câu hỏi
erotic [01/i'rɔtik/]	[01* ttừ]\n- (thuộc) tình ái, (thuộc) tình dục\n- (Mỹ) khiêu dâm, gợi tình\n[01* dtừ]\n- bài thơ tình\n- người đa tình; người đa dâm
erotica [01/i'rɔtikə/]	[01* dtừ s/n]\n- văn học về tình\n- (Mỹ) sách báo khiêu dâm, tranh ảnh khiêu dâm
erotically [01/i'rɔtikəli/]	[01* phtừ]\n- khiêu dâm, khêu gợi
eroticism [01/i'rɔtisizm/]	[01* dtừ]\n- tư tưởng dâm dục; tính đa dâm
eroticist	- xem [03eroticism] 
eroticize [01/erɔ'tisaiz/]	[01* ngđtừ]\n- khiêu dâm
erotism [01/'erətizm/]	[01* dtừ]\n- tình dục; sự khiêu dâm\n- tính đa dâm, tính dâm dục
erotology [01/,erə'tɔlədʒi/]	[01* dtừ]\n- ái tình học
erotomania [01/i,rɔtə'meinjə/]	[01* dtừ]\n- (y) xung động thoả dục; chứng cuồng dâm
erotomaniac [01/i,rɔtə'meinjæk/]	[01* dtừ]\n- người lúc nào cũng nghĩ đến nhục dục; người cuồng dâm
err [01/ə:/]	[01* nđtừ]\n- lầm lỗi, sai lầm\n- phạm tội\n- (cổ),(hiếm) đi lang thang
errancy [01/'erənsi/]	[01* dtừ]\n- sự sai lầm, sự sai sót
errand [01/'erənd/]	[01* dtừ]\n- việc vắt (đưa thư, mua thuốc lá...)\n[02= to run (on) errands; to go on errands] chạy việc vặt\n- mục đích cuộc đi; mục đích\n[02= his errand was to deliver a letter] mục đích hắn đến là để đưa một bức thư
errand-boy [01/'erəndbɔi/]	[01* dtừ]\n- chú bé chạy việc vặt
