euhemeristically	- xem [03euhemerism] 
euhemerize [01/ju:'hi:məraiz/]	[01* ngđtừ]\n- tìm nguồn gốc lịch sử cho (thần thoại)\n[01* nđtừ]\n- nghiên cứu nguồn gốc lịch sử của thần thoại
euheterosis [01/ju:hetə'rousis/]	[01* dtừ]\n- tính ưu thế điển hình
euhybrid [01/ju:'haibrid/]	[01* dtừ]\n- (sinh học) loài lai điển hình
eulogia [01/ju:'lɔdʒə/]	- dtừ, s/n của eulogium
eulogise [01/'ju:lədʒaiz/]	[01* ngđtừ]\n- tán dương, khen ngợi, ca tụng
eulogist [01/'ju:lədʒist/]	[01* dtừ]\n- người tán dương, người khen ngợi, người ca tụng
eulogistic [01/,ju:lə'dʒistik/]	[01* ttừ]\n- để tán dương, để khen ngợi, để ca tụng
eulogistical [01/,ju:lə'dʒistikəl/]	như [03eulogistic]
eulogistically	- xem [03eulogy] 
eulogium [01/ju:'lɔdʒiəm/]	[01* dtừ] s/n [02eulogia]\n- bài tán dương, bài ca ngợi
eulogize [01/'ju:lədʒaiz/]	như [03eulogise]
eulogizer [01/'ju:lədʒaizə/]	[01* dtừ]\n- người tán dương, tán tụng, ca tụng
eulogy [01/'ju:lədʒi/]	[01* dtừ]\n- bài tán dương, bài ca tụng\n[02= to pronouncec a eulogy on somebody; to pronounce somebody's eulogy] tán dương ai, ca tụng ai\n- lời khen, lời ca ngợi
eumenides [01/ju:'menidi:z/]	[01* dtừ]\n- nữ thần Ơ-mê-nit tóc là rắn theo đuổi trừng trị kẻ phạm tội ác (thần thoại Hy-lạp) 
eunuch [01/'ju:nək/]	[01* dtừ]\n- quan hoạn
eunuchism	- xem [03eunuch] 
eupatorium [01/,jupæ'tɔ:riəm/]	[01* dtừ]\n- (thực vật) cây cỏ lào
eupepsia [01/ju:'pepsiə/]	như [03eupepsy]
eupepsy [01/ju:'pepsi/]	[01* dtừ]\n- (y) sự tiêu hoá tốt
eupeptic [01/ju:'peptik/]	[01* ttừ]\n- tiêu hoá tốt
eupeptically	- xem [03eupeptic] 
euphemism [01/ju:'fimizm/]	[01* dtừ]\n- (ngôn) lối nói trại, lời nói trại, uyển ngữ
euphemist	- xem [03euphemism] 
euphemistic [01/,ju:fi'mistik/]	như [03euphemistical]
euphemistical [01/,ju:fi'mistikəl/]	[01* ttừ]\n- (ngôn)(thuộc) nói trại, (thuộc) uyển ngữ
euphemistically [01/,ju:fi'mistikəli/]	[01* phtừ]\n- theo lối nói trại, theo lối nói hoa Mỹ
euphemize [01/,ju:fimaiz/]	[01* đtừ]\n- diễn đạt bằng lối nói trại, diễn đạt bằng uyển ngữ
euphemizer	- xem [03euphemize] 
euphonic [01/ju:'fɔnik/]	như [03euphonical]
euphonical [01/ju:'fɔnikəl/]	[01* ttừ]\n- êm tai, thuận tai\n- (ngôn) hài âm
euphonically	- xem [03euphony] 
euphonicalness	[01* dtừ]\n- sự hài âm
euphonious [01/ju:'founjəs/]	như [03euphonical]
euphoniously	như [03euphoniousness]
euphoniousness	- xem [03euphonious] 
euphonise [01/'ju:fənaiz/]	như [03euphonize]
euphonism [01/'jufənizm/]	[01* dtừ]\n- hài âm
euphonium [01/ju:'founjəm/]	[01* dtừ]\n- (âm nhạc) Tuba (nhạc khí) 
euphonize [01/'ju:fənaiz/]	[01* ngđtừ]\n- làm cho êm tai, làm cho thuận tai\n- (ngôn) làm hài âm
euphony [01/'ju:fəni/]	[01* dtừ]\n- tiếng êm tai\n- tính thuận tai, tính êm tai\n- (ngôn) luật hài âm
euphorbia [01/ju:'fɔ:biə/]	như [03spurge]
euphorbiaceous [01/ju:,fɔ:bi'ei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ thầu dầu
euphoria [01/ju:'fɔ:riə/]	[01* dtừ]\n- trạng thái phởn phơ
euphoric [01/ju:'fɔrik/]	[01* ttừ]\n- phởn phơ
euphorically	- xem [03euphoria] 
euphory [01/'ju:fə:ri/]	như [03euphoria]
euphotic [01/ju:'foutik/]	[01* ttừ]\n- thuộc lớp mặt nước có đầy đủ ánh sáng để cây sinh trưởng
euphotometric [01/ju:,foutə'metrik/]	[01* ttừ]\n- thuộc lượng ánh sáng khuếch tán toàn phần
euphrasy [01/'ju:frəsi/]	[01* dtừ]\n- (thực vật) cỏ tiểu mễ (để chữa mắt) 
euphuism [01/'ju:fju:izm/]	[01* dtừ]\n- lối viết văn cầu kỳ, lối viết văn kiểu cách\n- văn cầu kỳ, văn kiểu cách
euphuist [01/'ju:fju:ist/]	[01* dtừ]\n- người viết văn cầu kỳ, người viết văn kiểu cách
euphuistic [01/,ju:fju'istik/]	[01* ttừ]\n- cầu kỳ, kiểu cách
euphuistical	- xem [03euphuism] 
euphuistically	như [03euphuistical]
euplankton [01/'ju:plæηktən/]	[01* dtừ]\n- sinh vật nổi ở biển
euploid [01/'ju:plɔid/]	[01* dtừ]\n- thể bội chỉnh\n[01* ttừ]\n- thuộc số bội chỉnh
euploidy [01/'ju:plɔidi/]	[01* dtừ]\n- tính thể bội chỉnh
eupnoea [01/ju:p'ni:ə/]	[01* dtừ]\n- cũng [03eupnea]\n- hô hấp bình thường
eupnoeic [01/ju:p'ni:ik/]	[01* ttừ]\n- có hô hấp bình thường
Eurasia [01/juə'reiZə/]	[01* dtừ]\n- châu Âu và châu Á
Eurasian [01/juə'reiʒjən/]	[01* ttừ]\n- (thuộc) Âu A\n- lai Âu A\n[01* dtừ]\n- người lai Âu A
eureka [01/juə'ri:kə/]	[01* thán từ]\n- thấy rồi!, tìm ra rồi!
eurematics [01/ju:ri'mætiks/]	[01* dtừ]\n- phát minh học
eurhythmic [01/ju:'riđmik/]	[01* ttừ]\n- cân đối; nhịp nhàng; đều đặn
eurhythmics [01/ju:'riđmiks/]	[01* dtừ, s/n dùng như số ít]\n- thể dục nhịp nhàng
eurhythmy [01/ju(ə) riθmi/]	[01* dtừ]\n- sự nhịp nhàng, cân đối, hài hoà\n- (y) sự đều mạch
eurite [01/'ju:rit/]	[01* dtừ]\n- (khoáng) eurit
euritic [01/ju'ritik/]	[01* ttừ]\n- thuộc fenzit; microgranit
euro [01/'juərou/]	[01* dtừ] s/n [02euros]\n- loài canguru lớn da đỏ xám (ở úc) 
Eurocheque [01/'juərout∫ek/]	[01* dtừ]\n- séc phát hành toàn Âu châu
Eurocommunism [01/,juərou'kɔmjunizm/]	[01* dtừ]\n- chủ nghĩa cộng sản Tây Âu (độc lập với đường lối cộng sản Liên-xô) 
Eurocommunist [01/,juərou'kɔmjunist/]	[01* dtừ]\n- người theo chủ nghĩa cộng sản Tây Âu\n[01* ttừ]\n- (thuộc) chủ nghĩa cộng sản Tây Âu
Eurocrat [01/'juəroukræt/]	[01* dtừ]\n- viên chức của cơ quan điều hành Cộng đồng Âu châu
Eurodollar [01/'juəroudɔlə/]	[01* dtừ]\n- đô la Âu châu
Europe [01/'juərəp/]	[01* dtừ]\n- (địa lý) châu Âu
European [01/,juərə'pi:ən/]	[01* ttừ]\n- (thuộc) Châu âu; ở Châu âu, tại Châu âu; lan khắp Châu âu\n[02= a european reputation] tiếng tăm lan khắp Châu âu\n[01* dtừ]\n- người Châu âu
Europeanise [01/,juərə'pi:ənaiz/]	[01* ngđtừ]\n- âu hoá
Europeanism [01/,juərə'pi:ənizm/]	[01* dtừ]\n- chủ nghĩa Châu âu
Europeanization [01/'juərə,pi:ənai'zei∫n/]	[01* dtừ]\n- sự âu hoá
Europeanize [01/,juərə'pi:ənaiz/]	như [03Europeanise]
europium [01/ju:'roupiəm/]	[01* dtừ]\n- (hoá) Europi
Eurovision [01/,juərou'viʒn/]	[01* dtừ]\n- truyền hình cho toàn Châu âu
eurus [01/'jurəs/]	[01* dtừ]\n- thần gió đông, gió đông nam (thần thoại Hy-lạp)\n- gió đông; gió đông nam
eurythmic [01/ju'riθmik/]	[01* ttừ]\n- xem [03eurhythmic] 
eurythmics [01/ju'riθmiks/]	như [03eurythmy]
eurythmy [01/juə'riθmi/]	[01* dtừ]\n- xem [03eurhythmy] 
eusol [01/'ju:sɔl/]	[01* dtừ]\n- (vt) của [03Edinburgh Univerity solution]\n- (hoá) nước khử trùng vôi clorua
eustachian tube [01/ju:s'tei∫n'tju:b/]	[01* dtừ]\n- (phẫu) vòi Ot-tát
eustatic [01/ju:'stætik/]	[01* ttừ]\n- (địa chất) chấn tĩnh
eusternum [01/ju:'stə:nəm/]	[01* dtừ]\n- mảnh ức côn trùng
eustomatous [01/ju:'stɔmətəs/]	[01* ttừ]\n- (động vật) có miệng chính thức
eusystole [01/ju:'sistəli/]	[01* dtừ]\n- tâm thu bình thường
