firelock [01/'faiəlɔk/]	[01* dtừ]\n- súng kíp
fireman [01/'faiəmən/]	[01* dtừ]\n- đội viên chữa cháy\n- công nhân đốt lò
fire-master [01/'faiə,ma:stə/]	[01* dtừ]\n- đội trưởng lính cứu hoả
fire-net [01/'faiə,net/]	[01* dtừ]\n- lưới an toàn lính cứu hoả dùng
fire-new [01/'faiə'nju:/]	[01* ttừ]\n- (cổ) mới toanh
fire-office [01/'faiər,ɔfis/]	[01* dtừ]\n- hãng bảo hiểm hoả hoạn
fire-opal [01/'faiər,oupəl/]	[01* dtừ]\n- (khoáng) opan lửa
fire-pan [01/'faiəpæn/]	[01* dtừ]\n- lò con (mang đi lại được để nấu ngoài trời) 
fire-piller [01/'faiə,pilə/]	[01* dtừ]\n- vòi lấy nước chữa cháy (ở đường phố) 
fire-place [01/'faiəpleis/]	[01* dtừ]\n- lò sưởi
fire-plug [01/'faiəplʌg/]	[01* dtừ]\n- (vt) F.P. chỗ lắp vòi rồng chữa cháy (ở hệ thống dẫn nước ở đường phố) 
fire-point [01/'faiəpɔint/]	[01* dtừ]\n- điểm bốc cháy
fire-policy [01/'faiə'pɔlisi/]	[01* dtừ]\n- hợp đồng bảo hiểm hoả hoạn
fire-pot [01/'faiəpɔt/]	[01* dtừ]\n- chén nung; nồi luyện
fire-power [01/'faiə,pauə(r) /]	[01* dtừ]\n- (qsự) hoả lực
fireproof [01/'faiəpru:f/]	[01* ttừ]\n- chịu lửa, không cháy
fireproofness [01/'faiə,pru:fnis/]	[01* dtừ]\n- tính chịu lửa
fire-protective [01/'faiəprə'tektiv/]	[01* ttừ]\n- chống cháy; không bị cháy
fire-pump [01/'faiəpʌmp/]	[01* dtừ]\n- bơm chữa cháy
firer [01/'faiərə/]	[01* dtừ]\n- người đốt\n- người bắn súng\n- người châm ngòi nổ; máy châm ngòi nổ
fire-raiser [01/'faiə,reizə(r) /]	[01* dtừ]\n- kẻ cố ý gây hoả hoạn
fire-raising [01/'faiə,reiziη/]	[01* dtừ]\n- tội đốt nhà, sự cố ý đốt nhà
fire-red [01/'faiəred/]	[01* ttừ]\n- đỏ như lửa
fire-refined [01/'faiəri,faind/]	[01* dtừ]\n- được tinh luyện trong lửa
fire-refining [01/'faiəri,fainiη/]	[01* dtừ]\n- sự luyện trong lửa
fire-resistance [01/'faiəri'zistəns/]	như [03fireproofness]
fire-resistant [01/'faiəri'zistənt/]	[01* ttừ]\n- chịu lửa
fire-room [01/'faiəru:m/]	[01* dtừ]\n- phòng đốt lửa; buồng đốt
fire-screen [01/'faiəskri:n/]	[01* dtừ]\n- màn chống nóng
fire-ship [01/'faiə'∫ip/]	[01* dtừ]\n- (sử học) tàu hoả công (mang chất đốt để đốt tàu địch) 
fire-shovel [01/'faiə∫ʌvəl/]	[01* dtừ]\n- xẻng xúc lửa
fireside [01/'faiəsaid/]	[01* dtừ]\n- chỗ cạnh lò sưởi; chỗ bên lò sưởi\n[02= to sit at the fireside] ngồi bên lò sưởi\n- (bóng) cuộc sống gia đình\n[02= a fireside scene] cảnh sống gia đình\n[04! a fireside chat]\n- (Mỹ) bài phát thanh buổi nói chuyện với nhân dân của tổng thống
fire-station [01/'faiə'stei∫n/]	như [03engine-house]
fire-steel [01/'faiə'sti:l/]	[01* dtừ]\n- thép đánh lấy lửa
fire-step [01/'faiəstep/]	như [03firing-step]
fire-stone [01/'faiəstoun/]	như [03furnace-man]
fire-teaser [01/'faiə,ti:zə:/]	như [03furnace-man]
fire-teazer [01/'faiə,ti:zə/]	như [03furnace-man]
fire-tower [01/'faiə,tauə/]	[01* dtừ]\n- tháp báo động hoả hoạn
fire-trap [01/'faiətræp/]	[01* dtừ]\n- nhà không có lối thoát khi cháy
fire-truck [01/'faiətrʌk/]	[01* dtừ]\n- (Mỹ) xe chữa cháy
fire-walk [01/'faiə,wɔ:k/]	[01* ngđtừ]\n- đi trên lửa\n[01* dtừ]\n- (lịch sử) cách bắt đi trên lửa (để (xem) có bị thương không mà định tội)\n- cách đi trên đá nung (nghi thức (tôn giáo)) 
fire-walker [01/'faiə,wɔ:kə/]	[01* dtừ]\n- (tôn giáo) người đi trên đá nung, người đi trên tro nóng
fire-walking [01/'faiə'wɔ:kiη/]	[01* dtừ]\n- (tôn giáo) lễ đi trên đá nung, lễ đi trên tro nóng
fire-watcher [01/'faiə,wɔt∫ə/]	[01* dtừ]\n- người canh nhà cháy (do bom cháy)((cũng) [03fire-guard] ) 
fire-water [01/'faiə'wɔ:tə/]	[01* dtừ]\n- (Mỹ),(đùa) rượu mạnh
firewood [01/'faiəwud/]	[01* dtừ]\n- củi
fire-wood [01/'faiəwud/]	[01* dtừ]\n- củi đun
fireworks [01/'faiəwə:ks/]	[01* dtừ s/n]\n- pháo hoa, pháo bông; cuộc đốt pháo hoa\n- sự sắc sảo\n- sự nổi nóng\n[04! to knock fireworks out of someone]\n- đánh ai nảy đom đóm mắt
fire-works [01/'faiəwə:ks/]	[01* dtừ s/n]\n- pháo hoa\n- cuộc đốt pháo hoa\n- sự nổi nóng
fire-worship [01/'faiə,wə:∫ip/]	[01* dtừ]\n- sự thờ thần lửa
fire-worshiper [01/'faiə,wə:k∫ipə/]	[01* dtừ]\n- người thờ lửa; người theo bái hoả giáo
firing [01/'faiəriη/]	[01* dtừ]\n- sự đốt cháy\n- sự nung gạch\n- sự đốt lò\n- sự giật mình\n- sự bắn; cuộc bắn\n- chất đốt (than, củi, dầu...) 
firing ground [01/'faiəriηgraund/]	như [03firing-ground]
firing voltage	- (kỹ) diện áp bắt đầu phóng điện, điện áp mồi lửa
firing-ground [01/'faiəriη,graund/]	[01* dtừ]\n- trường bắn
firing-line [01/'faiəriηlain/]	[01* dtừ]\n- tuyến lửa
firing-party [01/'faiəriη,pɑ:ti/]	như [03firing-squad]
firing-pin [01/'faiəriηpin/]	[01* dtừ]\n- kim hoả; cái kim làm đạn bắn đi
firing-squad [01/'faiəriηskwɔd/]	[01* dtừ]\n- tiểu đội bắn chỉ thiên (ở đám tang quân sự)\n- tiểu đội xử bắn
firing-step [01/'faiəriηstep/]	[01* dtừ]\n- bục đứng bắn
firkin [01/'fə:kin/]	[01* dtừ]\n- thùng nhỏ (đựng bơ, rượu, cá...)\n- Fikin (đơn vị đo lường bằng khoảng 40 lít) 
