fletch [01/flet∫/]	[01* ngđtừ]\n- xem [03fledge] 
fletching [01/'flet∫iη/]	[01* dtừ]\n- lông chim cắm ở mũi tên
fletton [01/'fletən/]	[01* dtừ]\n- gạch đỏ vàng làm bằng đất sét trong khuôn thép
fleur-de-lis [01/'flə:də'li:/]	[01* dtừ] s/n [03fleurs-de-lis]\n- (thực vật) hoa irit\n- (số ít hoặc số nhiều) huy hiệu các vua Pháp; hoàng gia Pháp, nước Pháp
fleur-de-luce [01/'flə:də'lju:s/]	như [03fleur-de-lis]
fleur-de-lys [01/'flɔ: də 'li:/]	[01* dtừ]\n- như [03fleur-de-lis] 
fleuret [01/fluə'ret/]	[01* dtừ]\n- bông hoa nhỏ\n- vật trang trí hình hoa nhỏ
fleuron [01/flə:'rɔη/]	[01* dtừ]\n- vật trang trí hình hoa nhỏ (trong kiến trúc, trên đồng tiền...)\n- đồ chạm hình hoa, đồ khắc hình hoa
fleurs-de-lis [01/fleurs-de-lis/]	như [03fleur-de-lis]
fleurs-de-lys [01/'flɔ:z də 'li:/]	- dtừ s/nh của [03fleur-de-lys]
fleury [01/'fluəri/]	[01* ttừ]\n- trang trí bằng hoa irit (huy hiệu) 
flew [01/flew/]	[01* dtừ]\n- con ruồi\n- ruồi (làm mồi câu) ; ruồi giả (làm mồi câu cá)\n- (nông nghiệp) bệnh do ruồi, sâu bệnh\n[04! to crush a fly upon the wheel]\n[04! to break a fly upon the wheel]\n- dùng dao mổ trâu cắt tiết gà, lấy búa đạp muỗi\n[04! a fly on the wheel (on the coatch wheel)]\n- người lăng xăng tưởng mình quan trọng\n[04! no flies on him]\n- (lóng) anh ta rất đắc lực, anh ta rất được việc\n- (Mỹ) anh ta rất láu\n[01* dtừ]\n- sự bay; quãng đường bay\n[02= on the fly] đang bay\n- vạt cài cúc (ở áo)\n- cánh cửa lều vải\n- đuôi cờ\n- (sân khấu),(số nhiều) khoảng trên đầu sân khấu (có để những bộ kéo phông)\n- bộ phận điều chỉnh tốc độ (ở đồng hồ)\n- (kỹ)(như) [03fly-wheel]\n- (cổ) xe độc mã\n[01* nđtừ flew, flown]\n- bay\n- đi máy bay, đáp máy bay\n[02= to fly home] đáp máy bay về nhà\n- bay vút lên cao (diều hâu, để đánh nhau)\n- bay phấp phới, tung bay\n[02= flags are flying] cờ tung bay phấp phới\n- đi nhanh, chạy nhanh, rảo bước\n[02= it's late, we must fly] đã muộn rồi, chúng ta phải đi nhanh lên\n- tung; chạy vùn vụt như bay\n[02= the door flew open] cửa mở tung\n[02= time flies] thời gian vùn vụt trôi qua\n- (thời quá khứ fled) chạy trốn, tẩu thoát\n[01* ngđtừ]\n- làm bay phấp phới, làm tung bay\n[02= to fly a flag] cờ tung bay phấp phới\n- thả (cho bay)\n[02= to fly pigeons] thả chim bồ câu\n- lái (máy bay...) ; chuyên chở bằng máy bay\n[04! to fly at]\n[04! to fly on]\n- xông lên; tấn công\n[02= to fly at the enemy] xông lên tấn công quân địch\n[04! to fly into]\n- nổi (khùng), rớn (mừng)\n[02= to fly into a rage] nổi xung, nổi cơn thịnh nộ\n- xông vào, xộc vào (trong phòng...)\n[04! to fly off]\n- bay đi (chim) ; chuồn đi\n- đứt mất (cúc áo)\n[04! to fly out]\n- tuôn ra một thôi một hồi\n- nổi cơn hung hăng\n[04! to fly over]\n- nhảy qua\n[02= to fly over fence] nhảy qua hàng rào\n[04! to fly round]\n- quay (bánh xe)\n[04! to fly upon]\n- (như) [03to fly at]\n[04! as the crow flies]\n- xem [03crow]\n[04! the bird in flown]\n- (bóng) chim đã lọt lưới rồi, hung thủ đã tẩu thoát rồi\n[04! to fly to arms]\n- xem [03arm]\n[04! to fly the country]\n- chạy trốn; đi khỏi nước\n[04! to fly in the face of]\n- xem [03face]\n[04! to fly high]\n[04! to fly at high game]\n- có tham vọng, có hoài bão lớn\n[04! to fly a kite]\n- xem [03kite]\n[04! to fly low]\n- nằm im, lẩn lút\n[04! go fly a kite!]\n- (Mỹ),(lóng) bước đi, đừng quấy rầy nữa!\n[04! to let fly]\n- xem [03let]\n[04! to make the money fly]\n- tiêu tiền như rác\n[01* ttừ]\n- (lóng) cẩn thận, tỉnh táo, cảnh giác
flews [01/flu:z/]	[01* dtừ s/n]\n- môi sễ xuống (chó săn) 
flex [01/fleks/]	[01* dtừ]\n- (điện học) dây mềm\n[01* ngđtừ]\n- làm cong, uốn cong\n[01* nđtừ]\n- cong lại; gập lại (cánh tay) 
flexble	- uốn được, đàn hồi được
flexibility [01/,fleksə'biliti/]	như [03flexility]
flexible (printed) circuit	- (kỹ) mạch (in) mềm dẻo
flexible [01/'fleksəbl/]	như [03flexile]
flexible cable	- (kỹ) cáp mềm dẻo
flexible disk = floppy disk	- (kỹ) đĩa mềm
flexibly [01/'fleksəbli/]	[01* phtừ]\n- linh hoạt, linh động
flexile [01/'fleksil/]	[01* ttừ]\n- dẻo, mền dẻo, dễ uốn\n- dễ sai khiến, dễ thuyết phục, dễ uốn nắn\n- linh động, linh hoạt
flexility [01/flek'siliti/]	[01* dtừ]\n- tính chất dẻo, tính chất mền dẻo, tính dễ uốn\n- tính dễ sai khiến, tính đễ thuyết phục, tính dễ uốn nắn\n- tính linh động, tính linh hoạt
flexing [01/'fleksiη/]	[01* dtừ]\n- sự uốn; néo uốn
flexion [01/'flek∫n/]	như [03flection]
flexional [01/'flek∫ənl/]	[01* ttừ]\n- (ngôn) có biến tố
flexionless [01/'flek∫nlis/]	[01* ttừ]\n- (ngôn) không có biến tố
flexitime [01/'fleksi,taim/]	[01* dtừ]\n- hệ thống giờ làm việc linh hoạt
flexographic [01/fleksə'græfik/]	[01* ttừ]\n- xem [03flexography] chỉ thuộc về
flexography [01/flek'səgrəfi/]	[01* dtừ]\n- thuật in nổi bằng khuôn mềm
flexor [01/'fleksə/]	[01* dtừ]\n- (phẫu) cơ gấp
flexouse [01/flexouse/]	[01* ttừ]\n- (thực vật) uốn khúc ngoằn ngoèo
flexousity [01/flexousity/]	[01* dtừ]\n- sự cong queo, sự uốn khúc
flexowriter	- (tin) thiết bị in nhanh, flecxôraitơ
flexuose [01/'fleksjuous/]	[01* ttừ] (thực vật) uốn khúc ngoằn ngoèo
flexuosity [01/,fleksju'ɔsiti/]	[01* dtừ]\n- sự ngoằn ngoèo, sự khúc khủyu
flexuous [01/'fleksjuəs/]	[01* ttừ]\n- cong queo, uốn khúc
flexural [01/'flek∫ərəl/]	[01* ttừ]\n- cong queo; uốn khúc
flexure [01/'flek∫ə/]	[01* dtừ]\n- sự uốn cong\n- chỗ uốn cong, chỗ rẽ\n- (toán) độ uốn\n- (địa) nếp oằn
fley [01/flei/]	[01* ngđtừ]\n- làm cho hoảng sợ\n[01* nđtừ]\n- hoảng sợ
flibbertigibbet [01/,flibəti'dʒibit/]	[01* dtừ]\n- người ba hoa; người ngồi lê đôi mách\n- người có tính đồng bóng, người nông nổi\n- người lúc nào cũng cựa quậy
flic [01/flik/]	[01* dtừ]\n- cảnh sát Pa-ri
flicflac [01/'flikflæk/]	[01* dtừ]\n- tiếng gõ liên tục (như) tiếng chân khiêu vũ
flick [01/flik/]	[01* dtừ]\n- cú đánh nhẹ, cái đập nhẹ, cái gõ nhẹ, cái giật, cái nảy, cái búng\n- tiếng tách tách\n- (lóng) phim chiếu bóng\n- (số nhiều)(lóng) buổi chiếu phim\n[01* ngđtừ]\n- đánh nhẹ, vụt nhẹ, gõ nhẹ, búng\n- ((thường) +[02away, off]) phủi (bụi...)\n[04! to flick out]\n- rút ra, kéo ra, nhổ lên
flicker [01/'flikə/]	[01* dtừ]\n- ánh sáng lung linh, ánh lửa bập bùng\n[02= the flicker of a candle] ánh nến lung linh\n[02= a weak flicker of hope] (lóng) tia hy vọng mỏng manh\n- sự rung rinh\n- (Mỹ) cảm giác thoáng qua\n[02= a flicker of fear] cảm giác sợ hãi thoáng qua\n[01* nđtừ]\n- đu đưa, rung rinh\n[02= leaves flickering in the wind] lá rung rinh trước gió\n- lập loè, lung linh, bập bùng\n[02= candle flickers] ánh nến lung linh\n[02= flickering flame] ngọn lửa bập bùng\n- mỏng manh (hy vọng) 
flickering [01/'flikəriη/]	[01* ttừ]\n- đu đưa, rung rinh\n- lập loè, lung linh, bập bùng
flicker-mouse [01/'flikə'maus/]	[01* dtừ]\n- (động vật) con giơi
flick-knife [01/'fliknaif/]	[01* dtừ]\n- dao bấm tự động
flier [01/flaiə/]	như [03flyer]
flight [01/flait/]	[01* dtừ]\n- sự bỏ chạy, sự rút chạy\n[02= to seek safety in flight] bỏ chạy thoát thân\n[02= to put the enemy to flight] làm cho kẻ địch bỏ chạy\n[02= to take flight; to betake oneself to flight; to take to flight] bỏ chạy, rút chạy\n- sự bay; chuyến bay\n[02= to take one's flight to; to wing one's flight] bay\n[02= in flight] đang bay\n- sự truy đuổi, sự đuổi bắt\n- đàn (chim... bay)\n[02= a flight of birds] đàn chim bay\n[02= a flight of arrows] một loạt tên bay\n- đường đạn; sự bay vụt (đạn)\n- tầm bay (chim, đạn)\n- sự trôi nhanh (thời gian)\n- sự bay bổng, sự phiêu diêu (trí tưởng tượng)\n- tầng, đợt (cầu thang)\n[02= my room is two flights up] buồng của tôi ở tầng hai\n- loạt (tên, đạn...)\n- trấu (yến mạch)\n- phi đội (của không quân Anh)\n- cuộc thi bắn cung tầm xa; tên dùng trong cuộc thi bắn cung tầm xa ((cũng) [03flight arrow] )\n[04! in the first flight]\n- dẫn đầu, đi đầu\n[01* ngđtừ]\n- bắn (chim) khi đang bay\n- thay đổi hướng đi (của quả bóng crickê)\n[01* nđtừ]\n- bay thành đàn (chim) 
flight computer	- (kỹ) máy điện toán phi hành
flight control [01/'flaitkən'troul/]	[01* dtừ]\n- sự kiểm tra tàu bay; hệ thống kiểm tra trên tàu bay
flight engineer [01/'flait,endʒi:niə/]	[01* dtừ]\n- công trình sư chịu trách nhiệm về máy móc trong máy bay
flight feather [01/'flai'feθə/]	[01* dtừ]\n- lông chim trên cánh hay đuôi giúp cho chim bay
flight formation [01/'flaitfɔ:'mei∫n/]	[01* dtừ]\n- (qsự) sự bay thành đội hình\n- đội hình bay
flight lieutenant [01/flaitlef'tenənt/]	[01* dtừ]\n- trung úy phi công
flight line [01/'flait'lain/]	[01* dtừ]\n- tuyến bay; nơi tàu bay đỗ
flight path [01/'flaitpɑ:θ/]	[01* dtừ]\n- hướng bay
flight shot [01/'flait∫ɔt/]	[01* dtừ]\n- đường đi mũi tên, viên đạn
flight simulator [01/'flait'simju:leitə/]	- (kỹ) bộ mô phỏng phi hành
flight-deck [01/'flaitdek/]	[01* dtừ]\n- buồng điều khiển trên máy bay\n- boong dành cho máy bay trên tàu sân bay
flightiness [01/'flaitinis/]	[01* dtừ]\n- tính hay thay đổi, tính đồng bóng\n- tính bông lông, tính phù phiếm\n- tính gàn, tính dở hơi
flightless [01/'flaitlis/]	[01* ttừ]\n- không bay được
flight-recorder [01/'flait,ri'kɔ:də/]	[01* dtừ]\n- hộp đen trong máy bay
flight-test [01/'flaittest/]	[01* ngđtừ]\n- thử máy bay bằng cách cho bay
flighty [01/'flaiti/]	[01* ttừ]\n- hay thay đổi, đồng bóng\n[02= a flighty character] tính nết hay thay đổi\n- bông lông, phù phiếm\n- gàn, dở hơi
flim-flam [01/'flimflæm/]	[01* dtừ]\n- chuyện vớ vẩn, chuyện tào lao\n- trò gian trá, trò xảo trá\n[01* ngđtừ]\n- (tục) lừa bịp, lừa dối
flimflammer [01/'flimflæmə/]	[01* dtừ]\n- người lừa đảo
flimsily [01/'flimsili/]	[01* phtừ]\n- xem [03flimsy] 
flimsiness [01/'flimzinis/]	[01* dtừ]\n- tính chất mỏng manh, tính chất mỏng mảnh\n- tính chất hời hợt, tính chất nông cạn\n- tính chất tầm thường, tính chất nhỏ mọn
flimsy [01/'flimzi/]	[01* ttừ]\n- mỏng manh, mỏng mảnh\n- hời hợt, nông cạn\n[02= a flimsy excuse] lời cáo lỗi hời hợt; lý do hời hợt\n[02= a flimsy argument] lý lẽ nông cạn\n- tầm thường, nhỏ mọn\n[01* dtừ]\n- giấy mỏng (các phóng viên hay dùng để viết bài)\n- bài viết trên giấy mỏng (của các phóng viên)\n- (lóng) tiền giấy
flinch [01/flint∫/]	[01* ngđtừ]\n- (như) [03flench]\n[01* nđtừ]\n- chùn bước, nao núng\n[02= to flinch from difficulties] chùn bước trước khó khăn\n- do dự, lưỡng lự, ngần ngại
flinders [01/'flindəz/]	[01* dtừ s/n]\n- mảnh vỡ, mảnh vụ\n[02= to break (fly) into flinders] vỡ ra từng mảnh, vỡ tan
fling [01/fliη/]	như [03flung]
flinger [01/'fliηə/]	[01* dtừ]\n- người ném\n- người chế nhạo, người hủy báng
flint [01/flint/]	[01* dtừ]\n- đá lửa; viên đá lửa\n- vật cứng rắn\n[02= a heart of flint] trái tim sắt đá\n[04! to set one's face like a flint]\n- xem [03set]\n[04! to skin (lay) a flint]\n- rán sành ra mỡ, keo cú\n[04! to wring water from a flint]\n- làm những việc kỳ lạ
flint corn [01/'flint'kɔ:n/]	[01* dtừ]\n- ngô đá
flint-dried [01/'flint,draid/]	[01* ttừ]\n- khô rang
flint-glass [01/'flint'glɑ:s/]	[01* dtừ]\n- thuỷ tinh flin
flint-hearted [01/'flint'hɑ:tid/]	[01* ttừ]\n- có trái tim sắt đá
flint-implement [01/'flint,implimənt/]	[01* dtừ]\n- đồ đá; dụng cụ bằng đá
flintiness [01/'flintinis/]	[01* dtừ]\n- tính chất rắn; sự rắn như đá
flint-lock [01/'flintlɔk/]	như [03firelock]
flint-paring [01/'flint,peəriη/]	[01* ttừ]\n- biển lận
flinty [01/'flinti/]	[01* ttừ]\n- bằng đá lửa; có đá lửa\n- như đá lửa; rắn như đá lửa\n- (bóng) cứng rắn; sắt đá\n[02= a flinty heart] trái tim sắt đá
flip [01/flip/]	[01* dtừ]\n- Flíp (bia trộn rượu pha đường hâm nóng)\n[01* dtừ]\n- cái búng\n- cái vụt nhẹ; cú đánh nhẹ mà đau\n- (tục) chuyến bay ngắn\n[01* ngđtừ]\n- búng\n[02= to flip a coin] búng đồng tiền\n[02= to flip somebody's ear] búng tai ai\n- đánh nhẹ\n- quất nhẹ (roi), phẩy (quạt) ; giật giật (mồi câu)\n[01* nđtừ]\n- bật bật ngón tay\n- quất, vụt\n[02= to flip at something with a whip] vụt roi vào cái gì\n[04! to flip up]\n- (Mỹ) tung đồng tiền (xem sấp ngửa để chọn bên trong cuộc thi đấu...) 
flip side [01/'flipsaid/]	[01* dtừ]\n- mặt sau của một đĩa hát
flip-chip	- (kỹ) chíp lật
flip-coil	- (kỹ) lõi lật
flip-flap [01/'flipflæp/]	[01* dtừ]\n- kiểu nhào lộn flicflac\n- pháo hoa flicflac\n- pháo\n- trò chơi ô tô treo
flip-flop [01/'flipflɔps/]	- (kỹ) mạch lật, mạch bấp bênh
flip-flop register	- (kỹ) bộ ghi lật
flippancy [01/'flipənsi/]	[01* dtừ]\n- sự khiếm nhã, sự suồng sã, sự chớt nhã\n- (Mỹ) sự hỗn láo, sự xấc xược
flippant [01/flippant/]	[01* ttừ]\n- thiếu nghiêm trang, khiếm nhã, suồng sã, chớt nhã\n- (Mỹ) hỗn láo, xấc xược
flippantly [01/'flipəntli/]	[01* phtừ]\n- khiếm nhã, cợt nhã\n- xấc láo, láo xược
flipper [01/'flipə/]	[01* dtừ]\n- (động vật) chân chèo (chi trước hoặc chi sau của động vật ở nước, biến đổi thích nghi để bơi lội, như chân rùa, chân chó biển...)\n- (lóng) bàn tay
flipperty-flopperty [01/'flipəti'flɔpəti/]	[01* ttừ]\n- lõng thõng
flippy [01/'flipi/]	[01* dtừ]\n- (tin học) địa flippy (đĩa mềm hai mặt dùng trong ổ đĩa một mặt) 
