ganglion [01/'gæηgliən/]	như [03ganglia]
ganglionated [01/'gængliəneitid/]	[01* ttừ]\n- kết hạch
ganglioneural [01/'gæηgliə'njuərɔn/]	[01* ttừ]\n- thuộc hạch thần kinh
ganglioneuron [01/'gæηgliə'njuərɔn/]	[01* dtừ]\n- hạch thần kinh
ganglionic [01/gæηgli'ɔnik/]	[01* ttừ]\n- thuộc hạch
ganglioplexus [01/'gæηgliə'pleksəs/]	[01* dtừ]\n- (phẫu) hạch tán toả
gangplank [01/'gæηplæηk/]	như [03gang-board]
gang-plank [01/'gæηplæηk/]	như [03gang-board]
gang-rape [01/'gæηreip/]	- xem [03gang-bang] 
gangrel [01/'gæηgrəl/]	[01* dtừ]\n- người lang thang
gangrene [01/'gæηgri:n/]	[01* dtừ]\n- bệnh thối hoại\n[01* ngđtừ]\n- làm mắc bệnh thối hoại\n[01* nđtừ]\n- mắc bệnh thối hoại
gangrenous [01/'gæηgrinəs/]	[01* ttừ]\n- (thuộc) bệnh thối hoại
gangster [01/'gæηstə/]	[01* dtừ]\n- kẻ cướp, găngxtơ
gangue [01/gæη/]	[01* dtừ]\n- đất phế bỏ sau khi đã sàng lọc để lấy quặng
gangway [01/'gæηwei/]	[01* dtừ]\n- lối đi giữa các hàng ghế\n- lối đi chéo dẫn đến các hàng ghế sau (nghị viện Anh)\n- (hàng hải) cầu tàu\n- (hàng hải) đường từ mũi tàu đến lái (trên sân tàu)\n[04! above gangway]\n- dính líu chặt chẽ với chính sách của đảng mình\n[04! below gangway]\n- ít dính líu với chính sách của đảng mình\n[01* thán từ]\n- tránh ra cho tôi nhờ một tí
ganister [01/'gænistə/]	[01* dtừ]\n- gannister\n- ganiste (sét chịu lửa chứa nhiều silic) 
ganja [01/'gænʤə/]	[01* dtừ]\n- như [03cannabis]
gannet [01/'gænit/]	[01* dtừ]\n- (động vật) chim điên
ganoid [01/'gænɔid/]	[01* ttừ]\n- có vảy láng (cá)\n- (thuộc) liên bộ cá vảy láng\n[01* dtừ]\n- (động vật) cá vảy láng
gantlet [01/'gæntlit/]	[01* dtừ]\n- xem [03gauntlet] 
gantry [01/'gæntri/]	[01* dtừ]\n- giá gỗ kê thùng\n- (kỹ) giàn cần cẩu\n- (ngành đường sắt) giàn tín hiệu (bắc cao qua đường sắt) 
Gantt chart	- (kỹ) biểu đồ Gantt
gaol [01/dʒeil/]	[01* dtừ]\n- nhà tù, nhà giam; sự bỏ tù\n[02= to be sent to gaol] bị vào tù\n[01* ngđtừ]\n- bỏ tù, tống giam
gaol delivery [01/'dʒeildi'livəri/]	[01* dtừ]\n- sự đem xử hàng loạt tù nhần để làm rộng chỗ nhà giam
gaol-bird [01/dʤeil/]	[01* dtừ]\n- người tù; người tù ra tù vào\n- quân lưu manh, quân vô lại
gaolbird [01/'dʒeil'bə:d/]	- Cách viết khác : [03jailbird]
gaol-book [01/'dʒeilbuk/]	[01* dtừ]\n- sổ tù
gaolbreak [01/'dʒeilbreik/]	[01* dtừ]\n- sự trốn khỏi nơi giam giữ, cuộc vượt ngục
gaol-delivery [01/dʤeildi,livəri/]	[01* dtừ]\n- sự đem xử hàng loạt để làm rộng chỗ nhà giam
gaoler [01/'dʒeilə/]	[01* dtừ]\n- cai ngục, cai tù
gap [01/gæp/]	[01* dtừ]\n- lỗ hổng, kẽ hở\n[02= a gap in the hedge] lỗ hổng ở hàng rào\n- chỗ trống, chỗ gián đoạn, chỗ thiếu sót\n[02= a gap in a conversation] chỗ gián đoạn trong câu chuyện\n[02= a gap in one's knowledge] chỗ thiếu sót trong kiến thức, lỗ hổng trong kiến thức\n- đèo (núi)\n- (qsự) chỗ bị chọc thủng (trên trận tuyến)\n- (kỹ) khe hở, độ hở\n- (hàng không) khoảng cách giữa hai tầng cánh (máy bay)\n- sự khác nhau lớn (giữa ý kiến...)\n[04! to fill (stop, supply) a gap]\n- lấp chỗ trống, lấp chỗ thiếu sót
gap length	- (kỹ) độ dài khoảng hở, độ dài khe
gap reluctance	- (kỹ) từ trở khe
gape [01/geip/]	[01* dtừ]\n- cái ngáp\n[02= the gapes] bệnh ngáp (của gà) ;(đùa) cơn ngáp\n- sự há hốc miệng ra mà nhìn, sự há hốc miệng ngạc nhiên\n- sự há rộng miệng\n[01* nđtừ]\n- ngáp\n- há to miệng ra (con số...; vết thương...)\n- (+[04 at]) há hốc miệng ra mà nhìn\n[02= to gape at something] há hốc miệng ra mà nhìn cái gì\n- (+[04 for, after]) ao ước, khao khát, tha thiết muốn\n[02= to gape for (after) something] khao khát cái gì
gaper [01/'geipə/]	[01* dtừ]\n- người hay ngáp\n- người hay đi lang thang; người vô công rỗi nghề
gape-seed [01/'geipsi:d/]	[01* dtừ]\n-(đùa) sự há hốc miệng ra mà nhìn\n- cái làm cho người ta há hốc miệng ra mà nhìn; dịp để há hốc miệng ra mà nhìn
gapped	[01* ttừ]\n- có kẽ; có khe
gapping [01/'gæpiη/]	[01* dtừ]\n- sự tạo khe hở
gappy [01/'gæpi/]	[01* ttừ]\n- có nhiều lỗ hổng, có nhiều kẽ hở
gap-toothed [01/'gæptu:θt/]	[01* ttừ]\n- có răng thưa
gar [01/ga:/]	như [03sea-pike]
garage [01/'gærɑ:ʒ/]	[01* dtừ]\n- ga ra, nhà để ô tô\n- chỗ chữa ô tô\n[01* ngđtừ]\n- cho (ô tô) vào ga ra
