ablaut [01/'æblaut/]	[01* dtừ]\n- (ngôn) Aplau
ablaze [01/ə'bleiz/]	[01* ttừ & phtừ]\n- rực cháy, bốc cháy\n- sáng chói lọi\n- bừng bừng, rừng rực\n[02= ablaze with anger] bừng bừng nổi giận
able [01/'eibl/]	[01* ttừ]\n- có năng lực, có tài\n[02= an able co-op manager] một chủ nhiệm hợp tác xã có năng lực\n[02= an able writer] một nhà văn có tài\n[02= to be able to] có thể\n[02= to be able to do something] có thể làm được việc gì\n- (pháp lý) có đủ tư cách, có đủ thẩm quyền
able seaman	[01* dtừ]\n- (vt là AB) thủy thủ hạng nhất
ablebodied [01/'eibl'bɔdid/]	- xem [03able-bodied] 
able-bodied [01/'eibl'bɔdid/]	[01* ttừ]\n- khoẻ mạnh; đủ tiêu chuẩn sức khoẻ (làm nghĩa vụ quân sự)\n[02= able-bodied seaman] ((vt) A.B.) thuỷ thủ hạng nhất
ablegate [01/æb'ligeit/]	[01* dtừ]\n- đại sứ giáo hoàng
ablen [01/'æblin/]	như [03ablet]
ableness [01/'eiblnis/]	[01* dtừ]\n- năng lực, tài năng\n- sự cường tráng
ablepsia [01/ə'blepsiə/]	[01* dtừ]\n- tật mù; chứng mù
ablet [01/'æblit/]	[01* dtừ]\n- (động vật) cá aplet, cá vảy bạc (họ cá chép) 
ablings [01/'eibliηz/]	[01* phtừ]\n- (Ê-cốt) có lẽ, có thể
ablins [01/'eiblinz/]	như [03ablings]
abloom [01/ə'blu:m/]	[01* ttừ & phtừ]\n- đang nở (ra) hoa
abluent [01/'æbluənt/]	[01* ttừ]\n- rửa sạch, tẩy sạch\n[01* dtừ]\n- chất tẩy, thuốc tẩy
ablush [01/ə'blʌ∫/]	[01* ttừ & phtừ]\n- thẹn đỏ mặt
ablution [01/ə'blu:∫n/]	[01* dtừ, (thường) số nhiều]\n- (tôn giáo) lễ rửa tội; lễ tắm gội; lễ rửa sạch các đồ thờ\n- (tôn giáo) nước tắm gội; nước rửa đồ thờ\n- ((thường) số nhiều) sự tắm gội, sự rửa ráy
ablutionary	- xem [03ablution] 
ably [01/'eibli/]	[01* phtừ]\n- có khả năng, có tài, khéo léo, tài tình
abm [01/,ei bi: 'em/]	- (vt của [03anti-ballistic missile] ) tên lửa chống tên lửa đạn đạo
abnegate [01/'æbnigeit/]	[01* ngđtừ]\n- nhịn (cái gì)\n- bỏ (đạo)\n- từ bỏ (quyền lợi...) ; từ chối không nhận (đặc quyền...) 
abnegation [01/,æbni'gei∫n/]	[01* dtừ]\n- sự bỏ (đạo...) ; sự từ bỏ (quyền lợi) ; sự từ chối không nhận (đặc quyền...)\n- sự quên mình, sự hy sinh, sự xả thân ((thường) [02self abnegation]) 
abnegator	- xem [03abnegate] 
abnormal [01/æb'nɔ:məl/]	[01* ttừ]\n- không bình thường, khác thường; dị thường\n-(kỹ) bất thường, dị thường; không chuẩn
abnormal end (ABEND)	như [03abnormal end (ABEND)]
abnormal end (ABEND)	- (kỹ) kết thúc bất thường
abnormal end of task	- (kỹ) kết thúc bất thường (một) nhiệm vụ
abnormal end of transmission	- (kỹ) kết thúc truyền bất thường
abnormal function	- (kỹ) chức năng/hàm số bất thường
abnormal propagation	- (kỹ) truyền lan bất thường
abnormal reflection	- (kỹ) phản xạ bất thường
abnormal refraction	- (kỹ) khúc xạ bất thường
abnormal return address	- (kỹ) địa chỉ hồi báo bất thường
abnormal status	- (kỹ) trạng thái bất thường
abnormal termination	- (kỹ) cắt dứt bất thường
abnormalcy [01/æb'nɔ:məlsi/]	[01* dtừ]\n- sự không bình thường, sự khác thường; sự dị thường\n- vật kỳ quái, quái vật
abnormality [01/,æbnɔ:'mæliti/]	như [03abnormalcy]
abnormally [01/æb'nɔ:məli/]	[01* phtừ]\n- dị thường, khác thường
abnormity [01/æb'nɔ:miti/]	như [03abnormalcy]
abo [01/'æbəʊ/]	[01* dtừ]\n- thổ dân (Uc, lóng, sỉ nhục) 
abo system [01/'eibi:ou 'sitəm/]	- hệ thống các kháng nguyên để xem máu thuộc nhóm nào trong bốn nhóm A, B, AB hay O
aboard [01/ə'bɔ:d/]	[01* phtừ]\n- trên tàu, trên boong tàu, trên thuyền, trên xe lửa; trên máy bay\n[02= to go aboard] lên tàu, lên boong\n- dọc theo; gần, kế\n[02= close (hard) aboard] nằm kế sát\n[02= to keep the land aboard] đi dọc theo bờ\n[02= all aboard!] đề nghị mọi người lên tàu!\n[02= to fall aboard of a ship] va phải một chiếc tàu khác\n[01* gtừ]\n- lên trên (tàu thuỷ, xe lửa, máy bay...)\n[02= to go aboard a ship] lên tàu\n[02= to travel aboard a special train] đi du lịch trên một chuyến xe lửa đặc biệt
abode [01/ə'boud/]	[01* dtừ]\n- nơi ở\n[02= to take up (make) one's abode] ở\n[02= of no fixed abode] không có chỗ ở nhất định\n- sự ở lại, sự lưu lại\n[01* thời quá khứ & động tính từ quá khứ của] [03abide] 
abohm	- (kỹ) abôm (1 abôm = 10 lũy thừa -9 ôm) 
aboil [01/ə'bɔil/]	[01* ttừ & phtừ]\n- đang sôi
