anencephalous [01/ænin'sefələs/]	[01* ttừ]\n- không não
anencephaly [01/,æninsefəli, æninkefəli/]	[01* dtừ]\n- sự sinh ra thiếu một phần não
anent [01/ə'nent/]	[01* gtừ]\n- (cổ),(Ê-cốt) về, liên quan với, quan hệ với
anenterous [01/ə'nentərəs/]	[01* ttừ]\n- không ruột
anergia [01/'ænədʒiə/]	[01* dtừ]\n- cũng [03anergy]\n- tính không dị ứng
aneroid [01/'ænərɔid/]	[01* dtừ]\n- cái đo khí áp hộp ((cũng) [03aneroid barometer] ) 
anesthesia [01/,ænis'θi:zjə/]	[01* dtừ]\n- sự mất cảm giác\n- (y) sự gây mê, sự gây tê
anesthetic [01/,ænis'θetik/]	như [03anaesthetic]
anesthetically	- xem [03anesthetic] 
anesthetist [01/ə'ni:sθətist/]	[01* dtừ]\n- <y> người gây mê
anesthetization [01/ə,ni:sθətai'zei∫n/]	- sự làm mất cảm giác\n- <y> sự gây tê, sự gây mê
anesthetize [01/ə'ni:sθətaiz/]	[01* ngđtừ]\n- làm mất cảm giác\n- <y> gây tê, gây mê
anestrum [01/ə'ni:strəm/]	như [03anoestrous]
anethum [01/'æniθʌm/]	như [03fennel]
aneuploid [01/'ænjuplɔid/]	[01* ttừ]\n- (sinh học) thuộc số bội không chỉnh\n[01* dtừ]\n- thể bội không chỉnh
aneuploidy [01/'ænjuplɔidi/]	[01* dtừ]\n- (sinh học) tính bội không chỉnh
aneurine [01/'ænjuri:n/]	[01* dtừ]\n- cũng [03aneurin]\n- (dược) Aneurin, vitamin B 1
aneurism [01/'ænjuərizm/]	[01* dtừ]\n- (y) chứng phình mạch\n- sự phình to khác thường
aneurismal [01/,ænjuə'risməl/]	như [03aneurysmal]
aneuronic [01/ænju'rɔnik/]	[01* ttừ]\n- không nơ ron; không phân bố thần kinh
aneurysm [01/'ænjuərizm/]	như [03aneurism]
aneurysmal [01/,ænjuə'risməl/]	[01* ttừ]\n- (y)(thuộc) chứng phình mạch
aneusomaly [01/,ænju'souməli/]	[01* dtừ]\n- (sinh học) tinh thể không chỉnh
aneuspore [01/'ænju,spɔ/]	[01* dtừ]\n- (sinh học) bào tử không hoàn toàn
anew [01/ə'nju:/]	[01* phtừ]\n- lại, một lần nữa; lại nữa; bằng cách khác\n[02= to begin anew] bắt đầu lại
anfractuosity [01/,ænfræktju'ɔsiti/]	[01* dtừ]\n- tình trạng quanh co khúc khuỷu; chỗ khúc khuỷu, chỗ quanh co\n- ((thường) số nhiều) đường quanh co, đường khúc khuỷu\n- tình trạng rắc rối, phức tạp
anfractuous [01/æn'fræktjuəs/]	[01* ttừ]\n- quanh co, khúc khuỷu\n- rắc rối, phức tạp
angary [01/'æηgəri/]	[01* dtừ]\n- (pháp lý) quyền sử hoại (quyền sung công hoặc triệt phá có bồi thường tài sản của một nước trung lập nằm trên đất một nước có chiến tranh) 
angel [01/'eindʒəl/]	[01* dtừ]\n- thiên thần, thiên sứ\n[02= the angel of death] thiên thần báo tử\n[02= the angel of darkness] ác ma, ác quỷ\n[02= guardian angel] thần hộ mệnh\n- người phúc hậu, người hiền lành, người đáng yêu; người ngây thơ trong trắng\n- (lóng) người xuất vốn cho kẻ khác\n- tiền cổ bằng vàng (ở Anh)((cũng) [03angel noble] )\n[04! to be someone's good angel]\n- che chở phù hô cho ai\n[04! to entertain an angel mawares]\n- tiếp đãi một nhân vật quan trọng mà không biết\n[04! to join the angels]\n- (Mỹ) về nơi cực lạc, chết\n[04! ministering angels fear to tread]\n- lao đầu vào một việc mạo hiểm một cách ngu xuẩn và quá tự tin
angel cake [01/'eindʒəl,keik/]	[01* dtừ]\n- bánh ngọt nhẹ xốp
angel fish [01/'eindʒəl,fi∫/]	[01* dtừ]\n- cá có vây như cánh
angel-fish	[01* dtừ]\n- (động vật) cá nhám dẹt
angelic [01/æn'dʒelik/]	như [03angelical]
angelica [01/æn'dʒelikə/]	[01* dtừ]\n- (thực vật) cây bạch chỉ
angelical [01/æn'dʒəlikəl/]	[01* ttừ]\n- (thuộc) thiên thần; giống thiên thần; siêu nhân
angelically [01/æn'dʒelikəli/]	[01* phtừ]\n- tốt đẹp, phúc hậu như thiên thần
angelology [01/,eindʒə'lɔlədʒi/]	[01* dtừ]\n- thiên sử học
angels-on-horseback [01/'eindʒəlzɔn'hɔ:sbæk/]	[01* dtừ]\n- món sò bọc thịt mỡ
angelus [01/'ændʒiləs/]	[01* dtừ]\n- (tôn giáo) kinh đức bà\n- hồi chuông cầu kinh đức bà
anger [01/'æηgə/]	[01* dtừ]\n- sự tức giận, sự giận dữ; mối giận\n[02= fit of anger] cơn tức giận\n[02= to provoke someone to anger] chọc tức ai\n[01* ngđtừ]\n- chọc tức, làm tức giận
