grittily	- xem [03gritty] 
grittiness [01/'gritinis/]	[01* dtừ]\n- tình trạng có sạn\n- (Mỹ) tính cứng cỏi, tính bạo dạn, tính gan góc
gritty [01/'griti/]	[01* ttừ]\n- có sạn\n- (Mỹ) cứng cỏi, bạo dạn, gan góc
grizzle [01/'grizl/]	[01* nđtừ]\n- (tục) khóc ti tỉ, khóc sốt ruột lên (trẻ con) 
grizzled [01/'grizld/]	[01* ttừ]\n- hoa râm (tóc) 
grizzly [01/'grizli/]	[01* ttừ]\n- lốm đốm hoa râm (tóc)\n- xám\n[02= grizzly bear] gấu xám (Bắc-Mỹ)\n[01* dtừ]\n- gấu xám (Bắc-Mỹ) 
groan [01/groun/]	[01* dtừ]\n- sự rên rỉ; tiếng rên rỉ\n- tiếng lầm bầm (chê bai, phản đối...)\n[02= the groans o, disapproval] tiếng lầm bầm phản đối\n[01* nđtừ]\n- rên rỉ, kêu rên (vì đau đớn thất vọng...)\n[02= to groan in pain] rên rỉ vì đau đớn\n[02= to groan under (beneath, with) the yoke of the exploiters] rên siết dưới ách của bọn bóc lột\n- trĩu xuống, võng xuống; kĩu kịt (vì chở nặng)\n[02= shelf groans with books] giá chất đầy sách nặng trĩu xuống\n[02= the cart groaned under the load] chiếc xe kĩu kịt vì chở nặng\n[04! to groan down]\n- lầm bầm phản đối (ai...) bắt im đi\n[02= to groan down a speaker] lầm bầm phản đối một diễn giả không cho nói tiếp nữa\n[04! to groan for]\n- mong mỏi, khao khát (cái gì)\n[04! to groan out]\n- rên rỉ kể lể (điều gì) 
groaner	như [03groaningly]
groaning [01/grouniη/]	[01* ttừ]\n- rên rỉ\n- lẩm bẩm
groaningly	- xem [03groan] 
groat [01/grout/]	[01* dtừ]\n- (sử học) đồng bốn xu (bằng bạc)\n- số tiền nhỏ mọn\n[02= without a groat in one's pocket] không một xu dính túi\n[04! I don't care a groat]\n- tớ cóc cần
groats [01/grouts/]	[01* dtừ s/n]\n- gạo lứt ((thường) yến mạch) 
grobian [01/'groubiən/]	như [03cudden]
grocer [01/'grousə/]	[01* dtừ]\n- người bán tạp phẩm (gia vị, chè, đường, cà phê, đồ hộp...)\n[04! grocer's itch]\n- bệnh eczêma
groceries [01/'grousəriz/]	[01* dtừ s/n]\n- hàng tạp phẩm
grocery [01/'grousəri/]	[01* dtừ]\n- việc buôn bán tạp phẩm\n- cửa hàng tạp phẩm\n- (số nhiều) hàng tạp hoá và thực phẩm phụ
groceteria [01/,grousə'teəriə/]	[01* dtừ]\n- hiệu ăn tự mình phục vụ
grog [01/grɔg/]	[01* dtừ]\n- Grôc (rượu nặng pha nước)\n[01* nđtừ]\n- uống grôc\n[01* ngđtừ]\n- pha grôc\n- tráng (súc)(thùng rượu) bằng nước sôi (để lấy hết rượu) 
grog-blossom [01/'grɔg,blɔsəm/]	[01* dtừ]\n- mũi đỏ (vì uống nhiều rượu) 
groggery [01/'grɔgəri/]	như [03grog-shop]
groggily [01/'grɔgili/]	[01* phtừ]\n- chếnh choáng, lảo đảo
grogginess [01/'grɔginis/]	[01* dtừ]\n- tình trạng say lảo đảo\n- sự nghiêng ngả\n- sự chệnh choạng
groggy [01/'grɔgi/]	[01* ttừ]\n- say lảo đảo\n- nghiêng ngả, không vững (đồ vật)\n- đứng không vững, chệnh choạng (vì mới đậy, vì thiếu ngủ...)\n- yếu đầu gối (ngựa) 
grog-shop [01/'grɔg∫ɔp/]	[01* dtừ]\n- quán bán grôc\n- quán rượu
groin [01/grɔin/]	[01* dtừ]\n- háng\n- (kiến trúc) vòm nhọn\n[01* ngđtừ]\n- (kiến trúc) xây vòm nhọn cho
groined [01/'grɔind/]	[01* ttừ]\n- thành vòm nhọn
groining [01/'grɔiniη/]	[01* dtừ]\n- (kiến trúc) việc xây dựng vòm nhọn\n- lời than vãn, rên rỉ
gromet [01/'grʌmit/]	[01* dtừ]\n- (hàng hải) vòng dây (thừng, chão)((Mỹ) gromet, grommet) 
grommet [01/'grɔmit/]	như [03gromet]
groom [01/grum/]	[01* dtừ]\n- người giữ ngựa\n- quan hầu (trong hoàng gia Anh)\n- chú rể ((vt) của [03bridegroom] )\n[01* ngđtừ]\n- chải lông (cho ngựa)\n- ((thường) động tính từ quá khứ) ăn mặc tề chỉnh chải chuốt\n[02= to be well groomed] ăn mặc tề chỉnh chải chuốt\n[02= to be badly groomed] ăn mặc lôi thôi nhếch nhác\n- (tục) chuẩn bị (cho người nào bước vào nghề gì)\n[02= to groom someone for stardom] chuẩn bị cho ai trở thành diễn viên điện ảnh
groomer	- xem [03groom] 
groomsman [01/'grumzmæn/]	[01* dtừ]\n- phù rể
groove [01/gru:v/]	[01* dtừ]\n- đường xoi, đường rânh (đục trên tấm ván; trên đĩa hát...), đường rạch khía (trong nòng súng...)\n- nếp sông đều đều, thói quen, thói cũ, đường mòn\n[02= to get into a groove] sống theo nếp sống đều đều; theo thói cũ, theo vết xe cũ\n[02= to move (run) in a groove] chạy đều đều, cứ tiến hành đều đều theo con đường mòn không thay đổi\n[04! in the groove]\n- (Mỹ),(tục) trơn tru, thông đồng, bén gót\n[01* ngđtừ]\n- xoi rãnh, khía cạnh\n[02= a mountain side grooved by the torrents] sườn núi bị những thác nước xói thành khe\n[02= to groove a board] bào xoi một tấm ván
grooveability [01/gru:vei'biliti/]	[01* dtừ]\n- (kỹ) tính chịu gấp uốn
grooved [01/'gru:vd/]	[01* ttừ]\n- có dạng khe\n- được soi rãnh\n- có ngấn
groove-fruited [01/'gru:v,fru:tid/]	[01* ttừ]\n- có quả khía rãnh
groove-nerved [01/'gru:v,nə:vd/]	[01* ttừ]\n- có gân xẻ rãnh
groover [01/'gru:və/]	[01* dtừ]\n- cái bào rãnh
groove-toothed [01/'gru:və,tu:d/]	[01* ttừ]\n- có răng khía rãnh
grooviness	- xem [03groovy] 
grooving [01/'gru:viη/]	[01* dtừ]\n- sự bào rãnh, soi rãnh, đào rãnh
groovy [01/'gru:vi/]	[01* ttừ]\n- hấp dẫn do cách ăn mặc hợp thời trang
grope [01/group/]	[01* đtừ]\n- (+ [04for, after]) sờ soạng tìm\n- dò dẫm, mò mẫm\n[02= to grope one's way in the dark] dò dẫm đường trong đêm tối
groper [01/'groupə/]	[01* dtừ]\n- (động vật) cá mú
gropingly [01/'groupiηli/]	[01* phtừ]\n- sờ soạng, lần mò; dò dẫm, mò mẫm
gros	- lớn, thô; toàn bộ, grôt\n- by the g. đại lượng\n- great g. grôt nhỏ\n- small g. grôt nhỏ|
grosbeak [01/'grousbi:k/]	như [03hawfinch]
grosgrain [01/'grous,grein/]	[01* dtừ]\n- lụa sọc ngang; băng lụa sọc
gross [01/grous/]	[01* dtừ, s/n không đổi]\n- mười hai tá, gốt ((cũng) [03small gross] )\n[02= great gross] 144 tá\n[04! by the gross]\n- gộp cả, tính tổng quát, nói chung\n[01* ttừ]\n- to béo, phì nộm, béo phị (người)\n[02= gross habit of body] thân hình to béo phì nộm\n- thô và béo ngậy (thức ăn)\n[02= a gross feeder] người thích những món ăn thô và béo ngậy; cây ăn tốn màu\n- nặng, kho ngửi (mùi)\n- thô tục, tục tĩu, bẩn tưởi, gớm guốc\n[02= gross language] lối ăn nói tục tĩu\n- thô bạo, trắng trợn; hiển nhiên, sờ sờ\n[02= a gross injustice] sự bất công thô bạo\n[02= a gross mistake] một lỗi lầm hiển nhiên\n- không tinh, không thính (giác quan...) ; không sành, thô thiển\n- rậm rạp, um tùm (cây cối)\n- toàn bộ, tổng\n[02= gross value] tổng giá trị\n[01* ngđtừ]\n- (Mỹ) thu nhập tổng số
gross anatomy [01/'grousə'nætəmi/]	[01* dtừ]\n-(y) giải phẫu học vĩ mô
Gross Domestic Product [01/'grousdou'mestik'prɔdʌkt/]	[01* dtừ]\n-, viết tắt là GDP tổng sản lượng nội địa
