imamate [01/i'mɑ:mit/]	[01* dtừ]\n- (tôn giáo) chức thầy tế (Hồi giáo)\n- chức Imam (Hồi giáo) 
imaret [01/i'ma:ret/]	[01* dtừ]\n- quán ăn hoặc nhà trọ cho khách vãng lai ở Thổ Nhĩ Kỳ
imbalance [01/im'bæləns/]	[01* dtừ]\n- sự không cân bằng; sự thiếu cân bằng\n- (sinh vật) sự thiếu phối hợp (giữa các cơ hoặc các tuyến) 
imbalanced	- xem [03imbalance] 
imbark [01/im'bɑ:k/]	[01* đtừ]\n- (Mỹ)(như) [03embark] 
imbecile [01/'imbisi:l/]	[01* ttừ]\n- khờ dại, đần\n[02= an imbecile fellow] một người đần\n- (hiếm) yếu (về sức khoẻ)\n[01* dtừ]\n- người khờ dại, người đần
imbecilely	- xem [03imbecile] 
imbecilic [01/,imbi'silik/]	[01* ttừ]\n- (thuộc) người khờ dại, (thuộc) người đần\n- ngu xuẩn\n[02= an imbecilic idea] một ý nghĩ ngu xuẩn
imbecility [01/,imbi'siliti/]	[01* dtừ]\n- tính khờ dại, tính ngu đần\n- hành động khờ dại; lời nói khờ dại\n- (hiếm) sự yếu sức khoẻ
imbed [01/im'bed/]	[01* ngđtừ]\n- ấn vào, đóng vào, gắn vào\n- ghi vào (trí nhớ)\n[02= that day is embedded for ever in my recollection] ngày đó mâi mâi được ghi vào trong ký ức của tôi, tôi mâi mâi nhớ ngày hôm đó\n- ôm lấy, bao lấy
imbedded	- bị nhúng, được nhúng\n- wildly i. (tô pô) bị nhúng thô
imbedding	- phép nhúng, sự nhúng\n- full i. nhúng đầy đủ\n- invariant i. (tô pô) nhúng bất biến; (xác suất) ; (vật lí) sự đặt bất biến
imbibe [01/im'baib/]	[01* ngđtừ]\n- uống, nốc; hít (không khí...)\n- hút (hơi ẩm)\n- hấp thụ, tiêm nhiễm\n[02= to imbibe new ideas] hấp thụ những ý tưởng mới\n[01* nđtừ]\n- (Mỹ) uống
imbiber [01/im'baibə/]	[01* dtừ]\n- (Mỹ) người uống
imbibition [01/,imbi'bi∫n/]	[01* dtừ]\n- sự uống; sự hít\n- sự hút (hơi ẩm)\n- sự hấp thụ, sự tiêm nhiễm
imbibitional [01/,imbi'bi∫ənl/]	[01* ttừ]\n- (thuộc) sự uống; (thuộc) sự hít\n- (thuộc) sự hút (hơi ẩm)\n- (thuộc) sự hấp thụ, (thuộc) sự tiêm nhiễm
imbitter [01/im'bitə/]	[01* dtừ]\n- (Mỹ)(như) [03embitter] 
imbody [01/im'bɔdi/]	[01* ngđtừ]\n- (Mỹ)(như) [03embody] 
imbosom [01/im'buzəm/]	[01* ngđtừ]\n- (Mỹ)(như) [03embosom] 
imbower [01/im'bauə/]	[01* ngđtừ]\n- (Mỹ)(như) [03embower] 
imbricate [01/'imbrikit/]	[01* đtừ]\n- xếp đè lên nhau, xếp gối lên nhau (như lợp ngói)\n[01* ttừ]\n- xếp đè lên nhau, xếp gối lên nhau\n- (sinh vật) lợp
imbrication [01/,imbri'kei∫n/]	[01* dtừ]\n- sự xếp đè lên nhau, sự xếp gối lên nhau (như lợp ngói)\n- (kiến trúc) hình trang trí kiểu xếp gối lên nhau
imbricative [01/'imbrikeitiv/]	[01* ttừ]\n- theo kiểu xếp đè lên nhau, theo kiểu xếp gối lên nhau (như lợp ngói)\n- (kiến trúc) hình trang trí kiểu xếp gối lên nhau
imbroglio [01/im'brouliou/]	[01* dtừ] s/n [03imbroglios]\n- tình trạng hỗn độn (về chính trị...)\n- sự hiểu lầm rắc rối; tình trạng rắc rối phức tạp (trong một vở kịch)\n- đống lộn xộn
imbrown [01/im'braun/]	[01* ngđtừ]\n- xem [03to embrown] 
imbrue [01/im'bru:/]	[01* ngđtừ] ((cũng) [03imbue with] )\n- vấy, nhuộm (máu)\n[02= a flag imbrued with enemy blood] một lá cờ nhuộm máu quân thù\n- nhúng\n[02= to imbrue one's hand in blood] nhúng tay vào máu\n- (Mỹ)(bóng) thấm nhuần, nhiễm đầy\n[02= to be imbrued with Marxism-Leninism] thấm nhuần tư tưởng Mác-ÃLênin
imbruement [01/im'bru:mənt/]	[01* dtừ] ((cũng) [03imbuement] )\n- sự vấy, sự nhuộm (máu)\n- sự nhúng\n- sự thấm nhuần, sự nhiễm đầy
imbrute [01/im'bru:t/]	[01* ngđtừ]\n- làm thành tàn ác; làm thành hung bạo
imbrutement [01/im'bru:tmənt/]	[01* dtừ]\n- sự làm thành tàn ác; sự làm thành hung bạo
imbue [01/im'bju:/]	[01* ngđtừ (+ with)]\n- thấm đẫm (hơi ẩm...)\n- nhuộm\n- (như) [03imbrue] 
imbuement [01/im'bju:mənt/]	[01* dtừ]\n- sự thấm đẫm\n- sự nhuộm\n- (như) [03imbruement] 
imexplorable [01/,iniks'plɔ:rəbl/]	[01* ttừ]\n- không thể thăm dò, không thể thám hiểm được\n- (y) không thể thông dò được\n- không thể khảo sát tỉ mỉ được
imf [01/,ai em 'ef/]	[01* (vt)]\n- Qũy tiền tệ quốc tế ([03International Monetary Fund]) 
imidazole [01/,imid'æzoul/]	[01* dtừ]\n- (hoá) nhóm imiđo
imide [01/'imaid/]	[01* dtừ]\n- (hoá) imit
imidic [01/i'midik/]	[01* ttừ]\n- (hoá) thuộc imit
imitability [01/,imitə'biliti/]	[01* dtừ]\n- tính có thể bắt chước được; tính có thể mô phỏng được
imitable [01/'imitəbl/]	[01* ttừ]\n- có thể bắt chước được; có thể mô phỏng được
imitableness [01/'imitəblnis/]	như [03imitability]
imitate [01/'imiteit/]	[01* ngđtừ]\n- theo gương, noi gương\n[02= to imitate the virtues of great men] theo gương đạo đức của những người vĩ đại\n- bắt chước, làm theo; mô phỏng, phỏng mẫu\n[02= parrots imitate human speech] vẹt bắt chước tiếng người\n- làm giả\n[02= to imitate diamonds] làm giả kim cương
imitation [01/,imi'tei∫n/]	[01* dtừ]\n- sự noi gương\n- sự bắt chước; vật bắt chước, vật mô phỏng, vật phỏng mẫu\n- đồ giả\n- (âm nhạc) sự phỏng mẫu\n- (định ngữ) giả\n[02= imitation leather] da giả
imitational [01/,imi'tei∫ənl/]	[01* ttừ]\n- (thuộc) sự noi gương\n- (thuộc) sự bắt chước
imitative [01/'imitətiv/]	[01* ttừ]\n- bắt chước, mô phỏng, phỏng mẫu; hay bắt chước\n[02= to be as imitative as a monkey] hay bắt chước như khỉ\n- giả\n- (ngôn) tượng thanh\n[02= imitative word] từ tượng thanh
imitatively	- xem [03imitative] 
imitativeness [01/'imitətivnis/]	[01* dtừ]\n- tính hay bắt chước
imitator [01/'imiteitə/]	[01* dtừ]\n- người hay bắt chước; thú hay bắt chước\n- người làm đồ giả
immaculacy [01/i'mækjuləsi/]	như [03immaculateness]
immaculate [01/i'mækjulit/]	[01* ttừ]\n- tinh khiết, trong trắng, không vết\n- (thường)(mỉa mai) không chê vào đâu được, không có khuyết điểm nào, không có sai lầm gì\n- (sinh vật) không có đốm, không có vết\n[04! immaculate Conception]\n- (tôn giáo) sự thụ thai tinh khiết (Đức bà Ma-ri) 
immaculately	- xem [03immaculate] 
immaculateness [01/i'mækjulitnis/]	[01* dtừ]\n- sự tinh khiết, sự trong trắng
immanence [01/'imənəns/]	như [03immanency]
immanency [01/'imənənsi/]	[01* dtừ]\n- (triết học) tính nội tại
immanent [01/'imənənt/]	[01* ttừ]\n- (triết học)\n- nội tại\n- (tôn giáo) ở khắp nơi (Chúa) 
immanently	- xem [03immanent] 
immaterial [01/,imə'tiəriəl/]	[01* ttừ]\n- vô hình, phi vật chất\n- không quan trọng, vụn vặt\n[02= immaterial details] những chi tiết vụn vặt
immaterialise [01/,imə'tiəriəlaiz/]	[01* ngđtừ]\n- phi vật chất hoá\n- làm cho không quan trọng, tầm thường hoá
immaterialism [01/,imə'tiəriəlizm/]	[01* dtừ]\n- thuyết phi vật chất
immaterialist [01/,imə'tiəriəlist/]	[01* dtừ]\n- người theo thuyết phi vật chất
immateriality [01/,imətiəri'æliti/]	[01* dtừ]\n- tính vô hình, tính phi vật chất\n- sự không quan trọng
immaterialize [01/,imə'tiəriəlaiz/]	như [03immaterialise]
immaterially	- xem [03immaterial] 
immaterialness	như [03immaterially]
immature [01/,imə'tjuə/]	[01* ttừ]\n- non nớt, chưa chín chắn\n[02= the immature minds of children] đầu óc non nớt của trẻ con\n- chưa chín muồi\n[02= the immature social conditions for an uprising] những điều kiện xã hội chưa chín muồi cho một cuộc nổi dậy
immaturely	- xem [03immature] 
immatureness [01/imə'tjuənis/]	[01* dtừ]\n- sự non nớt, sự chưa chín muồi
immaturity [01/,imə'tjuəriti/]	như [03immatureness]
immeasurability [01/i,meʒərə'biliti/]	như [03immeasurableness]
immeasurable [01/i'meʒərəbl/]	[01* ttừ]\n- vô hạn, mênh mông, không thể đo lường được\n[02= the immeasurable love for one's fatherland] lòng yêu tổ quốc vô hạn
immeasurableness [01/i'meʒərəblnis/]	[01* dtừ]\n- tính vô hạn, tính mênh mông, tính không thể đo lường được
immeasurably [01/i'meʒərəbli/]	như [03gigantically]
immediacy [01/i'mi:diəsi/]	như [03immediateness]
immediate [01/i'mi:djət/]	[01* ttừ]\n- trực tiếp\n[02= an immediate cause] nguyên nhân trực tiếp\n- lập tức, tức thì, ngay, trước mắt\n[02= an immediate answer] câu trả lời lập tức\n[02= an immediate task] nhiệm vụ trước mắt\n- gần gũi, gần nhất, sát cạnh\n[02= my immediate neighbour] ông bạn láng giềng sát vách của tôi
immediate annuity [01/i'mi:djətə'nju:iti/]	[01* dtừ]\n- tiền trả từng năm; tiền trả từng tháng (cho người bảo hiểm) 
immediate constituent [01/i'mi:djət kən'stitjuənd/]	[01* dtừ]\n-(ngôn ngữ) những thành tố trực tiếp\n[02= subject and predicate are the immediate constituents of a setence] chủ ngữ và vị ngữ là những thành tố trực tiếp của một cầu
immediately [01/i'mi:djətli/]	[01* phtừ]\n- ngay lập tức, tức thì\n- trực tiếp
immediateness [01/i'mi:djətnis/]	[01* dtừ]\n- sự trực tiếp\n- sự lập tức, sự tức thì\n- sự gần gũi
immediatism [01/i'mi:djətizm/]	[01* dtừ]\n- (Mỹ),(sử học) chính sách giải phóng ngay nô lệ
immediatist [01/i'mi:djətist/]	[01* dtừ]\n- (Mỹ),(sử học) người chủ trương giải phóng ngay nô lệ
immedicable [01/i'medikəbl/]	[01* ttừ]\n- (nói về bệnh tật) không chữa khỏi được, nan y
immedicacble [01/i'medikəbl/]	[01* ttừ]\n- không chữa khỏi được (bệnh...) 
immemorial [01/,imi'mɔ:riəl/]	[01* ttừ]\n- xa xưa, thượng cổ\n[02= from time immemorial] từ thời thượng cổ, từ ngàn xưa
immemorially	- xem [03immemorial] 
immennsurability [01/i,men∫urə'biliti/]	[01* dtừ]\n- tính không thể đo lường được
immense [01/i'mens/]	[01* ttừ]\n- mênh mông, bao la, rộng lớn\n- (lóng) rất tốt, rất cừ, chiến lắm
immensely [01/i'mensli/]	[01* phtừ]\n- rất, hết sức\n- (tục) rất nhiều
immenseness [01/i'mensnis/]	[01* dtừ]\n- sự mênh mông, sự bao la, sự rộng lớn
immensity [01/i'mensiti/]	như [03immenseness]
immensurability [01/i,menʃurə'biliti/]	như [03immennsurability]
immensurable [01/i'men∫urəbl/]	[01* ttừ]\n- không thể đo lường được
immensurableness [01/i'men∫urəblnis/]	như [03immennsurability]
immerge [01/i'mə:dʒ/]	[01* nđtừ]\n- chìm xuống\n- biến vào (trong cái gì)\n[01* ngđtừ]\n- (hiếm) nhận chìm
immergence [01/i'mə:dʒəns/]	[01* dtừ]\n- sự chìm xuống\n- sự biến vào (trong cái gì) 
immerse [01/i'mə:s/]	[01* ngđtừ]\n- nhúng, nhận chìm, ngâm\n- ngâm (mình) vào nước để rửa tội\n- chôn vào, chôn vùi\n- mắc vào, đắm chìm vào, ngập vào, mải mê vào\n[02= to be immersed in debt] mắc nợ đìa\n[02= to be immersed in thought] trầm ngâm suy nghĩ, mải suy nghĩ
immersed [01/'iməst/]	[01* ttừ]\n- (cây cối) mọc hoàn toàn dưới nước
immersible [01/i'mə:sibl/]	[01* ttừ]\n- có thể nhận chìm xuống nước
immersion [01/i'mə:∫n/]	[01* dtừ]\n- sự nhúng, sự nhận chìm, sự ngâm nước\n- sự ngâm mình vào nước để rửa tội\n- (bóng) sự đắm chìm vào, sự ngập vào, sự mải mê vào (công việc, suy nghĩ...)\n- (thiên văn) sự chìm bóng (biến vào bóng của một hành tinh khác) 
immersion heater [01/i'mə:∫n'hi:tə/]	[01* dtừ]\n- que đun nước (nhận chìm xuống nước) 
immesh [01/i'me∫/]	[01* ngđtừ]\n- xem [03emmesh] 
immigrant [01/'imigrənt/]	[01* ttừ]\n- nhập cư (dân...)\n[01* dtừ]\n- dân nhập cư
immigrate [01/'imigreit/]	[01* nđtừ]\n- nhập cư\n[01* ngđtừ]\n- cho nhập cư
immigration [01/,imi'grei∫n/]	[01* dtừ]\n- sự nhập cư\n- tổng số người nhập cư (trong một thời gian nhất định) 
immigration control [01/,imi'grei∫n kən'troul/]	[01* dtừ]\n- trạm kiểm soát nhập cảnh
imminence [01/'iminəns/]	như [03imminency]
imminency [01/'iminənsi/]	[01* dtừ]\n- tình trạng sắp xảy ra\n- điều sắp xảy ra, điều nhất định sẽ đến
imminent [01/'iminənt/]	[01* ttừ]\n- sắp xảy ra, (xảy ra) đến nơi\n[02= a storm is imminent] có bâo đến nơi rồi\n[02= to be faced with imminent death] sắp chết đến nơi
imminently [01/'iminəntli/]	[01* phtừ]\n- sắp xảy ra
imminentness	- xem [03imminent] 
immingle [01/i'miηgl/]	[01* ngđtừ]\n- trộn, trộn lẫn
immiscibility [01/i,misi'biliti/]	[01* dtừ]\n- tính không trộn lẫn được
immiscible [01/i'misibl/]	[01* ttừ]\n- không trộn lẫn được
immiscibly	- xem [03immiscible] 
immitigability [01/i,mitigə'biliti/]	[01* dtừ]\n- tính không thể nguôi được, tính không thể dịu đi được
immitigable [01/i'mitigəbl/]	[01* ttừ]\n- không thể nguôi, không thể dịu đi\n[02= immitigable sorrow] nỗi buồn không thể nguôi\n[02= situation remains immitigable] tình hình vẫn không dịu đi
immitigableness	như [03immitigably]
immitigably	- xem [03immitigable] 
immittance [01/'imitəns/]	[01* dtừ]\n- mạch điện vào
immix [01/i'miks/]	[01* ngđtừ]\n- trộn vào, lẫn vào
immixture [01/i'mikst∫ə/]	[01* dtừ]\n- sự pha trộn\n- (+[04 in]) sự liên quan, sự liên luỵ, sự dính líu (vào việc gì) 
immobile [01/i'moubail/]	[01* ttừ]\n- đứng yên, không nhúc nhích, bất động
immobilisation [01/i,moubilai'zei∫n/]	như [03immobilization]
immobilise [01/i'moubilaiz/]	như [03immobilize]
immobility [01/,imou'biliti/]	[01* dtừ]\n- sự bất động
immobilization [01/i,moubilai'zei∫n/]	[01* dtừ]\n- sự cố định, sự giữ cố định; sự làm bất động\n- sự không di chuyển được; sự không nhúc nhích được (của quân đội, xe cộ...)\n- sự thu hồi không cho lưu hành (tiền...) 
immobilize [01/i'moubilaiz/]	[01* ngđtừ]\n- giữ cố định; làm bất động\n- làm không di chuyển được; làm không nhúc nhích được (của quân đội, xe cộ...)\n- thu hồi không cho lưu hành (tiền...) 
immobilizer	- xem [03immobilize] 
immoderate [01/i'mɔdərit/]	[01* ttừ]\n- quá độ, thái quá\n[02= immoderate drinking and eating] sự chè chén quá độ
immoderately [01/i'mɔdəritli/]	[01* phtừ]\n- quá độ, thái quá
immoderateness [01/i'mɔdəritnis/]	[01* dtừ]\n- sự quá độ, sự thái quá; sự không có điều độ
immoderation [01/i,mɔdə'rei∫n/]	như [03immoderateness]
immodest [01/i'mɔdist/]	[01* ttừ]\n- khiếm nhâ, bất lịch sự; không đứng đắn, không đoan trang\n[02= immodest remarks] những lời nhận xét bất lịch sự\n- vô liêm sỉ, không biết xấu hổ, trơ trẽn, trơ tráo
immodestly [01/i'mɔdistli/]	[01* phtừ]\n- khiếm nhã, vô liêm sỉ
immodesty [01/i'mɔdisti/]	[01* dtừ]\n- tính khiếm nhâ, tính bất lịch sự; tính không đứng đắn, tính không đoan trang\n- tính vô liêm sỉ, tính trơ trẽn, tính trơ tráo
immolate [01/'imouleit/]	[01* ngđtừ]\n- giết (súc vật) để cúng tế\n- cúng tế\n- (bóng) hy sinh (cái gì cho cái gì) 
immolation [01/,imou'lei∫n/]	[01* dtừ]\n- sự giết súc vật để cúng tế\n- (bóng) sự hy sinh (cái gì cho cái gì) 
immolator [01/'imouleitə/]	[01* ttừ]\n- người giết súc vật để cúng tế\n- (bóng) người hy sinh (cái gì cho cái gì) 
immoral [01/i'mɔrəl/]	[01* dtừ]\n- trái đạo đức, trái luân lý; đồi bại\n[02= immoral conduct] tư cách đạo đức đồi bại\n- xấu xa, phóng đãng
immoralise [01/i'mɔrəlaiz/]	như [03immoralize]
immoralism [01/i'mɔrəlizm/]	[01* dtừ]\n- (triết học) thuyết phi đạo đức
immoralist [01/i'mɔrəlist/]	[01* dtừ]\n- (triết học) người theo thuyết phi đạo đức
immorality [01/,imə'ræliti/]	[01* dtừ]\n- sự trái đạo đức, sự trái luân lý; sự đồi bại\n- sự phóng đâng; hành vi đồi bại xấu xa, hành vi phóng đãng
immoralize [01/i'mɔrəlaiz/]	[01* ngđtừ]\n- phi đạo đức hoá
immorally [01/i'mɔrəli/]	[01* phtừ]\n- đồi bại, trái với luân thường đạo lý, vô luân
immortal [01/i'mɔ:tl/]	[01* ttừ]\n- bất tử, bất diệt, bất hủ, sống mãi\n[02= an immortal poem] bài thơ bất hủ\n[01* dtừ]\n- người bất tử, nhà văn bất tử, nhà thơ bất tử\n- viện sĩ (viện hàn lâm khoa học Pháp)\n- (số nhiều) những vị thần bất tử\n- (số nhiều)(sử học) đội cận vệ hoàng gia (Ba tư) 
immortal hand [01/i'mɔ:tl'hænd/]	[01* dtừ]\n- (lóng) những con bài tốt nhất (bài pôke) 
immortalisation [01/i,mɔ:təlai'zei∫n/]	[01* dtừ]\n- sự làm thành bất tử, sự làm cho bất diệt, sự làm thành bất hủ, sự làm lưu danh muôn thuở
immortalise [01/i'mɔ:təlaiz/]	như [03immortalize]
immortality [01/,imɔ:'tæliti/]	[01* dtừ]\n- tính bất tử, tính bất diệt, tính bất hủ, sự sống mãi\n- danh tiếng đời đời, danh tiếng muôn thuở
immortalization [01/i,mɔ:təlai'zei∫n/]	như [03immortalisation]
immortalize [01/i'mɔ:təlaiz/]	[01* ngđtừ]\n- làm thành bất tử, làm cho bất diệt, làm thành bất hủ, làm cho sống mãi; làm lưu danh muôn thuở
immortally [01/i'mɔ:tli/]	[01* phtừ]\n- bất tử, bất diệt, bất hủ, sống mâi, đời đời\n- (tục) vô cùng, hết sức
immortelle [01/,imɔ:'tel/]	[01* dtừ]\n- (thực vật) cây cúc trường sinh
immortile [01/i'mɔ:'tel/]	[01* ttừ]\n- không di động được, không chuyển động được
immovability [01/i,mu:və'biliti/]	[01* dtừ]\n- tính không chuyển động được, tính không xê dịch được; tính bất động\n- tính bất di bất dịch, tính không thay đổi (lập trường...)\n- tính không lay chuyển được; tính không xúc động
immovable [01/i'mu:vəbl/]	[01* ttừ]\n- không chuyển động được, không xê dịch được; bất động\n- bất di bất dịch, không thay đổi\n[02= an immovable stand] lập trường bất di bất dịch\n- không lay chuyển được; không xúc động\n- (pháp lý) bất động (tài sản)\n[01* dtừ, (thường) số nhiều]\n- (pháp lý) của bất động, bất động sản
immovableness [01/i'mu:vəblnis/]	như [03immovability]
immovably [01/i'mu:vəbli/]	[01* phtừ]\n- bất di bất dịch, bất động
immune [01/i'mju:n/]	[01* ttừ]\n- miễn khỏi, được miễn (cái gì)\n[02= to be immune from draft] được miễn tòng quân\n[02= to be immune from smallpox] miễn dịch, chống bệnh đậu mùa\n[01* dtừ]\n- (y) người được miễn dịch
immune body [01/i'mju:n'bɔdi/]	như [03antibody]
immune response [01/i'mju:n ri'spɔns/]	[01* dtừ]\n- phản ứng của cơ thể chống lại chất lạ vào người
immune serum [01/i'mju:n'siərəm/]	[01* dtừ]\n- (y) huyết thanh miễn dịch
immunisation [01/,imju:nai'zei∫n/]	[01* dtừ]\n- <y> sự tạo miễn dịch, sự chủng ngừa
immunise [01/'imju:naiz/]	như [03immunize]
immunity [01/i'mju:niti/]	[01* dtừ]\n- sự miễn, sự được miễm\n[02= immunity from taxation] sự được miễm thuế\n- (y) sự miễm dịch
immunization [01/,imju:nai'zei∫n/]	[01* dtừ]\n- (y) sự tạo miễm dịch
immunize [01/'imju:naiz/]	[01* ngđtừ]\n- gây miễn dịch\n- (Mỹ) làm mất hiệu lực, làm mất tác hại\n[02= to immunize a time-bomb] làm mất tác hại một quả bom nổ chậm; tháo kíp một quả bom nổ chậm
immunizer [01/'imju:naizə/]	[01* dtừ]\n- người gây miễn dịch\n- (Mỹ) người làm mất hiệu lực, người làm mất tác hại
immunoadsorbent [01/,imju:nouəd'zɔ:bənt/]	[01* dtừ]\n- chất ngoại hấp miễn dịch
immunochemistry [01/,imju:nou'kemistri/]	[01* dtừ]\n- hoá học của hệ thống miễn dịch
immunogen [01/i'mju:noudʒen/]	[01* dtừ]\n- chất kháng nguyên
immunoglobulin [01/imju:nou'glɔbulin/]	[01* dtừ]\n- globulin miễn dịch
immunohaematology [01/,imju:nouhi:mə'tɔlədʒi/]	[01* dtừ]\n- miễn dịch học máu
immunologic [01/,imju:nə'lɔdʒik/]	[01* ttừ]\n- (y)(thuộc) miễn dịch học
immunological [01/,imju:nə'lɔdʒikəl/]	như [03immunologic]
immunologically	- xem [03immunology] 
immunologist [01/,imju:'nɔlədʒist/]	[01* dtừ]\n- (y) nhà nghiên cứu miễn dịch
immunology [01/,imju:'nɔlədʒi/]	[01* dtừ]\n- (y) môn nghiên cứu miễn dịch, miễn dịch học
immure [01/i'mjuə/]	[01* ngđtừ]\n- cầm tù, giam hãm\n[02= to immure oneself] xa lánh mọi người sống đơn độc, giam mình trong bốn bức tường\n- xây vào trong tường, chôn vào trong tường; vây tường xung quanh
immurement [01/i'mjuəmənt/]	[01* dtừ]\n- sự giam cầm, sự giam hãm\n- sự xây vào trong tường, sự chôn vào trong tường; sự xây tường xung quanh
immusical [01/i'mju:zikəl/]	[01* ttừ]\n- không có tính chất nhạc, không du dương\n[02= unmusical sound] âm thanh không du dương\n- không thích nhạc; không biết thưởng thức nhạc
immutability [01/i,mju:tə'biliti/]	như [03immutableness]
immutable [01/i'mju:təbl/]	[01* ttừ]\n- không thay đổi, không biến đổi; không thể thay đổi được, không thể biến đổi được
immutableness [01/i'mju:təblnis/]	[01* dtừ]\n- tính không thay đổi, tính không biến đổi; tính không thể thay đổi được, tính không thể biến đổi được
immutably [01/i'mju:təbli/]	[01* phtừ]\n- bất biến, bất di bất dịch
imno	- Trong các hội nghị trực tuyến, đây là những ký tự vt của [03In My Humbbe Opinion] 
imo	[01* (vt)]\n- Tổ chức hàng hải quốc tế ([03International Maritime Organization])
imp [01/imp/]	[01* dtừ]\n- tiểu yêu, tiểu quỷ\n- đứa trẻ tinh quái\n- (cổ) đứa trẻ con\n[01* ngđtừ]\n- chắp lông, cấy lông (cho cánh chim ưng bị gãy)\n- (Mỹ) mở rộng, thêm vào; sửa chữa
impact [01/'impækt/]	[01* dtừ]\n- sự va chạm, sự chạm mạnh; sức va chạm\n[02= head-on impact] (lý) sự va chạm trực diện\n[02= back impact] (lý) sự va chạm giật lùi\n- tác động, ảnh hưởng\n[01* ngđtừ]\n- (+[04 in, into]) đóng chặt vào, lèn chặt vào, nêm chặt vào\n- va mạnh vào, chạm mạnh vào\n[01* nđtừ]\n- va mạnh, chạm mạnh\n- tác động mạnh (đen & bóng) 
impacted [01/im'pæktid/]	[01* ttừ]\n- lèn chặt, nêm chặt\n- chật ních
impactful [01/impactful/]	[01* ttừ]\n- tác động mạnh mẽ
impaction [01/im'pæk∫n/]	[01* dtừ]\n- sự đóng chặt vào, sự lèn chặt vào, sự nêm chặt vào\n- sự va mạnh, sự chạm mạnh\n- sự tác động mạnh
impactive [01/im'pæktiv/]	[01* ttừ]\n- do va mạnh, do chạm mạnh\n- do tác động mạnh
impair [01/im'peə/]	[01* ngđtừ]\n- làm suy yếu, làm sút kém\n[02= to impair someone's health] làm suy yếu sức khoẻ ai\n- làm hư hỏng, làm hư hại
impairable [01/im'peərəbl/]	[01* ttừ]\n- có thể bị suy yếu, có thể bị làm sút kém\n- có thể làm cho hư hỏng, có thể bị hư hại
impairer [01/im'peərə/]	[01* dtừ]\n- người làm suy yếu, người làm sút kém\n- người làm hư hỏng, người làm hư hại
impairment [01/im'peəmənt/]	[01* dtừ]\n- sự làm suy yếu, sự làm sút kém; sự suy yếu, sự sút kém\n- sự làm hư hỏng, sự làm hư hại; sự hư hỏng, sự hư hại
impala [01/im'pɑ:lə/]	[01* dtừ]\n- (động vật) linh dương Châu phi
impale [01/im'peil/]	như [03empale]
impalement [01/im'peilmənt/]	[01* dtừ]\n- sự đâm qua, sự xiên qua\n- sự đóng cọc xiên qua (người...)(một lối hình phạt xưa)\n- (hiếm) sự rào bằng cọc
impaler [01/im'peilə/]	[01* dtừ]\n- người xiên qua
impalpability [01/im,pælpə'biliti/]	[01* dtừ]\n- tính khó sờ thấy\n- tính khó nhận thức được, tính khó cảm thấy
