infester	- xem [03infest] 
infeudation [01/,infju:'dei∫n/]	[01* dtừ (sử học)]\n- sự cấp thái ấp\n- chiếu cấp thái ấp
infibulation [01/in,fibju'lei∫n/]	[01* dtừ]\n- cái bịt bộ phận sinh dục của nữ để ngăn không cho giao hợp
infidel [01/'infidəl/]	[01* ttừ]\n- (tôn giáo) không theo đạo\n[01* dtừ]\n- người không theo đạo\n- người không tin đạo Hồi, người không tin đạo Do-thái\n- (sử học) người theo đạo chống lại đạo Thiên chúa
infidelity [01/,infi'deliti/]	[01* dtừ]\n- sự không trung thành, sự bội tín\n- sự không chung thuỷ (trong đạo vợ chồng)((cũng) [03conjugal infidelity] )\n- sự không theo đạo; sự không tin đạo Thiên chúa
infield [01/'infi:ld/]	[01* dtừ]\n- đất trồng trọt gần nhà; đất trồng trọt\n- (thể thao) khoảng đất gần cửa thành (crickê) 
infielder [01/'infi:ldə/]	[01* dtừ]\n- (thể thao) người đứng chặn bóng trong sân
infighter	- xem [03infighting] 
infighting [01/'infaitiη/]	[01* dtừ]\n- sự đánh giáp lá cà (quyền Anh)\n- (Mỹ) sự đấu tranh bí mật nội bộ\n- (Mỹ) sự ấu đả
infill [01/'infil/]	[01* dtừ]\n- sự trám bít chỗ hở\n- vật liệu trám bít chỗ hở
infilling [01/'in,filiη/]	[01* dtừ]\n- vật liệu để trát kẽ hở
infiltrate [01/'infiltreit/]	[01* đtừ]\n- rỉ qua\n- xâm nhập\n- (y) thâm nhiễm
infiltration [01/,infil'trei∫n/]	[01* dtừ]\n- sự rỉ qua; vật rỉ qua\n- (qsự) ; (chính trị) sự xâm nhập từng tốp\n- (Mỹ),(qsự) sự chuyển vận (quân và xe cộ) từng tốp (để tránh máy bay địch)\n- (y) sự thâm nhiễm
infiltrative	- xem [03infiltration] 
infiltrator [01/'infiltreitə/]	[01* dtừ]\n- người xâm nhập
infimum	- cận dưới đúng
infinite [01/'infinit/]	[01* ttừ]\n- không bờ bến, vô tận; vô vàn (infinite dtừ s/n) không đếm được, hằng hà sa số\n- (toán) vô hạn\n[01* dtừ]\n- cái không có bờ bến\n- (toán) lượng vô hạn\n- (the infinite) không trung\n- (the infinite) Thượng đế
infinite series [01/'infinit'siəri:z/]	[01* dtừ]\n- (toán) chuỗi vô hạn
infinitely [01/'infinitli/]	[01* phtừ]\n- vô vàn, vô cùng, rất nhiều
infiniteness [01/'infinitnis/]	[01* dtừ]\n- tính không bờ bến, tính vô tận; tính vô hạn; tính vô cùng
infinitesimal [01/,infini'tesiməl/]	[01* ttừ]\n- rất nhỏ, nhỏ vô cùng\n- (toán) vi phân\n[02= infinitesimal geometry] hình học vi phân\n[02= infinitesimal transformation] biến đổi vi phân\n[01* dtừ]\n- số lượng rất nhỏ, số lượng nhỏ vô cùng\n- (toán) vi phân
infinitesimality [01/'infini,tesi'mæliti/]	như [03infinitesimalness]
infinitesimally [01/,infini'tesiməli/]	[01* phtừ]\n- li ti, tí xíu
infinitesimalness [01/,infini'tesiməlnis/]	[01* dtừ]\n- tính chất rất nhỏ, tính chất vô cùng nhỏ
infinitival [01/in,fini'taivəl/]	[01* ttừ]\n- (ngôn) vô định, ở lối vô định
infinitive [01/in'finitiv/]	[01* ttừ]\n- (ngôn) vô định\n[01* dtừ]\n- (ngôn) lối vô định
infinitize [01/in'finitaiz/]	[01* ngđtừ]\n- làm cho không có bờ bến, làm thành vô tận
infinitude [01/in'finitju:d/]	[01* dtừ] ((cũng) [03infinity] )\n- tính không bờ bến, tính vô tận\n- số lượng vô cùng lớn; quy mô vô cùng lớn
infinity [01/in'finiti/]	[01* dtừ]\n- (như) [03infinitude]\n- (toán) vô cực, vô tận\n[04! to infinity]\n- vô cùng, vô tận
infirm [01/in'fə:m/]	[01* ttừ]\n- yếu đuối, ốm yếu, hom hem\n- yếu ớt; nhu nhược, không cương quyết\n- không kiên định
infirmarian [01/,infə:'mæriən/]	[01* dtừ]\n- y tá (cơ sở tôn giáo) 
infirmary [01/in'fə:məri/]	[01* dtừ]\n- bệnh xá; bệnh viện, nhà thương
infirmity [01/in'fə:miti/]	[01* dtừ]\n- tính chất yếu đuối, tính chất ốm yếu, tính chất hom hem\n- tính chất yếu ớt; tính nhu nhược, tính không cương quyết\n- tính không kiên định
infirmly	- xem [03infirm] 
infirmness [01/in'fə:mnis/]	như [03infirmity]
infix [01/'infiks/]	[01* dtừ]\n- (ngôn) trung tố\n[01* ngđtừ]\n- gắn (cái gì vào cái gì)\n- in sâu, khắc sâu (vào trí óc...)\n- (ngôn) thêm trung tố
inflame [01/in'fleim/]	[01* ngđtừ]\n- đốt, châm lửa vào\n- khích động mạnh\n- làm nóng bừng, làm đỏ bừng\n- (y) làm viêm, làm sưng tấy\n[01* nđtừ]\n- cháy\n- bị khích động mạnh\n- nóng bừng, đỏ bừng\n- (y) viêm, sưng tấy
