intercepter [01/,intə'septə/]	như [03interceptor]
interception [01/,intə'sep∫n/]	[01* dtừ]\n- sự chắn, sự chặn\n- tình trạng bị chắn, tình trạng bị chặn\n- (qsự) sự đánh chặn\n- (qsự) sự nghe đài đối phương
interceptive [01/,intə'septiv/]	[01* ttừ]\n- để chắn, để chặn
interceptor [01/,intə'septə/]	[01* dtừ]\n- người chặn, cái chắn\n- (qsự), không máy bay đánh chặn (để chặn máy bay địch) 
intercession [01/,intə'se∫n/]	[01* dtừ]\n- sự can thiệp giúp (ai), sự xin giùm, sự nói giùm\n- sự làm môi giới, sự làm trung gian (để hoà giải...)\n- sự cầu nguyện hộ
intercessional [01/,intə'se∫ənl/]	[01* ttừ]\n- (thuộc) sự can thiệp giúp (ai),(thuộc) sự xin giùm, (thuộc) sự nói giùm\n- (thuộc) sự làm môi giới, (thuộc) sự làm trung gian (để hoà giải...)\n- (thuộc) sự cầu nguyện hộ
intercessor [01/,intə'sesə/]	[01* dtừ]\n- người can thiệp giúp, người xin giùm, người nói giùm\n- người làm môi giới, người làm trung gian (để hoà giải...) 
intercessory [01/,intə'sesəri/]	[01* ttừ]\n- có tác dụng can thiệp giúp (ai), giùm\n- có nhiệm vụ cầu nguyện hộ
interchange [01/,intə't∫eindʒ/]	[01* dtừ]\n- sự trao đổi lẫn nhau, sự thay thế lẫn nhau\n- sự đổi chỗ cho nhau\n- sự xen kẽ nhau\n- (Mỹ) ngã ba có đường hầm và cầu chui\n[01* ngđtừ]\n- trao đổi lẫn nhau, thay thế lẫn nhau\n- đổi chỗ cho nhau\n- xen kẽ nhau\n[02= to interchange work with amusement] xen kẽ làm việc với giải trí\n[01* nđtừ]\n- xảy ra lần lượt, xảy ra theo lượt; xen kẽ\n- thay thế nhau\n- đổi chỗ cho nhau
interchangeability [01/'intə,t∫eindʒə'biliti/]	[01* dtừ]\n- tính có thể thay cho nhau\n- tính có thể thay thế, tính có thể đổi chỗ với vật khác
interchangeable [01/,intə't∫eindʒəbl/]	[01* ttừ]\n- có thể thay cho nhau\n- đổi lẫn được
interchangeableness [01/,intə't∫eindʒəblnis/]	như [03interchangeability]
interchangeably [01/,intə't∫eindʒəbli/]	[01* phtừ]\n- có thể thay cho nhau, có thể hoán đổi nhau
interchanger	- xem [03interchange] 
interchangexbility	- (tin) tính đổi lẫn được (giữa các bộ phận trong máy) ;\n- tính hoán vị được
interchurch [01/,intə't∫ə:t∫/]	[01* ttừ]\n- chung vào các giáo phái; giữa các giáo phái
