license [01/'laisəns/]	như [03licence]
license plate [01/'laisənspleit/]	[01* dtừ]\n- bảng đăng ký (xe ô tô...) 
licensed victualler [01/'laisenst'vitlə/]	[01* dtừ]\n- người bán thực phẩm và rượu có môn bài
licensee [01/,laisən'si:/]	[01* dtừ]\n- người được cấp giấy phép, người được cấp môn bài, người được cấp đăng ký
licenser [01/'laisənsə/]	[01* dtừ]\n- người cấp giấy phép, người cấp môn bài, người cấp đăng ký
licensing laws [01/'laisənsiη,lɔ:z/]	[01* dtừ s/n]\n- luật nói rượu có thể bán khi nào, ở đầu và cho ai
licensor [01/'laisənsə/]	như [03licenser]
licentiate [01/lai'sen∫iit/]	[01* dtừ]\n- cử nhân
licentiateship [01/lai'senʃiitʃip/]	[01* dtừ]\n- bằng cử nhân
licentious [01/lai'sen∫əs/]	[01* ttừ]\n- phóng túng, bừa bâi; dâm loạn\n- (hiếm) phóng túng về niêm luật (thơ) ; tuỳ tiện về ngữ pháp
licentiously [01/lai'sen∫əsli/]	[01* phtừ]\n- phóng túng, bừa bãi
licentiousness [01/lai'sen∫əsnis/]	[01* dtừ]\n- sự phóng túng, sự bừa bâi; sự dâm loạn
lich [01/lit∫/]	[01* dtừ]\n- (cổ) thi thể, thi hài, xác
lichee [01/'li:t∫i:/]	[01* dtừ]\n- quả vải\n- cây vải
lichen [01/'laikən/]	[01* dtừ]\n- địa y\n- (y) bệnh liken
lichened [01/'laikend/]	[01* ttừ]\n- có địa y
lichenise [01/'laikənaiz/]	như [03lichenize]
lichenize [01/'laikənaiz/]	[01* ngđtừ]\n- phủ địa y lên
lichenology [01/,laiki'nɔlədʒi/]	[01* dtừ]\n- khoa nghiên cứu địa y
lichenous [01/'laikinəs/]	[01* ttừ]\n- (thuộc) địa y; có địa y; như địa y
lich-gate [01/'lit∫geit/]	[01* dtừ]\n- cổng quàn (ở nghĩa địa) 
lichgate [01/'litʃgeit/]	- cổng vào nghĩa địa (có mái che) 
lich-house [01/'lit∫haus/]	[01* dtừ]\n- nhà quàn
lich-owl [01/'lit∫aul/]	[01* dtừ]\n- (động vật) con c
licit [01/'lisit/]	[01* ttừ]\n- đúng luật, hợp pháp
