lock-gate [01/'lɔk'geit/]	như [03water-gate]
lock-hole [01/'lɔk,houl/]	[01* dtừ]\n- lỗ khoá
locking [01/'lɔking/]	[01* dtừ]\n- sự khoá, chốt\n- sự điều khiển cửa âu
lock-jaw [01/'lɔkdʒɔ:/]	[01* dtừ]\n- (y) chứng khít hàm
lock-keeper [01/'lɔk,ki:pə/]	như [03locksman]
lockless [01/'lɔklis/]	[01* ttừ]\n- không có khoá\n- không có cửa âu
lock-maker [01/'lɔk, meikə/]	như [03locksmith]
lock-master [01/'lɔk,ma:stə/]	[01* dtừ]\n- người quản lý cửa âu
lock-nut [01/'lɔk'nʌt/]	[01* dtừ]\n- (kỹ) ốc hãm
lockout [01/'lɔkaut/]	- (ktế) Sự đóng cửa gây áp lực (đối với công nhân) .
lock-out [01/'lɔkaut/]	[01* dtừ]\n- sự đóng cửa làm áp lực (đóng cửa nhà máy không cho công nhân vào làm để làm áp lực) 
locksman [01/'lɔksmæn/]	[01* dtừ]\n- người coi cửa cống
locksmith [01/'lɔksmiθ/]	[01* dtừ]\n- thợ khoá
locksmithery [01/'lɔksmiθəri/]	như [03locksmithing]
locksmithing [01/'lɔksmiθiη/]	[01* dtừ]\n- nghề thợ khoá
lock-stitch [01/'lɔk'stit∫/]	[01* dtừ]\n- mũi khâu chằng
lock-up [01/'lɔkʌp/]	[01* dtừ]\n- sự đóng cửa; giờ đóng cửa\n- nhà giam, bóp cảnh sát\n- sự không rút được vốn đầu tư ra; vốn chết
locky [01/'lɔki/]	[01* ttừ]\n- thành cụm; thành bó
loco [01/'loukou/]	[01* dtừ]\n- (vt) của [03locomotive]\n- (thực vật) đậu ván dại\n[01* ttừ]\n- (Mỹ),(lóng) điên rồ, điên cuồng, rồ dại
loco citato [01/'loukousi'teitou/]	[01* phtừ]\n- ở chỗ dẫn trên kia
loco disease [01/'loukou di'zi:z/]	[01* dtừ]\n- bệnh gia súc vì ăn đậu ván dại
locomobile [01/,loukə'moubi:l/]	[01* dtừ]\n- (kỹ) máy hơi di động\n[01* ttừ]\n- có thể di động được
locomobility [01/,loukəmou'biliti/]	[01* dtừ]\n- tính di động được
locomote [01/'loukəmout/]	[01* nđtừ]\n- di động, di chuyển, dời chỗ, vận động
locomotion [01/,loukə'mou∫n/]	[01* dtừ]\n- sự di động, sự vận động
locomotive [01/'loukəmoutiv/]	[01* dtừ]\n- đầu máy (xe lửa)\n[01* ttừ]\n- di động\n-(đùa) hay đi đây đi đó\n[02= in our locomotive time] trong cái thời đại hay đi đây đi đó này\n[02= a locomotive oerson] người hay đi đây đi đó
locomotiveness [01/'loukəmoutivnis/]	như [03locomotivity]
locomotivity [01/,loukəmou'tiviti/]	[01* dtừ]\n- cơ năng động
locomotor [01/,loukəmoutə/]	[01* dtừ]\n- người vận động; vậy di động\n[01* ttừ]\n- di động, vận động
locomotor ataxia [01/'loukə,moutə ə'tæksi-ə/]	[01* dtừ]\n-(y) chứng rối loạn trong sự vận động
locoplant [01/'loukou,plænt/]	[01* dtừ]\n- (thực vật) cây phong thảo
locular [01/'lɔkjulə/]	[01* ttừ]\n- (thực vật) có ngăn
loculate [01/'lɔkjuleit/]	như [03loculated]
loculated [01/'lɔkjuleitid/]	[01* ttừ]\n- (thực vật) chia ngăn
loculicidal [01/,lɔkjuli'saidl/]	[01* ttừ]\n- (thực vật) chẻ ngăn
loculose [01/'lɔkjulous/]	- Cách viết khác : [03loculous]
loculus [01/'lɔkjuləs/]	[01* dtừ] s/n [03loculi]\n- xem [03locule] 
locum [01/'loukəm/]	[01* dtừ]\n- người thay thế
locum tenens [01/'loukəm'ti:nenz/]	như [03locum]
locus [01/'loukəs/]	[01* dtừ, s/n [03loci] /'lousai/\n- địa điểm, nơi, chỗ\n- (toán) quỹ tích
locus classicus [01/'loukəs'klæsikəs/]	[01* dtừ]\n- đoạn cốt yếu bàn về một đề tài
locus standi [01/'loukəs 'stændai/]	[01* dtừ] s/n [03loci standi]\n- địa vị xác nhận; quyền trình bày trước toà án
locust [01/'loukəst/]	[01* dtừ]\n- con châu chấu\n- người ăn ngấu nghiến; người phá hoại\n- (như) [03locust-tree] 
locust years [01/'loukəst jə:z/]	[01* dtừ s/n]\n- những năm gian nan
locust-tree [01/'loukəsttri:/]	[01* dtừ]\n- (thực vật) cây thích hoè\n- (thực vật) cây bồ kết ba gai
locution [01/lou'kju:∫n/]	[01* dtừ]\n- thành ngữ; đặc ngữ\n- cách phát biểu
locutory [01/'lɔkjutəri/]	[01* dtừ]\n- phòng khách (ở tu viện) 
lode [01/loud/]	[01* dtừ]\n- mạch mỏ\n- rãnh nước; máng dẫn nước
