Man of Sorrows [01/'mænəv'sɔrouz/]	[01* dtừ]\n- Giêxu
man of the cloth [01/'mænəvđə'klɔθ/]	[01* dtừ]\n-(tôn giáo) Giáo sĩ
man of the house [01/'mænəvđə'haus/]	[01* dtừ]\n- đàn ông chủ chốt của gia đình
man of the match [01/,mænɔvđə'mæt∫/]	- cầu thủ xuất sắc
man of the world [01/'mænəvđə'wə:ld/]	[01* dtừ]\n- người thông thạo kinh nghiệm xử thế
man on horseback [01/'mænɔn'hɔ:sbæk/]	[01* dtừ]\n- nhà quân phiệt độc tài tự cho mình là anh hùng cứu nước
manacle [01/'mænəkl/]	[01* dtừ, (thường) số nhiều]\n- khoá tay, xiềng, cùm (đen & bóng)\n[01* ngđtừ]\n- khoá tay lại\n- (bóng) giữ lại, ngăn lại
manage [01/'mænidʒ/]	[01* ngđtừ]\n- quản lý, trông nom\n[02= to manage a bank] quản lý một nhà ngân hàng\n[02= to manage a household] trông nom công việc gia đình\n- chế ngự, kiềm chế; điều khiển, sai khiến, dạy dỗ, dạy bảo\n[02= I cannot manage that horse] tôi không thể nào chế ngự nổi con ngựa kia\n[02= a child very difficult to manage] một đứa trẻ khó dạy (bảo)\n- thoát khỏi, gỡ khỏi; xoay xở được, giải quyết được\n[02= how could you manage that bisiness?] anh làm thế nào để có thể giải quyết được vấn đề ấy?\n- dùng, sử dụng\n[02= how do you manage those levers?] anh sử dụng những cái đòn bẫy này thế nào?\n[02= can you manage another bottle?] anh có thể làm thêm một chai nữa không?\n[01* nđtừ]\n- đạt kết quả, đạt mục đích, xoay sở được, tìm được cách\n[02= he knows how to manage] nó biết cách xoay sở, nó biết cách giải quyết
manageability [01/,mænidʒə'biliti/]	như [03manageableness]
manageable [01/'mænidʒəbl/]	[01* ttừ]\n- có thể quản lý, có thể trông nom\n- có thể điều khiển, có thể sai khiến\n- dễ cầm, dễ dùng, dễ sử dụng
manageableness [01/'mænidʒəblnis/]	[01* dtừ]\n- tính có thể điều khiển, tính có thể sai khiến; tính dễ dạy, tính dễ bảo
manageably [01/'mænidʒəbli/]	[01* phtừ]\n- xem [03manageable] 
management [01/'mænidʒmənt/]	[01* dtừ]\n- sự trông nom, sự quản lý\n- sự điều khiển\n- ban quản lý, ban quản đốc\n- sự khôn khéo, sự khéo xử; mánh lới
management consultant [01/'mænidʒmənt kən'sʌltənt/]	[01* dtừ]\n- cố vấn nghiệp vụ (công ty, hãng buôn) 
manager [01/'mænidʒə/]	[01* dtừ]\n- người quản lý, quản đốc, giám đốc; người trông nom; người nội trợ
manageress [01/'mænidʒəris/]	[01* dtừ]\n- bà quản lý, bà quản đốc, bà giám đốc
managerial [01/,mænə'dʒiəriəl/]	[01* ttừ]\n- (thuộc) người quản lý, (thuộc) giám đốc; (thuộc) ban quản trị
managerialism [01/,mæni'dʒiəriəlizm/]	[01* dtừ]\n- phong cách quản lý; nghệ thuật quản lý
managership [01/,mænidʒə∫ip/]	[01* dtừ]\n- chức quản lý, chức quản đốc, chức giám đốc
managing [01/,mænidʒiη/]	[01* ttừ]\n- trông nom, quản lý\n- khéo trông nom, quản lý giỏi, kinh doanh giỏi\n- cẩn thận, tiết kiệm
managing director [01/,mænidʒiη di'rektə/]	- (ktế) Giám đốc điều hành.
managing editor [01/,mænidʒiη'editə/]	[01* dtừ]\n- chủ bút
man-at-arms [01/,mænət'ɑ:mz/]	[01* dtừ]\n- binh sĩ\n- (sử học) kỵ binh (thời Trung cổ) 
manatee [01/,mænə'ti:/]	[01* dtừ]\n- (động vật) lợn biển
Manchu [01/,mæn't∫u:/]	[01* ttừ]\n- (thuộc) Mãn Châu\n[01* dtừ]\n- Tiếng Mãn-Châu\n- Người Mãn-châu
manciple [01/'mænsipl/]	[01* dtừ]\n- người giữ tiền chợ, người quản lý (ở trường đại học) 
Mancunian [01/mæη'kju:njən/]	[01* ttừ]\n- (thuộc) Măng-sét-tơ\n[01* dtừ]\n- người tỉnh Măng-sét-tơ
-mancy [01/-mənsi/]	- hình thái ghép chỉ sự đoán trước
mandala [01/'mændələ/]	[01* dtừ]\n- hình tròn tượng trưng cho tôn giáo của vũ trụ
mandamus [01/mæn'deiməs/]	[01* dtừ]\n- chỉ thị của toà án cấp cao với toà án cấp dưới
mandarin [01/'mændərin/]	[01* dtừ]\n- quan lại\n- thủ lĩnh lạc hậu (của một chính đảng)\n- búp bê mặc quần áo Trung quốc biết gật\n- tiếng phổ thông (Trung quốc)\n[01* dtừ] [03mandarine] /,mændə'ri:n/\n- quả quít\n- rượu quít\n- màu vỏ quít
Mandarin Chinese [01/'mændərin t∫ai'ni:z/]	[01* dtừ]\n- ngôn ngữ tiêu chuẩn chính thức của Trung quốc; tiếng phổ thông; tiếng quan thoại
mandarin collar [01/'mændərin 'kɔlə/]	[01* dtừ]\n- cổ áo đứng và hẹp
mandarin duck [01/'mændərin'dʌk/]	- vịt Bắc Kinh
mandarin orange [01/'mændərin'ɔrindʒ/]	[01* dtừ]\n-(thực vật) quả quít
mandarinate [01/'mændərineit/]	[01* dtừ]\n- chính thể quan liêu; chính trị quan liêu\n- quan chức, địa vị quan chức
mandarine [01/'mændərin/]	như [03mandarin]
mandatary [01/'mændətəri/]	[01* dtừ]\n- người được uỷ nhiệm, người được uỷ thác\n- nước uỷ trị
mandate [01/'mændeit/]	[01* dtừ]\n- lệnh, trát\n- sự uỷ nhiệm, sự uỷ thác\n- sự uỷ mị\n- chỉ thị, yêu cầu (của người bỏ phiếu đối với nghị viên, cho công đoàn viên đối với người đại diện...) 
mandator [01/'mændeitə/]	[01* dtừ]\n- người ra lệnh\n- người uỷ nhiệm, người uỷ thác
mandatorily [01/'mændətərili/]	[01* phtừ]\n- xem [03mandatory] 
mandatory [01/'mændətəri/]	[01* ttừ]\n- (thuộc) lệnh\n- (thuộc) sự uỷ nhiệm, (thuộc) sự uỷ thác
man-day [01/'mændei/]	[01* dtừ]\n- ngày công (của một người) 
Mandean [01/mæn'di:ən/]	[01* dtừ]\n- tiếng Manđê\n- tín đồ phái Manđê (giáo phái ở írăc) 
man-density [01/'mæn'densiti/]	[01* dtừ]\n- mật độ nhân khẩu
mandible [01/'mændibl/]	như [03under-jaw]
mandibular [01/mæn'dibjulə/]	[01* ttừ]\n- (thuộc) hàm dưới
Mandingo [01/mæn'diηgou/]	[01* dtừ]\n- người Manđingo; tiếng Manđingo (Tây Phi) 
mandolin [01/'mændəlin; mændə'lin/]	như [03mandoline]
mandoline [01/,mændə'li:n/]	[01* dtừ]\n- (âm nhạc) đàn măng-ddô-lin
mandolinist [01/mændə'linist/]	[01* dtừ]\n- người chơi đàn Măng-đô-lin
mandragora [01/mæn'drægərə/]	[01* dtừ]\n- (thực vật) cây khoai ma (họ cà) 
mandrake [01/'mændreik/]	[01* dtừ]\n- một loài cây độc có quả vàng
mandrel [01/'mændrəl/]	như [03mandril]
mandril [01/'mændril/]	[01* dtừ]\n- (kỹ) trục tâm\n- lõi, ruột\n- (ngành mỏ) cuốc chim
mandrill [01/'mændril/]	[01* dtừ]\n- (động vật) khỉ dữ (thuộc giống khỉ đầu chó) 
manducate [01/'mændjukeit/]	như [03masticate]
mane [01/mein/]	[01* dtừ]\n- bờm (ngựa, sư tử)\n- (bóng) tóc bờm (để dài và cộm lên) 
man-eater [01/'mæn,i:tə/]	[01* dtừ]\n- người ăn thịt người, thú ăn thịt người
man-eating [01/'mæn,i:tiη/]	[01* ttừ]\n- ăn thịt người\n- hung ác; tàn ác
maned [01/'meind/]	[01* ttừ]\n- có tóc bờm\n- có bờm (ngựa, sư tử) 
manege [01/mæ'nidʒ/]	[01* dtừ]\n- trường dạy cưỡi ngựa\n- thuật cưỡi ngựa
manes [01/'meini:z/]	[01* dtừ s/n]\n- vong hồn
maneuver [01/mə'nu:və/]	[01* dtừ]\n- (Mỹ)(như) [03manoeuvre] 
maneuverability [01/mə,nu:vrə'biləti/]	[01* dtừ]\n-(Mỹ) như [03manoeuvrability]
maneuverable [01/mə'nu:vrəbl/]	[01* dtừ]\n-(Mỹ) như [03manoeuvrable]
manful [01/'mænful/]	[01* ttừ]\n- dũng mãnh, táo bạo, can trường; kiên quyết
manfully [01/'mænfuli/]	[01* phtừ]\n- xem [03manful] 
manfulness [01/'mænfulnis/]	[01* dtừ]\n- tính dũng mãnh, tính táo bạo, tính can trường; tính kiên quyết
mangan [01/'mæηgən/]	- Cách viết khác : [03mangano]
manganese [01/'mæηgəni:z/]	[01* dtừ]\n- (hoá) mangan
manganese bronze [01/'mæηgəni:z'brɔnz/]	[01* dtừ]\n- đồng đỏ pha mangan
manganiferous [01/,mæηgə'nifərəs/]	[01* ttừ]\n- (hoá) có mangan
manganite [01/,mæηgənait/]	[01* dtừ]\n- (khoáng) manganit
mangano [01/'mæηgənou/]	- tiền tố\n- như [03mangan] 
mange [01/'meindʒ/]	[01* dtừ]\n- (thú y học) bệnh lở ghẻ
mangel [01/'mæɳgl/]	như [03mangold]
mangel-wurzel [01/'mæηgl'wə:zl/]	- (thực vật) củ cải to
manger [01/'meindʒə/]	[01* dtừ]\n- máng ăn (ngựa, trâu, bò...)\n[04! to be a dog in the manger]\n- xem [03dog]
mangle [01/'mæηgl/]	[01* dtừ]\n- (nghành dệt) máy cán là\n[01* ngđtừ]\n- (nghành dệt) cán là (vải)\n[01* ngđtừ]\n- xé; cắt xơ ra; làm nham nhở, làm sứt sẹo\n- làm hư, làm hỏng, làm xấu đi\n- làm mất hay (bản nhạc, bài thơ... vì chép lại sai) ; đọc sai, đọc trệch (từ) 
