medicable [01/'medikəbl/]	[01* ttừ]\n- chữa được
medical [01/'medikl/]	[01* ttừ]\n- y, y học\n[02= medical school] trường y\n[02= a medical officer] quân y sĩ\n- (thuộc) khoa nội\n[02= hospital has a medical ward and a surgical ward] bệnh viện có khu nội và khu ngoại\n[01* dtừ]\n- (tục) học sinh trường y
medical examiner [01/'medikl ig'zæminə/]	[01* dtừ]\n- bác sĩ pháp y
medical jurisprudence [01/'medikl 'dʒuəris,pru:dəns/]	[01* dtừ]\n- pháp y (y khoa ứng dụng trong lĩnh vực điều tra hình sự) 
medically [01/'medikəli/]	[01* phtừ]\n[02= medically sound] không bệnh tật; khoẻ mạnh
medicament [01/mə'dikəmənt/]	[01* dtừ]\n- (thuộc) dược phẩm
Medicare [01/'medikeə/]	[01* dtừ]\n- chương trình của chính phủ Mỹ về việc chăm sóc người già trên 65 tuổi
medicaster [01/'medikæstə/]	[01* dtừ]\n- lang băm
medicate [01/'medikeit/]	[01* ngđtừ]\n- bốc thuốc, cho thuốc\n- tẩm thuốc, ngâm thuốc\n[02= medicated gauze] gạc có tẩm thuốc
medication [01/,medi'kei∫n/]	[01* dtừ]\n- sự bốc thuốc, sự cho thuốc\n- sự tẩm thuốc, sự ngâm thuốc\n- (thuộc) dược phẩm
medicative [01/'medikeitiv/]	[01* ttừ]\n- có tác dụng chữa bệnh
medicinal [01/mə'disinl/]	[01* ttừ]\n- (thuộc) thuốc; dùng làm thuốc\n[02= medicinal herbs] cỏ làm thuốc, dược thảo
medicinal leech [01/me'disinl,li:t∫/]	[01* dtừ]\n- con đỉa làm thuốc chữa bệnh
medicine [01/'medsn; 'medisn/]	[01* dtừ]\n- y học, y khoa\n- thuốc\n[02= to take medicine] uống thuốc\n- khoa nội\n- bùa ngải, phép ma, yêu thuật (ở những vùng còn lạc hậu)\n[04! to give someone a dose (taste) of his own medicine]\n- lấy gậy ông đập lưng ông\n[04! to take one's medicine]\n- ngậm đắng nuốt cay; chịu đựng sự trừng phạt\n- chữa bệnh bằng thuốc uống
medicine bag [01/'medsn, bæg/]	[01* dtừ]\n- túi thuốc
medicine ball [01/'medsn,bɔ:l/]	[01* dtừ]\n- bóng tập (thể dục) 
medicine chest [01/'medsn,t∫est/]	[01* dtừ]\n- túi thuốc, hộp thuốc, tủ thuốc (gia đình) 
medicine dropper [01/'medsn'drɔpə/]	[01* dtừ]\n- ống rỏ thuốc
medicine shop [01/'medsn,∫ɔp/]	[01* dtừ]\n- cửa hàng dược phẩm; hiệu thuốc
medicine show [01/'medsn,∫ou/]	[01* dtừ]\n- cuộc biểu diễn để bán thuốc
medicine-man [01/'medsnmæn/]	[01* dtừ]\n- thầy phù thuỷ, thầy mo
medico [01/'medikou/]	[01* dtừ, s/n [03medicos] /'medikouz/\n- (tục) thầy thuốc
medico-botanical [01/'medikoubə'tænikl/]	[01* ttừ]\n- (thuộc) dược-thực vật
medicolegal [01/'medikou'li:gl/]	[01* ttừ]\n- pháp y
medicos [01/'medikouz/]	như [03doc]
