midden [01/'midn/]	như [03dung-heap]
middle [01/'midl/]	[01* dtừ]\n- giữa\n[02= in the middle] ở giữa\n[02= right in the middle] ở chính giữa\n[02= in the middle of our century] ở giữa thế kỷ của chúng ta\n- nửa người, chỗ thắt lưng\n[02= to be up to the middle in water] đứng nước ngập đến thắt lưng\n[01* ttừ]\n- ở giữa, trung\n[02= the middle finger] ngón tay giữa\n[02= middle age] trung niên\n[04! the Middle Ages]\n- thời Trung cổ\n[02= the middle class] giai cấp trung gian; giai cấp tiểu tư sản\n[04! Middle East]\n- Trung đông\n[02= middle course (way)] biện pháp trung dung, đường lối trung dung\n[02= middle school] trường trung học\n[01* ngđtừ]\n- đá (bóng) từ cánh vào (khu trung lộ trước gôn)\n- (Mỹ) đặt vào giữa\n- xếp đôi (lá buồm lại) 
middle age [01/'midl'eidʒ/]	[01* dtừ]\n- giai đoạn giữa tuổi thanh niên va tuổi già; trung niên\n[02= middle-age spread] sự phát phì ở tuổi trung niên
Middle Ages [01/'midl'eidʒi:z/]	[01* dtừ]\n-(lịch sử chầu Âu) giai đoạn từ khoảng năm 1100 đến khoảng năm 400 sau Công nguyên; thời Trung cổ
middle class [01/,midl'clɑ:s/]	[01* dtừ]\n- tầng lớp trung lưu, giai cấp tiểu tư sản;\n[01* ttừ]\n-(middle-class)(thuộc) tầng lớp trung lưu
Middle Comedy [01/'midl'kɔmidi/]	- thể kịch nói cổ Hy-lạp trung kỳ (có tính chất quá độ giữa thể kịch nói cổ và thể kịch nói hiện đại) 
middle distance [01/,midl'distəns/]	[01* dtừ]\n-(hội hoạ) phần nằm giữa cận cảnh và viễn cảnh; cuộc chạy cự ly trung bình
middle ear [01/'midl'iə/]	[01* dtừ]\n-(phẫu) tai giữa
Middle East [01/'midl'i:st/]	- vùng Trung Đông (gồm Ai Cập, Iran và các nước nằm giữa hai nước này) 
Middle English [01/,midl'iηgli∫/]	[01* dtừ]\n- tiếng Anh từ năm 1150 đến 1500
middle name [01/,midl'neim/]	[01* dtừ]\n- đứng thứ hai tronghai tên đã được đặt ra (Bernard trong Georges Bernard Shaw chẳng hạn) ; tên đệm\n[02= to be somebody's middle name] là nét đặc trưng của ai
middle school [01/'midl,sku:l/]	[01* dtừ]\n- trường học dành cho trẻ em từ 9 đến 13 tuổi
middle watch [01/'midl'wɔt∫/]	[01* dtừ]\n- ca gác đêm (từ nửa đêm đến 4 giờ sáng) 
Middle West	- xem [03Mid West] 
middle-aged [01/'midl'eidʒd/]	[01* ttừ]\n- trung niên
middle-brow [01/'midl'brau/]	[01* ttừ]\n- (nói về người) có trình độ hiểu biết vừa phải
middleman [01/'midlmæn/]	[01* dtừ]\n- người môi giới
middle-of-the-road [01/'midl'əv'đə'roud/]	[01* ttừ]\n- đứng giữa; ôn hoà, không cực đoan
middle-of-the-roader [01/'midl'əv'đə'roudə/]	[01* dtừ]\n- người đứng giữa; người ôn hoà, người không cực đoan
middle-sized [01/'midl'saizd/]	[01* ttừ]\n- tầm thước
middleweight [01/'midl'weit/]	[01* dtừ]\n- vận động viên/võ sĩ hạng trung (nặng từ 66, 5 đến 72, 5 kg) 
middling [01/'midliη/]	[01* ttừ]\n- trung bình, vừa phải, bậc trung\n[02= a man of middling size] một người tầm thước\n- (tục) khá khoẻ mạnh
middlings [01/'midliηz/]	[01* phtừ]\n- trung bình, vừa phải, kha khá\n[02= middlings tall] cao vừa phải\n[01* dtừ s/n]\n- hàng hoá loại vừa\n- tấm, hạt tấm\n- (Mỹ) thịt lợn muối
middy [01/'midi/]	như [03midshipman]
Mideast [01/'mid,i:st/]	[01* dtừ]\n- như [03Middle East] 
midfield [01/,mid'fi:ld/]	[01* dtừ]\n- phần giữa của sân bóng đá; khu trung tuyến\n[02= a midfield player] cầu thủ trung vệ
midge [01/midʒ/]	[01* dtừ]\n- (động vật) ruồi nhuế\n- người nhỏ bé
midget [01/'midʒit/]	[01* dtừ]\n- người rất nhỏ\n- cái rất nhỏ, vật rất nhỏ, con vật rất nhỏ\n- (định ngữ) rất nhỏ
midgety [01/'midʒiti/]	[01* ttừ]\n- nhỏ tí tẹo, cực bé
midi	- Một giao thức truyền thông tiêu chuẩn để trao đổi thông tin giữa máy tính và các bộ tổng hợp tín hiệu âm nhạc
midinette [01/,mi:di'net/]	[01* dtừ]\n- cô bán hàng (ở Pa-ri) 
midland [01/'midlənd/]	[01* dtừ]\n- trung du\n- (the Midlands) vùng trung du nước Anh
midlife crisis	[01* dtừ]\n- tình trạng hoài nghi và lo lắng ở tuổi trung niên; khủng hoảng tuổi trung niên
midline	- đường trung bình\n- m. of a trapezoid trung bình tuyến của một hình thang
midmost [01/'midmoust/]	[01* ttừ & phtừ]\n- ở chính giữa
midnight [01/'midnait/]	[01* dtừ]\n- nửa đêm, mười hai giờ đêm
midperpendicular	- trung trực
midpoint	- trung điểm\n- m. of a line segment trung điểm của một đoạn thẳng\n- m. of a simplex (tô pô) tâm một đơn hình
midrange [01/'mid'reindʒ/]	[01* dtừ]\n- khoảng cách/tầm xa trung bình
midrib [01/'mid'rib/]	[01* dtừ]\n- (thực vật) gân giữa (của lá) 
midriff [01/'midrif/]	[01* dtừ]\n- (phẫu) cơ hoành
midsequent	- (logic học) hệ quả trung gian
midshipman [01/'mid∫ipmæn/]	[01* dtừ]\n- chuẩn uý hải quân\n- (Mỹ) học sinh trường hải quân
midst [01/midst/]	[01* dtừ]\n- giữa\n[02= in the midst of] ở giữa; giữa lúc\n[02= in their midst; in the midst of them] ở giữa bọn họ\n[01* dtừ]\n- (thơ ca)(như) [03amid] 
midstream [01/mid'stri:m/]	[01* dtừ]\n- giữa dòng (sông, suối)\n[02= to change/swap horses in midstream] xem [03horse] 
midsummer [01/,mid'sʌmə/]	[01* dtừ]\n- giữa mùa hè\n- hạ chí
midsummer day [01/'mid,sʌmə'dei/]	[01* dtừ]\n- ngày hạ chí
midsummer madness [01/,mid'sʌmə'mædnis/]	[01* dtừ]\n- sự ngông cuồng trong chốc lát\n- hành động ngông cuồng trong chốc lát
Midsummer's Day [01/,mid'sʌmə'dei/]	như [03midsummer day]
midterm [01/'midtə:m/]	[01* dtừ]\n- giữa năm học; giữa nhiệm kỳ\n- (số nhiều) cuộc thi giữa năm học (hết học kỳ I)\n[01* ttừ]\n- giữa năm học; giữa nhiệm kỳ
mid-value	- giá trị trung bình\n- 0 0
midway [01/'mid'wei/]	[01* dtừ]\n- nửa đường, giữa đường\n[01* ttừ & phtừ]\n- ở nửa đường, nửa chừng
midweek [01/'mid'wi:k/]	[01* dtừ]\n- giữa tuần
midweekly [01/'mid'wi:kli/]	[01* ttừ & phtừ]\n- giữa tuần; vào giữa tuần
midwife [01/'midwaif/]	[01* dtừ]\n- bà đỡ, bà mụ
midwifery [01/'midwifəri; 'midwaifəri/]	[01* dtừ]\n- (y) khoa sản; thuật đỡ đẻ
midwinter [01/'mid'wintə/]	[01* dtừ]\n- giữa mùa đông\n- đông chí
