mouse-hole [01/'maushoul/]	[01* dtừ]\n- hang chuột
mousekin [01/mauskin/]	[01* dtừ]\n- chuột con, chuột nhắt
mouser [01/'mauzə/]	[01* dtừ]\n- con mèo tài bắt chuột
mouse-sight [01/maussait/]	- dtừ\n- chứng/tật cận thị
mousetrap [01/'maustræp/]	[01* dtừ]\n- bẫy chuột\n[01* ngđtừ]\n- bẫy
mousetrap cheese [01/'maustræp't∫i:z/]	[01* dtừ]\n- phó mát hạng tồi (chỉ đáng để bẫy chuột) 
mousse [01/mau:s/]	[01* dtừ]\n- món kem mút
mousseline [01/mau:slin/]	[01* dtừ]\n- li/cốc con bằng thủy tinh mỏng có hoa văn hình ren
moustache [01/məs'tɑ:∫/]	[01* dtừ]\n- râu mép, ria ((Mỹ)(cũng) [03mustache] ) 
mousy [01/'mausi/]	[01* ttừ]\n- lắm chuột\n- như chuột, hôi mùi chuột\n- nhút nhát, rụt rè; lặng lẽ; lén lút (người)\n- xỉn, xám xịt
mouth [01/mauθ/]	[01* dtừ, s/n [03mouths] /mauðz/\n- mồm, miệng, mõm\n[02= by mouth] bằng miệng, bằng lời nói\n- miệng ăn\n[02= a useless mouth] một miệng ăn vô dụng\n- cửa (hang, sông, lò...)\n- sự nhăn mặt, sự nhăn nhó\n[02= to make mouths; to makem a wry mouth] nhăn mặt, nhăn nhăn nhó nhó (tỏ vẻ không bằng lòng)\n[04! to be down in the mouth]\n- xem [03down]\n[04! to give mouth]\n- sủa; cắn (chó)\n[04! to laugh on the wrong side of one's mouth]\n- xem [03laugh]\n[04! to make one's mouth water]\n- xem [03water]\n[04! to put speech into another's mouth]\n- để cho ai nói cái gì\n[04! to put words into someone's mouth]\n- mớm lời cho ai, bảo cho ai cách ăn nói\n[04! to take the words out of someone's mouth]\n- nói đúng những lời mà người ta định nói\n[04! none of your mouth, please!]\n- xin ông đừng dở cái trò hỗn xược của ông ra nữa!\n[04! shut upur mouth]\n- câm mồn đi! bịt cái mõm lại!\n[01* ngđtừ]\n- nói to; đọc rành rọt; nói cường điệu\n- ăn đớp\n[01* nđtừ]\n- nói to; nói cường điệu; kêu la\n- nhăn nhó, nhăn mặt
mouthed [01/mauđd/]	- có kiểu mồm như thế nào đó\n[02= small-mouthed, wide-mouthed, open-mouthed] có mồm nhỏ, mồm rộng, mồm há ra\n- có lối ăn nói như thế nào đó\n[02= loud-mouthed] ăn nói om sòm; to mồm\n[02= foul-mouthed] ăn nói thô tục
mouther [01/'mauđə/]	[01* dtừ]\n- chỉ người diễn tả kiển cách, khoát lác
mouth-friend [01/'mauθfrend/]	[01* dtừ]\n- bản giả dối/đầu mồm
mouthful [01/'mauθful/]	[01* dtừ]\n- miếng (đầy mồm)\n[02= at a mouthful] chỉ một miếng
mouth-honour [01/mauθ,ɔnə/]	[01* dtừ]\n- sự tăng bốc, sự tán dương
mouth-organ [01/'mauθ,ɔ:gən/]	như [03harmonica]
