arrogator	- xem [03arrogate] 
arrow [01/'ærou/]	[01* dtừ]\n- tên, mũi tên\n- vật hình tên\n[04! to have an arrow in one's quiver]\n- còn một mũi tên trong ống tên; (bóng) còn phương tiện dự trữ
arrow cursor	- (kỹ) con chạy mũi tên
arrow key	- (kỹ) phím mũi tên
arrow-head [01/'ærouhed/]	[01* dtừ]\n- đầu mũi tên
arrow-headed [01/'ærou'hedid/]	[01* ttừ]\n- hình mũi tên\n[02= arrow-headed characters] chữ hình mũi tên
arrowroot [01/'ærouru:t/]	[01* dtừ]\n- (thực vật) cây hoàng tinh, cây dong\n- bột hoàng tinh, bột dong
arrowy [01/'æroui/]	[01* ttừ]\n- hình tên, giống mũi tên\n- nhanh như tên bắn
arroyo [01/ə'rɔiəʊ/]	[01* dtừ] s/n [03arroyos]\n- kênh, lạch
arse [01/ɑ:s/]	[01* dtừ]\n- nhuôi át('ɑ:sinl)\n[01* dtừ]\n- kho chứa vũ khí đạn dược (đen & bóng)\n- xưởng làm vũ khí đạn dược
arse-licker	- thành ngữ arse\n[02= arse-licker] người nịnh bợ người khác, Đồ liếm đít
arsenal [01/'ɑ:sinl/]	[01* dtừ]\n- kho chứa vũ khí đạn dược (đen & bóng)\n- xưởng làm vũ khí đạn dược
arsenate [01/'a:səneit, 'a:sənət/]	[01* dtừ]\n- (hoá) Asenat
arsenic [01/'ɑ:snik/]	[01* dtừ]\n- (hoá) Asen\n[01* ttừ] [03arsenical] /ɑ:'senikəl/\n- (hoá) Asen\n[02= arsenic acid] axit asenic
arsenical [01/ɑ:'senikəl/]	như [03arsenic]
arsenious [01/ɑ:'si:njəs/]	như [03arsenous]
arsenite [01/'ɑ:sinait/]	[01* dtừ]\n- (hoá) arsenit
arsenopyrit [01/'a:sənou'pairait/]	[01* dtừ]\n- (hoá) Asenopirit
arsenous [01/'ɑ:sinəs/]	[01* ttừ]\n- (hoá) Asenơ
arshin [01/a:'si:n/]	[01* dtừ]\n- Ac-sin, đơn vị đo chiều dài của Nga (= 0, 71 m) 
arsin [01/'a:sin:n/]	[01* dtừ]\n- (hoá) Acsin, acsen hidrua
arsis [01/'a:sis/]	[01* dtừ] s/n [02arses]\n- âm tiết có trọng âm trong một bộ thơ
arson [01/'ɑ:sn/]	[01* dtừ]\n- sự cố ý gây nên hoả hoạn; sự đốt phá (nhà, cửa...) 
arsonist [01/'ɑ:sənist/]	[01* dtừ]\n- kẻ cố ý gây nên hoả hoạn; kẻ đốt phá (nhà, cửa...) 
arsy-versy [01/'a:si'və:si/]	[01* phtừ, ttừ]\n- (tục) đảo lộn, lung tung
art [01/ɑ:t/]	[01* dtừ]\n- tài khéo léo, kỹ xảo\n- nghệ thuật; mỹ thuật\n[02= a work of art] một tác phẩm nghệ thuật\n- mỹ nghệ; nghề đòi hỏi sự khéo léo\n- thuật, kế, mưu kế\n[02= Bachelor of Arts] tú tài văn chương (trường đại học Anh)\n[02= Faculty of Arts] khoa văn (trường đại học Anh)\n[04! art is long, life is short]\n- đời người thì ngắn ngủi, nhưng công trình nghệ thuật thì tồn tại mãi mãi\n[04! to be (have, take) art and part in a crime]\n- đồng mưu và có nhúng tay vào tội ác\n[04! black art]\n- ma thuật, yêu thuật\n[04! manly art]\n- quyền thuật, quyền Anh\n[01* (cổ) ngôi 2 số ít thời hiện tại của] [03be] 
art deco [01/a:t'dekou/]	[01* dtừ]\n- nghệ thuật trang trí
art film [01/'a:t'film/]	[01* dtừ]\n- phim nghệ thuật
art form	- (kỹ) kiểu hình, kiểu mỹ thuật
art nouveau [01/,a:nu:'vou/]	[01* dtừ]\n- nghệ thuật mới
art work [01/'a:t,wə:k/]	[01* dtừ]\n- sáng tạo nghệ thuật; công trình nghệ thuật; minh hoạ; đồ hoạ; tranh vẽ nói chung\n[02= art work being sold at a street market] tranh đang bán ở chợ ngoài phố; minh hoạ, đồ hoạ được in
artefact [01/'ɑ:tifækt/]	[01* dtừ]\n- sự giả tạo, giả tượng\n- (khảo cổ học) đồ tạo tác (do người tiền sử tạo ra, để phân biệt với những đồ vật lấy sẵn trong thiên nhiên) 
artel [01/ɑ:'tel/]	[01* dtừ]\n- Acten, nhóm sản xuất tập thể (ở Liên xô) 
artemisia [01/,a:tə'miziə; a:təmisiə/]	[01* dtừ]\n- (thực vật) cây ngải
arterial [01/ɑ:'tiəriəl/]	[01* ttừ]\n- (phẫu)(thuộc) động mạch\n- chia làm nhiều nhánh\n[02= arterial dralnage] hệ thống dẫn nước chia làm nhiều nhánh\n- chính (đường, trục giao thông...)\n[02= arterial railway] đường sắt chính\n[02= arterial road] đường chính\n[02= arterial traffic] sự giao thông trên những con đường chính
arterialise [01/ɑ:'tiəriəlaiz/]	như [03arterialize]
arterialization	- xem [03arterialize] 
arterialize [01/ɑ:'tiəriəlaiz/]	[01* ngđtừ]\n- (số nhiều) biến (máu tĩnh mạch) thành máu động mạch\n- đặt thành hệ thống có nhiều nhánh
arterially	- xem [03arterial] 
arteriography [01/a:tiəri'ɔgrəfi/]	[01* dtừ]\n- (y) thủ thuật khâu động mạch
arteriolar [01/a'tiəri'oulə/]	[01* ttừ]\n- (phẫu) học thuộc động mạch nhỏ
arteriolar-venular [01/a'tiəri'oulə'vi:njulə/]	[01* ttừ]\n- thuộc động tĩnh mạch nhỏ
arteriole [01/a:'tiərioul/]	[01* dtừ]\n- động mạch con; tiểu động mạch
arteriolith [01/a:'tiəriɔliθ/]	[01* dtừ]\n- (y) sỏi động mạch
arteriosclerosis [01/ɑ:,tiəriouskliə'rousis/]	[01* dtừ]\n- (y) xơ cứng động mạch
arteriosclerotic	- xem [03arteriosclerosis] 
arteriotomy [01/,ɑ:tiəri'ɔtəmi/]	[01* dtừ]\n- (y) thủ thuật mở động mạch
arteritis [01/a:tə'raitis/]	[01* dtừ]\n- (y) bệnh viêm động mạch
artery [01/'ɑ:təri/]	[01* dtừ]\n- (phẫu) động mạch\n- đường giao thông chính
artesian [01/ɑ:'ti:sjən/]	[01* ttừ]\n- artesian well giếng phun
artesian well [01/ɑ:'ti:ziən'wel/]	[01* dtừ]\n- giếng phun
art-form [01/'ɑ:t'fɔ:m/]	[01* dtừ]\n- loại hình nghệ thuật
artful [01/'ɑ:tful/]	[01* ttừ]\n- xảo quyệt, lắm mưu mẹo; tinh ranh\n- khéo léo (người) ; làm có nghệ thuật (đồ vật) 
artfully [01/'ɑ:tfuli/]	như [03artistically]
artfulness [01/'ɑ:tfulnis/]	[01* dtừ]\n- tính xảo quyệt, sự lắm mưu mẹo; sự tinh ranh\n- sự khéo léo
arthopodan [01/'a:θrə,pɔdən/]	[01* dtừ]\n- động vật chân khớp
arthral [01/'a:θrəl/]	[01* ttừ]\n- thuộc khớp
arthritic [01/ɑ:'θritik/]	[01* ttừ]\n- (y)(thuộc) viêm khớp
arthritically	- xem [03arthritis] 
arthritis [01/ɑ:'θraitis/]	[01* dtừ]\n- (y) viêm khớp
arthrobranchiae [01/,a:θrə'bræn,kiə/]	[01* dtừ]\n- (động vật) mang khớp
arthrodesis [01/a:'θrɔdisis/]	[01* dtừ] s/n [02arthrodeses]\n- (y) thủ thuật làm cứng khớp
arthrogenous [01/,a:θrə'dʒenəs/]	[01* ttừ]\n- tạo đốt; hình thành đốt; chia đốt
arthromere [01/'a:θrəmiə/]	[01* dtừ]\n- (sinh học) đốt khớp; đốt thân (động vật có chân đốt) 
arthropathy [01/a:'θrɔpəθi/]	[01* dtừ]\n- (y) bệnh khớp
arthrophyte [01/,a:θrə'fait/]	[01* dtừ]\n- thực vật phân đốt, có đốt
arthropod [01/'ɑ:θrəpɔd/]	[01* dtừ]\n- (động vật) động vật chân đốt
arthropodal [01/'a:θrə,pɔdəl/]	[01* ttừ]\n- có chân khớp
arthropodous	- xem [03arthropod] 
arthropterous [01/'a:θrɔpterəs/]	[01* ttừ]\n- có tia vây khớp, phân đốt
arthrosis [01/ɑ:'θrousis/]	[01* dtừ]\n- (phẫu) khớp
arthrospore [01/'a:θrə,spɔ:/]	[01* dtừ]\n- (thực vật) bào tử chia đôi, bào tử đốt
arthrostracous [01/,a:θrəs'trei∫əs/]	[01* ttừ]\n- có mảnh vỏ khớp
arthrous [01/'a:θrəs/]	[01* ttừ]\n- có khớp
