nanism [01/'neinizm/]	[01* dtừ]\n- chứng lùn
nankeen [01/næη'ki:n/]	như [03nankin]
nankin [01/næn'kin/]	[01* dtừ]\n- vải trúc bâu Nam kinh\n- (số nhiều) quần trúc bâu Nam kinh\n- màu vàng nhạt
nanny [01/'næni/]	[01* dtừ]\n- ruấy khũi bõ\n- (như) [03nanny-goat] 
nanny-goat [01/'nænigout/]	[01* dtừ]\n- con dê cái ((cũng) [03nanny] ) 
nano	- Tiền tố chỉ một phần tỷ
nanoid [01/'neinɔid/]	- Cách viết khác : [03nanous]
nanosecond	- nanô giây, nanosec (ns) 
nap [01/næp/]	[01* dtừ]\n- giấc ngủ chợp, giấc trưa\n[02= to take (have) a nap] đánh một giấc ngủ trưa\n[02= to snatch (steal) a nap] a nap ngủ chợp đi một lát\n[01* nđtừ]\n- ngủ chợp một lát, ngủ trưa\n[04! to be caught napping]\n- bị bất ngờ\n[04! to catch someone napping]\n- bất chợt ai đang ngủ; bất chợt ai đang làm việc gì; bắt được ai đang lầm lỗi gì; làm một cú bất ngờ đối với ai\n[01* dtừ]\n- dệt tuyết\n[01* ngđtừ]\n- (nghành dệt) làm cho lên tuyết\n[01* dtừ]\n- lối chơi bài napôlêông\n- sự đánh cá tất cả tiền vào một con ngựa; con ngựa mình dốc hết tiền vào để đánh cá\n[04! to go up]\n- (bóng) liều để thắng lớn, được ăn cả ngã về không) 
napalm [01/'neipɑ:m/]	[01* dtừ]\n- (qsự) Napan\n[02= a napalm bomb] bom napan\n[01* đtừ]\n- ném bom napan
nape [01/neip/]	[01* dtừ]\n- gáy ((thường) the nape of the neck) 
napery [01/'neipəri/]	[01* dtừ]\n- (cổ) ; (Ê-cốt) khăn bàn, khăn ăn
naphtha [01/'næfθə/]	[01* dtừ]\n- ligroin\n- dầu mỏ
naphthalene [01/'næfθəli:n/]	như [03napthalin]
naphthalin [01/'næfθəlin/]	- xem [03naphthalene] 
napkin [01/'næpkin/]	[01* dtừ]\n- khăn ăn\n- tả lót (của trẻ con)\n[04! to lay up in a napkin]\n- xếp vào một nơi không dùng đến
napkin-ring [01/'næpkinriη/]	[01* dtừ]\n- vòng đánh dấu khăn ăn (của từng người) 
napless [01/'næplis/]	[01* ttừ]\n- không có tuyết (hàng vải) 
napoleon [01/nə'pouljən/]	[01* dtừ]\n- (sử học) đồng napôlêông (tiền vàng xưa của Pháp)\n- lối chơi bài napôlêông
napoo [01/næ'pu:/]	[01* thán từ]\n- (qsự),(lóng) tong rồi!, tiêu rồi!, phăng teo rồi!
nappe [01/'næp/]	[01* dtừ]\n- lớp phủ
napper [01/'næpə/]	[01* dtừ]\n- cái đầu\n- máy chải tuyết
nappy [01/'næpi/]	[01* ttừ]\n- (cổ) có bọt; bốc mạnh (rượu bia)\n[01* ttừ]\n- có tuyết (hàng vải)\n[01* dtừ (tục)]\n- tã lót (của trẻ con) 
napthalin [01/'næfθəlin/]	[01* dtừ]\n- Naptalin
nar [01/na:/]	- phương ngữ\n- gần hơn
