non-contagious [01/,nɔn kən'teidʒəs/]	[01* ttừ]\n- không lây
non-contributory [01/,nɔn kən'tribjutri/]	[01* ttừ]\n- không liên quan tới tiền đóng góp của công nhân
non-cooperation [01/,nɔn kou,ɔpə'rei∫n/]	[01* dtừ]\n- sự không hợp tác
non-corrodible [01/,nɔn kə'roudəbl/]	[01* ttừ]\n- không bị gặm mòn
non-countable	- không đếm được
non-crystalline [01/,nɔn 'kristəlain/]	[01* ttừ]\n- không kết tinh
non-cyclic	- không có chu trình, không tuần hoàn, không xilic
nondazzle [01/,nɔndæzl/]	[01* ttừ]\n- không loá mắt (ánh sáng đèn pha ô tô) 
non-decreasing	- không giảm
non-degenerate	- không suy biến
non-dense	- không trù mật
nondescript [01/'nɔndiskript/]	[01* ttừ]\n- khó nhận rõ, khó tả, khó phân loại; không có đặc tính rõ rệt\n[01* dtừ]\n- không có đặc tính rõ rệt, người khó tả, vật khó tả, vật khó phân loại
non-determination	- (thống kê) phần không quyết định
non-deterministic	- không xác định
non-developable	- không khai triển được
non-dimensional	- không thứ nguyên
non-directional	- không có phương
non-drinker [01/nɒn'driηkə(r) /]	[01* dtừ]\n- người không uống rượu
non-driver [01/nɒn'draivə(r) /]	[01* dtừ]\n- người không lái xe
non-durable [01/,nɔn'djuərəbl/]	[01* ttừ]\n- không dùng lâu, chóng hỏng\n- không lâu dài/lâu bền
none [01/nʌn/]	[01* dtừ]\n- không ai, chẳng một ai, không người nào; không vật gì\n[02= none of us was there] không một người nào trong bọn chúng tôi có mặt tại đó\n[02= I want none of these things] tôi không cần một cái gì trong các thứ này cả\n[02= his paintings are none none of the best] những bức hoạ của anh ta không phải là những bức đẹp nhất\n[02= money I have none] tiền tôi không có một đồng nào\n[04! none but]\n- chỉ\n[02= to choose none but the best] chỉ chọn cái tốt nhất\n[04! none other than]\n- không ai khác chính là\n[02= the new arrived was none other than the President] người nói đến chính là ông chủ tịch\n[01* phtừ]\n- không chút nào, tuyệt không\n[02= he was none too soon] nó đến không phải là quá sớm đâu\n[02= I slept none last night] đêm qua tôi chẳng chợp mắt chút nào\n[04! none the less]\n- tuy nhiên, tuy thế mà
non-effective [01/,nɔn i'fektiv/]	[01* ttừ]\n- không hiệu nghiệm\n- (qsự) không đủ sức khoẻ để ở quân đội\n[01* dtừ]\n- (qsự) người không đủ sức khoẻ để ở quân đội
non-ego [01/,nɔn'egou/]	[01* dtừ]\n- thế giới bên ngoài, thực tại khách quan\n- cái không-tôi/phi ngã, khách thể
non-empty	- không trống
nonentity [01/nɔ'nentiti/]	[01* dtừ]\n- trạng thái không có, sự không tồn tại\n- người vô giá trị, vật vô giá trị\n- vật tưởng tượng\n- con số không
non-enumerable	như [03non-countable]
non-erasible	- không xoá được, không bỏ được
nonessential [01/nɔn,i'sen∫əl/]	[01* ttừ]\n- không thiết yếu, không trọng yếu, không cần thiết\n[01* dtừ]\n- chuyện không đâu, việc không cần thiết\n- người tầm thường, người không ra gì, người không ai cần đến; vật không cần thiết\n- (nonessentials) hàng hoá xa xỉ; xa xỉ phẩm
non-essential [01/'nɔni'senʃəl/]	[01* ttừ]\n- không bản chất\n- không trọng yếu, không cần thiết\n[01* dtừ]\n- chuyện không đâu, việc không cần thiết\n- người tầm thường, người không ra gì, người không ai cần đến; vật không cần thiết
nonesuch [01/'nʌnsʌt∫/]	[01* dtừ]\n- người có một không hai, người không ai sánh kịp; vật có một không hai; vật không gì sánh kịp\n- <thực> cây linh lăng hoa bia
nonetheless [01/,nɔnđə'les/]	[01* trạng từ]\n- tuy nhiên, dù sao
non-Euclidian	- phi Ơclit
non-event [01/,nɔn i'vent/]	[01* dtừ]\n- điều trái với dự đoán, điều gây thất vọng
non-existence [01/,nɔn ig'zistəns/]	[01* dtừ]\n- sự không tồn tại
non-existent [01/,nɔn ig'zistənt/]	như [03inexistent]
non-fattening [01/nɒn'fætəniη/]	[01* ttừ]\n- không bổ, ít năng lượng
non-ferrous [01/,nɔn 'ferəs/]	[01* ttừ]\n- màu (kim loại)\n[02= non-ferrous metal] kim loại màu
non-fiction [01/,nɔn 'fik∫n/]	[01* dtừ]\n- chuyện về người thật việc thật
non-flammable [01/,nɔn 'flæməbl/]	[01* ttừ]\n- không cháy, không bắt lửa
non-freezing [01/,nɔn 'fri:ziη/]	[01* ttừ]\n- không đông
non-fulfilment [01/,nɔn ful'filmənt/]	[01* dtừ]\n- sự không thực hiện, sự không hoàn thành
non-holonomic	- không hôlônom
non-homogeneous	- không thuần nhất
nonillion	- 10 54 (Anh), 10 30 (Mỹ) 
non-inductive [01/,nɔn in'dʌktiv/]	[01* ttừ]\n- (lý) không tự cảm
non-inflammable [01/,nɔnin 'flæməbl/]	- xem [03non-flammable] 
non-interacting	- không tương tác; ôtônom
non-interference [01/,nɔn,intə:'fiərəns/]	[01* dtừ]\n- sự không can thiệp
non-intervention [01/,nɔn,intə:'ven∫n/]	như [03non-interference]
non-interventionalist [01/,nɔn,intə:'ven∫nəlist/]	như [03non-interventionist]
non-interventionist [01/,nɔn,intə:'ven∫nist/]	[01* dtừ]\n- người chủ trương không can thiệp
non-iron [01/nɔn'aiən/]	[01* ttừ]\n- (nói về quần áo) không nhăn, khỏi cần là phẳng
non-isotropic	- không đẳng hướng
nonius	- (tin) thang chạy
non-lending [01/,nɔn 'lendiη/]	[01* ttừ]\n- không cho mượn sách về nhà (thư viện) 
non-limiting	- không giới hạn
nonlinear	- phi tuyến
non-literate [01/,nɔn 'litərit/]	[01* ttừ]\n- không có chữ viết
non-logical [01/,nɔnlɔdʒik(ə) l/]	[01* ttừ]\n- phi lô gích\n- không lô gích
non-member [01/,nɔn 'membə/]	[01* dtừ]\n- người không phải là hội viên
non-metal [01/,nɔn 'metl/]	[01* dtừ]\n- (hoá) á kim
non-metrisable	- (tô pô) không mêtric hoá được
non-negative	- không âm; không phủ định
non-normal	- khác thường, không chuẩn tắc, không pháp tuyến, không chuẩn
non-nuclear [01/,nɔn'nju:kliə/]	[01* ttừ]\n- phi hạn nhân\n- không sử dụng vũ khí hạt nhân
non-observance [01/,nɔn əb'zə:vəns/]	[01* dtừ]\n- sự không tuân theo (luật pháp...) 
no-nonsense [01/,nou'nɔnsns/]	[01* ttừ]\n- nghiêm túc và dứt khoát
non-operational [01/,nɒnnɒpə'rei∫ən(ə) l/]	[01* ttừ]\n- không vận hành được\n- ngoài sự điều khiển
non-orientable	- không định hướng được
non-overlapping	- không giao nhau, không dẫm lên nhau
non-parametric	- không có tham biến
nonpareil [01/,nɔnpə'reil/]	[01* ttừ]\n- không sánh được, vô song, không bì được\n[01* dtừ]\n- người có một không hai, người không ai sánh kịp; vật có một không hai, vật không gì sánh kịp
non-partisan [01/,nɔn,pɑ:ti'zæn/]	[01* ttừ]\n- không đảng phái\n- không thiên vị, vô tư
non-party [01/,nɔn 'pɑ:ti/]	[01* ttừ]\n- không đảng phái
non-payment [01/,nɔn 'peimənt/]	[01* dtừ]\n- sự không trả tiền, sự không thanh toán
non-performance [01/,nɔnpə'fɔ:məns/]	[01* dtừ]\n- sự không thực hiện/hoàn thành (nhiệm vụ...) 
non-periodic	- không tuần hoàn, không theo chu kỳ
non-perishable [01/,nɔn 'peri∫əbl/]	[01* dtừ, (thường) số nhiều]\n- thức ăn để lâu được
nonpermeable [01/,nɔn'pə:mjəbl/]	[01* ttừ]\n- không thấm nước (vải) 
non-planar	- không phẳng
