ossiferous [01/ɔ'sifərəs/]	[01* ttừ]\n- có xương
ossific [01/ɔ'sifik/]	[01* ttừ]\n- hoá xương; tạo xương
ossification [01/,ɔsifi'kei∫n/]	[01* dtừ]\n- sự hoá xương
ossifrage [01/'ɔsifridʒ/]	[01* dtừ]\n- chim ưng biển ((cũng) [03osprey] ) 
ossify [01/'ɔsifai/]	[01* đtừ]\n- hoá xương
ossivorous [01/ɔsi'vərəs/]	[01* ttừ]\n- ăn xương
ossteoporosis [01/,ɒstiəʊpə'rəʊsis/]	[01* dtừ]\n- chứng loãng xương
ossuary [01/'ɔsjuəri/]	[01* dtừ]\n- chỗ để hài cốt\n- tiểu, bình đựng hài cốt\n- hang có nhiều hài cốt xưa
oste-; osteo-	- hình thái ghép có nghĩa là xương: osteoblast: tế bào hủy xương
osteal [01/'ɔstiəl/]	[01* ttừ]\n- giống xương; thuộc xương
osteitis [01/,ɔsti'aitis/]	[01* dtừ]\n- (y) viêm xương
ostembryon [01/,ɔs'tembriəm/]	[01* dtừ]\n- thai hoá đá
ostensibility [01/ɔs,tensi'biliti/]	[01* dtừ]\n- xem [03ostensible] 
ostensible [01/ɔ'stensəbl/]	[01* ttừ]\n- bề ngoài là, làm ra vẻ là, nói ra vẻ là (để che giấu sự thật)\n[02= his ostensible errand was to...] mục đích cuộc đi của hắn bề ngoài ra vẻ là...
ostensibly [01/ɔ'stensəbli/]	[01* phtừ]\n- có vẻ là, bề ngoài là
ostensive [01/ɔ'stensiv/]	[01* ttừ]\n- lộ liễu; bề ngoài
ostensoria [01/ɔsten'sɔriə/]	[01* dtừ] s/n\n- xem [03ostensorium] 
ostensorium [01/ɔsten'sɔriəm/]	[01* dtừ] s/n [02ostensoria]\n- xem [03ostensory] 
ostensory [01/ɔs'tensəri/]	[01* dtừ]\n- (tôn giáo) bình bày bánh thánh
ostentation [01/,ɔsten'tei∫n/]	[01* dtừ]\n- sự phô trương, sự khoe khoang, sự vây vo, sự làm cho người ta phải để ý
ostentatious [01/,ɔsten'tei∫əs/]	[01* ttừ]\n- phô trương, khoe khoang, vây vo, làm cho người ta phải để ý
ostentatiously [01/,ɔsten'tei∫əsli/]	[01* phtừ]\n- phô trương, khoe khoang
osteoarthritic [01/,ɔstiouə:'θraitik/]	[01* ttừ]\n- viêm khớp xương mãn tính
osteo-arthritis	[01* dtừ]\n- <y> bệnh viêm khớp xương
osteoarthritis [01/,ɔstiouə:'θraitis/]	[01* dtừ]\n- (y) viêm xương khớp
osteoblast [01/'ɔstiəblɑ:st/]	[01* dtừ]\n- (phẫu) tế bào tạo xương, nguyên bào xương
osteoblastic [01/'ɔstiəblɑ:stik/]	[01* ttừ]\n- xem [03osteoblast], thuộc tế bào tạo xương
osteochondral [01/'ɔstiəkɔndrəl/]	[01* ttừ]\n- thuộc xương sụn
osteoclasis [01/,ɔsti'ɔkləsis/]	[01* dtừ]\n- (y) sự huỷ xương\n- phương pháp chỉnh xương
osteoclast [01/'ɔstiou,klæst/]	[01* dtừ]\n- tế bào hủy xương
osteoclastic [01/'ɔstiou,klæstik/]	[01* ttừ]\n- xem [03osteoclast], thuộc tế bào hủy xương
osteocope [01/'ɔstiə,koup/]	- (y) nhức xương
osteocranium [01/'ɔstiə'kreiniəm/]	[01* ttừ]\n- thuộc xương sọ
osteocyte [01/'ɔstiə,sait/]	[01* dtừ]\n- tế bào xương
osteodentine [01/'ɔstiə,dentin/]	[01* dtừ]\n- chất xương răng
osteogenesis [01/,ɔstiou'dʒenisis/]	[01* dtừ]\n- (sinh vật) sự tạo xương
osteogenetic [01/,ɔstioudʒi'netik/]	[01* ttừ]\n- (sinh vật) tạo xương
osteogeny [01/,ɔsti'ɔdʒini/]	[01* dtừ]\n- xem [03osteogenesis] 
osteography [01/,ɔsti'ɔgrəfi/]	[01* dtừ]\n- khoa mô tả xương
osteoid [01/'ɔstiɔid/]	[01* ttừ]\n- tựa xương, giống xương
osteolite [01/'ɔstiɔ,lait/]	[01* dtừ]\n- (khoáng vật học) Oteolit
osteological [01/,ɔsti'lɔdʒikəl/]	[01* ttừ]\n- (thuộc) khoa xương
osteology [01/,ɔsti'ɔlədʒi/]	[01* dtừ]\n- khoa xương
osteoma [01/,ɔsti'oumə/]	[01* dtừ]\n- (y) u xương
osteomalacia [01/,ɔstioumə'lei∫iə/]	[01* dtừ]\n- chứng nhuyễn xương
osteomere [01/'ɔstiəmiə/]	[01* dtừ]\n- đốt xương sống
osteomyelitis [01/'ɔstiou,maiə'laitis/]	[01* dtừ]\n- (y) viêm xương tuỷ
osteopath [01/'ɔstiəpæθ/]	[01* dtừ]\n- người (biết thuật) nắn xương
osteopathic	[01* ttừ]\n- thuộc thuật nắn xương
osteopathy [01/,ɔsti'ɔpəθi/]	[01* dtừ]\n- thuật nắn xương
osteoplastic [01/,ɔstiə'plæstik/]	[01* ttừ]\n- tạo xương
osteoplasty [01/'ɔstiə,plæsti/]	[01* dtừ]\n- (y) sự tạo hình xương
osteoporosis	như [03ossteoporosis]
osteosarcoma [01/,ɔstiəsa:'koumə/]	[01* dtừ] s/n [02osteosarcomata]\n- Xacôm xương
osteosarcomata [01/,ɔstiəsa:'koumətə/]	[01* dtừ] s/n\n- xem [03osteosarcoma] 
osteospongium [01/,ɔstiou'spʌndʒiəm/]	[01* dtừ]\n- xương xốp
osteosuture [01/ɔstə'sjut∫ə/]	[01* dtừ]\n- đường nối xương
osteotome	[01* dtừ]\n- cái đục xương
osteotomy [01/,ɔsti'ɔtəmi/]	[01* dtừ]\n- (y) thủ thuật mở xương, thủ thuật đục xương
ostia [01/'ɔstiə/]	[01* dtừ] s/n\n- xem [03ostium] 
ostial [01/'ɔstiəl/]	[01* ttừ]\n- thuộc miệng
ostiary [01/'ɔstiəri/]	[01* dtừ]\n- (sử học) La mã người gác cổng
ostiolar [01/'ɔstioulə/]	[01* ttừ]\n- thuộc miệng nhỏ
ostiolate [01/'ɔstiouleit/]	[01* ttừ]\n- có miệng nhỏ
ostiole [01/'ɔstioul/]	[01* dtừ]\n- miệng nhỏ
ostiolum	[01* dtừ]\n- xem [03ostiole] 
ostium [01/'ɔstiəm/]	[01* dtừ] s/n [02ostia]\n- miệng; lổ hở; khe tim (chân khớp) 
ostler [01/'ɔslə/]	như [03hostler]
ostomy [01/'ɔstəmi/]	[01* dtừ]\n- cách mổ để tạo nên hậu môn nhân tạo
ostosis [01/ɔs'tousis/]	[01* dtừ]\n- (sinh vật) sự hoá xương
ostpolitik [01/'ɔspəli,ti:k/]	[01* dtừ]\n- chính sách bình thường hoá quan hện của phương Tây với Đông Âu và Liên Xô (vào những năm 1970) 
ostracea [01/ɔs'trei∫i:/]	[01* dtừ]\n- (động vật) loại hàu
ostracean [01/ɔs'trei∫nə/]	- ttừ\n- thuộc loại hàu
ostracion	[01* dtừ]\n- (động vật) cá nóc hòm
ostracise [01/'ɔstrəsaiz/]	như [03ostracize]
ostracism [01/'ɔstrəsizm/]	[01* dtừ]\n- sự đày, sự phát vãng\n- sự khai trừ, sự tẩy chay; sự loại ra ngoài (tổ chức...) 
ostracize [01/'ɔstrəsaiz/]	[01* ngđtừ]\n- đày, phát vãng\n- khai trừ, tẩy chay, loại ra ngoài (tổ chức...) 
ostracode	[01* dtừ]\n- (động vật) bộ vỏ xíu (động vật thân giáp) 
ostracoderm [01/'ɔstrəkə,də:m/]	[01* dtừ]\n- (động vật) bộ cá giáp (hoá thạch) 
ostreiculture [01/'ɔstriikʌltʃə/]	[01* dtừ]\n- sự nuôi trai sò
ostreiculturist [01/'ɔstriikʌlt∫ərist/]	[01* dtừ]\n- người nuôi trai sò
ostreophagous [01/,ɔstri'ɔfəgəs/]	[01* ttừ]\n- ăn trai sò
ostrich [01/'ɔstrit∫/]	[01* dtừ]\n- (động vật) đà điểu Châu phi\n[04! to have the digestion of an ostrich]\n- có bộ máy tiêu hoá tốt
ostrich-farm [01/'ɔstrit∫fɑ:m/]	[01* dtừ]\n- trại nuôi đà điểu
ostrichism	[01* dtừ]\n- xem [03ostrich-policy] 
ostrich-like [01/'ɔstrik,laik/]	[01* ttừ]\n- dạng đà điểu (ăn nhiều) 
ostrich-plum [01/'ɔstrit∫plu:m/]	[01* dtừ]\n- lông đà điểu
ostrich-policy [01/'ɔstrit∫'pɔlisi/]	[01* dtừ]\n- chính sách đà điểu (tự mình dối mình) 
Ostrogothic [01/,ɔstrə'gɔθik/]	[01* ttừ]\n- xem [03Ostrogoth] thuộc người Đông-Gốt
