overpaid [01/'ouvə'peid/]	như [03overpay]
overpass [01/'ouvəpa:s/]	[01* dtừ]\n- (Mỹ) cầu bắc qua đường, cầu chui(,ouvə'pɑ:s)\n[01* ngđtừ]\n- đi qua\n- vượt qua (khó khăn...), vượt quá (giới hạn...)\n- (Mỹ) kinh qua\n- (Mỹ) làm ngơ, bỏ qua, không đếm xỉa đến
overpast [01/'ouvə 'pa:st/]	[01* ttừ]\n- qua rồi, trôi qua rồi\n- bỏ qua
overpatient [01/,ouvə'pei∫nt/]	[01* ttừ]\n- chịu đựng quá mức
overpay [01/,ouvə'pei/]	[01* ngđtừ overpaid]\n- trả quá nhiều, trả thù lao quá cao (ai, việc gì) 
overpeopled [01/'ouvə'pi:pld/]	[01* ttừ]\n- quá đông dân, quá đông người
overpersuade [01/'ouvəpə'sweid/]	[01* ngđtừ]\n- thuyết phục (ai, miễn cưỡng làm gì) 
overpicture [01/'ouvə'pikt∫ə/]	[01* ngđtừ]\n- cường điệu, phóng đại
overpitch [01/'ouvə'pit∫/]	[01* ngđtừ]\n- (thể thao) đánh cho lăn quá gần cột thành (bóng crickê) 
overplay [01/,ouvə'plei/]	[01* ngđtừ]\n- cường điệu (sự diễn xuất, tình cảm...)\n- nhấn mạnh quá mức vào giá trị của, nhấn mạnh quá mức vào tầm quan trọng của\n[01* nđtừ]\n- cường độ trong diễn xuất
overplus [01/'ouvəplʌs/]	[01* dtừ]\n- số thừa, số thặng dư\n- số lượng quá lớn
overpoise [01/'ouvə'pɔiz/]	[01* ngđtừ]\n- cân nặng hơn
overpopulated [01/,ouvə'pɔpjuleitid/]	[01* ttừ]\n- đông dân quá
overpopulation [01/'ouvə,pɔpju'lei∫n/]	[01* dtừ]\n- sự đông dân quá\n- số dân đông quá
overpot [01/,ouvə'pɔt/]	[01* ngđtừ]\n- trồng (cây hoa...) vào chậu to quá
overpower [01/,ouvə'pauə(r) /]	[01* ngđtừ]\n- áp đảo, chế ngự\n- khuất phục\n- làm mê mẩn; làm say (rượu)\n- (Mỹ) cung cấp nhiều điện quá cho
overpowering [01/,ouvə'pauəriη/]	[01* ttừ]\n- áp dảo, chế ngự\n- khuất phục không cưỡng lại được\n- làm mê mẩn
overpraise [01/'ouvəpreiz/]	[01* dtừ]\n- lời khen quá đáng\n- sự khen quá lời('ouvə'preiz)\n[01* ngđtừ]\n- quá khen, khen quá lời
overpreach [01/'ouvə'pri:t∫/]	[01* nđtừ]\n- thuyết giáo quá nhiều
overpress [01/,ouvə'pres/]	[01* ngđtừ]\n- áp chế quá mức, đè nén quá mức
overpressure [01/'ouvəpre∫ə/]	[01* dtừ]\n- áp lực quá cao\n- việc làm quá bận
overprint [01/'ouvəprint/]	[01* dtừ]\n- (ngành in) cái in thừa, cái in đè lên (tem)\n- tem có chữ in đè lên\n[01* ngđtừ]\n- (ngành in) in đè lên (tem) 
over-prize [01/,ouvə 'praiz/]	[01* ngđtừ]\n- thưởng quá mức
overproduce [01/'ouvəprə'dju:s/]	[01* đtừ]\n- sản xuất thừa, sản xuất quá nhiều
