paradoxicalness	- xem [03paradox] 
paradoxure [01/,pærə'dɔksə/]	như [03palm-cat]
paradrome [01/'pærədroum/]	[01* dtừ]\n- hành lang không mái
paraesthesia [01/,pæri:s'θi:ʒiə/]	[01* dtừ]\n- cảm giác khác thường
paraffin [01/'pærəfin/]	[01* dtừ]\n- (hoá) Parafin\n[01* ngđtừ]\n- đắp parafin; chữa bằng parafin
paraffin lamp [01/'pærəin læmp/]	[01* dtừ]\n- đèn dầu hoả
paraffin oil [01/'pærəfinɔil/]	[01* dtừ]\n- dầu parafin
paraffinic	- xem [03paraffin] 
parafrons [01/pærə'frɔns/]	[01* dtừ]\n- vùng bên trán; vùng trán mắt
parafrontals [01/pærə'frʌntəlz/]	[01* dtừ] s/n\n- (sinh vật) mảnh trán - mắt
parafunction [01/pærə'fʌηk∫n/]	[01* dtừ]\n- chức năng phụ, thứ yếu
paraganglia [01/pərə'gæηgliə/]	[01* dtừ] s/n\n- xem [03paraganglion] 
paraganglion [01/pərə'gæηgliən/]	[01* dtừ] s/n [02paraganglia]\n- hạch bên
paragaster [01/pərə'gæstə/]	[01* dtừ]\n- khoang giữa, khoang dạ giả (bọt biển) 
paragastric [01/pərə'gæstrik/]	[01* ttừ]\n- (thuộc) xem [03paragaster] 
paragastrula [01/pərə'gæstrulə/]	[01* dtừ]\n- phôi dạ giả (bọt biển) 
paragenesis [01/pærə'dʒenəsis/]	[01* dtừ]\n- sự sinh sản phụ
paraglobulin [01/pərə'glɔbjulin/]	[01* dtừ]\n- Glôbulin (trong huyết thanh) 
paraglossa [01/pærə'glɔsə/]	[01* dtừ] s/n [02paraglossae]\n- mảnh bên lưỡi (côn trùng) 
paraglossae [01/pærə'glɔsi:/]	[01* dtừ] s/n\n- xem [03paraglossa] 
paraglossal [01/pærə'glɔsəl/]	[01* ttừ]\n- xem [03paraglossa] 
paragoge [01/pærə'goudʒi/]	[01* dtừ]\n- (ngôn) sự đệm âm, sự đệm chữ cái
paragogic [01/pærə'goudʒik/]	[01* ttừ]\n- (thuộc) xem [03paragoge] 
paragon [01/'pærəgən/]	[01* dtừ]\n- mẫu mực; tuyệt phẩm\n[02= paragon of virture] mẫu mực về đạo đức\n- viên kim cương tuyệt đẹp (hơn 100 cara)\n[01* ngđtừ]\n- (thơ ca)(+ with) so sánh (với) 
paragraph [01/'pærəgrɑ:f/]	[01* dtừ]\n- đoạn văn\n- dấu mở đầu một đoạn văn; dấu xuống dòng\n- mẫu tin (trên báo, thường không có đề)\n[01* ngđtừ]\n- sắp xếp (một bài...) thành đoạn; chia thành đoạn\n- viết mẫu tin (về người, vật...) 
paragrapher [01/'pærəgrɑ:fə/]	như [03paragraphist]
paragraphia [01/pærə'gra:fiə/]	[01* dtừ]\n- (y) chứng viết lẫn
paragraphic [01/,pærə'græfik/]	như [03paragraphical]
paragraphical [01/,pærə'græfikl/]	[01* ttừ]\n- gồm có nhiều đoạn
paragraphist [01/'pærəgrəfist/]	[01* dtừ]\n- người chuyên viết mẫu tin (trên báo) 
paraguay [01/'pærəgwai/]	[01* dtừ]\n- (thực vật) chè matê
paraguayan [01/,pærə'gwaiən/]	[01* ttừ]\n- (thuộc) Pa-ra-guay\n[01* dtừ]\n- người Pa-ra-guay
paragula [01/'pærəgjulə/]	[01* dtừ]\n- vùng bên họng (côn trùng) 
paraheliotropic [01/pærəhi:liə'trɔpik/]	[01* ttừ]\n- hướng ngược ánh sáng (lá) 
paraheliotropism [01/pærəhi:li'ətrəpizm/]	[01* dtừ]\n- xem [03paraheliotropic], tính hướng ngược ánh sáng
parahormone [01/pærə'hɔ:moun/]	[01* dtừ]\n- hocmôn giả
parainfluenza [01/,pærəinflu'enzə/]	[01* dtừ]\n- virut gây bệnh khó thở của trẻ em
parakeet [01/'pærəki:t/]	như [03paroquet]
parakeratosis [01/pærəkerə'tousis/]	[01* dtừ]\n- (sinh vật) sự hoá sừng giả
parakite [01/'pærəkait/]	[01* dtừ]\n- (hàng không) diều dù (diều dùng làm dù)\n- diều không đuôi (để tiến hành những nghiên cứu khoa học không trung) 
paraldehyde [01/,pæ'rəldihaid/]	[01* dtừ]\n- (hoá) Paranddehyt
paralectotype [01/pærə'lektoutaip/]	[01* dtừ]\n- vật mẫu chọn không tiêu biểu
paralectotypic [01/pærə,lektou'taipik/]	[01* ttừ]\n- (thuộc) xem [03paralectotype] 
