penholder [01/'pen,houldə/]	[01* dtừ]\n- quản bút
penial [01/'pi:njəl/]	[01* ttừ]\n- (phẫu)(thuộc) dương vật
penicillamine [01/peni'siləmin/]	[01* dtừ]\n- (hoá) penisilamin
penicillase [01/peni'sileiz/]	[01* dtừ]\n- (hoá) penixilaza
penicillate [01/peni'silət/]	[01* ttừ]\n- dạng chổi; dạng bút lông
penicilli	- xem [03penicillium] 
penicilliform [01/peni'silifɔ:m/]	[01* ttừ]\n- xem [03penicillate] 
penicillin [01/,peni'siliη/]	[01* dtừ]\n- Pênixilin
penicillium [01/peni'siləm/]	[01* dtừ] s/n [02penicilli]\n- chổi; bút lông
penile [01/'pi:nail/]	[01* ttừ]\n- tác động đến dương vật
peninsula [01/pə'ninsjulə/]	[01* dtừ]\n- bán đảo
peninsular [01/pi'ninsjulə(r) /]	[01* ttừ]\n- (thuộc) bán đảo; giống như một bán đảo; ở bán đảo\n[01* dtừ]\n- người ở bán đảo
peninsulate [01/pi'ninsjuleit/]	[01* ngđtừ]\n- biến (một vùng đất đai) thành bán đảo
penis [01/'pi:nis/]	[01* dtừ, s/n [03penes] /'pi:ni:z/\n- (phẫu) dương vật
penitence [01/'penitəns/]	[01* dtừ]\n- sự ăn năn, sự hối lỗi; sự sám hối
penitent [01/'penitənt/]	[01* ttừ]\n- ăn năn, hối lỗi; sám hối\n[01* dtừ]\n- người ăn năn, người hối lỗi; người biết sám hối
penitential [01/,peni'ten∫l/]	[01* ttừ]\n- ăn năn, hối lỗi; để sám hối\n[02= the penitential psalms] kinh sám hối
penitentially [01/,peni'ten∫əli/]	[01* phtừ]\n- ăn năn, hối lỗi, sám hối
penitentiary [01/,peni'ten∫əri/]	[01* dtừ]\n- trại cải tạo, trại cải tạo gái điếm\n- (Mỹ) nhà lao\n[01* ttừ]\n- để cải tạo; (thuộc) cải tạo\n- khổ hạnh để sám hối
penitently [01/'penitəntli/]	như [03penitentially]
penknife [01/'pennaif/]	[01* dtừ]\n- dao nhíp
penlight [01/'penlait/]	- Cách viết khác : [03penlite]
pen-maker [01/'penmeikə/]	[01* dtừ]\n- thợ làm bút\n- dụng cụ làm bút
penman [01/'penmən/]	[01* dtừ]\n- người viết\n[02= a good penman] người viết đẹp\n[02= a bad penman] người viết xấu\n- nhà văn, tác giả
penmanship [01/'penmən∫ip/]	[01* dtừ]\n- thuật viết, cách viết, lối viết\n- phong cách viết văn, văn phong
pen-master [01/'penma:stə/]	[01* dtừ]\n- văn sĩ bậc thầy
penna [01/'penə/]	[01* dtừ] s/n [02pennae]\n- lông thân chim
