attitudinal	- xem [03attitude] 
attitudinise [01/,æti'tju:dinaiz/]	[01* nđtừ]\n- lấy dáng, làm điệu bộ
attitudinize [01/,æti'tju:dinaiz/]	như [03attitudinise]
atto	- (kỹ) attô (10 lũy thừa -18) 
attoelectronic emission	- (kỹ) phóng xạ âm điện tử
attorney [01/ə'tə:ni/]	[01* dtừ]\n- người được uỷ quyền đại diện trước toà\n[02= a letter (warrant) of attorney] giấy uỷ quyền\n[02= power of attorney] quyền uỷ nhiệm\n- (Mỹ) luật sư (ở Anh bây giờ thường dùng với ý đùa cợt hoặc làm giảm giá trị)\n[04! attorney at law]\n- luật sư\n[04! Attoney General]\n- viện chưởng lý
attorneyship	- xem [03attorney] 
attract [01/ə'trækt/]	[01* ngđtừ]\n- (lý) hút\n[02= magner attracts iron] nam châm hút sắt\n- thu hút, hấp dẫn, lôi cuốn\n[02= to attract attention] lôi cuốn sự chú ý
attractable [01/ə'træktəbl/]	[01* ttừ]\n- có thể hút được\n- có thể thu hút, có thể hấp dẫn, có thể lôi cuốn
attractant [01/ə'træktənt/]	[01* dtừ]\n- chất hấp dẫn, chất hoá học thu hút côn trùng
attracted-disc electrometer	- (kỹ) tĩnh điện kế kiểu hút đĩa
attracter	- xem [03attract] 
attraction [01/ə'træk∫n/]	[01* dtừ]\n- (lý) sự hút; sức hút\n[02= mutual attraction] sự hút lẫn nhau\n[02= terrestrial attraction] sức hút của trái đất\n[02= magnetic attraction] sức hút từ\n[02= electrostatic attraction] sức hút tĩnh điện\n[02= molecular attraction] sức hút phân tử\n[02= cạpillary attraction] sức hút mao dẫn\n- sự thu hút, sự hấp dẫn, sự lôi cuốn; sức hấp dẫn, sức lôi cuốn\n- cái thu hút, cái hấp dẫn, cái lôi cuốn
attractive [01/ə'træktiv/]	[01* ttừ]\n- hút\n[02= attractive force] lực hút\n- thu hút, hấp dẫn, lôi cuốn, quyến rũ; có duyên
attractively [01/ə'træktivli/]	[01* phtừ]\n- hấp dẫn, lôi cuốn
attractiveness [01/ə'træktivnis/]	[01* dtừ]\n- sự hút\n- sự thu hút, sự hấp dẫn, sự lôi cuốn, sự quyến rũ, sự duyên dáng
attractor	như [03attracter]
attributable [01/ə'tribjutəbl/]	[01* ttừ]\n- có thể quy cho
attribute [01/'ætribju:t/]	[01* dtừ]\n- thuộc tính\n- vật tượng trưng\n- (ngôn) thuộc ngữ\n[01* ngđtừ]\n- cho là do, quy cho\n[02= to attribute one's success to hard work] cho thành công là do sự cần cù\n[02= to attribute a crime to somebody] quy tội cho ai
attributer	như [03attributor]
attribution [01/,ætri'bju:∫n/]	[01* dtừ]\n- sự quy ra\n- quyền hành ban cho; quyền lực, thẩm quyền
attributional	- xem [03attribution] 
attributive [01/ə'tribjutiv/]	[01* ttừ]\n- (ngôn)(thuộc) thuộc ngữ; có tính chất thuộc ngữ\n[02= attributive syntagma] ngữ đoạn thuộc ngữ\n[01* dtừ]\n- (ngôn) thuộc ngữ
attributively [01/ə'tribjutivli/]	[01* phtừ]\n- như là thuộc ngữ, với tính cách thuộc ngữ
attributiveness	- xem [03attributive] 
attributor	- xem [03attribute] 
attrita [01/ə'tritə/]	[01* dtừ]\n- đất bị mài mòn
attrited [01/ə'traitid/]	[01* ttừ]\n- bị cọ mòn
attrition [01/ə'tri∫n/]	[01* dtừ]\n- sự cọ mòn\n- sự làm cho mệt mỏi, sự làm kiệt sức; sự tiêu hao\n[02= a war of attrition] chiến tranh tiêu hao\n- (thần thoại) sự sám hối, sự thống khổ vì tội lỗi\n- (kỹ) hao mòn
attune [01/ə'tju:n/]	[01* ngđtừ]\n- làm cho hoà hợp\n- làm cho hợp âm, hoà dây (đàn) ; lên dây (đàn) 
atwitter [01/ə'twitə/]	[01* ttừ]\n- rộn rịp, nhao nhác\n[02= The whole village is atwitter at the news] Tin ấy làm cả làng nhao nhác
atypical [01/ə'tipikəl/]	[01* ttừ]\n- không đúng kiểu, không điển hình
atypicality	như [03atypically]
atypically	- xem [03atypical] 
au courant [01/,əʊ kʊ'rɑn; US,əʊ kʊ'rɒ:n/]	[01* ttừ] hoàn toàn biết về (cái gì), có những thông tin mới nhất\n[02= I don't feel entirely au courant with the situation.] Tôi cảm thấy hoàn toàn không biết gì về thời cuộc.
au fait [01/,ou 'fei/]	[01* ttừ]\n- hoàn toàn quen thuộc (với cái gì) 
au fond [01/,ou 'fɒn/]	[01* phtừ]\n- về cơ bản
au gratin [01/,ou 'grætæn/]	[01* phtừ]\n- nấu với vỏ bánh mì vụn giòn hoặc phó mát thái vụn
au jus [01/ou'ʒju:/]	[01* ttừ] (món ăn) kèm với thịt ép lấy nước
au lait [01/ou'lei/]	[01* ttừ] lẫn với sữa
au pair [01/ou'peə/]	[01* ttừ]\n- trao đổi (con cho ăn học...) 
au revoir [01/ourə'vwɑ:r/]	[01* phtừ]\n- chào tạm biệt
aubade [01/ou'bɑ:d/]	[01* dtừ]\n- (âm nhạc) khúc nhạc sớm
aubergine [01/'oubədʒi:n/]	[01* dtừ]\n- (thực vật) cà tím
aubrietia [01/ɔ:'bri:∫ə/]	[01* dtừ]\n- cây cải tím
aubur [01/'ɔ:bən/]	[01* ttừ]\n- màu nâu vàng (tóc) 
auburn [01/'ɔ:bən/]	như [03aubur]
auction [01/'ɔ:k∫n/]	[01* dtừ]\n- sự bán đấu giá; cuộc bán đấu giá (cũng) [03auction sale]\n[02= to put up to/at auction; to sell by/at auction] bán đấu giá\n[02= the house is up for auction/will be sold by auction] ngôi nhà được đem bán đấu giá/sẽ được bán đấu giá\n[02= to attend all the local auctions] tham dự mọi cuộc bán đấu giá ở địa phương\n[04! auction bridge]\n- dạng bài bridge mà trong đó, các người chơi xướng bài lên để giành quyền gọi chủ bài\n[01* động từ]\n- bán đấu giá\n[02= to auction something off] bán đấu giá cho rảnh (nhất là những hàng dư thừa)
auctioneer [01/,ɔ:k∫ə'niə/]	[01* dtừ]\n- người bán đấu giá\n[01* nđtừ]\n- phụ trách việc bán đấu giá, điều khiển việc bán đấu giá
auctorial [01/ɔ:k'tɔ:riəl/]	[01* ttừ]\n- của một tác giả
audacious [01/ɔ:'dei∫əs/]	[01* ttừ]\n- gan, táo bạo\n- trơ tráo, mặt dạn mày dày, càn rỡ
audaciously [01/ɔ:'dei∫əsli/]	[01* phtừ]\n- táo bạo\n- trơ trẽn, trâng tráo
audaciousness [01/ɔ:'dei∫əsnis/]	[01* dtừ]\n- sự cả gan, sự táo bạo\n- sự trơ tráo, sự càn rỡ
audacity [01/ɔ:'dæsiti/]	như [03audaciousness]
audibility [01/,ɔ:di'biliti/]	[01* dtừ]\n- sự có thể nghe thấy\n- độ nghe rõ, giới hạn nghe
audibility factor	- (kỹ) hệ số thính âm
audibility meter	- (kỹ) máy đo độ nghe rõ
audible [01/'ɔ:dəbl/]	[01* ttừ]\n- có thể nghe thấy, nghe rõ
audible signal	- (kỹ) tín hiệu thính âm
audible spectrum	- (kỹ) phổ thính âm
audible test	- (kỹ) thử nghe, thử thính âm
audible tone	- (kỹ) giọng nghe được
audibleness [01/'ɔ:dəblnis/]	như [03audibility]
audibly [01/'ɔ:dəbli/]	[01* phtừ]\n- rõ ràng, rành rành
audience [01/'ɔ:djəns/]	[01* dtừ]\n- những người nghe, thính giả; người xem, khán giả; bạn đọc, độc giả\n- sự nghe\n[02= to give audience] lắng nghe\n- sự hội kiến, sự yết kiến; sự tiếp kiến\n[02= to grant an audience to somebody] tiếp kiến ai\n[02= to have an audience of (with) someone] hội kiến với ai
audience microphone	- (kỹ) máy vi âm nền động
audience-chamber [01/'ɔ:djəns,t∫eimbə/]	[01* dtừ]\n- phòng tiếp kiến
audio	- (thuộc) âm
audio (frequency) device	- (kỹ) bộ (tần số) âm thanh
audio (frequency) effect	- (kỹ) hiệu ứng (tần số) âm thanh
audio amplifier	- (kỹ) bộ khuếch đại âm thanh
audio book	- (kỹ) sách dạng âm thanh
audio disk	- (kỹ) đĩa âm thanh
audio engineering	- (kỹ) kỹ thuật âm thanh = [03acoustic engineering] 
audio frequency [01/'ɔ:diou'fri:kwənsi/]	[01* dtừ]\n- rađiô tần (số) âm thanh
audio frequency transformer	- (kỹ) bộ biến âm tần
audio generator	- (kỹ) máy tạo sóng âm tần
audio head	- (kỹ) đầu ghi âm
audio indicator	- (kỹ) bộ chỉ báo âm lượng
audio modulation	- (kỹ) biến điệu âm tần
audio operator	- (kỹ) nhân viên thu-phát thanh
audio oscillator	- (kỹ) bộ dao động âm thanh
audio output	- (kỹ) phát âm thanh
audio reproduction	- (kỹ) tái tạo âm thanh
audio response device	- (kỹ) bộ phát âm
audio response unit	- (kỹ) bộ phận đáp lời
audio signal	- (kỹ) tín hiệu âm thanh
audio tape	- (kỹ) băng âm (tần) 
audio transformer	- (kỹ) bộ biến áp âm tần
audio transmission	- (kỹ) truyền âm thanh
audio typist	[01* dtừ]\n- người nghe băng ghi âm và các loại hình máy móc để nghe
audiofrequency [01/'ɔ:diou'fri:kwənsi/]	[01* dtừ]\n- (rađiô) tần số âm thanh
audiofrequency meter	- (kỹ) máy đo âm tần
audiofrequency oscillator	- (kỹ) bộ dao động âm tần
audiofrequency spectrometer	- (kỹ) phổ kế âm tần
audio-frequency wave	- (kỹ) sóng âm-tầm
audiogenic [01/ɔ:diɔ'dʒenik/]	[01* ttừ]\n- tạo nên bởi những tần số tương ứng với sóng âm thanh
audiogram [01/'ɔ:diougræm/]	[01* dtừ]\n- đồ thị nghe\n- (kỹ) biểu đồ âm thanh
audiograph [01/'ɔ:diougrɑ:f/]	[01* dtừ]\n- máy ghi sức nghe
audio-lingual [01/,ɔdiou'linguəl/]	[01* ttừ]\n- nghe nói
audiologist [01/,ɔ:di'ɔlədʒist/]	[01* dtừ]\n- nhà thính học
audiology [01/,ɔdi'ɔlədʒi/]	[01* dtừ]\n- thính học
audiometer [01/,ɔ:di'ɔmitə/]	[01* dtừ]\n- cái đo sức nghe
audiometric	- xem [03audiometer] 
audiometry [01/,ɔ:di'ɔmitri/]	[01* dtừ]\n- phép đo sức nghe
audion [01/'ɔ:diən/]	[01* dtừ]\n- (lý) triôt, đèn ba cực
audiophone [01/'ɔ:dioufoun/]	[01* dtừ]\n- máy tăng sức nghe; máy trợ thính
audiotypist [01/'ɔ:diou'taipist/]	như [03audio typist]
audio-visual	- (kỹ) thính thị, nghe nhìn
audiovisual [01/'ɔ:diou'vizjuəl/]	[01* ttừ]\n- nghe nhìn; thính thị\n[02= audio-visual method] phương pháp nghe nhìn (để dạy tiếng...), phương pháp thính thị
audio-visual equipment	- (kỹ) thiết bị thính thị
audio-visual method [01/'ɔ:diou'vizjuəl'meθəd/]	[01* dtừ]\n- phương pháp nghe nhìn (để dạy tiếng...) 
audio-visual recorder	- (kỹ) máy ghi thính thị
audiovisual system	- (kỹ) hệ thống thính thị
audio-visual-method [01/'ɔ:diou'vizjuəl'meθəd/]	như [03audio-visual method]
audiphone [01/'ɔ:difoun/]	[01* dtừ]\n- máy tăng sức nghe
audit [01/'ɔ:dit/]	[01* dtừ]\n- sự kiểm tra (sổ sách)\n[02= audit ale] bia đặc biệt trong ngày kiểm tra sổ sách\n- sự thanh toán các khoản (theo kỳ hạn) giữa tá điền và địa chủ\n[01* ngđtừ]\n- kiểm tra (sổ sách) 
audit log	- (kỹ) sổ kiểm tra
audit trail	- (kỹ) vết kiểm tra, dấu kiểm tra
auditing	- (kỹ) kiểm tra quản lý
audition [01/ɔ:'di∫n/]	[01* dtừ]\n- sức nghe; sự nghe; thính giác\n- (sân khấu) sự thử giọng, sự hát nghe thử (trước khi nhận vào làm diễn viên hát)\n[01* ngđtừ]\n- (sân khấu) thử giọng (trước khi nhận vào làm diễn viên hát)\n[01* nđtừ]\n- tổ chức một buổi hát thử giọng
auditive [01/'ɔ:ditiv/]	[01* ttừ]\n- (thuộc) sự nghe; (thuộc) thính giác
auditor [01/'ɔ:ditə/]	[01* dtừ]\n- người kiểm tra sổ sách\n- người nghe, thính giả
auditorial [01/,ɔ:di'tɔ:riəl/]	[01* ttừ]\n- (thuộc) sự kiểm tra sổ sách
auditorium [01/,ɔ:di'tɔ:riəm/]	[01* dtừ]\n- phòng thính giả, giảng đường
auditory [01/'ɔ:ditəri/]	[01* ttừ]\n- (thuộc) sự nghe; (thuộc) thính giác\n[02= auditory organ] cơ quan thính giác\n[02= auditory never] dây thần kinh thính giác\n- thâu nhận bằng tai\n[01* dtừ]\n- những người nghe, thính giả\n- (hiếm)(như) [03auditorium] 
auditory sensation	- (kỹ) cảm quan thính giác
auf wiedersenhen [01/ɔwf'vi:dəzein/]	- tạm biệt
Aug [01/ɔ:g/]	[01* (vt)]\n- tháng tám ([03August]) 
augean stable [01/ɔ:'dʒi:-ən'steibl/]	[01* dtừ] s/n [03augean stables]\n- chuồng ngựa Au-giê; nơi rất bẩn thỉu\n[02= every goverment should attend to cleaning its own Augean Stable.] Mỗi chính phủ phải lo quét sạch các chuồng ngựa bẩn thỉu của mình
augend	- (kỹ) toán tố thứ nhất (toán cộng) ; số bị cộng; số hạng thứ hai
augend digit	- (kỹ) số tự số hạng thứ hai
auger [01/'ɔ:gə/]	[01* dtừ]\n- cái khoan, mũi khoan\n- máy khoan (thăm dò địa chất) 
aught [01/ɔ:t/]	[01* dtừ]\n- cái gì\n[02= if you have aught to say] nếu anh có cái gì muốn nói\n[01* phtừ]\n- (cổ) chút nào, chút gì, chừng mực nào; một mặt nào đó\n[02= for aught I know] trong chừng mực mà tôi biết
augitə [01/'ɔ:dʤait/]	[01* dtừ]\n- (địa) Ogit
augite [01/'ɔ:dʒait/]	[01* dtừ]\n- <địa> Ogit
augment [01/'ɔ:gmənt/]	[01* dtừ]\n- (ngôn) gia tố, yếu tố thêm(ɔ:g'ment)\n[01* ngđtừ]\n- làm tăng lên\n- (ngôn) thêm gia tố\n[01* nđtừ]\n- tăng lên
augmentable	như [03augmenter]
augmentation [01/,ɔ:gmen'tei∫n/]	[01* dtừ]\n- sự làm tăng lên; sự làm rộng ra; sự tăng lên; sự thêm vào\n- (âm nhạc) cách giãn rộng, phép mở rộng
augmentative [01/ɔ:g'mentətiv/]	[01* ttừ]\n- làm tăng thêm\n- (ngôn) tăng to (hậu tố)\n[01* dtừ]\n- (ngôn) hậu tố tăng to; từ tăng to
augmented	- được tăng
augmenter	- xem [03augment] 
augmention	- (kỹ) làm tăng, tăng lên (d) 
augur [01/'ɔ:gə/]	[01* dtừ]\n- (cổ) thầy bói\n[01* đtừ]\n- tiên đoán, bói\n- báo trước, là điềm báo trước\n[02= to augur well for] là điềm tốt cho;\n[02= to augur ill for] là điềm xấu cho
augural [01/'ɔ:gjurəl/]	[01* ttừ]\n- (thuộc) thuật bói toán\n- là điềm báo trước; có ý nghĩa đối với tương lai
augury [01/'ɔ:gjuri/]	[01* dtừ]\n- thuật xem điềm mà bói\n- điềm, triệu\n- linh cảm\n- lời đoán trước
august [01/ɔ:'gʌst/]	[01* dtừ]\n- tháng tám\n[01* ttừ]\n- uy nghi, oai nghiêm, oai vệ, oai phong\n- đáng kính trọng
augustan [01/ɔ:'gʌstən/]	[01* ttừ]\n- thuộc triều đại Augustus Caesar khi nền văn học La Mã hưng thịnh\n- cổ điển, kiểu cách (nói về <văn>) 
augustly	- xem [03august] 
augustness	như [03augustly]
auk [01/ɔ:k/]	[01* dtừ]\n- (động vật) chim anca
auld lang syne [01/'ɔ:ldlæη'sain/]	[01* phtừ]\n- (Ê-cốt) ngày xưa, thuở xưa
aulic [01/'ɔ:lik/]	[01* ttừ]\n- (thuộc) triều đình
aulophyte [01/'ɔ:ləfait/]	[01* dtừ]\n- thực vật sống trong hốc cây
aulostomatous [01/,ɔ:lə'stoumətəs/]	[01* ttừ]\n- (sinh học) có miệng ống
aumbry [01/'ɔ:mbri/]	[01* dtừ]\n- hốc tường trong nhà thờ để giữ cốc đĩa dùng vào lễ ban thanh thể
aunt [01/ɑ:nt/]	[01* dtừ]\n- cô, dì, thím, mợ, bác gái\n[04! my aunt!]\n- trời ơi!, thật à! (tỏ sự ngạc nhiên) 
aunt sally [01/'ɑ:nt,sæli/]	[01* dtừ]\n- trò chơi ném que vào ống điếu ở mồm người đàn bà bằng gỗ (ở chợ phiên)\n- (bóng) mục tiêu công kích; mục tiêu chế giễu
aunthood	- xem [03aunt] 
auntie [01/'ɑ:nti/]	[01* dtừ]\n- muấy dì, thím, mợ, bác gái
aura [01/'ɔ:rə/]	[01* dtừ]\n- hơi thoảng toát ra, hương toát ra (từ hoa...) ; tinh hoa phát tiết ra (của người...)\n- (y) hiện tượng thoáng qua
aural [01/'ɔ:rəl/]	[01* ttừ]\n- (thuộc) hương toát ra (từ hoa...) ; (thuộc) tinh hoa phát tiết ra\n- (y)(thuộc) hiện tượng thoáng qua\n- (thuộc) tai\n- đã nghe được bằng tai, qua tai\n[01* ttừ]\n- thuộc tai\n- đã nghe được bằng tai, qua tai
aural carrier	- (kỹ) sóng mang thanh, sóng tải âm
aural detection	- (kỹ) phát hiện bằng âm thanh
aural detector	- (kỹ) bộ kiểm sóng âm thanh
aural harmonic	- (kỹ) điều âm dựa trên thính giác
aural perception	- (kỹ) cảm thụ bằng thính giác
aural presentation	- (kỹ) trình bày bằng âm thanh
aural reception	- (kỹ) nhận bằng tai
aural signal	- (kỹ) tín hiệu chuông (quay về) 
aural transmitter	- (kỹ) máy phát thính-thị/thanh-hình
aural warning	- (kỹ) báo hiệu bằng âm thanh
aurally [01/'ɔ:rəli/]	[01* phtừ]\n- bằng cách nghe
aureate [01/ɔ':riit/]	[01* ttừ]\n- vàng ánh, màu vàng\n- rực rỡ, chói lọi
aureately	như [03aureateness]
aureateness	- xem [03aureate] 
aurelia [01/ɔ:'ri:ljə/]	[01* dtừ]\n- (động vật) con sứa\n- (cổ) con nhộng (bướm) 
aurelian [01/ɔ:'ri:ljən/]	[01* ttừ]\n- (động vật)(thuộc) loài sứa\n- (cổ)(thuộc) nhộng (bướm)\n[01* dtừ]\n- người sưu tập sâu bọ; người nuôi sâu bọ
aureola [01/ɔ:'riələ/]	như [03aureole]
aureole [01/'ɔ:rioul/]	[01* dtừ]\n- hào quang\n- quầng (mặt trời, mặt trăng) 
aureomycin [01/,ɔ:riou'maisin/]	[01* dtừ]\n- (y) Aureomixin
auric [01/'ɔ:rik/]	[01* ttừ]\n- (thuộc) vàng\n- (hoá)(thuộc) vàng III, auric\n- (địa) có vàng
auricle [01/'ɔ:rikl/]	[01* dtừ]\n- tai ngoài (động vật)\n- chỗ lồi ra như dái tai\n- (phẫu) tâm nhĩ
auricled [01/'ɔ:rikld/]	[01* ttừ]\n- có tai ngoài\n- hình dái tai; có tai\n- (phẫu) có tâm nhĩ
auricula [01/ə'rikjulə/]	[01* dtừ] s/n [02auriculas, auriculae]\n- (thực vật) cây tai gấu
auriculae [01/ə'rikjulə/]	như [03auricula]
auricular [01/ɔ:'rikjulə/]	[01* ttừ]\n- (thuộc) tai\n[02= auricular witness] người làm chứng những điều nghe thấy\n- nói riêng, nói thầm (vào lỗ tai)\n[02= auricular confession] lời thú tội riêng\n- hình giống tai ngoài\n- (phẫu)(thuộc) tâm nhĩ
auricularis [01/ɔ:ri'kjuləris/]	[01* dtừ]\n- (phẫu) học cơ tai
auricularly	- xem [03auricular] 
auriculate [01/ɔ:'rikjulit/]	[01* ttừ]\n- có tai
auriculately	- xem [03auriculate] 
auriculo-ventricular [01/ɔ:rikjuləven'trikjulə/]	[01* dtừ]\n- (giải phẩu học) thuộc nhĩ thất
auriferous [01/ɔ:'rifərəs/]	[01* ttừ]\n- có vàng
auriform [01/'ɔ:rifɔ:m/]	[01* ttừ]\n- hình tai
auriga [01/ɔ:'raigə/]	[01* dtừ]\n- (thiên văn) chòm sao Ngự phu
aurignacian [01/,ɔ:rig'nei∫ən/]	[01* ttừ]\n- thuộc thời kỳ Ô-ri-nhắc
aurilave [01/'ɔ:rileiv/]	[01* dtừ]\n- dụng cụ (để) rửa tai
