picador [01/'pikədɔ:(r) /]	như [03bullfighter]
picamar [01/'pikəmɑ:/]	[01* dtừ]\n- dầu hắc, hắc ín
picaresque [01/,pikə'resk/]	[01* ttừ]\n- nói về những cuộc phiêu lưu của những kẻ bất lương lưu lạc; lấy kẻ bất lương lưu lạc làm nhân vật chính (tiểu thuyết...) 
picaroon [01/,pikə'ru:n/]	[01* dtừ]\n- kẻ bất lương, kể cướp, kẻ trộm\n- tàu cướp biển\n[01* nđtừ]\n- ăn cướp, dở trò kẻ cướp
picayune [01/,piki'ju:n/]	[01* dtừ]\n- đồng tiền lẻ (1 đến 5 xu) ; (Mỹ),(sử học) đồng 5 xu\n- (thực vật) người tầm thường, người đáng kể; vật tầm thường, vật nhỏ mọn, vật không đáng kể\n[01* ttừ]\n- tầm thường, hèn hạ, đáng khinh
picayunish	- xem [03picayune] 
piccalilli [01/,pikə'lili/]	[01* dtừ]\n- dưa góp cay
piccaninny [01/,pikə'nini/]	như [03pickaninny]
piccolo [01/'pikəlou/]	[01* dtừ, s/n [03piccolos] /'pikəlouz/\n- (âm nhạc) sáo nh
piccoloist	- xem [03piccolo] 
piccolos [01/'pikəlouz/]	[01* dtừ]\n- <nhạc> sáo kim (nhạc cụ giống như sáo, có âm cao hơn một quãng tám) 
pice [01/pais/]	[01* dtừ]\n- (âm nhạc) đồng paixơ (tiền Pa-ki-xtan) 
pichiciago [01/,pit∫isi'eigou/]	[01* dtừ]\n- (động vật) con tatu Chi-lê
pick [01/pik/]	[01* dtừ]\n- sự chọn lọc, sự chọn lựa\n- người được chọn, cái được chọn\n- phần chọn lọc, phần tinh hoa, phần tốt nhất\n[02= the pick of the army] phần tinh nhuệ trong quân đội\n[01* dtừ]\n- cuốc chim\n- dụng cụ nhọn (để đâm, xoi, xỉa, đục, giùi)\n[01* ngđtừ]\n- cuốc (đất...) ; đào, khoét (lỗ...)\n- xỉa (răng...)\n- hái (hoa, quả)\n- mổ, nhặt (thóc...)\n- lóc thịt, gỡ thịt (một khúc xương)\n- nhổ (lông gà, vịt...)\n- ăn nhỏ nhẻ, ăn một tí; (tục) ăn\n- mở, cạy (khoá), móc (túi), ngoáy (mũi)\n[02= to pick someone's pocket] móc túi của ai, ăn cắp của ai\n[02= to pick a lock] mở khoá bằng móc\n- xé tơi ra, xé đôi, bẻ đôi, bẻ rời ra, tước ra\n[02= to pick oakum] tước dây thừng lấy xơ gai\n[02= to pick something to pieces] xé tơi cái gì ra\n- búng (đàn ghita...)\n- chọn, chon lựa kỹ càng\n[02= to pick one's words] nói năng cẩn thận, chọn từng lời\n[02= to pick one's way (steps)] đi rón rén từng bước, đi thận trọng từng bước\n- gây, kiếm (chuyện...)\n[02= to pick a quarred with somebody] gây chuyện cãi nhau với ai\n[01* nđtừ]\n- mổ (gà, vịt...) ; ăn nhỏ nhẻ, ăn tí một (người) ; (tục) ăn\n- móc túi, ăn cắp\n[02= to pick and steal] ăn cắp vặt\n- chọn lựa kỹ lưỡng\n[02= to pick and choose] kén cá chọn canh\n[04! to pick at]\n- (Mỹ) la rầy, rầy rà (ai)\n- chế nhạo, chế giễu (ai)\n[04! to pick off]\n- tước đi, vặt đi, nhổ đi\n- lần lượt bắn gục (từng người...)\n[04! to pick on]\n(Mỹ)[04! to pick at]\n[04! to pick out]\n- nhổ ra\n- chọn cử, chọn ra, phân biệt ra\n- làm nổi bật ra\n[02= to pick out a ground-colour with another] làm nổi bật màu nền bằng một màu khác\n- hiểu ra (ý nghĩa một đoạn văn)\n- gõ pianô (một khúc nhạc)\n[04! to pick up]\n- cuốc, vỡ (đất)\n- nhặt lên; nhặt được, vớ được, kiếm được\n[02= to pick up a stone] nhặt một hòn đá\n[02= to pick up information] vớ được tin, nhặt được tin\n[02= to pick up livelihood] kiếm sống lần hồi\n[02= to pick up profit] vớ được món lãi\n[02= to pick up passengers] nhặt khách, lấy khách (xe buýt...)\n- tình cờ làm quen (ai) ; làm quen với (ai)\n- vớt (những người bị đắm tàu...) ; nhổ (neo...)\n- lấy lại (tinh thần, sức khoẻ...) ; hồi phục sức khoẻ, bình phục, tìm lại được (con đường bị lạc)\n- rọi thấy (máy bay...)(đèn pha)\n[02= to pick up an airplane] rọi thấy một máy bay\n- bắt được (một tin,)(đài thu)\n- tăng tốc độ (động cơ)\n- (thể thao) chọn bên\n[04! to pick oneself up]\n- đứng dây, ngồi dậy (sau khi ngã)\n[04! to have a bone to pick with somebody]\n- xem [03bone]\n[04! to pick somebody's brains]\n- xem [03brain]\n[04! to pick holes in]\n- xem [03hole]\n[04! to pick somebody to pieces]\n- (bóng) đả kích ai, chỉ trích ai kịch kiệt
pick-a-back [01/'pikəbæk/]	[01* phtừ]\n- trên lưng (cõng, vác) ; trên vai (đội, kiệu)\n[02= to carry a child pick-a-back] cõng một đứa bé trên lưng, kiệu một đứa bé trên vai
pickaninny [01/,pikə'nini/]	[01* dtừ]\n- đứa bé da đen (ở Mỹ, Nam phi, Uc)\n[01* ttừ]\n- bé bỏng, bé tí xíu
pickax [01/'pikæks/]	[01* dtừ]\n- cuốc chim\n[01* đtừ]\n- cuốc bằng cuốc chim
pickaxe [01/'pikæks/]	như [03pickax]
picker [01/'pikə/]	[01* dtừ]\n- người hái\n- người nhặt\n- đồ mở, đồ nạy (ổ khoá)\n- đồ dùng để hái, đồ dùng để nhặt, đồ dùng để bắt
pickerel [01/'pikərəl/]	[01* dtừ]\n- (động vật) cá chó đen
