polyglottism	như [03polyglotism]
polyglottist [01/'pɔliglɔtist/]	[01* dtừ]\n- người biết nhiều ngôn ngữ
polyglottous	- xem [03polyglotted] 
polygon [01/'pɔligən/]	[01* dtừ]\n- (toán) hình nhiều cạnh, đa giác\n[04! polygon of forces]\n- đa giác lực
polygonal [01/'pəligənl/]	[01* ttừ]\n- (toán) nhiều cạnh, đa giác
polygonally	- xem [03polygon] 
polygonometry [01/pɔligə'nɔmitri/]	[01* dtừ]\n- phép đo đa giác
polygonous [01/pə'ligənəs/]	[01* ttừ]\n- thuộc polygon
polygonum [01/pɔ'ligənəm/]	[01* ttừ]\n- (thực vật) giống rau nghề
polygottal [01/,pɔ'ligɔtl/]	[01* ttừ]\n- nhiều thứ tiếng
polygottic [01/'pɔligoutik/]	như [03polygottal]
polygraph [01/'pɒli,grɑ:f/]	[01* dtừ]\n- máy ghi tim vật lý (tim mạch...)\n- máy dò tìm (hàng giả...) 
polygraphy [01/pə'ligrəfi/]	[01* dtừ]\n- cách sao chụp nhiều lần
polygynist [01/pə'lidʒənist/]	[01* dtừ]\n- người có nhiều vợ; người đa thê
polygynous [01/pə'lidʒinəs/]	[01* ttừ]\n- nhiều vợ\n- (thực vật) nhiều nhuỵ (hoa) 
polygyny [01/pɔ'lidʒini/]	[01* dtừ]\n- tình trạng nhiều vợ; sự lấy nhiều v
polyhaploid [01/pɔli'hæplɔid/]	[01* ttừ] nhiều đơn bội, đa đơn bội
polyharmonic	như [03pluriharmonic]
polyhedra [01/,pɔli'hi:drə/]	như [03polyhedron]
polyhedral [01/,pɔ'lihi:drəl/]	[01* ttừ]\n- (toán) nhiều mặt, đa diện\n[02= polyhedral angle] góc nhiều mặt, góc đa diện
polyhedric [01/pɔ'lihidrik/]	như [03polyhedral]
polyhedron [01/,pɔli'hi:drən/]	[01* dtừ, s/n [03polyhedra] /'pɔli'hedrə/, [03polyhedrons] /'pɔli'hedrəz/\n- khối nhiều mặt, khối đa diện
polyhedrosis [01/pɔlihi:'drousis/]	[01* dtừ] s/n [02polyhedroses]\n- virut nhiều mặt
polyhistor [01/,pɔli'histə/]	như [03polymath]
polyhistoric	- xem [03polyhistor] 
polyhybrid [01/pɔli'haibrid/]	[01* dtừ]\n- thể lai nhiều gen, thể lai nhiều tính
polyisomere [01/pɔli'isoumiə/]	[01* dtừ]\n- (sinh vật) khúc đều phức
