preferred stock [01/'prefəridstɔk/]	như [03preference stock]
preferrer	- xem [03prefer] 
prefet [01/pri'feit/]	[01* dtừ]\n- huyện trưởng; quận trưởng
prefiguration [01/pri:,figə'rei∫n/]	[01* dtừ]\n- sự biểu hiện trước; sự miêu tả trước; sự hình dung trước\n- sự tượng trưng
prefigurative [01/,pri:'figətiv/]	[01* ttừ]\n- biểu hiện trước; miêu tả trước; hình dung trước\n- tượng trưng
prefiguratively	như [03prefigurement]
prefigurativeness	như [03prefigurement]
prefigure [01/,pri:'figə(r) /]	[01* ngđtừ]\n- biểu hiện trước; miêu tả trước; hình dung trước
prefigurement	- xem [03prefigure] 
prefix [01/'pri:fiks/]	[01* dtừ]\n- (ngôn) tiền tố\n- từ chỉ tước, từ chỉ chức tước, từ chỉ danh hiệu (để trước một dtừ riêng, ví dụ Dr, Sir)\n[01* ngđtừ]\n- đặt ở hàng trước, thêm vào đầu (coi như lời mở đầu...)\n[02= to prefix a chapter to a book] thêm một chương vào đầu cuốn sách\n- (ngôn) lắp (một yếu tố vào đầu một từ khác) làm tiền t
prefixal	- xem [03prefix] 
prefixally	như [03prefixal]
preflight [01/pri:'flait/]	[01* ttừ]\n- chuẩn bị bay
prefoliation [01/prifouli'ei∫n/]	[01* dtừ]\n- (thực vật) sự xếp các lá trong búp
preform [01/pri:'fɔ:m/]	[01* ngđtừ]\n- hình thành trước, tạo thành trước
preformation [01/,pri:fɔ:'mei∫n/]	[01* dtừ]\n- sự hình thành trước, sự tạo thành trước\n[04! theory of preformation]\n- (sinh vật) thuyết tiên thành
preformative [01/pri:'fɔ:mətiv/]	[01* ttừ]\n- hình thành trước, tạo thành trước
preformism [01/pri:'fɔ:mizm/]	[01* dtừ]\n- (sinh vật) tiền thành luận
prefreezing [01/pri:'fri:ziη/]	[01* dtừ]\n- sự làm đông (lạnh) sơ bộ
prefrontal [01/pri:'frʌntəl/]	[01* ttừ]\n- trước trán; trên trán
prefusion [01/pri:'fju:zən/]	[01* dtừ]\n- (kỹ) sự nóng chảy sơ bộ
preganglionic [01/pri:gæηli'ɔnik/]	[01* ttừ]\n- (sinh vật) trước hạch
pregenital [01/pri:'dʒenitəl/]	[01* ttừ]\n- (sinh vật) trước lỗ sinh dục
preggers [01/'pregəz/]	[01* ttừ]\n- (tục) có mang
preglacial [01/pri:'glei∫əl/]	[01* ttừ]\n- trước băng hà
pregnability	- xem [03pregnable] 
pregnable [01/'pregnəbl/]	[01* ttừ]\n- có thể chiếm được, có thể lấy được (thành...) 
pregnancy [01/'pregnənsi/]	[01* dtừ]\n- sự có thai, sự có mang thai, sự có chửa\n- sự phong phú, sự dồi dào, sự giàu (trí tưởng tượng...)\n- tầm quan trọng lớn (vì kết quả, vì ảnh hưởng)\n- tính hàm xúc, tính giàu ý (của từ...) 
pregnant [01/'pregnənt/]	[01* ttừ]\n- có thai, có mang thai, có chửa\n[02= to make pregnant] làm cho có mang\n[02= she is pregnant for three months] bà ta có mang được ba tháng\n- giàu trí tưởng tượng, giàu trí sáng tạo, dồi dào tư tưởng ý tứ\n- có kết quả phong phú, có tầm quan trọng lơn (vì kết quả, vì ảnh hưởng)\n- hàm súc, giàu ý (từ...) 
pregnantly [01/'pregnəntli/]	[01* phtừ]\n- hàm xúc, giàu ý
pregravidic [01/prigræ'vidik/]	[01* ttừ]\n- trước khi có mang
