pressurizer	- xem [03pressurize] 
presswork [01/'preswə:k/]	[01* dtừ]\n- sản phẩm ép, sản phẩm dập\n- công việc in
pressworking [01/'preswə:kiη/]	[01* dtừ]\n- (luyện kim) sự làm khuôn ép
prestage [01/'prestidʒ/]	[01* dtừ]\n- tầng đầu tiên (tên lửa) 
prestation [01/'prestei∫n/]	[01* dtừ]\n- sự nạp thuế\n- cấp phí; trợ cấp
prester [01/'prestə/]	[01* dtừ]\n- (tôn giáo) vị tư tế
presternal [01/pres'tə:nəl/]	[01* ttừ]\n- trước ức; thuộc mảnh trước ức
presternum [01/pres'tə:nəm/]	[01* dtừ]\n- (động vật) mảnh trước ức
prestidigital [01/,prestidi'dʒitəl/]	[01* ttừ]\n- (thuộc) ngón tay nhanh nhẹn, ngón tay ảo thuật
prestidigitation [01/,presti,didʒi'tei∫n/]	[01* dtừ]\n- trò ảo thuật, trò tung hứng
prestidigitator [01/,presti'didʒiteitə(r) /]	[01* dtừ]\n- người làn trò ảo thuật, người làn trò tung hứng
prestige [01/pre'sti:ʒ/]	[01* dtừ]\n- uy tín; thanh thế
prestigious [01/pre'stidʒəs/]	[01* ttừ]\n- có uy tín, có thanh thế; đem lại uy tín, đem lại thanh thế
prestigiously	như [03prestigiousness]
prestigiousness	- xem [03prestigious] 
prestimony [01/'prestiməni/]	[01* dtừ]\n- phí tổn trợ cấp giáo sĩ (thiên chúa giáo) 
prestissimo [01/pres'tisimou/]	[01* phtừ]\n- (âm nhạc) cực nhanh\n[01* dtừ]\n- (âm nhạc) nhịp cực nhanh\n- đoạn chơi cực nhanh
prest-money [01/'prest,mʌni/]	[01* dtừ]\n- tiền cho người mới đăng ký nhập ngũ
presto [01/'prestou/]	[01* phtừ]\n- (âm nhạc) rất nhanh\n- nhanh lên, mau (tiếng hô của người làm trò ảo thuật)\n[02= hey presto, pass!] hấp là, mau!\n[01* dtừ]\n- (âm nhạc) nhịp rất nhanh\n- đoạn chơi rất nhanh
prestress [01/pri:'stres/]	[01* ngđtừ]\n- tạo ứng suất trước (trong các cột chống) để chống lại sức nặng đè lên
pre-stressed [01/,pri:'strest/]	[01* dtừ]\n- bê tông cốt thép
prestressed [01/pri'strest/]	[01* ttừ]\n- (kỹ) có ứng suất trước
presubstance [01/pri:'sʌbstəns/]	[01* ttừ]\n- (sinh vật) tiền chất
presumable [01/pri'zju:məbl/]	[01* ttừ]\n- có thể được, có thể cho là đúng, có thể cầm bằng; có thể đoán chừng
presumably [01/pri'zju:məbli/]	[01* phtừ]\n- có thể đoán chừng; có thể được; có lẽ
presume [01/pri'zju:m/]	[01* ngđtừ]\n- cho là, coi như là, cầm bằng là; đoán chừng\n[02= I presume that he will do it] tôi cho là nó sẽ làm việc đó\n[02= I presume this decision to be final] quyết định đó tôi cho là như là cuối cùng\n[01* nđtừ]\n- dám, đánh bạo, mạo muội; may\n[02= I presume to give you a piece of advice?] tôi xin mạo muội góp vơi anh một ý được chăng?\n- (+[04 on, upon]) lợi dung, lạm dụng\n[02= to presume upon someone's acquaitance] lợi dụng sự quen biết với ai\n[02= to presume on someoen's good naturer] lợi dụng lòng tốt của ai\n- tự phụ, quá tự tin
presumedly [01/pri'zju:midli/]	[01* phtừ]\n- cho là đúng, cầm bằng, đoán chừng
presumer	- xem [03presume] 
presuming [01/pri'zju:miη/]	[01* ttừ]\n- tự phụ, quá tự tin\n- lợi dụng, lạm dụng
presumingly	- xem [03presuming] 
presumption [01/pri'zʌmp∫n/]	[01* dtừ]\n- tính tự phụ, tính quá tự tin; sự cho là đúng, sự cầm bằng, sự đoán chừng, điều cho là đúng, điều cầm bằng, điều đoán chừng, căn cứ để cho là đúng, căn cứ để cầm bằng, căn cứ để đoán chừng
presumptive [01/pri'zʌmptiv/]	[01* ttừ]\n- cho là đúng, cầm bằng; đoán chừng\n[02= presumptive evidence] chứng cớ đoán chừng
presumptively	- xem [03presumptive] 
presumptuous [01/pri'zʌmpt∫uəs/]	[01* ttừ]\n- tự phụ, quá tự tin
presumptuously [01/pri'zʌmpt∫uəsli/]	[01* phtừ]\n- tự phụ, quá tự tin, kiêu ngạo, quá táo bạo (hành động không có quyền hạn cần thiết) 
presumptuousness [01/pri'zʌmpt∫uəsnis/]	[01* dtừ]\n- tính tự phụ, tính quá tự tin
pre-superheater [01/pri:,sju:pə'hitə/]	[01* dtừ]\n- (kỹ) thiết bị quá nhiệt sơ bộ
presupposal [01/pri:sʌ'pouzəl/]	[01* dtừ]\n- xem [03presupposition] 
presuppose [01/,pri:sə'pouz/]	[01* ngđtừ]\n- giả định trước, phỏng định trước, đoán chừng trước\n- bao hàm\n[02= effects presuppose causes] kết quả bao hàm nguyên nhân
presupposition [01/,pri:sʌpə'zi∫n/]	[01* dtừ]\n- sự giả định trước, sự phỏng định trước, sự đoán chừng trước\n- điều giả định trước, điều phỏng định trước, điều đoán chừng trước
presuppositional	- xem [03presuppose] 
presynaptic [01/,pri:si'næptik/]	[01* ttừ]\n- trước khớp thần kinh
prêt-aÌ-porter [01/,preta:'pɔtei/]	[01* ttừ] may sẵn (quần áo) 
pretax [01/,pri:'tæks/]	[01* ttừ]\n- trước khi khấu trừ thuế
preteen [01/pri:'ti:n/]	[01* ttừ]\n- trước 13 tuổi\n[01* dtừ]\n- trẻ trước 13 tuổi
