prophasic	- xem [03prophase] 
prophecy [01/'prɔfəsi/]	[01* dtừ]\n- tài đoán trước, tài tiên tri\n[02= to have the gilf of prophecy] có tài đoán trước\n- lời đoán trước, lời tiên tri
prophesier	- xem [03prophesy] 
prophesy [01/'prɔfəsai/]	[01* đtừ]\n- tiên đoán, đoán trước, tiên tri
prophet [01/'prɔfit/]	[01* dtừ]\n- nhà tiên tri; người đoán trước\n- người chủ trương, người đề xướng (một nguyên lý, một chủ nghĩa)\n- (tôn giáo) giáo đồ\n- (lóng) người mách nước (đánh cá ngựa) 
prophet-clouds [01/'prɔfit,klaudz/]	[01* dtừ] s/n\n- mây báo trước mưa
prophetess [01/'prɔfitis/]	[01* dtừ]\n- nữ tiên tri
prophethood	- xem [03prophet] 
prophetic [01/prə'fetik/]	[01* ttừ]\n- tiên tri, đoán trước, nói trước\n- (thuộc) nhà tiên tri
prophetical [01/prə'fetikl/]	như [03prophetic]
prophetically [01/prə'fetikli/]	[01* phtừ]\n- tiên tri, tiên đoán, nói trước\n- (thuộc) nhà tiên tri
propheticalness	- xem [03prophetic] 
Prophets [01/'prɔfits/]	[01* dtừ] s/n\n- phần thứ hai của thánh thư đạo Do thái
prophloem [01/prou'flouəm/]	[01* dtừ]\n- (thực vật) Libe non, libe nguyên sinh
prophototropic [01/prə,foutou'trɔpik/]	[01* ttừ]\n- hướng sáng thuận; hướng sáng dương
prophylactic [01/,prɔfi'læktik/]	[01* ttừ]\n- phòng bệnh\n[02= prophylactic medicine] thuốc phòng bệnh\n[01* dtừ]\n- thuốc phòng bệnh\n- phương pháp phòng bệnh\n- bao cao su chống thụ thai
prophylactically	- xem [03prophylactic] 
prophylaxes [01/,prɔfi'læksi:z/]	[01* dtừ] s/n\n- xem [03prophylaxis] 
prophylaxis [01/,prɔfi'læksis/]	[01* dtừ]\n- (y) phép phòng bệnh
prophyllum [01/prə'filəm/]	[01* dtừ]\n- (thực vật) lá bắc nhỏ; lá gốc
propinquity [01/prə'piηkwəti/]	[01* dtừ]\n- sự gần gụi, trạng thái ở gần (nơi nào)\n- quan hệ bà con gần gụi, quan hệ họ hàng\n- sự tương tự, sự giống nhau
propitiable	như [03propitiative]
propitiate [01/prə'pi∫ieit/]	[01* ngđtừ]\n- làm lành; làm dịu, làm nguôi\n[02= to propitiate an offended man] làm lành với người bị xúc phạm\n[02= to propitiate an angry person] làm cho người tức giận nguôi đi\n- làm thuận lợi, làm thuận tiện
propitiatingly	như [03propitiative]
propitiation [01/prə,pi∫i'ei∫n/]	[01* dtừ]\n- sự làm lành; sự làm dịu, sự làm nguôi\n- quà để làm lành; quà để làm nguôi
propitiative	- xem [03propitiate] 
propitiator [01/prə'pi∫ieitə/]	[01* dtừ]\n- người làm lành; người làm dịu, người làm nguôi
propitiatorily	- xem [03propitiatory] 
propitiatory [01/prə'pi∫iətri/]	[01* ttừ]\n- để làm lành; để làm dịu, để làm nguôi\n[02= a propitiatory smille] nụ cười làm lành
propitious [01/prə'pi∫əs/]	[01* ttừ]\n- thuận lợi, thuận tiện\n[02= propitious weather] thời tiết thuận lợi\n[02= propitious circumstances] những người hoàn cảnh thuận tiện\n- tốt, lành (số điềm, triệu) 
propitiously [01/prə'pi∫əsli/]	[01* phtừ]\n- thuận lợi, thuận tiện, thích hợp cho\n- tốt, lành (số điềm, triệu) 
propitiousness	- xem [03propitious] 
