pseudo-normal	- giả pháp tuyến
pseudonym [01/'sju:dənim/]	[01* dtừ]\n- biệt hiệu, bút danh
pseudonymity [01/,sju:də'niməti/]	[01* dtừ]\n- sự ký biệt hiệu, sự ký bút danh (ở một tác phẩm)\n- tính chất biệt hiệu, tính chất bút danh
pseudonymous [01/sju:'dɔniməs/]	[01* ttừ]\n- ký biệt hiệu, ký bút danh (tác phẩm) 
pseudonymously	như [03pseudonymousness]
pseudonymousness	- xem [03pseudonym] 
pseudo-order	- (tin) giả lệnh
pseudoperiodic [01/sju:doupiri'ɔdik/]	[01* ttừ]\n- giả tuần hoàn
pseudopod [01/'sju:doupɔd/]	[01* dtừ]\n- chân giả; cuống giả
pseudopregnancy [01/sju:dou'pregnənsi/]	[01* dtừ]\n- (y) tính thụ thai giả
pseudoprime	- giả nguyên tố
pseudorandom	- giả ngẫu nhiên
pseudorumination [01/,sju:douru:mi'nei∫n/]	[01* dtừ]\n- sự nhai lại giả
pseudoscalar	- lượng giả vô hướng
pseudo-sentence	- (logic học) giả câu
pseudosperm [01/sju:də'spə:m/]	[01* dtừ]\n- (thực vật) hạt giả; lá noãn giả
pseudo-sphere	- giả mặt cầu
pseudosphere [01/'sju:dəsfiə/]	[01* dtừ]\n- (toán) giả mặt cầu
pseudospherical	- giả xoắn ốc
pseudotangent	- giả tiếp xúc, giả tiếp tuyến
pseudo-tractrix	- giả tractric
pseudottensor	- giả tenxơ
pseudovaluation	- (đại số) giả giá, giả mêtric
pseudovector	- (hình học) giả vectơ
pshaw [01/p∫ɔ:/]	[01* thán từ]\n- xì! (tỏ ý khinh bỉ) ; chào ôi! (tỏ ý sốt ruột)\n[01* dtừ]\n- tiếng kêu "xì" (tỏ ý khinh bỉ) ; tiếng kêu chào ôi! (tỏ ý sốt ruột)\n[01* nđtừ]\n- nói xì! (tỏ ý khinh bỉ) ; nói chào ôi! (tỏ ý sốt ruột) 
psi [01/,pi es'ai/]	[01* dtừ]\n- vt của [03per square inch] (số pao (áp suất) trên một insơ vuông; lốp xe) 
psi-function	- (giải tích) hàm psi
psilanthropism [01/sai'lænθrəpizəm/]	[01* dtừ]\n- thuyết cho Chúa Giê-xu chỉ là người
psilanthropist [01/sai'lænθrəpist/]	[01* dtừ]\n- người theo thuyết cho Chúa Giê-xu chỉ là người
psilanthropy [01/sai'lænθrəpi/]	như [03psilanthropism]
psilosis [01/'sailousis/]	[01* dtừ]\n- (y) bệnh trụi lông, bệnh trụi tóc\n- (y) bệnh viêm ruột loét miệng ((cũng) [03sprue] ) 
psittacine [01/'sitəsain/]	[01* ttừ]\n- (thuộc) vẹt; như vẹt
psittacosis [01/,sitə'kousis/]	[01* dtừ]\n- (y) bệnh virut vẹt
psittacotic	- xem [03psittacosis] 
psittacus [01/'sitəkəs/]	[01* dtừ]\n- (động vật) vẹt xám
psoas [01/'sɔ:ə/]	[01* dtừ]\n- (phẫu) cơ thắt lưng
psora [01/'sɔ:rə/]	[01* dtừ]\n- (y) bệnh vảy nến ((cũng) [03psoriasis] )\n- bệnh mụn ngứa, bệnh ghẻ
psoriasis [01/sɔ'raiəsis/]	[01* dtừ]\n- (y) bệnh vảy nến
psoriatic	- xem [03psoriasis] 
psoric [01/'sourik/]	[01* ttừ]\n- thuộc bệnh ngứa
psst [01/pst/]	[01* thán từ]\n- xụyt (làm cho ai chú ý một cách bí mật, thầm lén) 
pst [01/,pi: es 'ti:/]	[01* dtừ(PST)]\n- (Mỹ) vt của [03Pacific Standard Time] giờ chuẩn ở Thái Bình Dương
psv [01/,pies'vi/]	- vt của [03public service vehicle]\n- phương tiện vận tải công cộng
psych- [01/psaik/]	- hình thái ghép\n- tâm lý\n- psychology\n- tâm lý học\n- tinh thần\n[02= psychometry] khoa đo nghiệm tinh thần\n- thần kinh; bộ não\n- psychiatry\n- bệnh học tinh thần
psych [01/saik/]	[01* ngđtừ]\n- (tục) làm rối trí, làm bực dọc, làm (ai) kém tự tin (bằng các thủ đoạn tâm lý)\n- (+[04somebody/oneself up]) chuẩn bị tinh thần (cho ai về cái gì) 
psychaesthenia [01/saikəs'θi:nje/]	[01* dtừ]\n- (y) sự suy nhược tâm thần
psychaesthenic [01/saikəs'θi:nik/]	[01* ttừ]\n- suy nhược tâm thần
psychanalysis [01/saiə'nælisis/]	[01* dtừ]\n- sự phân tích tâm lý\n- phân tâm học
psyche [01/'saiki/]	[01* dtừ]\n- linh hồn, tinh thần, tâm thần\n- (động vật) bướm lông
psychedelic [01/,saiki'delik/]	[01* ttừ]\n- ở trạng thái lâng lâng, ở trạng thái phiêu phiêu (do thuốc phiện...)\n- (thuộc) ma tuý\n[01* dtừ]\n- ma tuý
psychedelically [01/,saiki'delikli/]	[01* phtừ]\n- ở trạng thái lâng lâng, ở trạng thái phiêu phiêu (do thuốc phiện...)\n- tạo ảo giác (màu sắc, âm thanh) 
psychiatric [01/,saiki'ætrik/]	như [03psychiatrical]
psychiatrical [01/,saiki'ætrikl/]	[01* ttừ]\n- (thuộc) bệnh tinh thần, (thuộc) bệnh tâm thần\n[02= a psychiatric clinic] bệnh viện tinh thần kinh
psychiatrically	- xem [03psychiatry] 
psychiatrist [01/sai'kaiətrist/]	[01* dtừ]\n- (y) thầy thuốc bệnh tinh thần, thầy thuốc bệnh tâm thần
psychiatry [01/sai'kaiətri/]	[01* dtừ]\n- (y) bệnh học tinh thần, bệnh học tâm thần
psychic [01/'saikik/]	[01* dtừ]\n- bà đồng; ông đồng
psychical [01/'saikikl/]	[01* ttừ]\n- (thuộc) tinh thần, (thuộc) tâm thần, (thuộc) linh hồn, (thuộc) tâm linh
psychically	- xem [03psychic] 
psychicism [01/'saikisizm/]	[01* dtừ]\n- tâm linh học
psychics [01/'saikiks/]	[01* dtừ, s/n dùng như số ít]\n- tâm lý học\n- tâm linh học
psycho [01/'saikou/]	[01* ttừ]\n- (tục) bị bệnh tinh thần\n[01* dtừ]\n- (tục) người bị bệnh tinh thần
psychoactive [01/'saikouæktiv/]	[01* ttừ]\n- tác động đến trí tuệ, hành vi (thuốc) 
psycho-analisis [01/,saikouə'næləsis/]	[01* dtừ]\n- sự phân tích tâm lý
psychoanalyse [01/,saikou'ænəlaiz/]	[01* ngđtừ]\n- chữa bệnh bằng phân tâm học
psycho-analyse [01/,saikou'ænəlaiz/]	[01* ngđtừ]\n- phân tích tâm lý
psychoanalysis [01/,saikouə'næləsis/]	[01* dtừ]\n- phân tâm học, sự phân tích tâm lý
psychoanalyst [01/,saikou'ænəlist/]	[01* dtừ]\n- nhà phân tâm học, nhà phân tích tâm lý
psycho-analyst [01/,saikou'ænəlist/]	[01* dtừ]\n- nhà phân tích tâm lý
psychoanalytic [01/'saikou,ænə'litik/]	[01* ttừ]\n- (thuộc) phân tâm học
psycho-analytic [01/'saikou,ænə'litik/]	như [03psycho-analytical]
psycho-analytical [01/'saikou,ænə'litikəl/]	[01* ttừ]\n- (thuộc) phân tích tâm lý
psychoanalytical [01/'saikou,ænə'litikl/]	như [03psychoanalytic]
psychoanalytically [01/'saikou,ænə'litikli/]	[01* phtừ]\n- (thuộc) phân tâm học
psychoanalyze [01/,saikou'ænəlaiz/]	như [03psychoanalyse]
psycho-biography [01/saikoubai'ɔgrəfi/]	[01* dtừ]\n- tiểu sử phát triển tâm lý (của người) 
psycho-biological [01/saikoubaiə'lɔdʒikəl/]	[01* ttừ]\n- thuộc tâm sinh học
psycho-biologist [01/saikoubai'ɔlədʒist/]	[01* dtừ]\n- nhà tâm sinh học
psycho-biology [01/saikoubai'ɔlədʒi/]	[01* dtừ]\n- môn tâm sinh học
psycho-dynamics [01/saikoudai'næmiks/]	[01* dtừ]\n- tâm lý - động học
psycho-genesis [01/,saikou'dʒenəsis/]	[01* dtừ]\n- sự nghiên cứu quá trình phát sinh tinh thần
psychogenic [01/saikou'dʒenik/]	[01* ttừ]\n- bắt nguồn từ tâm lý
psychokinesis [01/,saikəʊki'ni:sis/]	[01* dtừ]\n- hành động trong trạng thái xuất thần
psycholinguist [01/saikou'liηgwist/]	[01* dtừ]\n- nhà ngôn ngữ tâm lý
psycholinguistic [01/saikouliη'gwistik/]	[01* ttừ]\n- thuộc ngôn ngữ tâm lý
psycholinguistics [01/saikouliη'gwistiks/]	[01* dtừ]\n- ngôn ngữ tâm lý học
psychological [01/,saikə'lɔdʒikl/]	[01* ttừ]\n- (thuộc) tâm lý\n[02= psychological war] chiến tranh tâm lý\n[04! at the psychological]\n- vào lúc thích hợp về tâm lý;(đùa) vào lúc thuận lợi nhất
psychological hedonism [01/saikou'lɔdʒikəl 'hi:dənizm/]	[01* dtừ]\n- thuyết khoái lạc về tầm lý
psychological moment [01/,saikə'lɒdʒikl'moumənt/]	[01* dtừ]\n- thời điểm thích hợp nhất
psychological warfare [01/,saikə'lɔdʒikl'wɔ:feə/]	[01* dtừ]\n- chiến tranh tâm lý
psychologically [01/,saikə'lɔdʒikli/]	[01* phtừ]\n- (thuộc) tâm lý\n- (thuộc) tâm lý học
psychologise [01/sai'kɔlədʒaiz/]	như [03psychologize]
psychologism [01/sai'kɔlədʒizm/]	[01* dtừ]\n- thuyết tâm lý luận
psychologist [01/sai'kɔlədʒist/]	[01* dtừ]\n- nhà tâm lý học
psychologize [01/sai'kɔlədʒaiz/]	[01* nđtừ]\n- nghiên cứu tâm lý\n- lý luận về mặt tâm lý\n[01* ngđtừ]\n- phân tích về mặt tâm lý
psychology [01/sai'kɔlədʒi/]	[01* dtừ]\n- tâm lý\n- tâm lý học\n- khái luận về tâm lý; hệ tâm lý
psychomancy [01/'saikə,mænsi/]	[01* dtừ]\n- thuật gọi hồn
psychometric [01/,saikou'metrik/]	như [03psychometrical]
psychometrical [01/,saikou'metrikl/]	[01* ttừ]\n- (thuộc) khoa đo nghiệm tinh thần
psychometrics	- tâm lý lượng học
psychometry [01/sai'kɔmitri/]	[01* dtừ]\n- khoa đo nghiệm tinh thần
psychoneuroses [01/,saikounjuə'rousi:z/]	[01* dtừ]\n- <y> bệnh loạn thần kinh chức năng
psychoneurosis [01/,saikounjuə'rousis/]	[01* dtừ]\n- (y) bệnh loạn thần kinh chức năng
psychoneurotic [01/,saikounjuə'rɔtik/]	[01* ttừ]\n- (y) loạn thần kinh chức năng\n[01* dtừ]\n- (y) người bị loạn thần kinh chức năng
psychopath [01/'saikəpæθ/]	[01* dtừ]\n- (y) người bị loạn thần kinh nhân cách
psychopathic [01/,saikou'pæθik/]	[01* ttừ]\n- (y)(thuộc) bệnh thái nhân cách
psychopathically	- xem [03psychopathic] 
psychopathological	như [03psychopathologist]
psychopathologist	- xem [03psychopathology] 
psychopathology [01/,saikoupə'θɔlədʒi/]	[01* dtừ]\n- (y) bệnh học tâm lý, bệnh học tinh thần
psychopathy [01/sai'kɔpəθi/]	[01* dtừ]\n- (y) bệnh thái nhân cách
psycho-physical [01/,saikou'fizikəl/]	[01* ttừ]\n- thuộc tâm-vật lý
psychophysiologist [01/,saikoufizi'ɔlədʒist/]	[01* dtừ]\n- nhà tâm sinh lý
psychophysiology [01/,saikoufizi'ɔlədʒi/]	[01* dtừ]\n- tâm sinh lý học (cũng) [03physiological psychology] 
psychoses [01/sai'kousi:z/]	[01* dtừ, s/n]\n- (y) chứng loạn tinh thần
psychosexual [01/saikou'seksjuəl/]	[01* ttừ]\n- tâm sinh dục
psychosexuality [01/saikouseksju'æliti/]	[01* dtừ]\n- tâm sinh dục
psychosis [01/sai'kousis/]	như [03psychoses]
psychosocial [01/saikou'sou∫əl/]	[01* ttừ]\n- tâm lý xã hội
psychosomatic [01/,saikousə'mætik/]	[01* ttừ]\n- (thuộc) tinh thần cơ thể
psychosomatically [01/,saikousə'mætikli/]	[01* phtừ]\n- (thuộc) bệnh căng thẳng thần kinh\n- (thuộc) thần kinh (của cơ thể) 
psychotherapeutic	- xem [03psychotherapy] 
psychotherapeutically	như [03psychotherapeutic]
psychotherapist [01/,saikou'θerəpist/]	[01* dtừ]\n- người chữa bệnh bằng liệu pháp tâm lý
psychotherapy [01/'saikou'θerəpi/]	[01* dtừ]\n- (y) phép chữa bằng tâm lý
psychotic [01/sai'kɔtik/]	[01* ttừ]\n- loạn tinh thần
psychotically	- xem [03psychotic] 
psychotogen [01/sai'kɔtədʒən/]	[01* dtừ]\n- (Mỹ) thuốc gây rối loạn tâm lý
psychotomimetic [01/sai,kɔtoumi'metik/]	[01* ttừ]\n- làm hành vi, nhân cách như bị loạn tâm thần (thuốc)\n[01* dtừ]\n- thuốc làm hành vi, nhân cách như bị loạn tâm thần
psychotropic [01/saikou'trɔpik/]	[01* ttừ]\n- tác động đến tâm thần (thuốc) 
psychphysiologist [01/,saikoufizi'ɔlədʤist/]	như [03psycophysiologist]
psychro- [01/saikrou/]	- hình thái ghép có nghĩa là lạnh : psychrophilic : ưa lạnh
psychrometer [01/sai'krɔmitə/]	[01* dtừ]\n- (lý) cái đo ẩm
psychrophilic [01/saikrou'filik/]	[01* ttừ]\n- ưa lạnh; ưa nhiệt độ dưới 20 độ C
psycophysiologist [01/,saikoufizi'ɔlədʒist/]	[01* dtừ]\n- nhà sinh lý tâm lý
psycophysiology [01/,saikoufizi'ɔlədʒi/]	[01* dtừ]\n- khoa sinh lý tâm lý
psylla [01/'silə/]	[01* dtừ]\n- (thực vật) cây mã đề bọ chét
psy-war [01/'saiwɔ:/]	[01* dtừ]\n- (tục),(vt) của [03psychological war] chiến tranh tâm lý
pt [01/,pi: 'ti:/]	[01* dtừ] s/n [02pts]\n- (PT)(vt) của [03physical training] sự rèn luyện thân thể\n- do PT\n- thực hành rèn luyện thân thể\n- (Pt)(vt) của [03part] phần\n- Pt 2\n- phần 2\n- (số nhiều)(vt) của [03pint panh] (0, 57 lít ở Anh, 0, 47 lít ở Mỹ)\n- (số nhiều)(vt) của [03point] điểm\n- 10 pts\n- 10 điểm\n- (Pt)(vt) của [03port] cảng (nhất là trên bản đồ)\n- Pt Saigon\n- cảng Sài gòn
pt boat [01/'pi:ti,bout/]	[01* dtừ]\n- tàu phóng ngư lôi tuần tiễu
pta [01/,pi: ti: 'ei/]	[01* dtừ]\n- (PTA)(vt) của [03parent-teacher association] hội phụ huynh-thầy giáo (ở các trường học)\n- vt của [03peseta] đồng pezơta (tiền Tây Ban Nha) 
ptarmigan [01/'tɑ:migən/]	như [03snow-grouse]
ptboat [01/'pi:ti:,bout/]	[01* dtừ]\n- tàu tuần tiểu phóng ngư lôi (vt) của [03patrol torpedo boat] 
pte [01/,pi: ti 'i:/]	[01* dtừ]\n- (vt) của [03Private] lính trơn, binh nhì
pter-	- hình thái ghép có nghĩa là cánh: pteropod : động vật chân cánh
pteridium [01/te'ridiəm/]	[01* dtừ]\n- (thực vật) quả có cánh
pteridological	- xem [03pteridology] 
pteridologist	như [03pteridological]
pteridology [01/,pteri'dɔlədʒi/]	[01* dtừ]\n- (thực vật) khoa nghiên cứu dương xỉ
pteridophyte [01/'teridə,fait/]	[01* dtừ]\n- loại cây không có hoa (đặc biệt (như) cây dương xỉ) 
pteridosperm [01/'teridou,spə:m/]	[01* dtừ]\n- hạt có cánh
pterins [01/'terins/]	[01* dtừ] s/n\n- sắc tố cánh
ptero-	- xem [03pter-] 
pterocarp [01/terəka:p/]	[01* dtừ]\n- quả có cánh
pterodactyl [01/,pterə'dæktil/]	[01* dtừ]\n- (động vật) thằn lằn ngón cánh (nay đã tuyệt chủng) 
pterodactyloid	- xem [03pterodactyl] 
pterodactylous	như [03pterodactyloid]
pteroid [01/'terɔid/]	[01* ttừ]\n- dạng cánh
pteropod [01/'ptərəpɔd/]	[01* dtừ]\n- (động vật) động vật chân cánh (thuộc loại thân mềm) 
pteropodan	- xem [03pteropod] 
pterosaur [01/'pterəsɔ:/]	[01* dtừ]\n- (động vật) thằn lằn bay (nay đã tuyệt chủng) 
pterostigna [01/terə'stignə/]	[01* dtừ]\n- mắt cánh (côn trùng) 
pterygia [01/teri'dʒiə/]	[01* dtừ] s/n\n- xem [03pterygium] 
pterygial [01/te'ridʒiəl/]	[01* ttừ]\n- thuộc cánh, thuộc vây, thuộc đuôi cánh sau
pterygiod [01/'terogɔid/]	[01* dtừ]\n- xương cánh\n[01* ttừ]\n- dạng cánh
pterygiodus [01/'terigɔidəs/]	như [03pterygotous]
pterygium [01/teri'dʒiəm/]	[01* dtừ] s/n [02pterygia]\n- cánh; vây; đuôi cánh sau
pterygote [01/'terəgout/]	[01* dtừ, ttừ]\n- phân lớp sâu bọ có cánh
pterygotous [01/'terəgoutəs/]	[01* ttừ]\n- có cánh
pteryla [01/'terələ/]	[01* dtừ] s/n [02pterylae]\n- vùng lông (chim) 
pterylae [01/'terəlai/]	[01* dtừ] s/n\n- xem [03pteryla] 
ptisan [01/ti'zæn/]	[01* dtừ]\n- nước lúa mạch, nước gạo rang (uống như trà) 
pto [01/,pi: ti: 'ou/]	[01* dtừ]\n- (PTO) hoặc (pto)(vt) của [03please turn over] xin giở sang trang
ptochocracy [01/tou'kəkrəsi/]	[01* dtừ]\n- chế độ cai trị bởi người nghèo
ptomaine [01/'toumein/]	[01* dtừ]\n- (hoá) Ptomain
ptomaine poisoning [01/'toumein'pɔizəniη/]	- sự ngộ độc thực phẩm
ptosis [01/'tousis/]	[01* dtừ]\n- (y) chứng sa mi mắt
ptotic	- xem [03ptosis] 
ptyalin [01/'taiəlin/]	[01* dtừ]\n- (sinh vật) Tyalin, men nước bọt
ptyalism [01/'taiəlizəm/]	[01* dtừ]\n- chứng ứa nước bọt
pub [01/pʌb/]	[01* dtừ], (tục)(vt) của [03public house]\n- quán rượu, tiệm rượu\n- quán trọ, quán ăn
pub crawl [01/'pʌb'krɔ:l/]	[01* dtừ]\n- cuộc rượu chè la cà
pubby [01/'bʌbi/]	[01* ttừ]\n- có không khí quán rượu
puberal	như [03pubertal]
pubertal	- xem [03puberty] 
puberty [01/'pju:bəti/]	[01* dtừ]\n- tuổi dậy thì\n[02= age of puberty] tuổi dậy thì
puberulent [01/pju:'perjulənt/]	[01* ttừ]\n- có lông măng, phủ lông măng
pubes [01/'pju:bi:z/]	[01* dtừ]\n- lông (mọc ở hạ bộ khi đến tuổi dậy thì)\n- chỗ mọc lông (ở hạ bộ khi đến tuổi dậy thì) 
pubescence [01/pju:'besns/]	[01* dtừ]\n- sự đến tuổi dậy thì\n- (sinh vật) lông tơ
pubescent [01/pju:'besnt/]	[01* ttừ]\n- đến tuổi dậy thì\n- (sinh vật) có lông tơ
pubic [01/'pju:bik/]	[01* ttừ]\n- (thuộc) mu (trên phần dưới của bụng, gần cơ quan sinh dục) 
pubis [01/'pju:bis/]	[01* dtừ]\n- (phẫu) xương mu
public [01/'pʌblik/]	[01* ttừ]\n- chung, công, công cộng\n[02= public holiday] ngày lễ chung\n[02= public opinion] dư luận, công luận\n[02= public library] thư viện công cộng\n[02= public school] trường công\n[02= public utilities] những ngành phục vụ công cộng (điện, nước...)\n- công khai\n[02= to make a public protest] phản đối công khai\n[02= to give something public utterance] công bố cái gì\n[01* dtừ]\n- công chúng, quần chúng\n[02= to append to the public] kêu gọi quần chúng\n- nhân dân, dân chúng\n[02= the British public] nhân dân Anh\n- giới\n[02= the sporting public] giới ham chuộng thể thao\n[02= the reading public] giới bạn đọc\n- (tục),(như) [03public_house]\n[04! in public]\n- giữa công chúng, công khai
public bar [01/'pʌblik'bɑ:/]	[01* dtừ]\n- quầy rượu bình dân
public company [01/'pʌblik'kʌmpəni/]	như [03public limited company]
public convenience [01/'pʌblik,kən'vi:niəns/]	[01* dtừ]\n- nhà vệ sinh công cộng
public enemy [01/'pʌblik'enimi/]	[01* dtừ]\n- chính quyền nước thù địch (nước đang có chiến tranh với nước mình)\n- kẻ thù chung (của loài người, xã hội...) 
public health [01/'pʌblik'helθ/]	[01* dtừ]\n- y tế
public house [01/'pʌblik'haus/]	[01* dtừ, (vt) pub]\n- quán rượu, tiệm rượu\n- quán ăn, quán trọ
public lending right [01/'pʌblik'lendiη'rait/]	[01* dtừ]\n- (vt) PLR bản quyền cho thuê sách
