rail-chair [01/'reilt∫eə/]	[01* dtừ]\n- (ngành đường sắt) gối đường ray
railer [01/'reilə/]	[01* dtừ]\n- người chế nhạo, người mắng nhiếc
rail-fence [01/'reil,fens/]	[01* dtừ]\n- hàng rào rào làm bằng đường ray
railhead [01/'reilhed/]	[01* dtừ]\n- (ngành đường sắt) nơi đường ray đã đặt đến (trên đường xe lửa đáng xây dựng)\n- (qsự) ga tiếp tế
railing [01/'reiliη/]	[01* dtừ, (thường) số nhiều]\n- hàng rào chắn song (sắt hoặc gỗ)\n- tay vịn thang gác; bao lơn\n[01* dtừ]\n- sự chửi rủa, sự mắng nhiếc, sự xỉ vả\n- lời chửi rủa, lời xỉ vả
raillery [01/'reiləri/]	[01* dtừ]\n- sự chế giễu, sự giễu cợt\n- lời chế giễu, lời giễu cợt
rail-mounted [01/rei'mauntid/]	[01* ttừ]\n- lắp ray\n- được đặt trên đường ray
rail-post [01/'rei,poust/]	[01* dtừ]\n- trụ của lan can
railroad [01/'reilroud/]	[01* dtừ]\n- (Mỹ) đường sắt, đường xe lửa\n[01* ngđtừ]\n- gửi (hàng hoá) bằng xe lửa; chuyên chở (hàng hoá) bằng xe lửa\n- xây dựng đường sắt\n- thúc đẩy; làm cho tiến hành khẩn trương (công việc)\n- (lóng) kết tội vội vàng (không đủ chứng cớ) ; kết tội sai, bỏ tù sai\n[01* nđtừ]\n- đi du lịch bằng xe lửa\n- làm việc cho một công ty đường sắt; làm nhân viên đường sắt
railroader [01/'reilroudə/]	[01* dtừ]\n- nhân viên đường sắt\n- chủ công ty đường sắt
railroading [01/'reilroudiη/]	[01* dtừ]\n- việc kinh doanh ngành đường sắt
railway [01/'reilwei/]	[01* dtừ]\n- đường sắt, đường xe lửa, đường ray\n- (định ngữ)(thuộc) đường sắt\n[02= railway company] công ty đường sắt\n[02= railway car (carriage, coach)] toa xe lửa\n[02= railway engine] đầu máy xe lửa\n[02= railway rug] chăn len để đắp chân (trên xe lửa)\n[02= railway station] nhà ga xe lửa\n[02= at railway speed] hết sức nhanh
railway engine [01/'reilwei,endʒin/]	[01* dtừ]\n- đầu máy xe lửa
railway station [01/'reilwei,stei∫n/]	[01* dtừ]\n- nhà ga
railwayman [01/'reilweimən/]	[01* dtừ]\n- nhân viên đường sắt
raiment [01/'reimənt/]	[01* dtừ]\n- (thơ ca) quần áo
rain [01/rein/]	[01* dtừ]\n- mưa\n[02= to be caught in the rain] bị mưa\n[02= to keep the rain out] cho khỏi bị mưa, cho mưa khỏi vào\n[02= a rain of fire] trận mưa đạn\n[02= rain of tears] khóc như mưa\n[02= rain or shine] dù mưa hay nắng\n- (the rains) mùa mưa\n- (the Rains)(hàng hải) vùng mưa ở Đại tây dương (4 10 o độ vĩ bắc)\n[04! after rain comes fair weather (sunshine)]\n- hết cơn bĩ cực tới hồi thái lai\n[04! to get out of the rain]\n- tránh được những điều bực mình khó chịu\n[04! not to know enough to get out of the rain]\n- (bóng) không biết tính toán, không biết cách làm ăn; xuẩn ngốc\n[04! right as rain]\n- (tục) mạnh giỏi cả; tốt lành cả; đâu vào đó cả\n[01* đtừ]\n- mưa, trút xuống như mưa (đen & bóng)\n[02= it is raining hard] trời mưa to\n[02= it has rained itself out] mưa đã tạnh\n[02= to rain blows on someone] đấm ai túi bụi\n[02= to rain bullets] bắn đạn như mưa\n[02= to rain tears] khóc như mưa, nước mắt giàn giụa\n[04! to come in when it rain]\n- (bóng) tránh được những điều bực mình khó chịu\n[04! it rains cats and dogs]\n- trời mưa như trút\n[04! it never rains but it pours]\n- xem [03pour]\n[04! not to know enough to go in when it rains]\n- (bóng) không biết tính toán, không biết cách làm ăn; xuẩn ngốc
rain forest [01/'rein'fɔrist/]	[01* dtừ]\n- rừng mưa nhiệt đới (ở các vùng nhiệt đới có lượng mưa lớn) 
rainbird [01/'rein,bə:d/]	[01* dtừ]\n- (động vật) chim ông lão
rainbow [01/'reinbou/]	[01* dtừ]\n- cầu vồng
rainbow coloured [01/'reinbau,kʌləd/]	[01* ttừ] màu ngũ sắc cầu vồng
rainbow trout [01/'reinbou'traut/]	[01* dtừ]\n- loại cá hồi có đốm đen và hai vệt hơi đỏ kéo từ mõm đến đuôi
rain-check [01/'rein't∫ek/]	[01* dtừ]\n- (Mỹ) vé để dùng lại (khi trận đấu, cuộc trình diễn) bị hoãn lại do trời mưa
raincloud [01/'reinklaud/]	[01* dtừ]\n- mây mưa
rain-cloud [01/'reinklaud/]	như [03raincloud]
raincoat [01/'reinkout/]	[01* dtừ]\n- áo mưa
rain-doctor [01/'rein,dɔktə/]	[01* dtừ]\n- pháp sư cầu mưa
raindrop [01/'reindrɔp/]	[01* dtừ]\n- giọt mưa
rainfall [01/'reinfɔ:l/]	[01* dtừ]\n- trận mưa rào\n- lượng mưa
rain-gauge [01/'rein'geidʒ/]	[01* dtừ]\n- máy đo mưa, thước đo mưa
rain-glass [01/'rein'glɑ:s/]	như [03weather-glass]
raininess [01/'reininis/]	[01* dtừ]\n- tình trạng mưa nhiều
rainless [01/'reinlis/]	[01* ttừ]\n- không có mưa
rain-maker [01/'reinmeikə/]	[01* dtừ]\n- thiết bị tưới phun, thiết bị phun mưa
rain-making [01/'reinmeikiη/]	[01* dtừ]\n- cách làm mưa nhân tạo
rain-map [01/'reinmap/]	[01* dtừ]\n- bản đồ về mưa
rainproof [01/'reinpru:f/]	[01* ttừ]\n- không thấm nước mưa\n[02= rainproof material] vải không thấm nước mưa\n[01* dtừ]\n- áo mưa
