rebore [01/,ri:'bɔ:/]	[01* ngđtừ]\n- (kỹ) khoan lại
reborn [01/,ri:'bɔ:n/]	[01* ttừ]\n- đổi đời, hồi sinh, tái sinh\n- tâm linh khai sáng
rebound [01/'ri:'baund/]	[01* thời quá khứ & động tính từ quá khứ của] [03rebind]\n[01* dtừ]\n- sự bật lại, sự nẩy lên (của quả bóng...)\n[02= to hit a ball on the rebound] đánh một quả bóng đang lúc nảy lên\n- (bóng) sự phản ứng (khi bị thất bại, bị va chạm...)\n[02= to take a person on (at) the rebound] lợi dụng sự phản ứng của một người nào để xúi làm ngược lại\n[01* nđtừ]\n- bật lại, bật lên nẩy lại, nẩy lên (của quả bóng...)\n- có ảnh hưởng ngược trở lại đối với\n[02= their evil example will rebound upon themselves] gương xấu của chúng sẽ có ảnh hưởng ngược trở lại đối với chính chúng\n- hồi phục (sức khoẻ) ; phấn khởi lại (tính thần) 
rebroadcast [01/'ri:'brɔ:dkɑ:st/]	[01* dtừ]\n- sự từ chối dứt khoát, sự cự tuyệt, sự khước từ\n- sự thất bại bất ngờ
rebroadcasting [01/'ri:'brɔ:dkɑ:stiη/]	[01* dtừ]\n- sự tiếp phát; sự phát thanh lại
rebuff [01/ri'bʌf/]	[01* ngđtừ]\n- từ chối dứt khoát, cự tuyệt, khước từ\n- (qsự) đẩy lui (một cuộc tấn công) 
rebuild [01/'ri:bild/]	như [03rebuilt]
rebuilding [01/'ri:'bildiη/]	[01* dtừ]\n- sự xây dựng lại
rebuilt [01/'ri:'bilt/]	[01* ngđtừ]\n- xây lại, xây dựng lại
rebuke [01/ri'bju:k/]	[01* dtừ]\n- sự khiển trách, sự quở trách\n[02= without rebuke] không có khuyết điểm gì, không quở trách vào đâu được\n- lời khiển trách, lời quở trách\n[01* ngđtừ]\n- khiển trách, quở trách\n[02= to rebuke someone for doing something] quở trách người nào đã làm việc gì
rebuker [01/ri'bju:kə/]	[01* dtừ]\n- người khiển trách, người quở mắng
rebukingly [01/ri'bju:kiηli/]	[01* phtừ]\n- với giọng khiển trách, với giọng quở trách
reburial [01/ri'beriəl/]	[01* dtừ]\n- sự cải táng
rebury [01/ri'beri/]	[01* ngđtừ]\n- cải táng
rebus [01/'ri:bəs/]	[01* dtừ]\n- câu đố bằng hình vẽ, bài thơ đố bằng hình vẽ
rebut [01/ri'bʌt/]	[01* ngđtừ]\n- bác (đề nghị của người nào, sự tố cáo, sự vu cáo, một học thuyết, một lập luận...)\n- từ chối, cự tuyệt (người nào) 
rebutment [01/ri'bʌtmənt/]	[01* dtừ]\n- sự bác bỏ (đề nghị của người nào, sự tố cáo, sự vu cáo, một học thuyết, một lập luận...)\n- sự từ chối, sự cự tuyệt
rebuttal [01/ri'bʌtl/]	như [03rebutment]
rebutter [01/ri'bʌtə/]	[01* dtừ]\n- lời phản kháng của bị cáo
rec	- vt của [03recreation ground]\n- sân chơi
rec room [01/'rekrum/]	[01* dtừ]\n- (Mỹ)(tục)(như) [03recreation room] (xem [03recreation] ) 
recalcitrance [01/ri'kælsitrəns/]	như [03recalcitration]
recalcitrant [01/ri'kælsitrənt/]	[01* ttừ]\n- hay câi lại, hay chống lại, cứng đầu cứng cổ, ngoan cố\n[01* dtừ]\n- người hay câi lại, người hay chống lại, người cứng đầu cứng cổ, người ngoan cố
recalcitrate [01/ri'kælsitreit/]	[01* nđtừ]\n- (+[04 against, at]) cãi lại, chống lại, dở bướng, dở ngang
recalcitration [01/ri,kælsi'treiʃn/]	[01* dtừ]\n- tính hay câi lại, tính hay chống lại, tính cứng đầu cứng cổ, tính ngoan cố
recalculation [01/,ri:kækju'lei∫n/]	[01* dtừ]\n- sự tính toán lại
recalesce [01/,ri:kə'les/]	[01* nđtừ]\n- (kỹ) cháy sáng lại (kim loại) 
recalescence [01/,ri:kə'lesns/]	[01* dtừ]\n- (kỹ) sự cháy sáng lại (của kim loại) 
recalescent [01/ri:kə'leisnt/]	[01* ttừ]\n- cháy sáng lại
recalibration [01/ri:kæli'brei∫n/]	[01* dtừ]\n- sự chia độ lại, sự hiệu chuẩn lại
recalking [01/ri:'kɔ:lkiη/]	[01* dtừ]\n- sự xảm lai
recall [01/ri'kɔ:l/]	[01* dtừ]\n- sự gọi về, sự đòi về, sự triệu về, sự triệu hồi (một đại sứ...)\n[02= letters of recall] thư triệu hồi\n- (qsự) hiệu lệnh thu quân; lệnh gọi tái ngũ (quân dự bị...) ; (hàng hải) tín hiệu gọi về (một chiếc tàu...)\n- sự nhắc nhở\n- khả năng huỷ bỏ; sự rút lại, sự lấy lại\n[02= a decision past recall] một quyết định không thể huỷ bỏ được\n[02= lost without recall] mất hẳn không lấy lại được\n[02= beyond (past) recall] không thể lấy lại được, không thể huỷ bỏ được; bị lãng quên\n- (Mỹ) bị bâi miễn (một đại biểu quốc hội...)\n[01* ngđtừ]\n- gọi về, đòi về, triệu về, triệu hồi\n[02= to recall an ambassador] triệu hồi một đại sứ\n- (qsự) thu (quân) ; gọi tái ngũ (quân dự bị...) ; (hàng hải) gọi trở về (một chiếc tàu)\n- nhắc nhở, nhắc lại, gợi lại\n[02= to recall someone to his duty] nhắc nhở ai nhớ đến nhiệm vụ của mình\n[02= legends that recall the past] những truyền thuyết gợi lại dĩ vãng\n- nhớ, nhớ lại\n[02= to recall someone's name] nhớ lại tên ai\n- làm sống lại, gọi tỉnh lại\n[02= to recall someone to life] gọi người nào tỉnh lại\n- huỷ bỏ; rút lại, lấy lại\n[02= to recall a decision] huỷ bỏ một quyết nghị\n- (Mỹ) bâi miễn (một đại biểu quốc hội...) 
recallable [01/ri'kɔ:ləbl/]	[01* ttừ]\n- có thể gọi về, có thể đòi về, có thể triệu về, có thể triệu hồi\n- có thể gọi tái ngũ (quân dự bị...)\n- còn nhớ lại được (kỷ niệm)\n- có thể huỷ bỏ, có thể rút lại được (quyết định, bản án...) 
recant [01/ri'kænt/]	[01* đtừ]\n- công khai, rút lui và từ bỏ; công khai rút (ý kiến...) 
recantation [01/,ri:kæn'tei∫n/]	[01* dtừ]\n- sự công khai, sự rút lui và từ bỏ; sự công khai rút (ý kiến...) 
recap [01/'ri:kæp/]	[01* ngđtừ]\n- (tục),(như) [03recapitulate]\n- lắp nắp mới, lắp thiết bị bảo vệ mới
recapitulate [01/,ri:kə'titjuleit/]	[01* ngđtừ]\n- tóm lại, tóm tắt lại
recapitulation [01/'ri:kə,pitju'lei∫n/]	[01* dtừ]\n- sự tóm lại; sự tóm tắt lại\n- bản tóm tắt lại
recapitulative [01/,ri:kə'pitjulətiv/]	[01* ttừ]\n- tóm tắt
recapture [01/'ri:'kæpt∫ə/]	[01* dtừ]\n- sự bắt lại (một tù binh)\n- việc đoạt lại (giải thưởng...)\n- người bị bắt lại; vật đoạt lại được\n[01* ngđtừ]\n- bắt lại (một tù binh)\n- đoạt lại (giải thưởng...) 
recast [01/'ri:'kɑ:st/]	[01* dtừ]\n- sự đúc lại (một khẩu pháo...) ; vật đúc lại\n- sự viết lại (một chương)\n- sự tính lại (một cột số) số tính lại\n- (sân khấu) sự phân lại vai (trong một vở kịch) ; các vai phân lại\n[01* ngđtừ recast]\n- đúc lại\n[02= to recast a gun] đúc lại một khẩu pháo\n- viết lại\n[02= to recast a chapter] viết lại một chương\n- tỉnh lại\n[02= to recast a column of figures] tính lại, (cộng lại) một cột số\n- phân lại vai\n[02= to recast a play] phân lại vai trong một vở kịch
recce [01/'reksi/]	[01* dtừ]\n- (qsự),(lóng) sự trinh sát, sự dọ thám
recede [01/ri'si:d/]	[01* nđtừ]\n- lùi lại, lùi xa dần\n[02= to recede a few paces] lùi lại một vài bước\n- rút xuống (thuỷ triều...)\n[02= the tide recedes] thuỷ triều rút xuống\n- (qsự) rút đi, rút lui\n- hớt ra sáu (trán)\n- rút lui (ý kiến)\n[02= to recede from an opinion] rút lui ý kiến\n- sụt giá (cổ phần...) ; giảm sút (sản xuất...)\n[04! to recede into the background]\n- lùi về phía sau\n- lui vào hậu trường\n- (bóng) lu mờ đi
receipt [01/ri'si:t/]	[01* dtừ]\n- công thức (làm bánh, nấu món ăn...)\n[02= a receipt for cake] công thức làm bánh ngọt\n- đơn thuốc\n- sự nhận được (thơ...)\n[02= on receipt of your letter] khi nhận được thơ ông\n[02= to acknowledge receipt of...] báo đã nhận được...\n- ((thường) số nhiều)(thương nghiệp) ; (tài chính) sự thu; số thu\n[02= receipts and expenses] số thu và số chi\n- giấy biên nhận, biên lai (nhận tiền...)\n[01* ngđtừ]\n- ký nhận số tiền đã trả (trên một biên lại, hoá đơn) ; đóng dấu nhận thực "đã trả" (trên một hoá đơn) 
receipt-book [01/ri'si:tbuk/]	[01* dtừ]\n- số tiền nhận; quyển biên lai
receipter [01/ri'si:tə/]	[01* dtừ]\n- người biên nhận
receipt-stamp [01/ri'si:tstæmp/]	[01* dtừ]\n- tem dán trên quyển biên lai
receivable [01/ri'si:vəbl/]	[01* ttừ]\n- có thể nhận được; đáng nhận\n- báo thu\n[02= bills receivable] những giấy báo thu
receive [01/ri'si:v/]	[01* ngđtừ]\n- nhận, lĩnh, thu\n[02= on receiving your letter] khi nhận được thư anh\n[02= to receive the news] nhận được tin\n[02= to receive money] nhận (lĩnh, thu) tiền\n- tiếp, tiếp đón, tiếp đãi\n[02= to receive guest] tiếp khách, tiếp đãi khách\n- kết nạp (ai vào một tổ chức), tiếp thu, tiếp nhận (một đề nghị...)\n[02= to receive someone into a party] kết nạp người nào vào một đảng\n[02= the proposal was well received] đề nghị được hoan nghênh\n- (pháp lý) chứa chấp (đồ gian)\n[02= to receive stolen goods] chứa chấp đồ trộm cắp\n- chứa đựng\n[02= a lake to receive the overflow] một cái hồ để chứa nước sông tràn ra\n- đỡ, chịu, bị; được\n[02= to receive the sword-point with one's shield] giơ mộc lên đỡ mũi kiếm\n[02= the walls cannot receive the weight of the roof] những bức tường ấy không chịu nổi sức nặng của mái nhà\n[02= to receive a refusal] bị từ chối\n[02= to receive sympathy] được cảm tình\n- tin, công nhận là đúng\n[02= they received the rumour] họ tin cái tin đồn ấy\n[02= a maxim universally received] một câu châm ngôn mà ai cũng công nhận là đúng\n- đón (một đường bóng, một quả bóng phát đi)\n[01* nđtừ]\n- tiếp khách (có ở nhà để tiếp khách)\n[02= he receives on Sunday afternoons] ông ta tiếp khách vào những chiều chủ nhật\n- nhận quà; lĩnh tiền, lĩnh lương; thu tiền
received [01/ri:'si:vd/]	[01* ttừ]\n- được thừa nhận rộng rãi là đúng
received pronunciation [01/ri:'si:vd prə,nʌnsi'ei∫n/]	[01* dtừ]\n- cách phát ầm được thừa nhận bởi đài BBC (chủ yếu của miền nam nước Anh) 
Received Standard [01/ri:'si:vd stændə/]	[01* dtừ]\n- xem [03received pronunciation] ; cách phát ầm tiêu chuẩn
received text [01/ri:si:vd 'tekst/]	[01* dtừ]\n- văn bản được thừa nhận
receiver [01/ri'si:və/]	[01* dtừ]\n- người nhận, người lĩnh\n- (pháp lý) người quản lý tài sản (tài sản đang tranh tụng hoặc của một công ty bị vỡ nợ, được một toà án chỉ định)\n- người chứa chấp đồ trộm cắp\n- (kỹ),(hoá) bình chứa, thùng chứa, bể chứa\n- (rađiô) máy thu\n- ống nghe (máy điện thoại)\n[02= to lift the receiver] nhấc ống nghe lên
receiver-general [01/ri'si:və 'dʒenərəl/]	[01* dtừ]\n- viên chức thu thuế hàng năm của mỗi vùng
receivership [01/ri'si:və∫ip/]	[01* dtừ]\n- (pháp lý) trách nhiệm quản lý tài sản (tài sản đang tranh tụng hay của một công ty vỡ nợ)\n- nhiệm kỳ của một người quản lý tài sản
receiver-transmitter [01/ri'si:vətrænz'mitə/]	[01* dtừ]\n- máy thu phát
receiving end [01/ri'si:viη'end/]	[01* dtừ]\n- đầu thu (điện tín) ; nạn nhần
receiving-order [01/ri'si:viη'ɔ:də/]	[01* dtừ]\n- lệnh chỉ định người quản lý tài sản (tài sản đang tranh tụng hoặc của một công ty bị vỡ nợ, do một toà án chỉ định) 
receiving-set [01/ri'si:viηset/]	[01* dtừ]\n- máy thu
receiving-station [01/ri'si:viη,stei∫n/]	[01* dtừ]\n- đài thu
recency [01/'ri:snsi/]	[01* dtừ]\n- tính chất mới xảy ra, tính chất mới gần đây
recense [01/ri'sens/]	[01* ngđtừ]\n- hiệu đính; duyệt lại
recension [01/ri'sen∫n/]	[01* dtừ]\n- sự duyệt lại, sự xem lại (một văn kiện)\n- bản (văn kiện) đã được duyệt lại, bản đã xem lại
recent [01/'ri:snt/]	[01* ttừ]\n- gần đây, xảy ra gần đây, mới đây, mới xảy ra\n[02= recent news] tin tức mới đây\n- mới, tân thời\n[02= recent fashion] mốt mới
recently [01/'ri:sntli/]	[01* phtừ]\n- gần đây, mới đây\n[02= as recently as yesterday] mới hôm qua đây thôi, chỉ mới hôm qua
receptacle [01/ri'septəkl/]	[01* dtừ]\n- đồ đựng (thùng, chai, lọ, hũ...)\n- chỗ chứa\n- (thực vật) đế hoa
reception [01/ri'sep∫n/]	[01* dtừ]\n- sự nhận, sự thu nhận, sự lĩnh\n- sự tiếp nhận, sự kết nạp (vào một tổ chức nào...)\n[02= to be honoured by reception into the Academy] được vinh dự tiếp nhận vào viện hàn lâm\n- sự đón tiếp\n[02= to give someone a warm reception] tiếp đón ai niềm nở\n[02= the play met with a warm reception] vở kịch được nhiệt liệt hoan nghênh\n- sự tiếp nhận; tiệc chiêu đãi\n[02= to give a reception] tổ chức chiêu đãi\n- (kỹ),(rađiô) sự thu; phép thu\n[02= shortdistance reception] sự thu tầm gần\n- sự tiếp thu (tư tưởng...)\n[02= to have a great faculty of reception] có khả năng tiếp thu lớn
reception-class [01/ri'sep∫kla:s/]	[01* dtừ]\n- lớp tiếp nhận các em mới vào trường
reception-committee [01/ri'sep∫n kə'miti:/]	[01* dtừ]\n- ban tiếp đón
receptionist [01/ri'sep∫ənist/]	[01* dtừ]\n- người tiếp khách (ở phòng khám bệnh, hiệu ảnh...) 
reception-order [01/ri'sep∫n'ɔ:də/]	[01* dtừ]\n- lệnh giữ (người điên ở nhà thương điên) 
reception-room [01/ri'sep∫nrum/]	[01* dtừ]\n- phòng tiếp khách
