reguli [01/'regjuli/]	[01* dtừ] s/n\n- xem [03regulus] 
regulus [01/'regjuləs/]	[01* dtừ] s/n [02reguli]\n- antimon kim loại; kim loại chưa luyện
regurgitant [01/ri'gədʒitənt/]	[01* ttừ]\n- nôn mửa\n- chảy ngược
regurgitate [01/ri'gə:dʒiteit/]	[01* đtừ]\n- ựa ra, mửa ra, nôn ra, thổ ra\n- phun ngược trở lại, chảy vọt trở lại (nước...) 
regurgitation [01/ri,gə:dʒi'tei∫n/]	[01* dtừ]\n- sự ựa ra, sự mửa ra, sự nôn ra, sự thổ ra\n- sự phun ngược trở lại, sự chảy vọt trở lại
rehabilitant [01/,ri:ə'bilitənt/]	[01* dtừ]\n- người được điều trị để phục hồi chức năng (do bị tật, tai nạn...) 
rehabilitate [01/,ri:ə'biliteit/]	[01* ngđtừ]\n- phục hồi (chức vị, danh dự, sức khoẻ...)\n- cải tạo giáo dục lại (những người có tội)\n- xây dựng lại, khôi phục lại (đất nước...)\n- (y) tập luyện lại (những người bị tê bại)\n- sắp xếp lại bậc (cho công nhân...) 
rehabilitation [01/,ri:ə,bili'tei∫n/]	[01* dtừ]\n- sự phục hồi (chức vị, danh dự, sức khoẻ...)\n- sự cải tạo giáo dục lại (những người có tội)\n- sự xây dựng lại, sự khôi phục lại (đất nước...)\n- (y) sự tập luyện lại (những người bị tê bại)\n- sự sắp xếp lại bậc (cho công nhân...) 
rehabilitation center [01/ri:ə,bili'tei∫n 'sentə/]	[01* dtừ]\n- trung tầm phục hồi chức năng; trung tầm cai nghiện (dành cho người nghiện rượu, nghiện ma túy) 
rehandle [01/ri:'hændl/]	[01* ngđtừ]\n- làm lại, sửa lại\n- nghiên cứu lại (một vấn đề) 
rehang [01/ri:'hæη/]	như [03rehung]
reharden [01/ri:'hɑ:dən/]	[01* ngđtừ]\n- tôi lại (thép...) 
rehash [01/'ri:'hæ∫/]	[01* dtừ]\n- sự làm lại thành mới, sự sửa mới (cái gì cũ rích)\n[01* ngđtừ]\n- làm lại thành mới, sửa mới (cái gì cũ rích)\n[02= to rehash an old story] sửa lại một câu chuyện cũ cho có vẻ mới, hâm lại một câu chuyện c
rehear [01/ri:'hiə/]	như [03reheard]
reheard [01/'ri:'hiə/]	[01* ngđtừ] [03reheard] /'ri:'hə:d/\n- nghe trình bày lại (vụ án...) 
rehearing [01/.ri:'hiəriη/]	[01* dtừ]\n- (pháp lý) sự nghe trình bày lại
rehearsal [01/ri'hə:sl/]	[01* dtừ]\n- sự kể lại, sự nhắc lại\n- sự diễn tập (vở kịch, bài múa...) 
rehearse [01/ri'hə:s/]	[01* ngđtừ]\n- nhắc lại, kể lại\n- diễn tập (vở kịch, bài múa...) 
reheat [01/ri:'hi:t/]	[01* ngđtừ]\n- hâm lại, đun nóng lại\n- (kỹ) nung lại
reheater [01/ri:'hi:tə/]	[01* dtừ]\n- dụng cụ để hâm lại, dụng cụ đun nóng lại
reheating [01/,ri:'hi:tiη/]	[01* dtừ]\n- xem [03reheat]\n- sự đun nóng kim loại đến nhiệt độ gia công
rehouse [01/,ri:'hauz/]	[01* ngđtừ]\n- đưa đến ở nhà khác, chuyển nhà mới
rehung [01/'ri:'hæɳ/]	[01* ngđtừ] [03rehung] /'ri:'hʌɳ/\n- treo lại
rei [01/rei/]	[01* dtừ]\n- đồng rây (tiền Tây Ban Nha) 
reich [01/raik, raix/]	[01* dtừ]\n- (Reich) Nhà nước Đức trước kia
reichstag [01/'raikstɑ:g/]	[01* dtừ]\n- quốc hội Đức (trước 1933) 
reification [01/,ri:ifi'kei∫n/]	[01* dtừ]\n- sự đồ vật hoá
reificatory [01/,ri:i'fikətəri/]	[01* ttừ]\n- đồ vật hoá
reify [01/'ri:ifai/]	[01* ngđtừ]\n- vật chất hoá, cụ thể hoá
reigle [01/'ri:gl/]	[01* dtừ]\n- rãnh; hào
reign [01/rein/]	[01* dtừ]\n- triều đại, triều\n[02= in (under) the reign of Quang-Trung] dưới triều Quang Trung\n- uy quyền, thế lực, ảnh hưởng; sự chế ngự, sự ngự trị\n[02= night resumes her reign] màn đêm ngự trị\n[01* nđtừ]\n- trị vì, thống trị (vua...)\n- ngự trị bao trùm\n[02= silence reigns in the room] sự im lặng bao trùm căn phòng
reignition [01/rei'ni∫n/]	[01* dtừ]\n- sự đánh lửa lại
reimbursable [01/,ri:im'bə:səbl/]	[01* ttừ]\n- có thể hoàn lại, có thể trả lại
reimburse [01/,ri:im'bə:s/]	[01* ngđtừ]\n- hoàn lại, trả lại (số tiền đã tiêu) 
reimbursement [01/,ri:im'bə:smənt/]	[01* dtừ]\n- sự hoàn lại, sự trả lại (số tiền đã tiêu) 
reimport [01/,ri:im'pɔ:t/]	[01* ngđtừ]\n- nhập khẩu lại\n[01* dtừ] [03reimportation] /'ri:,impɔ:'teiʃn/\n- sự nhập khẩu lại
reimportation [01/,ri:,impɔ:'tei∫n/]	như [03reimport]
re-imposition [01/,ri:impə'zi∫n/]	[01* dtừ]\n- (ngành in) sự đặt khuôn; lần đặt trang\n- lần in lại
rein [01/rein/]	[01* dtừ]\n- dây cương\n[02= to give a horse the rein(s)] thả lỏng cương ngựa\n- (bóng) sự kiểm soát, sự bó buộc, sự kiềm chế\n[02= to keep a tight rein on] kiềm chế chặt chẽ\n[04! to assume the reims of government]\n- nắm chính quyền\n[04! to drop the reins of government]\n- xin từ chức thôi không nắm chính quyền nữa\n[04! to give rein (the rein) to]\n- buông lỏng, để cho tự do phát triển\n[04! to give someone a free rein]\n- thả lỏng ai cho hoàn toàn tự do hành động\n[01* ngđtừ]\n- gò cương\n[02= to rein in a horse] gò cương ngựa (cho đi chậm lại)\n[02= to rein up a horse] ghì cương ngựa (cho đứng lại)\n- (bóng) kiềm chế, bắt vào khuôn ghép\n[02= to rein in someone] kiềm chế ai, bắt ai phải vào khuôn phép
rein-back [01/'rein,bæk/]	[01* dtừ]\n- cách bước lui của con ngựa
