responsions [01/ri'spɔn∫ənz/]	[01* dtừ s/n]\n- kỳ thi ngày xưa yêu cầu để vào trường đại học Oxford
responsive [01/ri'spɔnsiv/]	[01* ttừ]\n- đáp lại, trả lời\n[02= a responsive gesture] cử chỉ đáp lại\n- sẵn sàng đáp lại, dễ phản ứng lại; dễ cảm (tính tình) 
responsively [01/ri'spɔnsivli/]	[01* phtừ]\n- đáp ứng nhiệt tình; thông cảm\n- phản ứng nhanh, thuận lợi; dễ bị điều khiển, dễ sai khiến\n- đáp lại, trả lời\n- sẵn sàng đáp lại, dễ phản ứng lại; dễ cảm (tính tình) 
responsiveness [01/ri'spɔnsivnis/]	[01* dtừ]\n- sự đáp ứng nhiệt tình; sự thông cảm\n- sự phản ứng nhanh, thuận lợi; tình trạng dễ bị điều khiển, tình trạng dễ sai khiến\n- sự đáp lại, sự trả lời\n- sự sẵn sàng đáp lại, tình trạng dễ phản ứng lại; sự dễ cảm (tính tình) 
responsor [01/ri'spɔnsə/]	[01* dtừ]\n- (kỹ) bộ đáp
responsory [01/ri'spɔnsəri/]	[01* dtừ]\n- (tôn giáo) bài thánh ca (trong khi làm lễ) 
responsum [01/ri'spɔnsəm/]	[01* dtừ] s/n [02responsa]\n- phán xét hoặc kết luận do một giáo sĩ hoặc học giả Do thái viết ra để trả lời một vấn đề
respray [01/ri:'sprei/]	[01* ngđtừ]\n- phun lại, sơn lại\n[01* dtừ]\n- sự phun lại, sự sơn lại (xe cộ) 
rest [01/rest/]	[01* dtừ]\n- sự nghỉ ngơi; lúc nghỉ ngơi; giấc ngủ\n[02= a day of rest] ngày nghỉ\n[02= to go (retire) to rest] đi ngủ\n[02= to take a rest] nghỉ ngơi, đi ngủ\n- sự yên tâm, sự yên lòng, sự thanh thản, sự thư thái (trong tâm hồn)\n[02= to be at rest] yên tâm, thư thái\n[02= to set someone's mind at rest] làm cho ai yên lòng\n- sự yên nghỉ (người chết)\n[02= to be at rest] yên nghỉ (người chết)\n[02= to lay somebody to rest] đưa ai đến chỗ yên nghỉ cuối cùng, chết\n- sự ngừng lại\n[02= to bring to rest] cho ngừng lại\n- nơi trú tạm, chỗ nghỉ ngơi (cho những thuỷ thủ, người lái xe...)\n- cái giá đỡ, cái chống, cái tựa\n- (âm nhạc) lặng; dấu lặng\n[04! to set a question at rest]\n- giải quyết một vấn đề\n[01* nđtừ]\n- nghỉ, nghỉ ngơi; ngủ\n[02= to rest from one's labours] nghỉ làm việc\n[02= never let the enemy rest] không để cho kẻ địch ngơi một lúc nào\n[02= to rest on one's oars] tạm nghỉ tay chèo; (bóng) nghỉ ngơi\n- yên nghỉ, chết\n- ngừng lại\n[02= the matter can't here] vấn đề không thể ngừng lại ở đây được\n- (+[04 on, upon]) dựa trên, tựa trên, đặt trên, chống vào (đen & bóng)\n[02= the arch rests on two big pillars] khung vòm đặt trên hai cột lớn\n[02= a heavy responsibility rests upon them] một trách nhiệm nặng nề đè lên vai họ\n- ỷ vào, dựa vào, tin vào\n[02= to rest on somebody's promise] tin vào lời hứa của ai\n- (+[04 on, upon]) ngưng lại, đọng lại, nhìn đăm đăm vào, mải nhìn (mắt...)\n[02= the red glow rests on the top of the trees] ánh hồng ngưng lại trên những chòm cây\n[02= his eyes rested in the crowd] mắt anh ta nhìn đăm đăm vào đám đông\n[01* ngđtừ]\n- cho nghỉ ngơi\n[02= to rest one's horse] cho ngựa nghỉ\n[02= the green light rests the eyes] ánh sang màu lục làm dịu mắt\n[02= to rest oneself] nghỉ ngơi\n- đặt lên, dựa vào, chống\n[02= to rest one's elbows on the table] chống khuỷ tay lên bàn\n[02= to rest a ladder against the wall] dựa thang vào tường\n- dựa trên cơ sở, đặt trên cơ sở, căn cứ vào\n[02= he rests all his suspicious on that letter] hắn cứ dựa vào bức thư đó mà dặt tất cả sự nghi ngờ\n[01* dtừ]\n- (the rest) vật còn lại, cái còn lại; những người khác, những cái khác\n[02= and all the rest of it] và tất cả những cái còn lại; và tất cả những cái khác có thể kể ra và vân vân\n[02= for the rest] về phần còn lại; vả lại; vả chăng\n- (tài chính) quỹ dự trữ\n- (thương nghiệp) sổ quyết toán\n[01* nđtừ]\n- còn, vẫn còn, vẫn cứ, cứ\n[02= you may rest assured that...] anh có thể cứ tin chắc (yên trí) là...\n- (+[04 with]) tuỳ thuộc vào, tuỳ ở (ai để giải quyết việc gì)\n[02= the final decision now rests with you] bây giờ quyết định cuối cùng là tuỳ ở anh
rest area [01/'rest'eəriə/]	như [03rest stop]
rest stop [01/'rest'stɔp/]	[01* dtừ]\n- góc thụt vào để đổ xe (ở đường phố) 
