retorting [01/ri'tɔ:tiη/]	[01* dtừ]\n- sự chưng, cất trong bình cổ cong\n- sự tách hơi hỗn hống
retortion [01/ri'tɔ:∫n/]	[01* dtừ]\n- sự bẻ ngược trở lại, sự uốn ngược trở lại\n- sự đàn áp trả thù kiều dân nước ngoài
retouch [01/,ri:'tʌt∫/]	[01* dtừ]\n- sự sửa sang, sự sửa lại\n- nét sửa sang, nét sửa lại (một bức ảnh...)\n[01* ngđtừ]\n- sửa sang, sửa lại (một bức ảnh...) 
retoucher [01/,ri:'tʌt∫ə/]	[01* dtừ]\n- người sửa ảnh
retrace [01/,ri:'treis/]	như [03re-trace]
re-trace [01/'ri:'treis/]	[01* ngđtừ]\n- vạch lại, kẻ lại, vẽ lại\n[01* ngđtừ]\n- truy cứu gốc tích\n- hồi tưởng lại\n- trở lại (con đường cũ) ; thoái lui\n[02= to retrace one's step (way)] thoái lui; trở lại ý kiến trước
retract	[01* ngđtừ]\n- rụt vào, thụt vào, co vào\n[02= the tortoise retracted its head] con rùa rụt đầu vào\n- rút lại (lời hứa) ; rút lui (ý kiến) ; huỷ bỏ (lời tuyên bố) ; chối, không nhận, nuốt (lời)\n[02= to retract one's opinion] rút lui ý kiến\n[02= to retract a statement] huỷ bỏ lời tuyên bố\n[01* nđtừ]\n- rụt vào, thụt vào, co vào (cổ...)\n- rút lui ý kiến; nuốt lời; (pháp lý) phản cung
retractable [01/ri'træktəbl/]	[01* ttừ]\n- có thể rụt vào, có thể co vào\n[02= retractable indercarriage] bộ bánh hạ cánh có thể rút lên được (ở máy bay)\n- có thể rút lại (lời hứa, ý kiến...) ; có thể huỷ bỏ (lời tuyên bố) ; có thể chối (lời nói) 
retractation [01/,ri'træk∫n/]	[01* dtừ]\n- sự rút lại (lời hứa, ý kiến) ; sự huỷ bỏ (lời tuyên bố) ; sự không nhận (lời cam kết...) 
retractile [01/ri'træktail/]	[01* ttừ]\n- co rút\n[02= retractile strength] sức co rút
retractility [01/,ri:træk'tiliti/]	[01* dtừ]\n- tính co rút
retraction [01/ri'træk∫n/]	[01* dtừ]\n- sự co rút, sự rút lại, sự rụt vào (móng, lưỡi...)\n- (như) [03retractation] 
retractor [01/ri'træktə/]	[01* dtừ]\n- (phẫu) cơ co rút\n- (y) cái banh miệng vết mổ
retral [01/'ri:trəl/]	[01* ttừ]\n- sau, ở đằng sau
retransfer [01/,ri:træns'fə:/]	[01* ngđtừ]\n- dời lại, chuyển lại, dọn nhà\n- lại nhường lại, lại chuyển lại\n- lại đồ lại, lại in lại
retransform [01/,ri:træns'fɔ:m/]	[01* ngđtừ]\n- thay đổi lại, biến đổi lại\n- làm cho biến chất lại, làm cho biến tính lại
retranslate [01/,ri:træns'leit/]	[01* ngđtừ]\n- dịch lại\n- dịch trở lại nguyên văn
retranslation [01/,ri:træns'lei∫n/]	[01* dtừ]\n- sự dịch lại; bản dịch lại\n- sự dịch trở lại nguyên văn; bản dịch trở lại nguyên văn
retranslocation [01/ri:trænslou'kei∫n/]	[01* dtừ]\n- sự chuyển đổi lại vị trí/ sự tái hoán vị
retransmission [01/ri:trænz'mi∫n/]	[01* dtừ]\n- sự truyền lại, sự phát lại, sự tiếp phát
retransmit [01/ri:trænz'mit/]	[01* ngđtừ]\n- truyền lại; phát lại; tiếp phát
retransmiter [01/ri:trænz'mitə/]	[01* dtừ]\n- máy chuyển phát, máy tiếp phát
retread [01/,ri:'tred/]	như [03retrod]
re-tread [01/'ri:'tred/]	[01* dtừ]\n- lốp xe đắp lại\n[01* ngđtừ]\n- đắp lại (lốp xe) 
retreader [01/ri:'tredə/]	[01* dtừ]\n- khuôn đắp lại lốp
retreat [01/ri'tri:t/]	[01* dtừ]\n- (qsự) sự rút lui, sự rút quân; hiệu lệnh rút quân\n[02= to sound the retreat] thổi hiệu lệnh rút lui\n[02= to cut off (intercept) an army's retreat] cắt đường rút lui của một đạo quân\n[02= to make good one's retreat] rút lui bình yên vô sự\n- (qsự) tiếng kèn (trống) thu không\n- sự ẩn dật\n[02= to go into retreat] sống một đời ẩn dật\n- nơi ẩn dật ((tôn giáo)) nơi tu đạo\n- nơi trốn tránh, sào huyệt (của bọn cướp...)\n- nhà dưỡng lão, trại cứu tế; bệnh viện tinh thần kinh\n[01* nđtừ]\n- lùi, rút lui\n- (qsự) rút lui\n- lẹm, trợt ra sau (cằm, trán...)\n[02= retreating chin] cằm lẹm\n[02= retreat ing forehead] trán trợt ra sau\n[01* ngđtừ]\n- (đánh cờ) rút (quân) về (tránh thế bị vây hãm) 
retree [01/ri'tri:/]	[01* dtừ]\n- giấy thứ phẩm; giấy kém phẩm chất
retrench [01/ri'trent∫/]	[01* ngđtừ]\n- hạn chế, giảm (tiền chi tiêu...)\n- bớt đi, bỏ đi, cắt (một đoạn...) ; cắt xén (một quyển sách) ; rút ngắn (một bài diễn văn)\n[01* nđtừ]\n- tự hạn chế chi tiêu, thực hiện tiết kiệm
retrenchment [01/ri'trent∫mənt/]	[01* dtừ]\n- sự bớt, sự giảm bớt (tiền chi tiêu)\n- sự bỏ bớt, sự cắt xén (một đoạn văn)\n- (qsự) sự đắp luỹ, sự xây thành
retrial [01/,ri:'traiəl/]	[01* dtừ]\n- sự xử lại (một vụ án) 
retribution [01/,retri'bju:∫n/]	[01* dtừ]\n- sự trừng phạt, sự báo thù\n- (hiếm) sự khen thưởng, sự đền đáp
retributive [01/ri'tribjutiv/]	như [03retributory]
retributory [01/ri'tribjutəri/]	[01* ttừ]\n- trừng phạt, để báo thù\n- (hiếm) khen thưởng, để đền đáp
retrievable [01/ri'tri:vəbl/]	[01* dtừ]\n- có thể lấy lại được\n- có thể phục hồi được\n- có thể bù lại được (tổn thất) ; có thể sửa được (lỗi)\n- có thể nhớ lại được
