rubricate [01/'ru:brikeit/]	[01* ngđtừ]\n- in đề mục, viết đề mục bằng chữ đỏ hoặc chữ lớn) 
rubrician [01/ru:'bri∫n/]	[01* dtừ]\n- người có uy tín về nghi lễ nhà thờ
rubricist [01/'ru:brisist/]	[01* dtừ]\n- xem [03rubrician] 
rub-stone [01/'rʌbstoun/]	[01* dtừ]\n- đá mài
ruby [01/'ru:bi/]	[01* dtừ]\n- (khoáng) Rubi, ngọc đỏ\n- màu ngọc đỏ\n- mụn đỏ (ở mũi, ở mặt)\n- rượu vang đỏ\n- (ngành in) cỡ 51 quoành (chữ in) ; (Mỹ) cỡ 31 quoành\n[04! above rubies]\n- vô giá\n[01* ttừ]\n- đỏ màu, ngọc đỏ\n[01* ngđtừ]\n- nhuộm màu ngọc đỏ
ruby glass [01/'ru:bi,gla:s/]	[01* dtừ]\n- kinh màu hồng ngọc
ruby spinel [01/'ru:bi,spinəl/]	[01* dtừ]\n-(khoáng vật học) spinen màu hồng ngọc
ruby wedding [01/'ru:bi'wediη/]	[01* dtừ]\n- đám cưới hồng ngọc (kỷ niệm 40 năm ngày cưới) 
ruc [01/,ɑ: ju: 'si:/]	[01* dtừ]\n- (vt) của [03Royal Ulster Constabulary] sở cảnh sát Hoàng gia tỉnh Ulster
rucervus [01/ru:'sə:vəs/]	[01* dtừ]\n- (động vật) con cà tong
ruche [01/ru:∫/]	[01* dtừ]\n- nếp xếp hình tổ ong (ở đăng ten, ren...) 
ruched [01/'ru:∫t/]	[01* ttừ]\n- được trang trí bằng vải xếp nếp (đăng ten) 
ruching [01/'ru:∫iη/]	[01* dtừ]\n- xem [03ruche]\n- trang trí nếp xếp tổ ong
ruck [01/rʌk/]	[01* dtừ]\n- tốp đấu thủ (thi xe đạp, thi chạy...) bị rớt lại phía sau\n- nếp gấp, vết nhăn (quần áo)((cũng) [03ruckle] )\n[01* đtừ]\n- ((thường) +[02up]) nếp gấp, làm nhăn (quần áo)((cũng) [03ruckle] ) 
ruckle [01/'rʌkl/]	[01* dtừ]\n- nếp gấp, vết nhăn (quần áo)((cũng) [03ruck] )\n[01* đtừ]\n- ((thường) +[02up]) nếp gấp, làm nhăn (quần áo)((cũng) [03ruck] )\n[01* dtừ]\n- tiếng ran, tiếng thở khò khè (người hấp hối)\n[01* nđtừ]\n- thở có tiếng ran, thở khò khè (người hấp hối) 
rucksack [01/'rʌksæk/]	[01* dtừ]\n- cái ba lô
ruckus [01/'rʌkəs/]	[01* dtừ]\n- (tục) sự náo động ầm ự; sự om sòm
ruction [01/'rʌk∫n/]	[01* dtừ]\n- (lóng) sự phá quấy, sự ồn ào\n- cuộc ẩu đả\n[04! there will be ructions]\n- mọi việc sẽ không ổn, mọi việc sẽ không trôi chảy
rudbeckia [01/rʌd'bekiə/]	[01* dtừ]\n- (thực vật) cây cúc xoè, hoa cúc xoè
rudd [01/rʌd/]	[01* dtừ]\n- (động vật) cá chày Âu
rudder [01/'rʌdə/]	[01* dtừ]\n- bánh lái\n- (bóng) nguyên tắc chỉ đạo\n- đũa khuấy (dùng để khuấy mầm lúa mạch trong thùng ủ bia) 
rudderfish [01/'rʌdə,fi∫/]	[01* dtừ]\n- (động vật) cá bánh lái
rudderless [01/'rʌdəlis/]	[01* ttừ]\n- không có bánh lái
rudder-post [01/'rʌdə,poust/]	[01* dtừ]\n- khoang lái; trục lái
rudder-stock [01/'rʌdə,stɔk/]	[01* dtừ]\n- trục lái
