ruse [01/ru:z/]	[01* dtừ]\n- mưu mẹo
rusé [01/'ru:zei/]	[01* ttừ]\n- lắm mưu mẹo, xảo trá, láu cá
rush [01/rʌ∫/]	[01* dtừ]\n- (tục) cây bấc\n- vật vô giá trị\n[02= not worth a rush] không có giá trị gì; không đáng đồng kẽm\n[02= don't care a rush] cóc cần gì cả\n[01* dtừ]\n- sự xông lên; sự cuốn đi (của dòng nước)\n[02= to make a rush at someone] xông vào ai\n[02= to be swept by the rush of the river] bị nước sông cuốn đi\n- sự đổ xô vào (đi tìm vàng, mua một cái gì...)\n[02= rush of armaments] sự chạy đua vũ trang\n- sự vội vàng, sự gấp\n[02= to have a rush for something done] vội làm cho xong việc gì\n- sự dồn lên đột ngột\n[02= a rush of blood to the head] sự dồn máu đột ngột lên đầu\n- luồng (hơi)\n[02= a rush of air] một luồng không khí\n- (qsự) cuộc tấn công ồ ạt\n[02= to cary the ciadel with a rush] tấn công ào ạt chiếm thành\n- (thể thao) sự phối hợp (của nhiều cầu thủ) dắt bóng lao lên tấn công (bóng đá)\n- (định ngữ) vội gấp, cấp bách\n[02= rush work] (Mỹ) công việc gấp\n[01* nđtừ]\n- xông lên, lao vào\n[02= to rush forward] xông lên\n- đổ xô tới\n- vội vã đi gấp\n[02= to rush to a conclusion] vội đi đến kết luận\n- chảy mạnh, chảy dồn\n[02= blood rushes to face] máu dồn lên mặt\n- xuất hiện đột ngột\n[01* ngđtừ]\n- xô, đẩy\n[02= to rush someone out of the room] xô người nào ra khỏi phòng\n- (qsự) đánh chiếm ào ạt\n[02= the enemy post was rushed] đồn địch bị đánh chiếm ào ạt\n- (lóng) chém, lấy giá cắt cổ\n- gửi đi gấp, đưa đi gấp; đưa thông qua vội vã\n[02= the reinforcements were rushed to the front] các toán quân tiếp viện được đưa gấp ra mặt trận\n[02= to rush a bill through Parliament] đưa thông qua vội vã một dự luật ở nghị viện\n- tăng lên đột ngột\n[02= to rush up the prices] tăng giá hàng lên đột ngột
rush candle [01/'rʌ∫'kændl/]	[01* dtừ]\n- cây nến lõi bấc ((cũng) [03rushlight] ) 
rush hour [01/'rʌ∫'auə/]	[01* dtừ]\n-(giao thông) giờ cao điểm\n[02= morning rush hours] giờ cao điểm buổi sáng, I got caught in the rush-hour traffic tôi bị kẹt trong dòng giao thông vào giờ cao điểm
rusher [01/'rʌ∫ə/]	[01* dtừ]\n- người xông tới\n- (Mỹ, bóng đá) trung phong
rush-hour	[01* dtừ]\n- (giao thông) giờ cao điểm
rush-hours [01/'rʌʃ,auəz/]	[01* dtừ]\n- giờ cao điểm (trong giao thông) 
rushlight [01/'rʌ∫lait/]	[01* dtừ]\n- cây nến lõi bấc ((cũng) [03rush_candle] )\n- ánh sáng yếu ớt\n- ánh sáng lờ mờ (của trí tuệ) ; sự hiểu biết nghèo nàn, kiến thức ít ỏi\n- tin tức ít ỏi
rushy [01/'rʌ∫i/]	[01* ttừ]\n- làm bằng bấc\n- có nhiều bấc\n- giống như cây bấc
rusk [01/rʌks/]	[01* dtừ]\n- bánh bít cốt
russ [01/'rʌs/]	[01* dtừ]\n- người Nga\n[01* ttừ]\n- thuộc người Nga
russet [01/'rʌsit/]	[01* dtừ]\n- vải thô màu nâu đỏ\n- màu nâu đỏ\n- táo rennet nâu\n[01* ttừ]\n- nâu đỏ\n- (cổ) mộc mạc, quê mùa
Russian [01/'rʌ∫n/]	[01* ttừ]\n- (thuộc) Nga\n[01* dtừ]\n- người Nga\n- tiếng Nga
Russian roulette [01/'rʌ∫n,ru:'let/]	[01* dtừ]\n- trò ru-lét Nga (hành động làm ra vẻ anh hùng, can đảm trong đó một người cầm khẩu súng ngắn ổ quay ví vào đầu, trong ổ có một viên đạn (không biết ở ổ nào) và bấm cò)\n- trò may rủi
