salique	- xem [03salic] 
saliva [01/sə'laivə/]	[01* dtừ]\n- nước bọt, nước dãi
salival [01/'səlivəl/]	[01* ttừ]\n- thuộc nước bọt
salivant [01/'sælivənt/]	[01* ttừ]\n- kích thích tiết nước bọt
salivary [01/'sælivəri, sə'laivəri/]	[01* ttừ]\n- (thuộc) nước bọt, (thuộc) nước dãi\n- chảy nước bọt, chảy nước dãi
salivate [01/'sæliveit/]	[01* ngđtừ]\n- làm chảy nước bọt, làm chảy nước dãi\n[01* nđtừ]\n- chảy nước bọt, chảy nước dãi; chảy nhiều nước bọt, chảy nhiều nước dãi
salivation [01/,sæli'vei∫n/]	[01* dtừ]\n- sự làm chảy nhiều bọt, sự làm chảy nước dãi; sự chảy nhiều bọt, sự chảy nước dãi
salivous [01/'sælivəs/]	[01* ttừ]\n- xem [03salivary] 
salix [01/'sælik/]	[01* dtừ]\n- (thực vật) họ dương liễu
salle [01/sa:l/]	[01* dtừ]\n- phòng\n- salle à manger\n- phòng ăn\n- giấy vụn
sallenders [01/'sæləndə:z/]	[01* dtừ s/n]\n- chứng mẩn đỏ bắp chân sau (ngựa) 
saller [01/sa:lə/]	[01* dtừ]\n- thềm nghỉ (ở mỏ) 
sallow [01/'sælou/]	[01* dtừ]\n- cây liễu bụi\n- gỗ liễu bụi\n- cành liễu bụi\n- màu tái, màu tái xám\n[01* ttừ]\n- vàng bủng (màu da)\n[01* ngđtừ]\n- làm (da) tái đi, làm (da) màu tái xám\n[01* nđtừ]\n- tái, tái xám
sallowish [01/'sæloui∫/]	[01* ttừ]\n- hơi tái, hơi tái xám, tai tái
sallowness [01/'sælounis/]	[01* dtừ]\n- màu tái, vẻ tái xám (của da) 
sallowy [01/'sæloui/]	[01* ttừ]\n- có nhiều liễu bụi
sally [01/'sæli/]	[01* dtừ]\n- cái lúc lắc đầu tiên (của chuông)\n- tay cầm (của dây kéo chuông)\n- sự xông ra; sự phá vây\n- cuộc đi chơi, cuộc đi dạo\n- sự bùng nổ\n- câu nói hóm hỉnh, lời nhận xét sắc sảo (để tấn công hoặc để đánh trống lảng trong cuộc tranh luận)\n[01* nđtừ, (thường)(+ forth, out)]\n- xông ra phá vây\n- đi chơi, đi dạo
Sally Army [01/'sæli a:mi/]	[01* dtừ]\n- xem [03Salvation Army] (vt) và biến dạng
sally-hole [01/'sæli'houl/]	[01* dtừ]\n- lỗ xỏ dây chuông
sally-port [01/'sæli'pɔ:t/]	[01* dtừ]\n- lỗ phá dây (lỗ hổng trong công sự để xông ra phá vây) 
salmagundi [01/,sælmə'gʌndi/]	[01* dtừ]\n- món ăn hổ lốn\n- mớ linh tinh, mớ hỗn tạp
salmi [01/'sælmi/]	như [03ragout]
salmon [01/'sæmən/]	như [03salmon-coloured]
salmonberry [01/'sæmən,beri/]	[01* dtừ]\n- (thực vật) cây ngấy
salmon-coloured [01/'sæmən'kʌləd/]	[01* dtừ]\n- (động vật) cá hồi\n[01* ttừ]\n- có màu thịt cá hồi, có màu hồng
salmonella [01/,sælmə'nelə/]	[01* dtừ]\n- khuẩn salmonela (loại vi khuẩn làm cho thức ăn trở thành độc) 
salmonellosis [01/sæmne'lousis/]	[01* dtừ] s/n [02salmonelloses]\n- (y) bệnh vi khuẩn xanmon
salmonet [01/'sælmənit/]	[01* dtừ]\n- (động vật) cá phèn Bensa
salmonid [01/'sæmənid/]	[01* dtừ]\n- (động vật) họ cá hồi
salmon-pink [01/'sæmən'piηk/]	[01* ttừ]\n- có màu hồng da cam, có màu thịt cá hồi
salmon-trout [01/'sæmən'traut/]	[01* dtừ]\n- loài cá giống như cá hồi
salon [01/'sælɔn/]	[01* dtừ]\n- phòng tiếp khách\n- (the salon) cuộc triển lãm tranh hằng năm (của các nghệ sĩ ở Pa-ri)\n- cuộc họp mặt nghệ sĩ (ở nhà một nhân vật nổi danh) 
salon music [01/'sælɔn'mju:zik/]	[01* dtừ]\n- nhạc phòng khách (nhạc nhẹ chơi ở phòng khách) 
saloon [01/sə'lu:n/]	[01* dtừ]\n- phòng khách lớn, hội trường (ở khách sạn...)\n- phòng công công\n[02= shaving saloon] phòng cắt tóc\n- ca-bin lớn, phòng hạng nhất (tàu thuỷ) ; phòng hành khách (trong máy bay lớn)\n- toa phòng khách (xe lửa)((cũng) [02saloon-car, saloon-carriage] )\n- (Mỹ) quán rượu
saloon bar [01/sə'lu:n'bɑ:/]	[01* dtừ]\n- quầy rượu hạng sang (trong quán rượu Anh) 
saloon-car [01/sə'lu:n,kɑ:/]	như [03saloon-carriage]
saloon-carriage [01/sə'lu:n'kæridʒ/]	[01* dtừ]\n- toa phòng khách (xe lửa)((cũng) [03saloon] ) 
saloon-keeper [01/sə'lu:n'ki:pə/]	như [03barkeeper]
saloop [01/sə'lu:p/]	[01* dtừ]\n- (như) [03salep]\n- Xalup (thứ nước bột củ uống thay cà phê) 
salpicon [01/'sæpikən/]	[01* dtừ]\n- thịt để nhồi; nhân bánh
salpingian [01/sæl'pindʒiən/]	[01* ttừ]\n- thuộc vòi trứng\n- thuộc ống Eustachio
salpingitis [01/,sælpin'dʒaitis/]	[01* dtừ]\n- (y) viêm vòi trứng
salpinx [01/'sælpiηks/]	[01* dtừ] s/n [02salpinges]\n- ống Eustachio\n- vòi trứng
salsify [01/'sælsifi/]	[01* dtừ]\n- cây diếp củ
salt [01/sɔ:lt/]	[01* dtừ]\n- muối\n[02= white salt] muối ăn\n[02= table salt] muối bột\n[02= in salt] ngâm nước muối, rắc muối\n- sự châm chọc, sự sắc sảo, sự hóm hỉnh, sự ý nhị\n[02= a talk full of salt] một lời nói ý nhị; một bài nói chuyện ý nhị\n- (hoá) muối\n- (số nhiều) dòng nước biển bất thường tràn ngược lên sông\n- (sử học) lọ đựng muối để bàn\n[02= to sit above the salt] ngồi phía trên lọ muối (cùng với người trong gia đình)\n[02= to sit below the salt] ngồi phía dưới lọ muối (cùng với người hầu...)\n- thuỷ thủ lão luyện ((thường) old salt)\n- (như) [03salt-marsh]\n[04! to eat salt with somebody]\n- là khách của ai\n[04! to be worth one's salt]\n- xem [03worth]\n[04! to eat somebody's salt]\n- là khách của ai; phải sống nhờ vào ai\n[04! to drop pinch of salt on tail of]\n- bắt giữ\n[04! to take something with a grain of salt]\n- nửa tin nửa ngờ điều gì\n[04! the salt of the earth]\n- tầng lớp trên trong xã hội, tinh hoa của xã hội\n[04! I'm not made of salt]\n- tụi nó đi ra ngoài mưa thì cũng không bị tan ra như muối đâu mà sợ\n[01* ttừ]\n- tẩm muối, ướp muối, có muối, mặn\n- sống ở nước mặn (cây cối)\n- đau đớn, thương tâm\n[02= to weep salt tears] khóc sướt mướt, khóc như mưa\n- châm chọc, sắc sảo, hóm hỉnh\n- tục, tiếu lâm\n- (lóng) đắt cắt cổ (giá cả)\n[01* ngđtừ]\n- muối, ướp muối, rắc muối (lên vật gì)\n[02= to salt meat] muối thịt\n- làm cho ý nhị, thêm mắm thêm muối\n[02= to salt one's conversation with wit] làm cho câu chuyện thêm ý nhị bằng những câu nói hóm hỉnh\n[04! to salt down money]\n- để dành tiền\n[04! to salt the books]\n- (thương nghiệp),(lóng) gian lận, tham ô (bằng cách tăng giá mua trong hoá đơn)\n[02= to salt an account] tính giá cao nhất cho các món hàng\n[04! to salt a mine]\n- (lóng) đổ thêm quặng vào mỏ (để cho mỏ có vẻ là mỏ giàu) 
salt bearing [01/'sɔlt,beəriη/]	[01* ttừ] có muối; chứa muối
salt beef [01/'sɔ:lt'bi:f/]	như [03salt junk]
salt box [01/'sɔ:lt'bɔks/]	[01* dtừ]\n- hộp đựng muối
salt gland [01/'sɔlt glænd/]	[01* dtừ]\n- tuyến tiết muối
salt junk [01/'sɔ:lt'dʒʌηk/]	[01* dtừ]\n- thịt ướp muối
salt shaker [01/'sɔ:lt,ʃeikə/]	[01* dtừ]\n- (Mỹ) lọ rắc muối
salt water [01/'sɔ:lt,wɔtə/]	[01* dtừ]\n- nước biển, nước mặn\n- (lóng) nước mắt
saltant [01/'sæltənt/]	[01* ttừ]\n- nhảy, nhảy múa
saltation [01/sæl'tei∫n/]	[01* dtừ]\n- sự nhảy múa\n- sự nhảy vọt\n- sự chuyển biến đột ngột
