schoolbook [01/'sku:l'buk/]	như [03school-book]
schoolboy [01/'sku:lbɔi/]	[01* dtừ]\n- học sinh trai, nam sinh
school-child [01/'sku:l t∫aild/]	[01* dtừ]\n- đứa trẻ đi học
school-council [01/'sku:l,kaunsəl/]	[01* dtừ]\n- hội đồng học sinh
school-day [01/'sku:l'dei/]	[01* dtừ]\n- ngày học\n- (số nhiều) ngày còn đi học, ngày còn là học sinh
school-edition [01/'sku:l e'di∫n/]	[01* dtừ]\n- bản xuất bản để dùng trong trường học (có sữa chữa, rút gọn, giải thích) 
schoolfellow [01/'sku:l,felou/]	[01* dtừ]\n- bạn học
schoolgirl [01/'sku:lgə:l/]	[01* dtừ]\n- học sinh gái, nữ sinh
school-house [01/'sku:l,haus/]	[01* dtừ]\n- trường sở (ở nông thôn) 
schoolhouse [01/'sku:lhaus/]	như [03school-house]
schooling [01/'sku:liη/]	[01* dtừ]\n- sự dạy dỗ ở nhà trường, sự giáo dục ở nhà trường\n- tiền học phí ăn ở tại nhà trường\n- (cổ) sự trách phạt, sự thi hành kỷ luật
school-inspector [01/'sku:l in'spektə/]	[01* dtừ]\n- ông thanh tra trường học
school-kid [01/'sku:l,kid/]	[01* dtừ]\n- xem [03school-child] 
school-leaver [01/'sku:l'li:və/]	[01* dtừ]\n- người vừa mới rời ghế nhà trường
school-ma'am [01/'sku:lmæn/]	[01* dtừ]\n- (Mỹ),(tục) cô giáo, bà giáo
school-maid [01/'sku:l,meid/]	[01* dtừ]\n- nữ sinh
schoolman [01/'sku:lmən/]	[01* dtừ]\n- nhà triết học kinh viện\n- (Mỹ) thầy giáo, giáo viên\n- giáo sư (đại học, ở châu Âu thời Trung cổ) 
school-marm [01/'sku:lmɑ:m/]	như [03school-ma'am]
schoolmaster [01/'sku:l,mɑ:stə/]	[01* dtừ]\n- thầy giáo, giáo viên; nhà giáo\n- hiệu trưởng
schoolmasterly [01/'sku:l,mɑ:stəli/]	[01* ttừ]\n- có vẻ thầy giáo, có vẻ nhà giáo
schoolmate [01/'sku:lmeit/]	như [03schoolfellow]
school-miss [01/'sku:l,mis/]	[01* dtừ]\n- cô bạn học
schoolmistress [01/'sku:l,mistris/]	[01* dtừ]\n- cô giáo, bà giáo\n- cô hiệu trưởng, bà hiệu trưởng
school-practice [01/'sku:l,præktis/]	[01* dtừ]\n- thực tiển giảng dạy
schoolroom [01/'sku:lrum/]	[01* dtừ]\n- phòng học (ở trường) 
schools [01/sku:lz/]	[01* ttừ]\n- (Anh) dành cho nhà trường\n[02= a schools broadcast] buổi phát thanh dành cho nhà trường
school-ship [01/'sku:l'∫ip/]	[01* dtừ]\n- (hàng hải) tàu huấn luyện
school-teacher [01/'sku:l'ti:t∫ə/]	[01* dtừ]\n- thầy giáo, cô giáo (chủ yếu cấp I) 
schoolteacherly [01/'sku:l'ti:t∫əli/]	[01* ttừ]\n- có vẻ thầy giáo, có vẻ cô giáo
school-time [01/'sku:l'taim/]	[01* dtừ]\n- giờ học, giờ lên lớp\n- những năm còn đi học
school-work [01/'sku:l wə:k/]	[01* dtừ]\n- bài học ở lớp và bài tập ở nhà
school-yard [01/'sku:l'jɑ:d/]	[01* dtừ]\n- sân trường
school-year [01/'sku:l jə/]	[01* dtừ]\n- năm học
schooner [01/'sku:nə/]	[01* dtừ]\n- thuyền hai buồm\n- (Mỹ),(sử học) toa xe che bạt (của dân di cư)((cũng) [03prairie-schooner] )\n- (tục) cốc vại (uống bia)\n- nửa lít bia
schorl [01/∫ɔ:l/]	[01* dtừ]\n- (khoáng) tuamalin đen
schottische [01/∫ɔ'ti:∫/]	[01* dtừ]\n- (âm nhạc) điệu nhảy ponca chậm\n- nhạc cho điệu nhảy ponca chậm
schwa [01/∫wɑ:/]	[01* dtừ]\n- (ngôn) âm phát ra ở các âm tiết không có trọng lượng âm và trong các nguyên âm đôi trong tiếng Anh (thí dụ âm 'a' trong 'about')\n- ký hiệu ngữ âm của âm đó (//) 
schwanpan [01/'∫va:npa:n/]	[01* dtừ]\n- bàn toán (Trung Quốc) 
sciagram [01/'skaiəgræm/]	[01* dtừ]\n- ánh tia X
sciagrammatic [01/,skaiəgrə'mætik/]	[01* ttừ]\n- (thuộc) ảnh tia X
sciagraph [01/'skaiəgrɑ:f/]	[01* dtừ]\n- ánh vẽ bóng\n- (kiến trúc) mặt cắt đứng (một cái nhà) 
sciagraphic [01/,skaiə'græfik/]	[01* ttừ]\n- (thuộc) thuật vẽ bóng
sciagraphy [01/skai'ægrəfi/]	[01* dtừ]\n- thuật vẽ bóng\n- thuật chụp tia X ((thường) skiagraphy)\n- (kiến trúc) mặt cắt đứng (một cái nhà)\n- (thiên văn) phép đo bóng (mặt trời) tính giờ
sciamachy [01/sai'æməki/]	như [03sciomachy]
sciantific	- về khoa học
sciatic [01/sai'ætik/]	[01* ttừ]\n- (phẫu)(thuộc) hông\n[02= sciatic nerve] dây thần kinh hông
sciatica [01/sai'ætikə/]	[01* dtừ]\n- (y) đau thần kinh hông
science [01/'saiəns/]	[01* dtừ]\n- khoa học\n[02= man of science] nhà khoa học\n- khoa học tự nhiên\n- ngành khoa học\n[02= the science of optics] ngành quang học\n- (thường)(đùa) kỹ thuật (quyền anh)\n- (cổ) trí thức, kiến thức\n[04! the dismal science]\n- khoa kinh tế chính trị
science fiction [01/'saiəns'fik∫n/]	[01* dtừ]\n- tiểu thuyết hư tưởng khoa học
scienter [01/sai'entə/]	[01* phtừ]\n- (pháp lý) cố ý, có ý thức
sciential [01/sai'en∫əl/]	[01* ttừ]\n- (thuộc) khoa học\n- hiểu biết, tinh thông, am hiểu
scientific [01/,saiən'tifik/]	[01* ttừ]\n- khoa học; có hệ thống; chính xác\n[02= scientific terminology] thuật ngữ khoa học\n- có kỹ thuật\n[02= a scientific boxes] một võ sĩ quyền anh có kỹ thuật
scientific notation [01/,saiən'tifik nou'tei∫n/]	[01* dtừ]\n- cách ký hiệu hoá khoa học (các con số được ghi thành những tích gồm một con số từ 1 đến 10 và một lũy thừa của 10: ví dụ: 14000 + 1, 4 x 10 Ự 4) 
scientific socialism [01/,saiən'tifik 'sou∫əlizm/]	[01* dtừ]\n- chủ nghĩa xã hội khoa học
scientifically [01/,saiən'tifikli/]	[01* phtừ]\n- (thuộc) khoa học; có tính khoa học\n- có kỹ thuật; đòi hỏi kỹ thuật cao
scientism [01/'siəntizəm/]	[01* dtừ]\n- tinh thần khoa học, thái độ khoa học\n- thuyết khoa học vạn năng
scientist [01/'saiəntist/]	[01* dtừ]\n- nhà khoa học; người giỏi về khoa học tự nhiên\n- người theo thuyết khoa học vạn năng
scientology [01/saiən'tɔlədʒi/]	[01* dtừ]\n- khoa học học
scifi [01/'saifai/]	[02= vt SF] truyện khoa học viễn tưởng
scilicet [01/'sailiset/]	[01* phtừ]\n- nghĩa là, đặc biệt là
scimitar [01/'simitə/]	như [03scimiter]
scimiter [01/'simitə/]	[01* dtừ]\n- thanh mã tấu, thanh đại đao
scintilla [01/sin'tilə/]	[01* dtừ]\n- một mảy may, một ít một tí\n[02= not a scintilla of evidence] không có một mảy may chứng cớ nào
scintillate [01/'sintileit/]	[01* nđtừ]\n- nhấp nháy, lấp lánh, long lanh\n- ăn nói sắc sảo, ứng đối giỏi\n[01* ngđtừ]\n- (Mỹ) làm nhấp nháy; bắn ra (những tia lửa...)\n- rạng lên vì, ánh lên vì, bừng lên vì\n[02= to scintillate delight] ánh lên vì vui sướng (nét mặt, mắt...)\n[02= to scintillate anger] bừng lên vì giận dữ
scintillating [01/'sintileitiη/]	[01* ttừ]\n- nhấp nháy, lấp lánh, lóng lánh
scintillation [01/,sinti'lei∫n/]	[01* dtừ]\n- sự nhấp nháy, sự lấp lánh\n- tia ánh lên, tia lửa\n- lời nói sắc sảo, lời ứng đối sắc sảo
scintillator [01/'sintileitə/]	[01* dtừ]\n- chất phát sáng nhấp nháy
scintillometer [01/,sinti'lɔmitə/]	[01* dtừ]\n- máy đếm nhấp nháy
scintiscanner [01/sintis'kænə/]	[01* dtừ]\n- ống quét tia nhấp nháy
sciograph [01/'saiəgræf/]	[01* dtừ]\n- thiết đầ ngang; hình cắt ngang (của công trình xây dựng) 
sciography [01/'saiəgræfi/]	[01* dtừ]\n- cách vẽ hình cắt ngang
sciolism [01/'saiəlizəm/]	[01* dtừ]\n- học thức nông cạn, kiến thức nửa mùa; sự hay chữ lỏng
sciolist [01/'saiəlist/]	[01* dtừ]\n- học giả nửa mùa, người hay chữ lỏng
sciolistic [01/,saiə'listik/]	[01* ttừ]\n- có kiến thức nông cạn, hay chữ lỏng
sciomachy [01/sai'æməki/]	[01* dtừ]\n- cuộc đánh nhau với bóng, cuộc chiến đấu tưởng tượng; cuộc đấu tranh vô ích
scion [01/'saiən/]	[01* dtừ]\n- chồi, mầm (cây)\n- con cháu; con dòng cháu giống
scionphilous [01/'saiənfiləs/]	[01* ttừ]\n- ưa tối; ưa bóng
scionphyll [01/'saiənfil/]	[01* dtừ]\n- thực vật hai mặt lá khác nhau
scionphyte [01/'saiənfait/]	[01* dtừ]\n- thực vật ưa tối
scion-rooted [01/'saiən ru:tid/]	[01* ttừ]\n- có rễ ghép
scirrhous [01/'sirəs/]	[01* ttừ]\n- thuộc khối u cứng
scirrhus [01/'sirəs/]	[01* dtừ]\n- (y) ung thư xơ
scirroco [01/si'rɔkou/]	như [03sirocco]
scissel [01/'sisəl/]	[01* dtừ]\n- mảnh kim loại vụn
scissile [01/'sisil/]	[01* ttừ]\n- có thể chẻ ra được, có thể cắt ra được
scission [01/'siʒn/]	[01* dtừ]\n- sự cắt\n- sự chia rẽ, sự phân chia, sự phân hoá
scissor [01/'sizə/]	[01* ngđtừ]\n- cắt bằng kéo
scissors [01/'sizəz/]	[01* dtừ s/n]\n- ((thường) pair of scissors) cái kéo\n[04! scissors and paste]\n- sự sưu tầm trích cắt ở các sách thành một cuốn sách
scissors hold [01/'sizəz'hould/]	[01* dtừ]\n- (thể thao) miếng khoá chân
scissura [01/'sisjurə/]	[01* dtừ]\n- rãnh; khe
sciuridae [01/si'ju:ridi:/]	[01* dtừ]\n- bộ sóc
sciurine [01/'saijurin/]	như [03squirrel]
sciuroid [01/si'jurɔid/]	[01* ttừ]\n- dạng sóc
sclav [01/sklɑ:v/]	[01* ttừ]\n- (thuộc) chủng tộc Xla-vơ\n[01* dtừ]\n- người Xla-vơ, dân tộc Xla-vơ
sclavonic [01/slə'vɔnik/]	[01* ttừ]\n- (thuộc) ngôn ngữ Xla-vơ
sclera [01/'sklərə/]	[01* dtừ]\n- (phẫu) màng cứng (mắt) 
scleral [01/'skliərəl/]	[01* ttừ]\n- thuộc sclera
sclereid [01/'skleri id/]	[01* dtừ]\n- (sinh vật) tế bào đá (thạch bào) ; tế bào cứng (cương bào) 
sclerenchyma [01/sklə'reηkimə/]	[01* dtừ]\n- (thực vật) mô cứng, cương mô
scleriasis [01/sklə'raiəsis/]	[01* dtừ]\n- (y) sự cứng mô
sclerid [01/'skliərid/]	[01* dtừ]\n- (sinh vật) tế bào đá; tế bào cứng
sclerification [01/skliərifi'kei∫n/]	như [03scleritization]
sclerite [01/'skliərait/]	[01* dtừ]\n- mảnh xương; gai xương\n- mảnh cứng\n- thể cứng
scleritis [01/sklə'raitis/]	như [03sclerotitis]
scleritization [01/skliəraiti'zei∫n/]	[01* dtừ]\n- sự hoá cứng
scleroblast [01/'skliərə,bla:st/]	[01* dtừ]\n- tế bào cứng non
sclerocarp [01/'skliərə,ka:p/]	[01* dtừ]\n- quả cứng
scleroderma [01/skliərə'də:mə/]	[01* dtừ] s/n [02sclerodermas, sclerodermata]\n- bệnh cứng da
sclerodermatous [01/,sklərou'də:mətəs/]	[01* ttừ]\n- có da cứng (như loài bò sát) 
sclerogen [01/'skliərədʒen/]	[01* dtừ]\n- (thực vật) tế bào tạo gỗ, tế bào tạo licnin
sclerogenic [01/skliərə'dʒenik/]	[01* ttừ]\n- tạo gỗ; tạo licnin
scleroid [01/'sklərɔid/]	[01* ttừ]\n- (sinh vật) cứng, có cấu tạo cứng
scleroma [01/sklə'roumə/]	như [03sclerosis]
sclerometer [01/skliə'rɔmitə/]	[01* dtừ]\n- dụng cụ đo độ cứng khoáng sản
scleronomous	- (cơ học) dừng, vô thời (không có yếu tố thời gian) 
scleroprotein [01/skliərou'prouti:n/]	[01* dtừ]\n- prôtêin cứng (chất sừng, chất keo, chất sụn) 
