scotch mist [01/skɒt∫mist/]	như [03london particular]
scotch tape [01/'skɔt∫'teip/]	[01* dtừ]\n- (Mỹ)(tục) băng dính trong suốt (làm bằng xenluylô hoặc nhựa) 
scotch terrier [01/'skɔt∫'teriə/]	[01* dtừ]\n- chó xù Ê-cốt
scotch whisky [01/'skɔt∫'wiski/]	[01* dtừ]\n- loại rượu úytki chưng cất ở Xcốt-len
scotchman [01/'skɔt∫mən/]	[01* dtừ]\n- người Ê-cốt\n[04! flying Scotchman]\n- xe lửa tốc hành Luân-đôn Ê-đin-bơ
scotchwoman [01/'skɔt∫,wumən/]	[01* dtừ]\n- người đàn bà Ê-cốt
scoter [01/'skoutə/]	[01* dtừ]\n- (động vật) vịt biển
scot-free [01/,skɔt'fri:/]	[01* ttừ]\n- bình an vô sự; không bị trừng phạt; không bị thiệt hại\n[02= to go scot-free] không bị trừng phạt; không bị thiệt hại\n[02= to go scot-free] thoát bình an vô sự, đi trót lọt\n- (hiếm) không phải trả tiền, miễn thuế
scotia [01/'skou∫ə/]	[01* dtừ]\n- đường gờ (ở) chân cột
scotice [01/'skɔtisi:/]	như [03scottice]
scotland yard [01/,skɔtlənd 'jɑ:d/]	[01* dtừ]\n- (trước đây Scotland Yard) sở chỉ huy của cảnh sát London\n- (hiện nay, chính thức là New Scotland Yard) Cục điều tra tội phạm của cảnh sát London
scotodinia [01/,skɔtə'di:njə/]	[01* dtừ]\n- sự chóng mặt
scotoma [01/skɔ'toumə/]	[01* dtừ]\n- (y) ám điểm
scotophilous [01/skə'tɔfiləs/]	[01* ttừ]\n- ưa tối
scotopia [01/skə'tɔpiə/]	[01* dtừ]\n- sự thích nhìn tối
scotopic [01/skə'tɔpik/]	[01* ttừ]\n- thích ứng nhìn tối
scots [01/'skɔts/]	[01* ttừ]\n- (Scots)(thuộc) xứ Xcốt-len, (thuộc) người Xcốt-len, (thuộc) phương ngữ tiếng Anh ở Xcốt-len\n[01* dtừ]\n- phương ngữ tiếng Anh (vốn vẫn được nói ở Xcốt-len) 
scotsman [01/'skɔtsmən/]	[01* dtừ]\n- người sinh ra ở xứ Xcốt-len
scotswoman [01/'skɔts,wumən/]	[01* dtừ]\n- người đàn bà sinh ra ở xứ Xcốt-len
scottice [01/'skɔtisi:/]	[01* phtừ]\n- bằng tiếng Ê-cốt
scotticise [01/'skɔtisaiz/]	[01* đtừ]\n- Ê-cốt hoá\n- bắt chước phong cách Ê-cốt
scotticism [01/'skɔtisizəm/]	[01* dtừ]\n- từ ngữ đặc Ê-cốt
scotticize [01/'skɔtisaiz/]	như [03scotticise]
scottish [01/'skɔti∫/]	[01* ttừ] (thuộc) xứ Xcốt-len, (thuộc) người Xcốt-len, (thuộc) phương ngữ tiếng Anh ở Xcốt-len
scoundrel [01/'skaundrəl/]	[01* dtừ]\n- tên vô lại, tên du thủ du thực
scoundrelism [01/'skaundrəlizm/]	[01* dtừ]\n- hành vi scoundrel
scoundrelly [01/'skaundrəli/]	[01* ttừ]\n- vô lại, du thủ du thực
scoundrelom [01/'skaundrəndəm/]	[01* dtừ]\n- tính chất scoundrel
scour [01/'skauə/]	[01* dtừ]\n- sự lau chùi, sự cọ\n- sự xối nước sục sạch bùn (ở lòng sông...)\n- thuốc tẩy vải\n- bệnh ỉa chảy (của động vật)\n[01* ngđtừ]\n- lau, chùi cọ\n- xối nước sục sạch bùn (ở lòng sông, ống dẫn nước...)\n- tẩy, gột (quần áo)\n- tẩy (ruột)\n[01* đtừ]\n- sục vội sục vàng, sục tìm\n[02= to scour the coast] sục vội sục vàng ven biển\n- đi lướt qua, đi lướt qua
scourage [01/'skauəridʒ/]	[01* dtừ]\n- nước dùng để rửa; cọ, tẩy
scourer [01/'skaurə/]	[01* dtừ]\n- miếng cọ nồi\n- bột để cọ nồi
scourge [01/skə:dʒ/]	[01* dtừ]\n- người (vật) trừng phạt, người phê bình nghiêm khắc\n- thiên tai, tai hoạ (đen & bóng)\n[02= the scourge of war] tai hoạ chiến tranh\n[02= the white scourge] bệnh ho lao\n- (cổ) cái roi\n[01* ngđtừ]\n- trừng phạt; áp bức, làm khổ, quấy rầy\n- (cổ) đánh bằng roi
scouring [01/'skauəriη/]	[01* dtừ]\n- sự tẩy sạch, sự làm sạch
scouring-basin [01/'skauəriη,beisin/]	[01* dtừ]\n- bể cạn để tẩy rửa
scourings [01/'skauəriηz/]	[01* dtừ] s/n\n- vật cạo; tẩy ra; rác rưởi\n- cặn bã của xã hội
scouse [01/skaus/]	[01* dtừ]\n- món ăn hổ lốn\n- (tục) người thành Livơpun (Anh)\n- phương ngữ Livơpun\n[01* ttừ]\n- thuộc người/ phương ngữ thành Livơpun
scouser [01/'skausə/]	[01* dtừ]\n- người thành Livơpun
scout [01/skaut/]	[01* dtừ]\n- (qsự) người trinh sát; sự đi trinh sát; sự do thám\n[02= to be on the scout] đi trinh sát, đi do thám\n- tàu thám thính\n- máy bay nhỏ và nhanh\n- (động vật) chim anca; chim rụt cổ\n- hướng đạo sinh ((cũng) [03boy scout] )\n- (thể thao) người được cử đi thăm dò chiến thuật của đối phương; người đi phát hiện những tài năng mới\n- (Mỹ),(lóng) gã, anh chàng\n[01* ngđtừ]\n- theo dõi, theo sát, do thám\n- (Mỹ) lùng tìm, tìm kiếm
scout car [01/'skaut,ka:/]	[01* dtừ]\n-(quan sự) ô tô trinh sát bọc sắt
scoutcraft [01/'skautkrɑ:ft/]	[01* dtừ]\n- hoạt động của hướng đạo sinh
scouter [01/'skɑʊtər/]	[01* dtừ]\n- kha trưởng (người đứng đầu đơn vị hướng đạo sinh cấp lớn) 
scouting [01/'skautiη/]	[01* dtừ]\n- hoạt động hướng đạo
scoutmaster [01/'skaut,mɑ:stə/]	[01* dtừ]\n- huynh trưởng hướng đạo sinh; người lãnh đạo một đoàn hướng đạo sinh
scout-plane [01/'skaut,plein/]	[01* dtừ]\n- máy bay trinh sát
scow [01/skau/]	[01* dtừ]\n- sà lan
scowl [01/skaul/]	[01* dtừ]\n- sự quắc mắt; sự cau có giận dữ\n- vẻ cau có đe doạ\n[01* đtừ]\n- quắc mắt; cau có giận dữ, mặt sưng mày sỉa\n[04! to scowl down]\n- cau mày mà áp đảo, quắc mắt mà áp đảo (ai, sự chống đối...) 
scowlingly [01/'skauliηli/]	[01* phtừ]\n- quắc mắt; cau có giận dữ, sưng sỉa
scrabble [01/'skræbl/]	[01* dtừ]\n- chữ nguệch ngoạc, chữ viết ngoáy\n- sự cào bới\n- sự quờ quạng (tìm vật gì)\n[01* ngđtừ]\n- viết nguệch ngoạc, viết ngoáy\n- cào, bới\n- quờ quạng, sờ soạng (tìm vật gì...) 
scrag [01/skræg/]	[01* dtừ]\n- người gầy khẳng khiu; súc vật gầy khẳng khiu; cây gầy khẳng khiu\n- xương sườn súc vật; cổ cừu (để làm thức ăn)\n- (lóng) có (người)\n[01* ngđtừ]\n- treo cổ, vặn cổ, thắt cổ\n- (thể thao),(lóng) ôm cổ địch thủ\n-(ngôn ngữ nhà trường),(lóng) ngoặc cánh tay vào cổ (ai) cho nghẹt thở
scragged [01/'skrægid/]	[01* ttừ]\n- xương xẩu gồ ghề; lởm chởm
scragginess [01/skræginis/]	[01* dtừ]\n- sự gầy gò, sự khẳng khiu
scraggly [01/'skrægli/]	[01* ttừso sánh]\n- (Mỹ)(tục) thô, xộc xệch; không đều
scraggy [01/'skrægi/]	[01* ttừ]\n- gầy giơ xương, khẳng khiu
scram [01/skræm/]	[01* thán từ]\n- (lóng) cút đi!, xéo đi!
scramble [01/'skræmbl/]	[01* dtừ]\n- sự bò, sự toài, sự trườn (trên miếng đất mấp mô)\n- cuộc thi mô tô, cuộc thử mô tô (trên bãi đất mấp mô)\n- sự tranh cướp, sự tranh giành (đen & bóng)\n[02= the scramble for office] sự tranh giành chức vị\n[01* nđtừ]\n- bò, toài, trườn (trên đất mấp mô)\n- tranh cướp, tranh giành (đen & bóng)\n[02= to scramble for a living] tranh giành để kiếm sống\n- (hàng không) cất cánh\n[01* ngđtừ]\n- tung ném (tiền để trẻ con tranh nhau)\n- bác (trứng)\n- đổi tần số (ở rađiô...) để không ai nghe trộm được\n- (kỹ) chất đống lộn bậy; trộn hỗn độn\n- (Mỹ),((thường) +[02up]) thu nhặt linh tinh, thu thập không có phương pháp
scramble eggs [01/'skræmbld'egz/]	như [03scrambled eggs]
scrambled eggs [01/'skræmbl'egz/]	[01* dtừ s/n]\n- trứng bác
scrambler [01/'skræmlə/]	[01* dtừ]\n- (vô tuyến) bộ xáo trộn âm\n- người đua mô tô
scrambling [01/'skræmbliη/]	[01* dtừ]\n- (vô tuyến) sự xáo trộn âm\n- cuộc đua mô tô trên đất gồ ghề
scramjet [01/'skræmdʒet/]	[01* dtừ]\n- động cơ phản lực tĩnh siêu âm
scran [01/skræn/]	[01* dtừ]\n- (bóng) thức ăn; đồ ăn vụn\n[04! bad scran to...!]\n- thật là không may cho...!
scrannel [01/'skrænl/]	[01* ttừ]\n- (cổ) nhỏ, yếu (tiếng, giọng)\n- gầy gò khẳng khiu
scranny [01/'skræni/]	[01* ttừ]\n- gầy gò, gầy khẳng khiu
scrap [01/skræp/]	[01* dtừ]\n- mảnh nhỏ, mảnh rời\n- (số nhiều) đầu thừa đuôi thẹo, mấu thừa\n- đoạn cắt, ảnh cắt (cắt ở báo để đóng thành tập)\n- kim loại vụn; phế liệu\n- tóp mỡ, bã cá (để ép hết dầu)\n[01* ngđtừ]\n- đập vụn ra\n- thải ra, loại ra, bỏ đi\n[01* dtừ]\n- (lóng) cuộc ẩu đả, cuộc đánh nhau\n[02= to hose a bit of a scrap with somebody] ẩu đả với ai\n[01* nđtừ]\n- (lóng) ẩu đả, đánh nhau
scrap cake [01/'skræp,keit/]	[01* dtừ]\n- bánh xác cá sau khi đã ép lấy dầu
scrap cheese [01/'skræp,t∫i:z/]	[01* dtừ]\n- xem [03scrap cake] 
scrap paper [01/'skræp'peipə/]	- (Cách viết khác:[03scratch paper]) [01* dtừ]\n- giấy nháp
