shaven [01/'∫eivn/]	như [03shave]
shaver [01/'∫eivə/]	[01* dtừ]\n- người cạo, thợ cạo; dao cạo, dao bào; (Mỹ),(tục) người khó mặc cả, người khó chơi (trong chuyện làm ăn) ; (Mỹ),(tục) con trai, trẻ mới lớn lên
shavetail [01/'∫eivteil/]	[01* dtừ]\n- (lóng) thiếu uý mới được đề bạt
shavian [01/'∫eiviən/]	[01* ttừ]\n- theo lối viết của Béc-na-Sô\n[01* dtừ]\n- người hâm mộ Béc-na-Sô
shaving [01/'∫eiviη/]	[01* dtừ]\n- sự cạo\n- sự bào\n- (số nhiều) vỏ bào (gỗ, kim loại) 
shaving-block [01/'∫eiviη'blɔk/]	[01* dtừ]\n- cục phèn xoa (sau khi cạo râu) 
shaving-bowl [01/'∫eiviη'boul/]	[01* dtừ]\n- bát để xà phòng cạo râu
shaving-brush [01/'∫eiviη'brʌ∫/]	[01* dtừ]\n- chổi (xoa xà phòng) cạo râu
shaving-cream [01/'∫eiviη'kri:m/]	[01* dtừ]\n- kem cạo râu
shaving-foam [01/'∫eiviη'foum/]	[01* dtừ]\n- kem cạo râu, bọt cạo râu
shaving-horse [01/'∫eiviη'hɔ:s/]	[01* dtừ]\n- giá bào (giá để giữ tấm ván khi bào) 
shaving-soap [01/'∫eiviη'soup/]	như [03shaving-stick]
shaving-stick [01/'∫eiviη'stik/]	[01* dtừ]\n- xà phòng cạo râu
shaw [01/∫ɔ:/]	[01* dtừ]\n- (cổ) ; (thơ ca) rừng nhỏ, rừng thưa\n[01* dtừ]\n- (Ê-cốt) cẳng (cuộng và lá) khoai tây, cẳng cải đỏ
shawl [01/∫ɔ:l/]	[01* dtừ]\n- khăn choàng, khăn san
shawm [01/∫ɔ:m/]	[01* dtừ]\n- (âm nhạc) kèn cổ
shay [01/∫ei/]	[01* dtừ]\n- (cổ),(đùa),(tục)(như) [03chaise] 
she [01/∫i:/]	[01* đại từ]\n- nó, bà ấy, chị ấy, cô ấy...\n[02= she sings beautifully] chị ấy hát hay\n- nó (chỉ tàu, xe... đã được nhân cách hoá), tàu ấy, xe ấy\n[02= she sails tomorrow] ngày mai chiếc tàu ấy nhổ neo\n- người đàn bà, chị\n[02= she of the black hair] người đàn bà tóc đen, chị tóc đen\n[01* dtừ]\n- đàn bà, con gái\n[02= is the child a he or a she?] đứa bé là con trai hay con gái?\n[02= the not impossible she] người có thể yêu được\n- con cái\n[02= a litter of two shes and a he] một ổ hai con cái và một con đực\n- (trong từ ghép chỉ động vật) cái\n[02= she-goat] dê cái\n[02= she-ass] lừa cái
shea [01/∫iə/]	[01* dtừ]\n- (thực vật) cây hạt mỡ (loài cây Tây phi, hạt cho một chất mỡ trắng, dùng để ăn hay thắp đèn)((cũng) [03shea tree] ) 
shea nut [01/'∫i:nʌt/]	[01* dtừ]\n- hạt cầy bơ; hạt mỡ
shea tree [01/'∫iə'tri:/]	[01* dtừ]\n- <thực> cây hạt mỡ (loài cây Tây phi, hạt cho một chất mỡ trắng, dùng để ăn hay thắp đèn) 
sheading [01/'∫i:diη/]	[01* dtừ]\n- khu vực hành chính (ở đảo Man) 
sheaf [01/∫i:f/]	[01* dtừ] s/n [03sheaves] /ʃi:vz/\n- bó, lượm, thếp\n[02= a sheaf of flowers] bó hoa\n[02= a sheaf of rice-plants] lượm lúa\n[02= a sheaf of papers] thếp giấy\n[01* ngđtừ]\n- bó thành bó, bó thành lượm
sheaf-binder [01/'∫i:f'baində/]	[01* dtừ]\n- (nông nghiệp) máy gặt bó
sheaflike [01/'∫:flaik/]	[01* ttừ] thành bó
sheafy [01/'∫i:fi/]	[01* ttừ]\n- thành bó
shear [01/∫iə/]	[01* dtừ]\n- kéo lớn (để tỉa cây, xén lông cừu...)\n- (Mỹ) sự xén (lông cừu...)\n[02= a sheep of three shears] con cừu đã được xén lông ba lần\n- (Mỹ) lông cừu xén ra\n- (kỹ) sự trượt, sự dịch chuyển\n- (số nhiều)(như) [03sheers]\n[01* đtừ sheared, (cổ) shore; shorn, (hiếm) sheared]\n- cắt, chặt (bằng kiếm, dao, kéo...)\n[02= to shear through something] cắt đứt vật gì\n[02= the plane sheared through the clouds] chiếc máy bay bay xuyên qua đám mây\n- xén, cắt, hớt\n[02= to shear sheep] xén lông cừu\n- bị biến dạng, bị méo mó, bị đứt gãy (vật liệu...) ; làm biến dạng, làm méo mó, làm đứt gãy\n- (bóng) tước, lấy mất\n[02= to be shorn of glory] bị tướt hết vinh quang;\n[02= to come home shorn] về nhà trần như nhộng
shear steel [01/'∫iə'sti:l/]	[01* dtừ]\n- thép làm kéo, thép làm dao
shear-deformation [01/∫iə di:fɔ:'mei∫n/]	[01* dtừ]\n- biến dạng cắt, biến dạng trượt
shear-edge [01/'∫iə,edʒ/]	[01* dtừ]\n- mép để cắt
shearer [01/'∫iərə/]	[01* dtừ]\n- người xén lông cừu\n- máy cắt (bằng kéo) 
shear-legs [01/'∫iə'sti:l/]	như [03sheers]
shearling [01/'∫iəliη/]	[01* dtừ]\n- cừu bị xén lông một lần
shearling-off [01/'∫iəliη 'ɔf/]	[01* dtừ]\n- sự cắt đứt
shears [01/∫iəz/]	[01* dtừ]\n- dụng cụ để xén (to, hình dạng như cái kéo dùng để xén lông cừu, tỉa hàng dậu) 
sheartail [01/'∫iəteil/]	[01* dtừ]\n- (động vật) chim ruồi
shearwater [01/'∫iə,wɔ:tə/]	[01* dtừ]\n- (động vật) chim hải âu
sheat-fish [01/'∫i:t'fi∫/]	[01* dtừ]\n- (động vật) cá nheo Âu
sheath [01/∫i:θ/]	[01* dtừ] s/n [03sheaths] /ʃi:ðz/\n- bao, vỏ (kiếm) ; ống\n- (sinh vật) màng bọc, bao, vỏ, áo\n- kè đá, đạp đá
sheathe [01/∫i:đ/]	[01* ngđtừ]\n- bỏ vào bao, tra (gươm...) vào vỏ\n- gói, bọc; đóng bao ngoài\n- đâm ngập (lưỡi kiếm) vào thịt\n- thu (móng sắc)\n[04! to sheathe the sword]\n- sword
sheathing [01/'∫i:điη/]	[01* dtừ]\n- lớp bọc ngoài, lớp đậy phủ (cho các bộ phận của một toà nhà) 
sheath-knife [01/'∫i:θ'naif/]	[01* dtừ]\n- dao găm
sheathless [01/'∫i:θlis/]	[01* ttừ]\n- không có bao, không có vỏ\n- (sinh vật) không có màng bọc, không có bao, không có vỏ, không có áo
sheathwinged [01/'∫i:θwiηd/]	[01* ttừ]\n- có cánh cứng
sheathy [01/'∫i:đi/]	[01* ttừ]\n- giống như vỏ
sheave [01/∫i:v/]	[01* dtừ]\n- (kỹ) bánh có rãnh\n[01* ngđtừ]\n- (như) [03sheaf] 
sheaves [01/∫i:vz/]	như [03sheaf]
shebang [01/∫ə'bæη/]	[01* dtừ]\n- (Mỹ),(lóng) sòng bạc, nhà gá bạc\n- quán rượu; phòng trà\n- vấn đề, việc\n[02= I'm fed up with the whole shebang] tôi chán ngấy về việc ấy rồi
shebeen [01/∫i'bi:n/]	[01* dtừ]\n- quán rượu, quán rượu lậu
shed [01/∫ed/]	[01* dtừ]\n- lán, túp lều (đề hàng hoá, dụng cụ)\n- chuồng (trâu, bò, ngựa)\n[01* ngđtừ shed]\n- rụng (lá...), lột (da...)\n[02= tree sheds leaves] cây rụng lá\n[02= snake sheds skin] rắn lột da\n[02= stag sheds horn] hươu rụng sừng\n- bỏ rơi, để rơi\n[02= to shed one's colleagues] bỏ rơi đồng nghiệp\n[02= to shed tears] rơi lệ\n[02= to shed one's blood for one's country] đổ máu vì đất nước\n- tung ra, toả ra\n[02= to shed perfume] toả hương thơm\n[02= lamp sheds light] ngọn đèn toả ánh sáng\n[02= to shed love] toả tình thương yêu\n[01* nđtừ]\n- rụng (lá...), lột (rắn...) 
she'd [01/∫i:d/]	- (vt) của [02she had, she would] 
shedder [01/'∫edə/]	[01* dtừ]\n- người làm rụng, người làm rơi\n- cua lột; rắn lột; sâu bọ lột
shedding [01/'∫ediη/]	[01* dtừ]\n- sự để rơi; sự rơi; cái rơi xuống\n- sự lột (da...) ; cái lột ra
she-devil [01/∫i'devl/]	[01* dtừ]\n- mụ đàn bà hiểm ác, gian xảo
sheen [01/∫i:n/]	[01* dtừ]\n- sự huy hoàng, sự lộng lẫy, sự rực rỡ, sự xán lạn\n[01* nđtừ]\n- (thơ ca) ngời sáng, xán lạn
sheeny [01/'∫i:ni/]	[01* ttừ]\n- (thơ ca) huy hoàng, lộng lẫy, rực rỡ, xán lạn\n[01* dtừ]\n- (lóng) người Do thái
sheep [01/∫i:p/]	[01* dtừ, s/n không đổi]\n- con cừu\n- ((thường) số nhiều & mỉa) con chiên\n- da cừu\n- người hay e thẹn, người nhút nhát\n[04! to cast sheep's eyes]\n- liếc mắt đưa tình\n[04! to follow like sheep]\n- đi theo một cách mù quáng\n[04! sheep that have no shepherd]\n- quân vô tướng, hổ vô đấu\n[04! as well be hanged for a sheep as for a lamb]\n- xem [03lamb]\n[04! wolf in sheep's clothing]\n- xem [03wolf] 
sheep-cot [01/'∫i:p'kɔt/]	như [03sheep-cote]
sheep-cote [01/'∫i:p'kout/]	[01* dtừ]\n- bãi rào nhốt cừu
sheep-dip [01/'∫i:p'dip/]	[01* dtừ]\n- thuốc nước tắm cho cừu (đề trừ bọ và bảo vệ lông) 
sheep-dog [01/'∫ip'dɔg/]	[01* dtừ]\n- chó chăn cừu
sheep-farmer [01/'∫i:p'fɑ:mə/]	như [03flock-master]
sheep-fold [01/'∫i:p'flould/]	như [03sheep-cote]
sheep-hook [01/'∫i:p'huk/]	[01* dtừ]\n- gậy (quắm của người) chăn cừu
