shrinkable [01/'∫riηkəbl/]	[01* ttừ]\n- có thể làm co lại được, có thể rút ngắn lại; có thể bị co
shrinkage [01/'∫riηkidʒ/]	[01* dtừ]\n- sự co lại (của vải...)\n- sự hụt cân (của súc vật từ khi chuyên chở đến khi giết thịt)\n- số lượng co\n- số cân hụt
shrinking violet [01/'∫riηkiη,vaiəlit/]	[01* dtừ]\n-(tục) người rất bẽn lẽn
shrink-resistant [01/'∫riηkri'zistənt/]	[01* ttừ]\n- chống được sự co bóp
shrink-wrap [01/,∫riηk'ræp/]	[01* ngđtừ]\n- bọc chặt bằng vải thun
shrive [01/∫raiv/]	[01* ngđtừ shrived] /ʃraivd/, shrove\n- /ʃrouv/, shriven\n- /'ʃrivn/ (cổ)\n- nghe (ai) xưng tội\n- dạng bị động tha tội\n[02= to shrive oneself] xưng tội
shrivel [01/'∫rivl/]	[01* ngđtừ]\n- làm nhăn lại, làm co lại; làm héo hon\n[01* nđtừ]\n- teo lại, quắt lại, quăn lại; héo hon
shriven [01/ʃraiv/]	như [03shrive]
shroff [01/∫rɔf/]	[01* dtừ]\n- chủ ngân hàng, người đổi tiền (ở phương Đông)\n- chuyên viên phát hiện tiền (vàng, bạc) giả (ở phương Đông)\n[01* ngđtừ]\n- xem xét (để phát hiện tiền giả) 
shroud [01/∫raud/]	[01* dtừ]\n- vải liệm\n- màn che giấu\n[02= the whole affair was wrapped in a shroud of mystery] tất cả vấn đề còn ở trong màn bí mật\n- (số nhiều) mạng thừng chằng cột buồm\n[01* ngđtừ]\n- liệm, khâm liệm\n- giấu, che đậy
shrove [01/ʃraiv/]	như [03shrive]
shrove tuesday [01/,∫rouv 'tju:zdi,,∫rouv 'tju:zdei/]	[01* dtừ]\n- (Shrove Tuesday) +ngày trước tuần chay (hôm đó mọi người đi xưng tội)\n- thứ ba trước thứ tư lễ Tro
shrua [01/ʃrʌg/]	[01* dtừ]\n- sự nhún vai\n- cái nhún vai
shrub [01/∫rʌb/]	[01* dtừ]\n- cây bụi\n[01* dtừ]\n- rượu bổ (pha bằng) nước quả
shrubbery [01/'∫rʌbəri/]	[01* dtừ]\n- bụi cây
shrubby [01/'∫rʌbi/]	[01* ttừ]\n- dạng cây bụi\n- có nhiều cây bụi
