soda jerker [01/'soudə'dʒə:kə/]	như [03soda jerk]
soda lime [01/'soudə,laim/]	[01* dtừ]\n- sự pha trộn hydroxit natri với hydroxit canxi
soda pop [01/'soudə'pɔp/]	[01* dtừ]\n- (Mỹ)(tục) nước giải khát sủi bọt làm bằng nước xô-đa có hương vị thơm
soda water [01/'soudə,wɔtə/]	như [03soda-water]
soda-fountain [01/'soudə'fauntin/]	[01* dtừ]\n- thùng hơi chứa nước xô-đa\n- (Mỹ) quần hàng có thùng hơi chứa nước xô-đa
sodality [01/sou'dæliti/]	[01* dtừ]\n- hội tôn giáo, hội tương tề tôn giáo
soda-siphon [01/'soudə'saifən/]	[01* dtừ]\n- chai đựng nước xô-đa có thể dùng sức ép của ga trong bình để xì ra
soda-water [01/'soudə'wɔ:tə/]	[01* dtừ]\n- nước xô-đa (giải khát) 
sodden [01/'sɔdn/]	[01* động tính từ quá khứ]\n- (cổ) của seethe\n[01* ttừ]\n- đẫm nước, đầy nước\n- ẩm, ỉu (bánh mì)\n- đần độn, u mê; có vẻ đần độn, có vẻ u mê (vì nghiện rượu)\n[01* ngđtừ]\n- làm ướt đẫm, làm đẫm nước\n- làm u mê, làm đần độn (vì rượu)\n[01* nđtừ]\n- thấm đẫm nước
soddenly [01/0'sɔdnli/]	[01* phtừ]\n- xem [03sodden]\n[01* ttừ]\n- sũng nước\n- ẩm ướt; ướt; ướt; ướt và dính (bột mì)\n- u mê; đần độn
soddenness [01/'sɔdnnis/]	[01* dtừ]\n- sự đẫm nước, sự ướt đẫm\n- sự ẩm, sự ỉu (bánh mì)\n- tình trạng u mê; sự đần độn (vì nghiện rượu) 
sodding [01/'sɔdiη/]	[01* ttừ]\n- (đang lúc giận dữ, bực mình để nhấn mạnh) 
soddy [01/'sɔdi/]	[01* ttừ]\n- có trồng cỏ xanh
sodium [01/'soudiəm/]	[01* dtừ]\n- (hoá) Natri
sodium bicarbonate [01/'soudiəm bai'kɑ:bənit/]	[01* dtừ]\n- bi-các-bô-nát ná-tri; thuốc muối
sodium carbonate [01/'soudiəm'kɑ:bənit/]	[01* dtừ]\n- các-bô-nát nát-tri (hợp chất hoà tan màu trắng dưới dạng tinh thể, dùng để chế thủy tinh, xà phòng, giấy và làm mềm nước) 
sodium chlorate [01/'sɔdiəm'klɔ:rid/]	[01* dtừ]\n- Clorat natri
sodium chloride [01/'soudiəm 'klɔ:raid/]	[01* dtừ]\n- clorua natri (muối ăn thông thường) 
sodium cyanide [01/'soudiəm'saiənid/]	[01* dtừ]\n- xyanua natri
sodium dichrormate [01/'soudiəmdai'kroumit/]	[01* dtừ]\n- Đicromat natri
sodium fluoride [01/'soudiəm'fluəraid/]	[01* dtừ]\n- Floura natri
sodium hydroxide [01/'soudiəm hai'drɔksaid/]	[01* dtừ]\n- xút ăn da (chất rắn ăn mòn, màu trắng, dùng làm giấy và xà phòng) 
sodium hyposulphite [01/'soudiəm,haipɔu'sʌlfait/]	[01* dtừ]\n- Đithionit natri
sodium nitrate [01/'soudiəm'naitreit/]	[01* dtừ]\n- Nitrat natri
sodium nitrite [01/'soudiəm'naitrait/]	[01* dtừ]\n- Nitrit natri
sodium salicylate [01/'soudiəm'sæ'lisileit/]	[01* dtừ]\n- Salixylat natri
sodium sulphate [01/'soudiəm'sʌleit/]	[01* dtừ]\n- Sunfat natri
sodium thiosulphate [01/'soudiəm'θaiə'sʌfeit/]	[01* dtừ]\n- thiosunfat natri
sodomite [01/'sɔdəmait/]	[01* dtừ]\n- người kê gian (giao hợp giữa đàn ông và đàn ông)\n- người thú dâm (giao hợp với động vật cái) 
sodomitical [01/'sɔdə'mitikəl/]	[01* ttừ]\n- thuộc kê dâm; thú dâm
sodomy [01/'sɔdəmi/]	[01* dtừ]\n- sự kê gian (giao hợp giữa đàn ông với đàn ông)\n- sự thú dâm (giao hợp với động vật cái) 
sod's law [01/'sɔdz'lɔ:/]	[01* dtừ]\n-(lóng) xu hướng sự việc cứ hỏng đi
soever [01/sou'evə/]	[01* phtừ]\n- bất cứ thế nào, dù thế nào, dù đến chừng mức nào\n[02= how great soever it may be] dù lớn thế nào đi nữa\n[02= for what purpose soever he did it] dù hắn làm việc đó với mục đích nào đi nữa
sofa [01/'soufə/]	[01* dtừ]\n- ghế xôfa, ghế trường kỷ
sofa bed [01/'soufə'bed/]	[01* dtừ]\n- giường xôfa (một loại xôfa có thể mở rộng ra thành giường) 
sofa bedstead [01/'soufə,bedsted/]	[01* dtừ]\n- xem [03sofa bed] 
soffit [01/'sɔfit/]	[01* dtừ]\n- (kiến trúc) mặt dưới bao lơn; mặt dưới vòm
sofi [01/soufi/]	- Cách viết khác : [03sofism]
sofism [01/'soufizəm/]	như [03sufism]
