strophoid [01/'strɔfɔid/]	[01* dtừ]\n- (toán) strofoid
stroppy [01/'strɔpi/]	[01* ttừ]\n- khó xử\n- nóng tính; dễ cáu (người) 
strove [01/straiv/]	như [03strive]
strow [01/strou/]	[01* ngđtừ]\n- (cổ)(như) [03strew] 
struck	như [03strike]
structural [01/'strʌkt∫ərəl/]	[01* ttừ]\n- (thuộc) kết cấu, (thuộc) cấu trúc\n- (thuộc) xây dựng, để xây dựng\n[02= structural mechanics] cơ học xây dựng\n[02= structural steel] thép để xây dựng
structural linguistics [01/'strʌkt∫ərəl liη'gwistiks/]	[01* dtừ]\n- ngôn ngữ học cấu trúc
structural psychology [01/'strʌt∫ərəlsai'kɔlədʒi/]	như [03gestalt psychology]
structuralise [01/strʌt∫ərəlaiz/]	- xem [03structuralize] 
structuralism [01/'strʌkt∫ərəlizəm/]	[01* dtừ]\n- thuyết kết cấu
structuralist [01/'strʌkt∫ərəlist/]	[01* ttừ]\n- (thuộc) chủ nghĩa cấu trúc\n[01* dtừ]\n- người theo chủ nghĩa cấu trúc
structuralization [01/,strʌt∫ərəlai'zei∫n/]	[01* dtừ]\n- sự cấu trúc hoá
structuralize [01/strʌt∫ərəlaiz/]	[01* ngđtừ]\n- cấu trúc hoá
structurally [01/'strʌkt∫ərəli/]	[01* phtừ]\n- xem [03structural] 
structure [01/'strʌkt∫ə/]	[01* dtừ]\n- kết cấu, cấu trúc\n[02= the structure of a poem] kết cấu một bài thơ\n[02= a sentence of loose structure] một cấu trúc lỏng lẻo\n- công trình kiến trúc, công trình xây dựng\n[02= a fine marble structure] một công trình kiến trúc bằng cẩm thạch tuyệt đẹp
strudel [01/'stru:dl/]	[01* dtừ]\n- bánh ngọt làm bằng trái cây tẩm đường cuộn trong bột mỏng đem nướng
struggle [01/'strʌgl/]	[01* dtừ]\n- sự đấu tranh; cuộc đấu tranh, cuộc chiến đấu\n[02= the struggle for independence] cuộc đấu tranh giành độc lập\n[02= the struggle for existence] cuộc đấu tranh sinh tồn\n[01* nđtừ]\n- đấu tranh, chống lại\n[02= to struggle against imperialism] đấu tranh chống chủ nghĩa đế quốc\n- vùng vẫy; vật lộn\n[02= the child struggled and kicked] đứa trẻ vùng vẫy và đạp\n[02= to struggle for one's living] vận lộn kiếm sống\n[02= to struggle with a mathematical problem] đánh vật với một bài toán\n- cố gắng, gắng sức\n[02= to struggle to express oneself] cố gắng diễn đạt, cố gắng phát biểu ý kiến (về một vấn đề gì)\n- di chuyển một cách khó khăn, len qua\n[02= to struggle through the crowd] len qua đám đông
struggler [01/'strʌglə/]	[01* dtừ]\n- người đấu tranh; tranh giành\n- người phấn đấu
struggling [01/'strʌgliη/]	[01* ttừ]\n- vật lộn, đấu tranh, sống chật vật\n[02= a struggling artist] một nghệ sĩ sống chật vật
strum [01/strʌm/]	[01* dtừ]\n- tiếng bập bung (của đàn ghita...)\n[01* đtừ]\n- gãi, búng bập bung (đàn ghita...) 
struma [01/'stru:mə/]	[01* dtừ] s/n [03strumae]\n- (y) tạng lao\n- (y) bướu giáp\n- (thực vật) chỗ phình
strumae [01/'stru:mi/]	như [03struma]
strumatic [01/stru:'mætik/]	[01* ttừ]\n- có bướu; u; bướu giáp
strumiferous [01/stru:'mifərəs/]	[01* ttừ]\n- có bướu; u
strumiform [01/'stru:mifɔ:m/]	[01* ttừ]\n- dạng bướu; u
strumose [01/'stru:mous/]	[01* ttừ]\n- (như) [03strumous]\n- (thực vật) có chỗ phình
strumous [01/'stru:məs/]	[01* ttừ] ((cũng) [03strumose] )\n- (y)(thuộc) tạng lao\n- (y)(thuộc) bướu giáp, bị bướu giáp
strumpet [01/'strʌmpit/]	[01* dtừ]\n- gái điếm, đĩ
strung	như [03string]
strung up [01/,strʌη'ʌp/]	[01* dtừ]\n- thần kinh căng thẳng; thần kinh bị kích động
strut [01/strʌt/]	[01* dtừ]\n- dáng đi khệnh khạng\n[01* nđtừ]\n- đi khệnh khạng\n[01* dtừ]\n- (kiến trúc) thanh chống\n[01* ngđtừ]\n- (kiến trúc) lắp thanh chống
struth [01/stru:θ/]	[01* dtừ]\n- cũng [03strewth]\n- tiếng kêu tỏ sự ngạc nhiên
struthiform [01/'stru:θifɔ:m/]	[01* ttừ]\n- dạng đà điểu
struthio [01/'stru:θiou/]	[01* dtừ]\n- (động vật) con đà điểu
struthious [01/'stru:θiəs/]	[01* ttừ]\n- (thuộc) đà điểu, giống loài đà điểu
strutter [01/'strʌtə/]	[01* dtừ]\n- người đi khệnh khạng\n- người ngạo mạn
struttingly [01/'strʌtiηli/]	[01* phtừ]\n- khệnh khạng (đi) 
strychnia [01/'strikniə/]	[01* dtừ]\n- (cổ)(như) [03strychnine] 
strychnic [01/'striknik/]	[01* ttừ]\n- (thuộc) stricnin
strychnine [01/'strikni:n/]	[01* dtừ]\n- dược Stricnin
strychninism [01/'striknizəm/]	[01* dtừ]\n- sự trúng độc stricnin
strychnism [01/'striknizəm/]	như [03strychninism]
stub [01/stʌb/]	[01* dtừ]\n- gốc (cây)\n- chân (răng)\n- mẩu (bút chì, thuốc lá, đuôi chó)\n- (Mỹ) cuống (séc, hoá đơn...)\n- cái nhú ra, vật nhú ra\n[02= a mere stub of a horn] sừng mới nhu ra được một tí\n- (như) [03stub_nail]\n[01* ngđtừ]\n- đánh gốc, đánh hết gốc (ở một khoảnh đất)\n- giụi tắt (mẩu thuốc lá)((cũng) [03stub out] )\n- vấp (ngón chân)\n[02= to stub one's toe against something] vấp ngón chân vào vật gì
stub nail [01/'stʌb'neil/]	[01* dtừ] ((cũng) [03stub] )\n- đinh ngắn to\n- móng ngựa gãy, móng ngựa mòn
stubbed [01/'stʌbd/]	[01* ttừ]\n- có nhiều ngạnh, mấu (cây), có nhiều rễ (đất) 
stubbing [01/'stʌbiη/]	[01* dtừ]\n- sự đào (nhổ) rễ
stubble [01/'stʌbl/]	[01* dtừ]\n- gốc rạ\n- tóc cắt ngắn\n- râu mọc lởm chởm
stubble-field [01/'stʌbl'fi:ld/]	[01* dtừ]\n- cánh đồng đầy những gốc rạ
stubbly [01/'stʌbli/]	[01* ttừ]\n- có nhiều gốc rạ\n- có râu lởm chởm
stub-book [01/'stub,buk/]	[01* dtừ]\n- sổ tồn căn; sổ còn giữ gốc
stubborn [01/'stʌbən/]	[01* ttừ]\n- bướng bỉnh, ương bướng, ngoan cố\n[02= as stubborn as a mule] cứng đầu cứng cổ, ương bướng\n- ngoan cường\n[02= stubborn struggle] cuộc đấu tranh ngoan cường\n- không lay chuyển được; không gò theo được\n[02= facts are stubborn things] sự thật là điều không thể gò theo với lý thuyết được\n[02= stubborn soil] đất khó cày
stubborness [01/'stʌbənis/]	[01* dtừ]\n- tính bướng bỉnh, tính ương ngạnh, tính ngoan cố\n- tính ngoan cường; tính cứng cỏi; tính kiên quyết không chịu nhượng bộ\n- tính chất khó di chuyển, khó cất bỏ, khó chữa...
stubbornly [01/'stʌbənli/]	[01* phtừ]\n- bướng bỉnh, ương ngạnh, ngoan cố\n- ngoan cường; cứng cỏi; kiên quyết không chịu nhượng bộ\n- khó di chuyển, khó cất bỏ, khó chữa
stubbornness [01/'stʌbənis/]	[01* dtừ]\n- tính bướng bỉnh, tính ương bướng, tính ngoan cố\n- tính ngoan cường
