stymy [01/'staimi/]	- xem [03stymie] 
styptic [01/'stiptik/]	[01* ttừ]\n- (y) cầm máu\n- làm se da\n[01* dtừ]\n- (y) thuốc cầm máu\n- thuốc se da
styracaceous [01/,staiərə'keiʃəs/]	như [03styroceous]
styrax [01/'staiəræks/]	[01* dtừ]\n- (thực vật) giống cây bồ đề
styrene [01/'staiəri:n/]	[01* dtừ]\n- (hoá) xtirolen, xtiren
styroceous [01/,staiərə'kei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ bồ đề
styx [01/stiks/]	[01* dtừ]\n- (thần thoại) sông mê\n[02= to cross the styx] xuống suối vàng
suability [01/,sju:ə'biləti/]	[01* dtừ]\n- (pháp lý) sự có thể truy tố được
suable [01/'sju:əbl/]	[01* ttừ]\n- (pháp lý) có thể truy tố được
suably [01/'sju:əbli/]	[01* phtừ]\n- xem [03suable] 
suasion [01/'sweiʒn/]	[01* dtừ]\n- sự thuyết phục
suasive [01/'sweisiv/]	[01* ttừ]\n- có khả năng thuyết phục
suasively [01/'sweisivnis/]	[01* dtừ]\n- xem [03suasive] 
suasiveness [01/'sweisivnis/]	[01* dtừ]\n- tình trạng có sức thuyết phục
suave [01/swɑ:v/]	[01* ttừ]\n- dịu ngọt, thơm dịu\n[02= suave wine] rượu thơm dịu\n- khéo léo, ngọt ngào (thái độ) 
suavely [01/'swɑ:vəli/]	[01* phtừ]\n- ngọt ngào; khéo léo, tinh tế (thái độ) 
suaveness [01/'swɑ:vənis/]	[01* dtừ]\n- tính khéo léo; tính ngọt ngào
suavity [01/'swɑ:vəti/]	[01* dtừ]\n- tính dịu ngọt, tính thơm dịu\n- tính khéo léo, tính ngọt ngào
sub [01/sʌb/]	[01* dtừ]\n- (tục) người cấp dưới\n- tàu ngầm\n- sự mua báo dài hạn\n- sự thay thế; người thay thế\n[01* nđtừ]\n- (tục) đại diện (cho ai), thay thế (cho ai) 
sub rosa [01/sʌb'rəʊzə/]	[01* phtừ, ttừ]\n- bí mật, kín đáo, riêng tư
sub-abdominal [01/'sʌbæb'dɔminl/]	[01* ttừ]\n- (phẫu) ở dưới bụng
subacid [01/,sʌb'æsid/]	[01* ttừ]\n- hơi chua\n- ngọt ngào mà chua cay (giọng nói, lời phê bình...) 
subacidity [01/,sʌbə'sidəti/]	[01* dtừ]\n- vị hơi chua\n- sự ngọt ngào mà chua cay (của lời nói) 
subacidly [01/'sʌb'æsidli/]	[01* ttừ]\n- xem [03subacid] 
subacute [01/,sʌbə'kju:t/]	[01* ttừ]\n- hơi cấp (bệnh) 
subacutely [01/'sʌbə'kju:tli/]	[01* phtừ]\n- xem [03subacute] 
subadditive	- cộng tính dưới
subadult [01/,sʌb'ædʌlt/]	[01* ttừ]\n- gần trưởng thành\n[01* dtừ]\n- người gần trưởng thành
