surplice choir [01/'sə:plis'kwaiə/]	[01* dtừ]\n- đội đồng ca mặc áo thụng (ở nhà thờ) 
surpliced [01/'sə:plist/]	[01* ttừ]\n- mặc áo tế, mặc áo thụng
surplice-fee [01/'sə:plis'fi:/]	[01* dtừ]\n- tiền sửa lễ (nhân dịp ma chay, cưới xin, nộp cho nhà thờ) 
surplus [01/'sə:pləs/]	[01* dtừ]\n- số dư, số thừa, số thặng dư\n- (định ngữ) thặng dư\n[02= surplus population] số dân thặng dư
surplus value [01/'sə:pləs'vælju:/]	[01* dtừ]\n- giá trị thặng dư
surplusage [01/'sə:pləsidʒ/]	[01* dtừ]\n- dự dư thừa\n- vật thừa ra
surprint [01/sə:'print/]	[01* ngđtừ]\n- in đè lên
surprisal [01/sə'praizəl/]	[01* dtừ]\n- sự làm ngạc nhiên; sự ngạc nhiên
surprise [01/sə'praiz/]	[01* dtừ]\n- sự ngạc nhiên\n[02= his surprise was visible] vẻ ngạc nhiên của anh ta lộ rõ ra\n[02= to my great surprise] làm tôi rất ngạc nhiên\n- sự bất ngờ, sự bất thình lình\n[02= the post was taken by surprise] đồn bị chiếm bất ngờ\n- điều làm ngạc nhiên, thú không ngờ\n[02= I have a surprise for you] tôi đành cho anh một thú không ngờ\n- (định ngữ) bất ngờ\n[02= a surprise visit] cuộc đến thăm bất ngờ\n- (định ngữ) ngạc nhiên\n[02= surprise packet] gói trong đó có những thứ mình không ngờ, gói "ngạc nhiên"\n[01* ngđtừ]\n- làm ngạc nhiên, làm kinh ngạc\n[02= more surprised than frightened] ngạc nhiên hơn là sợ\n- đột kích, đánh úp; chộp thình lình, chộp bắt (ai) ; bắt quả tang (ai)\n[02= to surprise someboby in the act] bắt ai quả tang\n- bất thình lình đẩy (ai) đến chỗ\n[02= to surprise someone into consent] bất thình lình đẩy ai đến chỗ phải đồng ý
surprised	[01* ttừ]\n- (+[04at]) ngạc nhiên
surprisedly [01/sə'praiztli/]	[01* phtừ]\n- ngạc nhiên\n- bất ngờ
surprising [01/sə'praiziη/]	[01* ttừ]\n- làm ngạc nhiên, làm kinh ngạc\n[02= surprising progress] sự tiến bộ làm mọi người phải ngạc nhiên
surprisingly [01/sə'praiziηli/]	[01* phtừ]\n- làm ngạc nhiên, làm kinh ngạc; đáng sửng sốt
surprisingness [01/sə'praiziηnis/]	[01* dtừ]\n- sự làm ngạc nhiên; bất ngờ
surra [01/'su:rə/]	[01* dtừ]\n- (thú y học) bệnh xura
surreal [01/sə'riəl/]	[01* ttừ]\n- không giống thực tế\n- kỳ quái; kỳ dị
surrealism [01/sə'riəlizəm/]	như [03superrealism]
surrealist [01/sə'riəlist/]	[01* ttừ]\n- siêu hiện thực\n[01* dtừ]\n- (nghệ thuật) người theo chủ nghĩa siêu hiện thực
surrealistic [01/sə'riə'listik/]	[01* ttừ]\n- (thuộc) chủ nghĩa siêu thực; siêu thực\n- kỳ quái; kỳ dị
surrealistically [01/səriə'listikəli/]	[01* phtừ]\n- siêu thực tế; siêu thực
surrealistist [01/sə'riəlistist/]	[01* ttừ]\n- siêu thực
surrebut [01/,sʌri'bʌt/]	như [03surrejoin]
surrebutter [01/,sʌri'bʌtə/]	[01* dtừ]\n- (pháp lý) lời đập lại (lời buộc của đối phương) 
surrejoin [01/,sʌri'dʒɔin/]	[01* nđtừ]\n- (pháp lý) đập lại (lời buộc của đối phương) 
surrejoinder [01/,sʌri'dʒɔində/]	như [03surrebutter]
surrender [01/sə'rendə/]	[01* dtừ]\n- sự đầu hàng\n[02= unconditional surrender] sự đầu hàng không điều kiện\n- sự giao lại, sự dâng, sự nộp (thành trì... để đầu hàng)\n[01* ngđtừ]\n- bỏ, từ bỏ\n[02= to surrender one's office] từ chức\n[02= to surrender a privilege] từ bỏ một đặt quyền\n[02= to surrender hopes] từ bỏ hy vọng\n- giao lại, dâng, nộp (thành trì... để đầu hàng)\n[01* nđtừ]\n- đầu hàng\n[02= to surrender to somebody] đầu hàng ai\n- chịu để cho (tập quán, ảnh hưởng...) chi phối mình\n[02= to surrender to an emotion] để cho sự xúc động chi phối
surreptitious [01/,sʌrəp'ti∫əs/]	[01* ttừ]\n- bí mật, kín đáo\n- gian lậu, lén lút
surreptitiously [01/,sʌrəp'ti∫əsli/]	[01* phtừ]\n- lén lút; gian lận; bí mật; lừa dối
surreptitiousness [01/,sʌrep'ti∫əsnis/]	[01* dtừ]\n- sự kín đáo; bí mật; lén lút\n- sự gian xảo
surrey [01/'sʌri/]	[01* dtừ]\n- (Mỹ) xe ngựa hai chỗ ngồi (bốn bánh) 
surrogate [01/'sʌrəgit/]	[01* dtừ]\n- (tôn giáo) người đại diện giám mục\n[01* ngđtừ]\n- thay thế cho (ai) 
surrogateship [01/'sʌrəgit∫ip/]	[01* dtừ]\n- chức đại diện giám mục
surround [01/sə'raund/]	[01* dtừ]\n- tấm quanh thảm (phủ khoảng sàn nhà giữa thảm và tường)\n[01* ngđtừ]\n- bao quanh, vây quanh\n- bao vây (quân địch) 
surround sound [01/'səraund'saund/]	[01* dtừ]\n- cách tái hiện ầm thanh để gầy tác dụng các ầm đến từ những nơi khác nhau
surrounding [01/sə'raundiη/]	[01* ttừ]\n- bao quanh, vây quanh\n- phụ cận\n[02= the surrounding country] vùng phụ cận, vùng ngoại vi
surroundings [01/sə'raundiηz/]	[01* dtừ s/n]\n- vùng phụ cận, vùng xung quanh\n- môi trường xung quanh
surtax [01/'sə:tæks/]	[01* ngđtừ]\n- thuế phụ\n- thuế lợi tức luỹ tiến\n[01* ngđtừ]\n- đánh thuế phụ
surtout [01/'sə:tu:/]	[01* dtừ]\n- (hiếm) áo choàng dài (của đàn ông) 
surveillance [01/sə:'veiləns/]	[01* dtừ]\n- sự giám sát\n[02= to be under surveillance] bị giám sát, bị theo dõi
survey [01/'sə:vei/]	[01* dtừ]\n- sự nhìn chung; cái nhìn tổng quát\n- sự nghiên cứu (tình hình...)\n- cục đo đạc địa hình\n- bản đồ địa hình\n[01* ngđtừ]\n- quan sát, nhìn chung\n- xem xét, nghiên cứu\n- lập bản đồ, vẽ bản đồ (đất đai) 
surveying [01/'sə:veiη/]	[01* dtừ]\n- sự đo vẽ\n- forest surveying\n- sự đo vẽ rừng\n- công việc trắc địa
