belt highway	[01* dtừ]\n- xem [03beltway] 
beltane [01/'beltein/]	[01* dtừ]\n- (sử học) ngày hội mồng 1 tháng 5 (theo kiểu cổ) 
beltid [01/'beltid/]	[01* ttừ] (con vật) có vằn, vện\n[02= a beltid pig] lợn lang
belting [01/'beltiη/]	[01* dtừ]\n- trận đòn
belt-line [01/'belt'lain/]	[01* dtừ]\n- (Mỹ) đường xe điện vành đai (vòng quanh thành phố) 
belt-tightening measures	[01* dtừ]\n- những biện pháp thắt lưng buộc bụng
beltway [01/'beltwei/]	[01* dtừ]\n- xa lộ cao tốc bao quanh một vùng đô thị; xa lộ vành đai
beluga [01/bi'lu:gə/]	[01* dtừ]\n- cá tầm trắng; cá voi
belvedere [01/'belvidiə/]	[01* dtừ]\n- tháp lầu
bem	- (vt) huy chương đế chế Anh ([03British Empire Medal]) 
bemire [01/bi'maiə/]	[01* đtừ]\n- bôi bùn; vấy bùn\n- bị sa lầy
bemoan [01/bi'moun/]	[01* ngđtừ]\n- than khóc, nhớ tiếc (ai, cái gì) 
bemuse [01/bi'mju:z/]	[01* ngđtừ]\n- làm sửng sốt, làm kinh ngạc; làm điếng người
bemusedly	- xem [03bemuse] 
bemusement	như [03bemusedly]
ben [01/ben/]	[01* dtừ]\n- đỉnh núi
bench [01/bent∫/]	[01* dtừ]\n- ghế dài\n[02= park benches] ghế ở công viên\n- bàn (của thợ mộc, thợ đóng giày)\n- ghế ngồi của quan toà; toà án\n[02= to be raised to the bench] được bổ nhiệm làm quan toà; được phong làm giám mục\n[02= to be on the bench] làm quan toà; làm giám mục\n[02= the bench and the bar] quan toà và luật sư\n- ghế ngồi ở nghị viện Anh (của từng nhóm)\n[02= bishops' bench] ghế ngồi của các giám mục (trong nghị viện Anh)\n[01* dtừ]\n- cuộc trưng bày, cuộc triển lãm (chó)\n[01* ngđtừ]\n- trưng bày, triển lãm (chó) 
bench dog [01/'bent∫dɔg/]	[01* dtừ]\n- chó trưng bày, chó triển lãm
bench seat [01/'bent∫si:t/]	[01* dtừ]\n- ghế dài trong xe
bench warrant [01/'bench wɔrənt/]	[01* dtừ]\n- trát bắt (của toà án) 
benchmark [01/'bent∫mɑ:k/]	- (kỹ) tiêu chuẩn, cơ chuẩn; điểm chuẩn, điểm mốc; kiểm chuẩn
benchmark program	- (kỹ) chương trình kiểm chuẩn
benchmark test	- (kỹ) thử chuẩn, kiểm chuẩn
bend [01/bent∫/]	[01* dtừ]\n- chỗ uốn, chỗ cong; chỗ rẽ\n[02= a bend in the road] chỗ đường cong\n- khuỷ (tay, chân)\n- (hàng hải) chỗ nối (hai đầu dây) ; chỗ thắt nút\n- the bends (tục) bệnh khí ép, bệnh thợ lặn\n[01* đtừ]\n- cúi xuống; cong xuống; uốn cong, làm cong\n[02= to bend the knees] cong đầu gối\n[02= to be bent with age] còng lưng vì tuổi gia\n- rẽ, hướng; hướng về, dồn về\n[02= the road bends to the left here] ở chỗ này con đường rẽ về tay trái\n[02= to bend one's steps towards home] hướng bước về nhà\n[02= to bend all one's energies to that one aim] hướng (dồn) tất cả nghị lực cho mục đích duy nhất ấy\n- khuất phục, bắt phải theo\n[02= to bend someone's to one's will] bắt ai phải theo ý muốn của mình\n[04! to be bent on]\n- nhất quyết
