telegraphy [01/ti'legrəfi/]	[01* dtừ]\n- phép điện báo, thuật điện báo
teleguided [01/'teligaidid/]	[01* ttừ]\n- điều khiển từ xa
telekinesis [01/,telikai'ni:sis/]	[01* dtừ]\n- việc dùng siêu năng di chuyển các vật ở ngoài xa, siêu năng, ngoại lực (tác đtừ xa, lực tác đtừ bên ngoài đến) 
telemarketing	[01* dtừ]\n- chào hàng qua điện thoại, hình thức tiếp thị qua điện thoại
telemechanics [01/,telimi'kæniks/]	[01* dtừ, s/n dùng như số ít]\n- cơ học từ xa
telemedicine	- hệ thống thầy thuốc từ xa
telementry	- (kỹ) đo lường từ xa
telemessage [01/'teli,mesidʒ/]	[01* dtừ]\n- hệ thống thông tin (dùng đường dây điện thoại hay tê-lếch) nhận được bằng chữ (bảng in), hệ thống thông tin nhận bằng chữ
telemeter [01/'telimi:tə/]	[01* dtừ]\n- kính đo xa
telemetry [01/ti'lemətri/]	[01* dtừ]\n- phép đo từ xa (quá trình tự động ghi nhận các số báo của một dụng cụ và truyền đi xa, thường bằng <rađiô>) 
telenet	- Một mạng máy tính diện rộng có hàng ngàn địa chỉ gọi địa phương Telenet cung cấp các dịch vụ đăng nhập vào nhiều dịch vụ máy tính trực tuyến khác nhau, như Dialog Information Services và CompuServe chẳng hạn
teleo- [01/tel:io(u) -/]	- Cách viết khác : [03tele-]
teleologic [01/,teliə'lɔdʒik/]	- xem [03teleological] 
teleological [01/,teliə'lɔdʒikl/]	[01* ttừ]\n- (thuộc) thuyết mục đích
teleologist [01/,teli'ɔlədʒist/]	[01* dtừ]\n- người theo thuyết mục đích
teleology [01/,teli'ɔlədʒi/]	[01* dtừ]\n- (triết học) thuyết mục đích
telepath [01/'telipæθ/]	[01* dtừ]\n- người có khả năng ngoại cảm
telepathic [01/,teli'pæθik/]	[01* ttừ]\n- cảm từ xa
telepathically [01/,teli'pæθikəli/]	[01* phtừ]\n- cảm từ xa
telepathist [01/ti'lepəθist/]	[01* dtừ]\n- người tin ở thuyết cảm từ xa; người nghiên cứu thuyết cảm từ xa; người có khả năng cảm từ xa
telepathize [01/ti'lepəθaiz/]	[01* nđtừ]\n- cảm từ xa
telepathy [01/ti'lepəθi/]	[01* dtừ]\n- sự cảm từ xa
telephone [01/'telifoun/]	[01* dtừ]\n- dây nói, điện thoại\n[02= to be on the telephone] đang liên lạc bằng điện thoại\n[01* đtừ]\n- gọi điện, nói chuyện bằng điện thoại
telephone book [01/'telifoun'buk/]	[01* dtừ]\n- danh bạ điện thoại
telephone booth [01/'telifoun'bu:đ/]	như [03telephone-box]
telephone directory [01/'telifoun di'rektəri/]	như [03telephone book]
telephone exchange [01/'telifoun iks't∫eindʒ/]	như [03switchboard]
telephone number [01/'telifoun'nʌmbə/]	[01* dtừ]\n- số điện thoại, số dây nói
telephone operator [01/'telifoun'ɔpəreitə/]	[01* dtừ]\n- nhân viên điện thoại, điện thoại viên (người làm việc ở tổng đài điện thoại) 
telephone-box [01/'telifoun'bɔks/]	[01* dtừ]\n- trạm điện thoại công cộng, phòng điện thoại công cộng
telephone-girl [01/'telifoun'gə:l/]	[01* dtừ]\n- nữ điện thoại viên
telephoner [01/'telifounə/]	[01* dtừ]\n- người gọi điện, người nói điện thoại
telephone-receiver [01/'telifoun ri'si:və/]	[01* dtừ]\n- ống nghe (ở điện thoại) 
telephonic [01/,teli'fɔnik/]	[01* ttừ]\n- (thuộc) điện thoại
telephonically [01/,teli'fɔnikəli/]	[01* phtừ]\n- bằng điện thoại
telephonist [01/ti'lefənist/]	[01* dtừ]\n- nhân viên điện thoại
telephony [01/ti'lefəni/]	[01* dtừ]\n- điện thoại
telephoto [01/,teli'foutou/]	[01* dtừ]\n- ảnh chụp xa
telephoto lens [01/,teli'foutou'lenz/]	[01* dtừ]\n- ống kính chụp xa
telephotograph [01/'teli'foutou/]	như [03telephoto]
telephotographic [01/,telifoutə'græfik/]	[01* ttừ]\n- (thuộc) kỹ thuật chụp ảnh từ xa
telephotography [01/,telifə'tɔgrəfi/]	[01* dtừ]\n- kỹ thuật chụp ảnh từ xa\n- cách dùng máy ảnh chụp xa
telepic [01/'telipik/]	- Cách viết khác : [03telepicture]
telepresence	- Một cảm giác thuộc về tâm lý như là đang được đắm chìm trong một thực tế ảo, có sức thuyết phục và đủ lòng tin để chuyển qua thế giới thực
teleprinter [01/'teliprintə/]	[01* dtừ]\n- máy điện báo ghi chữ
teleprompter [01/'teliprɔmptə/]	[01* dtừ]\n- máy phóng đại chữ (thiết bị dùng cho người phát thanh trên truyền hình có thể đọc được văn bản bài viết của mình trên một màn hình đặt trước mặt anh ta mà khán giả truyền hình không nhìn thấy được) 
telesales [01/'teli,seilz/]	[01* dtừ (số nhiều)]\n- bán hàng qua điện thoại
telescope [01/'teliskoup/]	[01* dtừ]\n- kính thiên văn\n[01* nđtừ]\n- lồng nhau (như hai ống của kính thiên văn)\n[02= the two tubes telescope] hai ống lồng vào nhau\n[01* ngđtừ]\n- đâm vào nhau, húc lồng vào nhau (xe lửa)\n- (tục) thâu tóm, thu gọn lại\n[02= he telescopes all his arguments into one sentence] anh ta thâu tóm tất cả lý lẽ của mình vào một câu
telescopic [01/,teli'skɔpik/]	như [03telescopical]
telescopical [01/,teli'skɔpikl/]	[01* ttừ]\n- (thuộc) kính thiên văn\n- chỉ nhìn thấy được qua kính thiên văn\n[02= a telescopic star] ngôi sao chỉ nhìn thấy được qua kính thiên văn\n- lồng vào nhau, kiểu ống lồng\n[02= the three telescopic legs of the photographic apparatus] ba chân kiểu ống lồng nhau của máy chụp ảnh\n- (tục) thu gọn lại, thâu tóm, ngắn gọn\n[02= a telescopic view of the situation] tóm tắt tình hình
telescopically [01/,teli'skɔpikli/]	[01* phtừ]\n- làm to ra như kính viễn vọng, kính thiên văn\n- có thể nhìn thấy qua kính thiên văn, kính viễn vọng; chỉ nhìn thấy được qua kính thiên văn, kính viễn vọng\n- lồng vào nhau, kiểu ống lồng\n- (tục) thu gọn lại, thâu tóm, ngắn gọn; có những đoạn lồng vào nhau
