tensional [01/'ten∫nəl/]	[01* ttừ]\n- căng\n[02= tensional force] lực căng
tensity [01/'tensiti/]	[01* dtừ]\n- tình trạng căng\n- tính căng thẳng
tensor [01/'tensə/]	[01* dtừ]\n- (phẫu) cơ căng
ten-spot [01/'tenspɔt/]	[01* dtừ]\n- (Mỹ) giấy bạc 10 đôla\n- (bài) con mười
ten-strike [01/'tenstraik/]	[01* dtừ]\n- (Mỹ) quả bóng đánh đổ cùng một lúc cả 10 con ki\n- (tục) thành công kỳ lạ; chiến thắng vang lừng
tent [01/tent/]	[01* dtừ]\n- lều, rạp, tăng\n[02= to pitch tents] cắm lều, cắm trại\n[02= to lift (strike) tents] dỡ lều, nhổ trại\n[01* ngđtừ]\n- che lều, làm rạp cho\n[01* nđtừ]\n- cắm lều, cắm trại, làm rạp, ở lều\n[01* dtừ]\n- (y) nút gạc\n[01* ngđtừ]\n- (y) đặt nút gạc, nhồi gạc\n[01* dtừ]\n- rượu vang đỏ Tây ban nha
tentacle [01/'tentəkl/]	[01* dtừ]\n- (động vật) tua cảm, xúc tu\n- (thực vật) lông tuyến
tentacled [01/'tentəkld/]	[01* ttừ]\n- (động vật) có tua cảm\n- (thực vật) có lông tuyến
tentacular [01/ten'tækjulə/]	[01* ttừ]\n- (động vật)(thuộc) tua cảm\n- (thực vật)(thuộc) lông tuyến
tentaculate [01/ten'tækjul(e) it/]	[01* ttừ]\n- (động vật) thuộc xúc tu\n- (thực vật) có tua vòi
tentaculum [01/ten'tækjuləm/]	[01* dtừ s/n tentacula]\n- xem [03tentacle] 
tentation [01/ten'tei∫(ə) n/]	[01* dtừ]\n- sự thử trong phòng thí nghiệm; sự phân tích; sự hoá nghiệm
tentative [01/'tentətiv/]	[01* ttừ]\n- ướm, thử\n[02= tentative offer] lời nói ướm, lời đề nghị\n[01* dtừ]\n- sự thử, sự toan làm
tentatively [01/'tentətivli/]	[01* phtừ]\n- ướm, thử\n- ngập ngừng; thăm dò\n- không dứt khoát, không quả quyết
tentativeness [01/'tentətivnis/]	[01* dtừ]\n- sự thử, sự toan làm
tent-bed [01/'tent(') bed/]	[01* dtừ]\n- giừơng dã ngoại
tent-cloth [01/'tent'klɔθ/]	[01* dtừ]\n- vải lều
tent-door [01/'tent(') dɔ:/]	[01* dtừ]\n- cửa lều
tenter [01/'tentə/]	[01* dtừ]\n- người coi máy\n- (nghành dệt) khung căng (vải)\n- (như) [03tenterhooks] 
tenter-hook [01/'tentəhuk/]	[01* dtừ]\n- móc căng vải\n[02= to be on (the) tender-hooks] sốt ruột chờ; lo sốt vó; ruột gan như lửa đốt
tenterhooks [01/'tentəhuks/]	[01* dtừ s/n] ((cũng) [03tenter] )\n- (nghành dệt) móc căng (vải)\n[04! to be on tenterhooks (on the tenters)]\n- lo sốt vó; ruột gan nóng như lửa đốt
tenth [01/tenθ/]	[01* ttừ]\n- thứ mười\n[01* dtừ]\n- một phần mười\n- người thứ mười; vật thứ mười; vật thứ mười; ngày mồng mười\n[02= the tenth of August 1954] ngày 10 tháng 8 năm 1945
tenthly [01/'tenθli/]	[01* phtừ]\n- mười là
tent-peg [01/'tent'peg/]	[01* dtừ]\n- cọc lều
tent-pin [01/'tent(') pin/]	- xem [03tent-peg] 
tent-rope [01/'tent'roup/]	[01* dtừ]\n- dây lều
tenuity [01/ti'nju:əti/]	[01* dtừ]\n- tính chất nhỏ, tính chất mảnh (sợi chỉ, dây...)\n- tính chất ít, tính chất loãng (của khí...)\n- (bóng) tính chất giản dị, tính chất thiếu hoa mỹ (của văn chương) 
tenuous [01/'tenjuəs/]	[01* ttừ]\n- nhỏ, mảnh (chỉ)\n- ít, loãng (khí...)\n- giản dị\n- tinh tế, tế nhị (sự phân biệt...) 
tenuously [01/'tenjuəsli/]	[01* phtừ]\n- mảnh, thanh, mỏng manh (chỉ)\n- có ít thực chất, có ít ý nghĩa, rất mong manh, hời hợt (sự phân biệt)\n- ít, loãng (khí...)\n- giản dị
tenuousness [01/'tenjuəsnis/]	[01* dtừ]\n- tính chất nhỏ, tính chất mảnh (sợi chỉ, dây...)\n- tính mong manh, tính hời hợt (của sự phân biệt)\n- tính chất ít, tính chất loãng (của khí...)\n- <bóng> tính chất giản dị, tính chất thiếu hoa Mỹ (của văn chương) 
tenure [01/'tenjuə/]	[01* dtừ]\n- đất cho làm rẽ, đất phát canh\n- sự chiếm hữu, sự hưởng dụng; thời gian chiếm hữu, thời gian hưởng dụng, nhiệm kỳ\n[02= during his short tenure of office] trong thời gian ngắn ngủi ông ta giữ nhiệm vụ\n[04! feudal tenure]\n- thái ấp
teo-cleft [01/'tu:'kleft/]	[01* ttừ]\n- (thực vật) xẻ đôi, tách đôi
tepee [01/'ti:pi:/]	như [03teepee]
tepefy [01/'tepifai/]	[01* nđtừ]\n- trở nên ấm\n[01* ngđtừ]\n- làm cho ấm lên, ham lên
tephrite [01/'tefrait/]	[01* dtừ]\n- (địa) Tefrit
tepid [01/'tepid/]	[01* ttừ]\n- ấm, âm ấm\n- (bóng) nhạt nhẽo, hững hờ, lãnh đạm
tepidity [01/te'pidəti/]	như [03tepidness]
tepidly [01/'tepidli/]	[01* phtừ]\n- ấm, âm ấm\n- <bóng> nhạt nhẽo, hững hờ, lãnh đạm
tepidness [01/'tepidnis/]	[01* dtừ]\n- tính chất ấm, tính chất âm ấm\n- (bóng) tính chất nhạt nhẽo, tính chất hững hờ, tính chát lãnh đạm
tequila [01/tə'ki:lə/]	[01* dtừ]\n- rượu têquila (rượu mạnh cất từ một thứ cây nhiệt đới, chủ yếu ở Mêhicô)\n- cốc rượu têquila
tera	- Một tiền tố chỉ một nghìn tỷ (1 000 000 000 000) 
terabyte	- Một đơn vị để đo lường dung lượng bộ nhớ, xấp xỉ bằng một nghìn tỷ byte (thực ra là 1 099 511 627 776 byte) Một terabyte bằng 1000 GB hoặc 1 triệu megabyte
teratology [01/,terə'tɔlədʒi/]	[01* dtừ]\n- quái thai học
terbium [01/'tə:biəm/]	[01* dtừ]\n- (hoá) Tecbi
terce [01/tə:s/]	như [03tierce]
tercel [01/'tə:səl/]	như [03tiercel]
tercentenary [01/,tə:sen'ti:nəri/]	như [03tercentennial]
tercentennial [01/,tə:sen'teniəl/]	[01* ttừ]\n- ba trăm năm\n[02= tercentenary celebration] lễ kỷ niệm ba trăm năm\n[01* dtừ]\n- lễ kỷ niệm ba trăm năm
tercet [01/'tə:sit/]	[01* dtừ]\n- đoạn thơ ba câu\n- (âm nhạc) bộ ba
terebenthena [01/,teri'benθi:n/]	[01* dtừ]\n- (hoá) dầu thông; têrêbentin
terebinthine [01/,teri'binθain/]	[01* ttừ]\n- (thuộc) dầu thông; như dầu thông
terebra [01/'teribrə/]	[01* dtừ]\n- ống sản trứng
terebrate [01/'təribreit/]	[01* ngđtừ]\n- khoan lỗ trôn ốc
terebration [01/,teri'brei∫n/]	[01* dtừ]\n- sự khoan lỗ trôn ốc
teredines [01/te'ri:dini:z/]	- số nhiều của [03teredo]
teredo [01/te'ri:dou/]	[01* dtừ] s/n [03teredos]\n- (động vật) con hà
terga [01/'tə:gə/]	- số nhiều của [03tergum]
tergal [01/'tə:gəl/]	[01* ttừ]\n- (động vật)(thuộc) lưng; ở lưng
tergiversate [01/'tə:dʒivə:seit/]	[01* nđtừ]\n- nói quanh, tìm cớ thoái thác; lần nữa\n- bỏ phe, bỏ đảng\n- nói ra những lời mâu thuẫn với nhau
tergiversation [01/,tə:dʒivə:'sei∫n/]	[01* dtừ]\n- sự nói quanh, sự tìm cớ thoái thác; sự lần nữa\n- sự bỏ phe, sự bỏ đảng\n- sự tuyên bố những lời mâu thuẫn với nhau
tergum [01/'tə:gəm/]	[01* dtừ s/n tergumga]\n- (phẫu) lưng
term [01/tə:m/]	[01* dtừ]\n- hạn, giới hạn, định hạn\n[02= to set a term to one's expenses] giới hạn việc tiêu pha của mình\n- thời hạn, kỳ hạn\n[02= a term of imprisonment] hạn tù\n[02= term of office] nhiệm kỳ, thời gian tại chức\n[02= to have reached her term] đến kỳ ở cữ (đàn bà)\n- phiên (toà), kỳ học, quý, khoá\n[02= the beginning of term] bắt đầu kỳ học\n[02= Michaelmas (Hilary, Easter, Trinity) term] kỳ học mùa thu (mùa đông, mùa xuân, mùa hạ)\n- (số nhiều) điều kiện, điều khoản\n[02= the terms of a treaty] những điều khoản của một hiệp ước\n[02= not on any terms] không với bất cứ một điều kiện nào\n[02= to dictate terms] bắt phải chịu những điều kiện\n[02= to make terms with] thoả thuận với, ký kết với\n- (số nhiều) giá, điều kiện\n[02= on easy terms] với điều kiện trả tiền dễ dãi\n[02= on moderate terms] với giá phải chăng\n- (số nhiều) quan hệ, sự giao thiệp, sự giao hảo, sự đi lại\n[02= to be on good terms with someone] có quan hệ tốt với ai\n[02= to be on speaking terms with someone] quen biết ai có thể chuyện trò với nhau được; có quan hệ đi lại với ai, giao thiệp với ai\n- thuật ngữ\n[02= technical term] thuật ngữ kỹ thuật\n- (số nhiều) lời lẽ, ngôn ngữ\n[02= in set terms] bằng những lời lẽ dứt khoát rõ ràng\n[02= in terms of praise] bằng những lời khen ngợi\n- (toán) số hạng\n[01* ngđtừ]\n- gọi, đặt tên là, chỉ định; cho là\n[02= he terms himself a doctor] hắn tự xưng là bác sĩ
termagancy [01/'tə:məgənsi/]	[01* dtừ]\n- tính lắm điều, tính lăng loàn, tính hay gây gỗ
termagant [01/'tə:məgənt/]	[01* ttừ]\n- lắm điều, lăng loàn, thích đánh nhau, hay gây gổ\n[01* dtừ]\n- người đàn bà lắm điều, người đàn bà lăng loàn
termes [01/'tə:mi:z/]	[01* dtừ s/n termites]\n- xem [03termite] 
terminable [01/'tə:minəbl/]	[01* ttừ]\n- có thể làm xong, có thể hoàn thành, có thể kết thúc được\n- có thể huỷ bỏ được (khế ước) 
terminal [01/'tə:minl/]	[01* ttừ]\n- cuối, chót, tận cùng\n[02= terminal station] ga cuối cùng\n- vạch giới hạn, định giới hạn (đường mốc)\n- ba tháng một lần, theo từng quý\n[02= by terminal payments] trả theo từng quý\n[01* dtừ]\n- đầu cuối, phần chót\n- (ngành đường sắt) ga cuối cùng\n- (điện học) cực, đầu (dây dẫn)\n- (ngôn) đuôi từ, từ vĩ
terminally [01/'tə:minəli/]	[01* phtừ]\n- ở giai đoạn cuối (của một căn bệnh chết người)\n- xảy ra ở mỗi học kỳ\n- ở vào cuối, chót, tận cùng\n- vạch giới hạn, định giới hạn (đường mốc)\n- ba tháng một lần, theo từng quý
terminate [01/'tə:mineit/]	[01* ngđtừ]\n- vạch giới hạn, định giới hạn\n- làm xong, kết thúc, hoàn thành, chấm dứt\n[02= to terminate one's work] hoàn thành công việc\n[01* nđtừ]\n- xong, kết thúc, chấm dứt, kết cục, kết liễu\n[02= the meeting terminated at 9 o'clock] cuộc mít tinh kết thúc vào hồi 9 giờ\n- tận cùng bằng (chữ, từ...)\n[02= words terminating in s] những từ tận cùng bằng s\n[01* ttừ]\n- giới hạn\n- cuối cùng, tận cùng
terminating	- có kết thúc
termination [01/,tə:mi'nei∫(ə) n/]	[01* dtừ]\n- sự làm xong, sự kết thúc, sự hoàn thành, sự chấm dứt\n[02= to put a termination to something] làm xong việc gì\n- giới hạn; phần kết thúc, phần kết luận\n- (ngôn) phần đuôi từ, từ vĩ
terminative [01/'tə:minətiv/]	[01* ttừ]\n- cuối cùng, tận cùng, kết thúc\n[02= the terminative part] phần kết thúc, phần cuối cùng\n- hạn định, quyết định, tối hậu\n[02= terminative conditions] những điều kiện quyết định
termini [01/'tə:minai/]	[01* dtừ] s/n [02termini, terminuses]\n- ga cuối cùng; bến cuối cùng\n- (hiếm) mục đích cuối cùng; điểm cuối cùng
terminological [01/,tə:minə'lɔdʒikl/]	[01* ttừ]\n- (thuộc) thuật ngữ
terminology [01/,tə:mi'nɔlədʒi/]	[01* dtừ]\n- thuật ngữ học\n- thuật ngữ
terminus [01/'təminəs/]	như [03termini]
termitary [01/'tə:mitəri/]	[01* dtừ]\n- tổ mối
termite [01/'tə:mait/]	[01* dtừ]\n- (động vật) con mối
termites [01/'tə:miti:z/]	- số nhiều của [03termes]
termless [01/'tə:mlis/]	[01* ttừ]\n- (thơ ca) vô hạn, vô cùng, vô tận, không bờ bến
termly [01/'tə:mli/]	[01* ttừ & phtừ]\n- (hiếm) từng kỳ hạn một, có kỳ hạn\n- từng quý
