tic-tac [01/'tik(') tæk/]	- xem [03ticktack] 
tidal [01/'taidl/]	[01* ttừ]\n- (thuộc) thuỷ triều, liên quan đến thuỷ triều, do thuỷ triều, chịu ảnh hưởng của thuỷ triều\n[02= tidal harbour] hải cảng chỉ vào được khi triều lên\n[02= tidal river] sông chịu ảnh hưởng của thuỷ triều\n[04! tidal train]\n- xe lửa chở cá tươi\n[04! tidal wave]\n- sóng cồn, sóng triều dâng; (bóng) phong trào, cao trào
tidal wave [01/'taidl'weiv/]	[01* dtừ]\n- sóng cồn; sóng triều, sóng lớn của đại dương (do một trận động đất gây ra)\n- cao trào (làn sóng nhiệt tình, phẫn nộ lớn của dân chúng) 
tidbit [01/'tidbit/]	[01* dtừ]\n- (Mỹ)(như) [03titbit] 
tiddler [01/'tidlə/]	[01* dtừ]\n- (tục) cá vun (cá rất nhỏ; nhất là cá gai hoặc cá tuế)\n- (tục) đứa bé nhỏ một cách khác thường, vật nhỏ một cách khác thường
tiddly [01/'tidli/]	[01* ttừ]\n- (tục) hơi say, chuếnh choáng, ngà ngà say\n- (tục) rất nhỏ, không đáng kể
tiddly-winks [01/'tidli wiηks/]	[01* dtừ]\n- trò chơi trong đó các người chơi cầm một miếng nhựa tròn to ấn lên mép những miếng nhựa tròn nhỏ để chúng bật lên nhảy vào một cái chén
tide [01/taid/]	[01* dtừ]\n- triều, thuỷ triều, con nước\n- dòng nước, dòng chảy, dòng\n[02= the tide of blood] dòng máu\n- chiều hướng, xu hướng, trào lưu, dư luận\n[02= the tide of the battle] chiều hướng của cuộc chiến đấu\n[02= the tide of the time] xu hướng của thời đại\n[02= to swin with (down) the tide] gió chiều nào theo chiều ấy, theo thời\n[04! to take the tide at the flood]\n- lợi dụng cơ hội\n[01* ngđtừ]\n- cuốn theo, lôi cuốn\n[02= to be tided back] bị lôi cuốn\n- (+[04 over]) vượt, khắc phục\n[02= to tide over difficulties] khắc phục khó khăn\n[01* nđtừ]\n- đi theo thuỷ triều\n[02= to tide in] vào khi thuỷ triều lên\n[02= to tide up] ngược lên khi thuỷ triều lên\n[02= to tide down] xuôi theo thuỷ triều xuống\n[02= to tide out] ra khỏi nhờ thuỷ triều
tideless [01/'taidlis/]	[01* ttừ]\n- không có thuỷ triều
tide-lock [01/'taidlɔk/]	[01* dtừ]\n- cửa đập (cống) ngăn nước thủy triều
tide-mark [01/'taid'mɑ:k/]	[01* dtừ]\n- ngấn thủy triều (dấu vết do thủy triều ở mức cao nhất của nó để lại trên bờ biển)\n- <đùa> đường vết giữa phần đã tắm rửa và không tắm rửa của thân thể ai\n- <đùa> vệt do nước bẩn để lại trong bồn tắm, nhà tắm
tide-power [01/'taid'pauə/]	[01* dtừ]\n- năng lượng thuỷ triều
tide-power plant [01/'taid,pauə'plɑ:nt/]	[01* dtừ]\n- nhà máy điện thuỷ triều
tide-race [01/'taid'reis/]	[01* dtừ]\n- sóng thần
tide-table [01/'taid'teibl/]	[01* dtừ]\n- bảng tín hiệu chỉ thuỷ triều
tide-waiter [01/'taid'weitə/]	[01* dtừ]\n- nhân viên thuế quan
tide-water [01/'taid,wɔ:tə/]	[01* dtừ]\n- nước dâng; nước triều lên; nước cường\n- (Mỹ) vùng nước thường chịu ảnh hưởng thủy triều
tide-wave [01/'taidweiv/]	[01* dtừ]\n- sóng thủy triều; sóng triều lên
tideway [01/'taidwei/]	[01* dtừ]\n- luồng thủy triều\n- đoạn sông bị ảnh hưởng thủy triều
tidily [01/'taidili/]	[01* phtừ]\n- xem [03tidy] 
tidiness [01/'taidinis/]	[01* dtừ]\n- sự sạch sẽ, sự ngăn nắp, sự gọn gàng
tidings [01/'taidiηz/]	[01* dtừ s/n]\n- (văn học) tin tức, tin
