tsarism [01/'zɑ:rizəm/]	như [03tzarism]
tsarist [01/'zɑ:rist/]	như [03tzarist]
tsaritza [01/za:'ritsə/]	[01* dtừ]\n- xem [03tsarina] 
tsetse [01/'tsetsi/]	như [03tzetze]
tshi [01/t∫i:/]	[01* dtừ]\n- (Tshi) tiếng Si (ở Tây Ban Nha) 
tshiluba [01/t∫i'lu:bə/]	[01* dtừ]\n- ngôn ngữ thương mại chính ở Za-ia (Châu Phi) 
t-shirt [01/'ti:'∫ə:t/]	[01* dtừ]\n- áo lót dệt kim ngắn tay
tsotsi [01/'tsɔ:tsi:/]	[01* dtừ]\n- lưu manh da đen trẻ tuổi (Nam Phi) 
tsp [01/,ti: es 'pi:/]	[01* dtừ]\n- đầy thìa cà phê (teaspoonful) 
t-square [01/'ti:'skweə/]	[01* dtừ]\n- thước vuông góc, cái ê-ke
tsr	- chương trình kết thúc và lưu trú lại trong bộ nhớ
t-statistic	- (ktế) Thống kê t.
tsuareg [01/'twa:reg/]	[01* dtừ] s/n [02Tsuaregs]\n- (Tsuareg) người Tuarec (ở sa mạc Xahara) 
tsunami [01/tsu'na:mi/]	[01* dtừ] s/n [02tsunamis]\n- sóng lớn (gây ra do động đất ngầm dưới nước), sóng do địa chấn, sóng thần
tsunamic [01/tsu'næmik/]	[01* ttừ]\n- thuộc sóng thần
tt [01/,ti: 'ti:/]	[01* (vt)]\n- chống uống rượu ([03teetotal] )\n- người chống uống rượu ([03teetotaler] )\n- Cúp Người du lịch ([03Tourist Trophy] )\n- đã được thử tubeculin (về sữa)([03tuberculin-tested] ) 
ttwelve [01/twelv/]	[01* ttừ] mười ha;\n[01* dtừ]\n- số mười hai
tty	- hiển thị kiểu điện báo
tu quoque [01/'tju:'kwoukwi/]	[01* dtừ]\n- " Anh cũng thế" ; "anh cũng làm thế" (câu đáp lại) 
tub [01/tʌb/]	[01* dtừ]\n- chậu, bồn\n- (tục) bồn tắm; sự tắm rửa\n- (ngành mỏ) goòng (chở than)\n- (hàng hải) xuồng tập (để tập lái)\n[04! let every tub stand on its own bottom]\n- mặc ai lo phận người nấy\n[01* ngđtừ]\n- tắm (em bé) trong chậu\n- cho vào chậu, đựng vào chậu, trồng (cây...) vào chậu\n[01* nđtừ]\n- tắm chậu\n- tập lái xuồng, tập chèo xuồng
tuba [01/'tju:bə/]	[01* dtừ]\n- (âm nhạc) kèn tuba
tubal [01/'tju:bəl/]	[01* ttừ]\n- hình ống\n- thuộc ống\n- thuộc vòi
tubar [01/'tju:bə/]	[01* ttừ]\n- (sinh vật) thuộc ống, thuộc vòi
tubate [01/'tju:beit/]	[01* ttừ]\n- có ống, có vòi
tubbiness [01/'tʌbinis/]	[01* dtừ]\n- sự béo phệ
tubbish [01/'tʌbi∫/]	[01* ttừ]\n- hơi béo, hơi phệ
tubby [01/'tʌbi/]	[01* ttừ]\n- to béo, béo phệ\n- đục, không vang (tiếng) 
tube [01/tju:b/]	[01* dtừ]\n- ống\n[02= steel tube] ống thép\n- săm (ô tô...)((cũng) [03inner tube] )\n- tàu điện ngầm\n- rađiô ống điện tử\n- (thực vật) ống tràng (của hoa)\n[01* ngđtừ]\n- đặt ống; gắn ống (vào nồi hơi)\n- làm cho thành hình ống, gò thành ống
tube foot [01/'tju:b'fut/]	[01* dtừ]\n- chần ống
tube-dwelling [01/'tju:b'dweliη/]	[01* ttừ]\n- (sinh vật) sống trong ống
tubeless [01/'tju:blis/]	[01* ttừ]\n- không cần săm (lốp xe) 
tuber [01/'tju:bə/]	[01* dtừ]\n- (thực vật) thân củ, củ\n- nấm cục, nấm truýp\n- (phẫu) củ
tubercle [01/'tju:bə:kl/]	[01* dtừ]\n- (thực vật) nốt rễ (ở cây họ đậu)\n- (y) u lao\n- (phẫu) lồi gò
tubercle bacillus [01/'tju:bəkl bə'siləs/]	[01* dtừ]\n- vi trùng lao
tubercul- [01/'tju:bəkl-/]	- hình thái ghép có nghĩa\n- hình củ\n- tubercular\n- củ nhỏ\n- vi trùng lao\n- tuberculin\n- tubeculin\n- bệnh lao\n[02= tuberculoid] giống bệnh lao
tubercular [01/tju:'bə:kjulə/]	[01* ttừ]\n- (thực vật)(thuộc) nốt rễ\n- (y)(thuộc) bệnh lao; mắc bệnh lao
tuberculate [01/tju:'bə:kjulit/]	[01* ttừ]\n- (thực vật) có nốt rễ; (thuộc) nốt rễ\n- (y) mắc bệnh lao; (thuộc) bệnh lao
tuberculation [01/tju:bə:kju'lei∫n/]	[01* dtừ]\n- sự mắc bệnh lao
tuberculin [01/tju:'bə:kjulin/]	[01* dtừ]\n- (y) Tubeculin
tuberculin test [01/tju:'bə:kjulin 'test/]	[01* dtừ]\n- sự thử bằng tubeculin (để kiểm tra xem có bị lao hay không) 
tuberculin-tested [01/tju:'bə:kjulin'testid/]	[01* ttừ]\n- (vt) TT đã được thử tubeculin (về sữa) 
tuberculise [01/tju:'bə:kjulais/]	[01* ngđtừ]\n- (y) nhiễm lao
tuberculization [01/tju:,bə:kjulai'zei∫n/]	[01* dtừ]\n- (y) sự nhiễm lao
tuberculize [01/tju:'bə:kjulais/]	như [03tuberculise]
tuberculoid [01/tju:'bə:kjulɔid/]	[01* ttừ]\n- dạng bệnh lao
tuberculose [01/tju:'bə:kjulous/]	[01* ttừ]\n- nhiều củ nhỏ, nhiều mấu nhỏ, nhiều nốt rễ
tuberculosis [01/tju:,bə:kju'lousis/]	[01* dtừ]\n- bệnh lao\n[02= pulmonary tuberculosis] lao phổi
tuberculous [01/tju:'bə:kjuləs/]	[01* ttừ]\n- mắc bệnh lao; có tính chất lao
tuberiferous [01/,tju:bə'rifərəs/]	[01* ttừ]\n- có củ (cây) 
tuberiform [01/'tju:bərifɔ:m/]	[01* ttừ]\n- hình củ
tuberose [01/'tju:bərouz/]	[01* ttừ]\n- đầy đủ, có củ\n- giống như củ\n[01* dtừ]\n- (thực vật) cây hoa huệ
tuberosity [01/,tju:bə'rɔsəti/]	[01* dtừ]\n- củ; mấu; mào
tuberous [01/'tju:bərəs/]	[01* ttừ]\n- (thực vật) thành củ, như củ\n[02= tuberous root] rễ củ
tubful [01/'tʌbful/]	[01* dtừ]\n- chậu (đầy), bồn (đầy) 
tubicolous [01/tju:'bikələs/]	[01* ttừ]\n- sống trong ống
tubicorn [01/'tju:bi,kɔ:n/]	[01* ttừ]\n- có sừng rỗng
tubifacient [01/,tju:bi'fei∫nt/]	[01* ttừ]\n- tạo ống
tubifex [01/'tju:bifeks/]	[01* dtừ] s/n [02tubifex, tubifexes]\n- trùng dạng giun
tubiflorous [01/,tju:bi'flɔrəs/]	[01* ttừ]\n- có hoa ống
tubiform [01/'tju:bi,fɔ:m/]	[01* ttừ]\n- dạng ống
tubing [01/'tju:biη/]	[01* dtừ]\n- ống, hệ thống ống\n- sự đặt ống
tubocurarine [01/tju:boukju'ra:rin/]	[01* dtừ]\n- (dược học) tubocurarin
tub-thumper [01/'tʌb'θʌmpə/]	[01* dtừ]\n- nhà thuyết pháp khoa trương; diễn giả khoa trương rỗng tuếch
tub-thumping [01/'tʌb'θʌmpiη/]	[01* dtừ]\n- sự huênh hoang rỗng tuếch (khi nói)\n[01* ttừ]\n- huênh hoang rỗng tuếch
tubular [01/'tju:bjulə/]	[01* ttừ]\n- hình ống\n[02= tubular bridge] cầu ống\n- có ống\n[02= tubular boiler] nồi hơi có ống
tubulated [01/'tju:bjuleitid/]	[01* ttừ]\n- hình ống\n- (hoá) có miệng để lắp ống\n[02= tubulated retort] bình cổ cong có miệng để lắp ống
tubule [01/'tju:bju:l/]	[01* dtừ]\n- ống nhỏ
tubuliflorous [01/,tju:bjuli'flɔrəs/]	[01* ttừ]\n- (thực vật) có hoa hình ống
tubulous [01/'tju:bjuləs/]	[01* ttừ]\n- hình ống\n- (thực vật) có hoa hình ống
tubulure [01/'tju:bjuljuə/]	[01* dtừ]\n- (hoá) miệng để lắp ống (ở bình)\n- ống dẫn hơi (trong đầu máy) 
tuc [01/,ti: ju: 'si:/]	[01* (vt)]\n- Đại Hội Công Đoàn ([03Trades Union Congress] ) 
tuck [01/tʌk/]	[01* dtừ]\n- nếp gấp lên (ở quần áo, để cho ngắn bớt)\n- (lóng) đồ ăn, bánh kẹo\n[01* ngđtừ]\n- gấp nếp, gấp lên (quần áo..., cho ngắn bớt)\n- đút vào, nhét vào, bỏ vào, thu vào, rúc vào\n[02= to tuck something in one's pocket] đút cái gì vào túi\n[02= the bird tucked its head under its wing] con chim rúc đầu vào cánh\n[01* nđtừ]\n- chui vào, rúc vào\n[04! to tuck away]\n- cất kín, giấu đi một chỗ, để riêng ra\n[02= to tuck something away in the drawer] cất kín cái gì trong ngăn kéo\n-(đùa) ăn, chén\n[02= to tuck away a good dinner] chén một bữa ngon\n[04! to tuck in]\n- đút vào, nhét vào\n[02= to tuck one's shirt in] nhét sơ mi vào trong quần\n- (tục)(+ at) ăn ngon lành; chén đẫy, ăn nhồi nhét\n[04! to tuck into]\n- ăn ngon lành\n[02= the boy tucked into the cake] chú bé ăn chiếc bánh một cách ngon lành\n[04! to tuck up]\n- xắn lên, vén lên\n[02= to tuck up one's shirt-sleeves] xắn tay áo, vén tay áo lên\n- ủ, ấp ủ, quần\n[02= to tuck up a child in bed] ủ em nhỏ ở giường\n- (lóng) treo cổ (người nào) 
tucker [01/'tʌkə/]	[01* dtừ]\n- khăn choàng (đàn bà)\n- bộ phận gấp nếp (ở máy khâu)\n- (lóng) đồ ăn\n[04! to be in one's best bib and tucker]\n- xem [03bib]\n[01* ngđtừ]\n- (Mỹ)((thường) +[02out]) làm cho mệt mỏi rã rời
tuck-in [01/'tʌk'in/]	như [03tuck-out]
tuck-out [01/'tʌk'aut/]	- dtừ\n- (lóng) bữa chén no say
tuck-point [01/'tʌk'pɔint/]	[01* ngđtừ]\n- kết thúc việc trát vữa nối gạch bằng một lớp vữa mịn
tuck-shop [01/'tʌk'∫ɔp/]	[01* dtừ]\n- cữa hàng bánh kẹo
