unintelligibleness	- xem [03unintelligible] 
unintelligibly [01/,ʌnin'tekidʒəbli/]	[01* phtừ]\n- khó hiểu, không thể hiểu được
unintended [01/,ʌnin'tendid/]	[01* ttừ]\n- không được định hướng trước, không do dự tính trước
unintentional [01/,ʌnin'ten∫ənl/]	[01* ttừ]\n- không cố ý, không chủ tâm
unintentionally	- xem [03unintentional] 
uninterested [01/ʌn'intrəstid/]	[01* ttừ]\n- không quan tâm, không chú ý, không để ý\n- vô tư, không cầu lợi
uninterestedly	như [03uninterestedness]
uninterestedness	- xem [03uninterested] 
uninteresting [01/ʌn'intrəstiη/]	[01* ttừ]\n- không hay, không thú vị; không đáng chú ý
uninterestingly	- xem [03uninteresting] 
uninterestingness [01/ʌn'intrəstiηnis/]	[01* dtừ]\n- tính chất không hay, tính chất không thú vị; tính chất không đáng chú ý
unintermitted [01/'ʌn,intə'mitid/]	[01* ttừ]\n- không bị gián đoạn
unintermittent [01/,ʌn,intə'mitənt/]	[01* ttừ]\n- không ngừng, liên tục
unintermitting [01/,ʌn,intə'mitiη/]	[01* ttừ]\n- không đứt đoạn, không đứt quãng; liên tục
uninterpretable [01/,ʌnintə:'pritəbl/]	[01* ttừ]\n- không thể giải thích được\n- không thể dịch được
uninterpreted [01/'ʌnin'tə:pritid/]	[01* ttừ]\n- không được lý giải, không được giải thích
uninterred [01/,ʌnin'tə:d/]	[01* ttừ]\n- không được chôn cất, không được mai táng
uninterrupted [01/,ʌn,intə'rʌptid/]	[01* ttừ]\n- không đứt quãng; liên tục
uninterruptible [01/'ʌn,intə'rʌptibl/]	[01* ttừ]\n- không thể ngắt quãng\n- không thể đứt quãng; liên tục
unintimidated [01/'ʌnin'timideitid/]	[01* ttừ]\n- không bị hăm doạ, không bị đe doạ, không bị doạ dẫm
unintoxicating [01/'ʌnin'tɔksikeitiη/]	[01* ttừ]\n- không làm say\n[02= unintoxicating drinks] đồ uống không có chất rượu\n- không kích thích, không kích động\n- (y) không làm nhiễm độc
uninuclear [01/,ju:ni'nju:kliə/]	[01* ttừ]\n- đơn nhân (tế bào) 
uninucleate [01/ju:ni'nju:kliit/]	- xem [03uninuclear] 
uninvaded [01/'ʌnin'veidid/]	[01* ttừ]\n- không bị xâm lược, không bị chiếm đóng
uninventive [01/,ʌnin'ventiv/]	[01* ttừ]\n- không có tài phát minh, không có tài sáng chế; không có óc sáng tạo
uninvested [01/'ʌnin'vestid/]	[01* ttừ]\n- không được đầu tư, không được cấp vốn
uninvestigated [01/,ʌnin'vestigeitid/]	[01* ttừ]\n- không điều tra nghiên cứu
uninvited [01/,ʌnin'vaitid/]	[01* ttừ]\n- không được mời
uninviting [01/,ʌnin'vaitiη/]	[01* ttừ]\n- không hấp dẫn, không lôi cuốn; không ngon (món ăn) 
uninvitingly	- xem [03uninviting] 
uninvoked [01/ʌnin'voukt/]	[01* ttừ]\n- không được dẫn chứng\n- không được gọi về (thần, quỷ ma)\n- không được cầu khấn
uninvolved [01/,ʌnin'vɔlvd/]	[01* ttừ]\n- không gồm, không bao hàm
union [01/'ju:niən/]	[01* dtừ]\n- sự hợp nhất, sự kết hợp, sự liên kết; liên minh, liên hiệp\n[02= the union of several co-operatives] sự hợp nhất của nhiều hợp tác xã\n[02= a union by treaty] sự liên kết bằng hiệp ước\n- sự nhất trí, sự cộng đồng, sự đoàn kết, sự hoà hợp\n[02= union is strength] đoàn kết là sức mạnh\n[02= the union of the nation] sự đoàn kết của dân tộc\n- hiệp hội, liên hiệp; đồng minh; liên bang\n[02= the Soviet Union] Liên bang Xô-viết\n[02= the Union] nước Mỹ\n- sự kết hôn, hôn nhân\n[02= a happy union] một cuộc hôn nhân hạnh phúc\n- nhà tế bần\n[02= to go into the union (Union-house)] ra ở nhà tế bần\n- (the Union) câu lạc bộ và hội tranh luận (ở một vài trường đại học) ; trụ sở của hội tranh luận\n- thùng (để) lắng bia\n- vải sợi pha lanh; vải sợi pha tơ\n- (kỹ) Răcco, ống nối
union card [01/'ju:niən'ka:d/]	[01* dtừ]\n- thẻ công đoàn
union shop [01/'ju:niən∫ɔp/]	- (ktế) quầy trói buộc
union suit [01/'ju:niən'sju:t/]	[01* dtừ]\n- (Mỹ) bộ quần áo vệ sinh may liền
unionalls [01/'ju:niənɔ:lz/]	[01* dtừ s/n]\n- áo liền quần, quần áo lao động
unionisation [01/,ju:niənai'zei∫n/]	[01* dtừ]\n- sự tổ chức thành công đoàn
unionise [01/'ju:niənaiz/]	như [03unionize]
unionism [01/'ju:niənizəm/]	[01* dtừ]\n- chủ nghĩa công đoàn, chủ nghĩa nghiệp đoàn\n- chủ nghĩa hợp nhất (ở Mỹ trong thời kỳ chiến tranh Nam Bắc) 
unionist [01/'ju:njənist/]	[01* dtừ]\n- đoàn viên công đoàn, đoàn viên nghiệp đoàn\n- (Unionist) đảng viên đảng Hợp nhất (Anh, Mỹ) 
unionistic	- xem [03unionist] 
unionization [01/,ju:niənai'zei∫n/]	như [03unionisation]
unionize [01/'ju:niənaiz/]	[01* ngđtừ]\n- tổ chức thành công đoàn (nghiệp đoàn) 
unionizer	- xem [03unionize] 
uniparous [01/ju:'nipərəs/]	[01* ttừ]\n- (động vật) chỉ đẻ một con
uniplanar [01/'ju:ni'pleinə/]	[01* ttừ]\n- nằm trên cùng một mặt phẳng, đơn diện
unipolar [01/'ju:ni'poulə/]	[01* ttừ]\n- một cực, đơn cực
unipotent	- luỹ đơn
unique [01/ju:'ni:k/]	[01* ttừ]\n- chỉ có một, duy nhất, đơn nhất, vô song\n[02= unique meaning] nghĩa duy nhất\n[02= unique aim] mục đích duy nhất\n[02= unique son] con một\n- (tục) kỳ cục, lạ đời, dị thường\n[02= you are unique] anh kỳ thật, anh lạ đời thật\n[01* dtừ]\n- vật duy nhất, vật chỉ có một không hai
uniquely [01/ju:'ni:kli/]	[01* ttừ]\n- đơn nhất; độc nhất vô nhị, chỉ có một\n- duy nhất, vô song (không có cái gì giống hoặc bằng)\n- chỉ liên quan đến một người (một nhóm, một vật)\n- (tục) khác thường, đáng chú ý, kỳ cục, lạ đời, dị thường
unironed [01/'ʌn'aiənd/]	[01* ttừ]\n- không bị cùm, không bị xích\n- không được ủi, không được vuốt phẳng
unironically [01/'ʌn'airɔnikəli/]	[01* trạng từ]\n- một cách không mỉa mai
unirradiated [01/'ʌni'reidietid/]	[01* ttừ]\n- không có ánh sáng chiếu/rọi vào\n- không được soi sáng
unirrigated [01/ʌn'irigeitid/]	[01* ttừ]\n- không tưới (ruộng đất) 
unirritating [01/(') ʌn'iriteitiη/]	[01* ttừ]\n- không chọc tức, không trêu gan
uniselector	- (tin) bộ tìm xoay tròn, bộ chọn đơn
uniserial [01/,ju:ni'siəriəl/]	như [03uniseriate]
uniseriate [01/,ju:ni'siəriit/]	[01* ttừ]\n- một dãy
unisex [01/'ju:niseks/]	[01* ttừ]\n- cả nam lẫn nữ, phù hợp cho cả hai giới (về phong cách, chức năng) 
unisexed [01/,ju:ni'sekst/]	[01* ttừ]\n- (thực vật) đơn tính
unisexual [01/,ju:ni'seksjuəl/]	như [03unisexed]
unisexuality [01/,ju:ni,seksju'æləti/]	[01* dtừ]\n- tính chất đơn tính
unisexually	- xem [03unisexual] 
unisolated [01/ʌn'aisəleitid/]	[01* ttừ]\n- không cô lập\n- (y) không cách ly\n- (điện học) không cách điện\n- (hoá) không tách ra
unison [01/'ju:nizn, 'ju:nisn/]	[01* dtừ]\n- (âm nhạc) trạng thái đồng âm\n[02= to sing in unison] hợp xướng\n- trạng thái nhất trí, trạng thái hoà hợp\n[02= to act in perfect unison with others] hành động nhất trí hoàn toàn với những người khác
unissued [01/ʌn'isju:d/]	[01* ttừ]\n- không đưa ra, không phát hành, không in ra
unit [01/'ju:nit/]	[01* dtừ]\n- một, một cái\n- đơn vị\n[02= a unit of length] đơn vị đo chiều dài\n[02= a unit of weight] đơn vị trọng lượng\n[02= a monetary unit] đơn vị tiền tệ\n[02= magnetic unit] đơn vị từ\n[02= a combat unit] đơn vị chiến đấu
unit price [01/'ju:nit'prais/]	[01* dtừ]\n- giá đơn vị (giá của mỗi đơn vì hàng hoá cùng một loại) 
unit trust [01/'ju:nit'trʌst/]	[01* dtừ]\n- công ty đầu tư tín thác (công ty đầu tư, sử dụng các đóng góp của các thành viên đầu tư vào các chứng khoán khác nhau và trả tiền lãi cho các thành viên theo tỷ lệ cổ phần của họ tính theo trung bình có được từ các chứng khoán đó) 
unitable [01/ju(:) naitəbl/]	[01* ttừ]\n- có thể gộp lại, có thể kết hợp lại
unitarian [01/,ju:ni'teəriən/]	[01* ttừ]\n- (tôn giáo)(Unitarian) người theo thuyết nhất thể\n- người tán thành sự tập trung về chính trị
unitarianism [01/,ju:ni'teəriənizəm/]	[01* dtừ]\n- (tôn giáo) thuyết nhất thể
unitary [01/'ju:nit(ə) ri/]	[01* ttừ]\n- đơn nhất, nguyên khối, nhất thể\n- thuộc về đơn vị
unitcircle	- (giải tích) vòng tròn đơn vị
unite [01/ju:'nait/]	[01* đtừ]\n- nối, hợp làm một, hợp nhất, kết lại\n[02= to unite one town with another] hợp nhất hai thành phố\n[02= to unite bricks with cement] kết những viên gạch lại bằng xi măng\n- liên kết, liên hiệp, đoàn kết\n[02= workers of the world, unite!] vô sản toàn thế giới, liên hiệp lại!\n[02= les us unite to fight our common enemy] chúng ta hãy đoàn kết lại để chiến đấu chống kẻ thù chung\n- kết thân, kết hôn\n- hoà hợp
