unreachability	- xem [03unreachable] 
unreachable [01/,ʌn'ri:t∫əbl/]	[01* ttừ]\n- không chìa ra được, không đưa ra được\n- không thể với tới, không thể với lấy\n- không thể đến, không thể tới\n- không thể thấu tới, không thể nh hưởng đến
unreachably	như [03unreachability]
unread [01/,ʌn'red/]	[01* ttừ]\n- không đọc, không ai đọc\n[02= an unread book] một quyển sách không ai đọc\n- không có học, dốt nát
unreadability	- xem [03unreadable] 
unreadable [01/,ʌn'ri:dəbl/]	[01* ttừ]\n- không thể đọc được
unreadily	- xem [03unready] 
unreadiness [01/,ʌn'redinis/]	[01* dtừ]\n- tình trạng không sẵn sàng, tình trạng không chuẩn bị\n- tính không nhanh nhu
unready [01/,ʌn'redi/]	[01* ttừ]\n- không sẵn sàng, không chuẩn bị\n- không nhanh nhu
unreal [01/,ʌn'riəl/]	[01* ttừ]\n- không thực, không thực tế, h o huyền
unrealistic [01/'ʌnriə'listik/]	[01* ttừ]\n- không chân thật, phi hiện thực
unrealistically [01/'ʌnriə'listikəli/]	[01* trạng từ]\n- xem [03unrealistic] 
unreality [01/,ʌnri'æləti/]	[01* dtừ]\n- tính chất không thực, tính chất h o huyền\n- (số nhiều) những điều không có thực; những điều h o huyền
unrealizable [01/,ʌn'riəlaizəbl/]	[01* ttừ]\n- không thể thực hiện, không làm được
unrealized [01/,ʌn'riəlaizd/]	[01* ttừ]\n- chưa thực hiện\n- không thấy rõ, không nhận thức rõ\n- không bán được; không thu được (l i) 
unreaped [01/,ʌn'ri:pt/]	[01* ttừ]\n- chưa gặt
unreason [01/,ʌn'ri:zn/]	[01* dtừ]\n- sự vô lý\n- sự điên rồ
unreasonable [01/ʌn'ri:znəbl/]	[01* ttừ]\n- vô lý\n- không biết điều; không phi chăng; quá, quá chừng
unreasonableness [01/ʌn'ri:znəblnis/]	[01* dtừ]\n- tính vô lý\n- sự không biết điều; tính chất không phi chăng; tính chất quá chừng
unreasonably	- xem [03unreasonable] 
unreasoned [01/,ʌn'ri:znd/]	[01* ttừ]\n- không được suy tính hợp lý
unreasoning [01/ʌn'ri:zəniη/]	[01* ttừ]\n- không suy xét, không suy nghĩ kỹ
unreasoningly	- xem [03unreasoning] 
unrebukable [01/'ʌnri'bju:kəbl/]	[01* ttừ]\n- không thể chê trách, không thể quở mắng
unrebuked [01/,ʌnri'bju:kt/]	[01* ttừ]\n- không bị khiển trách, không bị quở trách
unrecallable [01/,ʌnri'kɔ:ləbl/]	[01* ttừ]\n- không thể gọi về, không thể triệu về\n- không thể gọi tái ngũ\n- không còn nhớ lại được\n- không thể huỷ bỏ; không thể rút lại (quyết định, bn án) 
unrecalled [01/,ʌnri'kɔ:ld/]	[01* ttừ]\n- không bị gọi về, không được triệu về\n- không được gọi tái ngũ\n- không được nhắc nhở, không được gợi lại\n- không được nhớ lại (tên người nào...)\n- không được làm sống lại, không được gọi tỉnh lại\n- không bị huỷ bỏ; không bị rút lại (quyết định, bn án) 
unreceipted [01/,ʌnri'si:tid/]	[01* ttừ]\n- chưa ký nhận số tiền đ tr (trên một biên lại, hoá đn) ; chưa đóng dấu nhận thực "đ tr" (trên một hoá đn) 
unreceivable [01/'ʌnri'si:vəbl/]	[01* ttừ]\n- không thể thu được (qua rađio...)\n- không thể nhận, không thể lĩnh
unreceived [01/,ʌnri'si:vd/]	[01* ttừ]\n- chưa nhận, chưa lĩnh\n- không được tiếp\n- chưa được kết nạp (vào một tổ chức)\n- không tin, không công nhận là đúng\n- không đón được (đường bóng) 
unreceptive [01/'ʌnri'septiv/]	[01* ttừ]\n- không dễ lịnh hội, không nhạy cảm
unreciprocated [01/,ʌnri'siprəkeitid/]	[01* ttừ]\n- không được đền đáp lại; không được đáp lại\n- không qua lại\n- (toán) không thay đổi lẫn nhau
unreckoned [01/,ʌn'rekənd/]	[01* ttừ]\n- không tính, không đếm\n- không được tính vào, không được kể vào, không được liệt vào, không được tính đến, không được kể đến
unreclaimed [01/,ʌnri'kleimd/]	[01* ttừ]\n- không được ci tạo, không được giác ngộ\n- (nông nghiệp) không được khai hoang, không được vỡ hoang; không được ci tạo (đất) ; không được làm khô\n- (b i lầy để cày cấy)\n- không được thuần hoá (thú rừng)\n- không đòi lại
unrecognizable [01/,ʌn'rekəgnaizəbl/]	[01* ttừ]\n- không nhận ra được
unrecognized [01/,ʌn'rekəgnaizd/]	[01* ttừ]\n- không được thừa nhận\n- không nhận ra
unrecommended [01/'ʌn,rekə'mendid/]	[01* ttừ]\n- không được giới thiệu, không thể tiến cử, không thể đề cử
unrecompensed [01/,ʌn'rekəmpenst/]	[01* ttừ]\n- không được thưởng\n- không được đền bù, không được bồi thường\n- không được báo đền, không được đền n\n- không phi chuộc (lỗi) ; không phi đền (tội) 
unreconcilable [01/,ʌn'rekənsailəbl/]	[01* ttừ]\n- không thể hoà gii được\n- không nhất trí, mâu thuẫn
unreconciled [01/,ʌn'rekənsaild/]	[01* ttừ]\n- không được hoà gii; chưa được hoà gii\n- không được điều hoà, không được nhất trí\n- không cam chịu\n- (tôn giáo) chưa được tẩy uế (giáo đường, ni thờ cúng bị xúc phạm) 
unreconstructed [01/'ʌn,ri:kəns'trʌktid/]	[01* ttừ]\n- không được xây dựng lại, không được tái thiết
unrecorded [01/'ʌnri'kauntid/]	[01* ttừ]\n- không được ghi
unrecounted [01/,ʌnri'kauntid/]	[01* ttừ]\n- không được thuật kỹ lại, không được kể lại chi tiết
unrecoverable [01/,ʌnri'kʌvərəbl/]	[01* ttừ]\n- không thể lấy lại\n- không thể đòi lại (nợ...)\n- không thể cứu chữa
unrecruted [01/'ʌn'ri:kru:tid/]	[01* ttừ]\n- không được tuyển mộ
unrectified [01/,ʌn'rektifaid/]	[01* ttừ]\n- chưa được sửa; chưa được sửa cho thẳng\n- (lý) chưa chỉnh lưu\n- (hoá) chưa cất lại, chưa tinh cất\n- rađiô không tách sóng\n- (toán) chưa cầu trường
unredeemable [01/,ʌnri'di:məbl/]	[01* ttừ]\n- không thể chuộc lại (vật cầm thế, lỗi...)\n- không bù lại được\n- không thể thực hiện được, không giữ trọn được (lời hứa...)\n- không cứu được
unredeemed [01/,ʌnri'di:md/]	[01* ttừ]\n- không được chuộc lại\n- không được bù\n- (thưng nghiệp) không được tr lại tiền\n[02= an unredeemed bill] một hối phiếu không được tr lại tiền\n[02= an unredeemed stock] một số hàng tồn kho không được lấy ra\n- không thực hiện\n[02= unredeemed promise] lời hứa không thực hiện
unredressed [01/,ʌnri'drest/]	[01* ttừ]\n- không được sửa cho thẳng lại\n- không được sửa lại; không được uốn nắn\n- không được khôi phục lại\n- không được đền bù\n- (rađiô) chưa nắn điện
unreduced [01/'ʌn,ri'dju:st/]	[01* ttừ]\n- không bị thu nhỏ lại, không bị làm yếu đi
unreel [01/,ʌn'ri:l/]	[01* ngđtừ]\n- tháo ra, tháo sổ ra (cuộn chỉ, cuộn phim...) 
unreeve [01/,ʌn'ri:v/]	[01* ngđtừ]\n- (hàng hi) tháo rút (dây, ch o...)\n[01* nđtừ]\n- (hàng hi) tuột (dây, ch o...)\n- tháo dây thừng
unrefined [01/,ʌnri'faind/]	[01* ttừ]\n- không chế tinh; thô (đường, dầu...)\n- không lịch sự, không tao nh ; tục tằn
unreflecting [01/,ʌnri'flektiη/]	[01* ttừ]\n- không suy nghĩ, khinh suất
unreflectingly	- xem [03unreflecting] 
unreflective [01/,ʌnri'flektiv/]	[01* ttừ]\n- không biết suy nghĩ\n- không phản chiếu
unreformable [01/,ʌnri'fɔ:məbl/]	[01* ttừ]\n- không thể ci cách, không thể ci tạo, không thể ci tổ
unreformed [01/'ʌnri'fɔ:md/]	[01* ttừ]\n- không được cải tổ, không được cải cách, không được cải tạo
unrefracted [01/,ʌnri'fræktid/]	[01* ttừ]\n- (lý) không bị khúc xạ
unrefreshed [01/'ʌnri'fre∫d/]	[01* ttừ]\n- không nhớ lại\n- không (được làm) tươi tỉnh lại
unrefuted [01/,ʌnri'fju:tid/]	[01* ttừ]\n- không bị bác, không bị bẻ
unregal [01/,ʌn'ri:gəl/]	[01* ttừ]\n- không xứng với vua chúa, không như vua chúa
unregarded [01/,ʌnri'gɑ:did/]	[01* ttừ]\n- không được lưu ý; bị coi nhẹ
unregardful [01/,ʌnri'gɑ:dful/]	[01* ttừ]\n- ít lưu ý, ít quan tâm
unregenerable	- xem [03unregenerate] 
unregeneracy	như [03unregenerable]
unregenerate [01/,ʌnri'dʒenərit/]	[01* ttừ]\n- không tái sinh\n- không ci tạo, không đổi mới
unregenerately	như [03unregenerable]
unregistered [01/,ʌn'redʒistəd/]	[01* ttừ]\n- không vào sổ, không đăng ký
unregretted [01/,ʌnri'gretid/]	[01* ttừ]\n- không được thưng tiếc\n- không hối tiếc
unregulated [01/,ʌn'regjuleitid/]	[01* ttừ]\n- không được điều chỉnh\n- không được sắp đặt, không được chỉnh đốn (công việc...)\n- không được điều hoà (số tiền chi tiêu...) 
unrehearsed [01/,ʌnri'hə:st/]	[01* ttừ]\n- không ngờ\n- (sân khấu) không được diễn tập (vở kịch, bài múa) 
unrein [01/,ʌn'rein/]	[01* ngđtừ]\n- th lỏng dây cưng (đen & bóng) 
unreined [01/,ʌn'reind/]	[01* ttừ]\n- không bị kiềm chế\n- không có dây cương
unrelated [01/,ʌnri'leitid/]	[01* ttừ]\n- không kể lại, không thuật lại\n[02= an unrelated fact] một sự việc không thuật lại\n- không có liên quan\n- không có quan hệ họ hàng
unrelaxed [01/,ʌnri'lækst/]	[01* ttừ]\n- không nới lỏng, không buông lỏng; căng
unrelenting [01/,ʌnri'lentiη/]	[01* ttừ]\n- không nguôi, không bớt, không gim\n[02= an unrelenting hatred] mối thù không nguôi\n- tàn nhẫn, không thưng xót (người) 
unrelentingly [01/,ʌnri'lentiηli/]	[01* trạng từ]\n- xem [03unrelenting] 
unreliability [01/,ʌn,rilaiə'biləti/]	như [03unreliableness]
unreliable [01/,ʌnri'laiəbl/]	[01* ttừ]\n- không tin cậy được (người) ; không đáng tin, không xác thực (tin tức) 
unreliableness [01/,ʌnri'laiəblnis/]	[01* dtừ]\n- tính không tin cậy được; tính không đáng tin, tính không xác thực
unreliably	- xem [03unreliable] 
unrelieved [01/,ʌnri'li:vd/]	[01* ttừ]\n- không bớt đau; không hết đau\n- không có gì làm cho đỡ đều đều tẻ nhạt
unrelievedly [01/,ʌnri'li:vdli/]	[01* trạng từ]\n- xem [03unrelieved] 
unreligious [01/,ʌnri'lidʒəs/]	[01* ttừ]\n- không có tính chất tôn giáo, không liên quan đến tôn giáo\n- (Mỹ) không tín ngưỡng, không tôn giáo
unreluctant [01/'ʌnri'lʌktənt/]	[01* ttừ]\n- không chống đối\n- không miễn cưỡng
unremarkable [01/'ʌnri'ma:kəbl/]	[01* ttừ]\n- không nổi bật, tầm thường
unremarked [01/,ʌnri'mɑ:kt/]	[01* ttừ]\n- không ai thấy, không ai để ý\n- không ai nhận xét
unremedied [01/'ʌnremidid/]	[01* ttừ]\n- không được đền bù\n- không được sữa chửa\n- không được điều trị, không được chữa chạy
unremembered [01/,ʌnri'membəd/]	[01* ttừ]\n- không ai nhớ tới, đ bị quên
unreminiscent [01/'ʌn,remi'nisnt/]	[01* ttừ]\n- không nhớ lại, không gợi lại
unremitted [01/'ʌn,rimitid/]	[01* ttừ]\n- không ngừng, liên tục\n- không được khoan thứ
unremitting [01/,ʌnri'mitiη/]	[01* ttừ]\n- không ngừng, không ngớt, liên tục\n[02= an unremitting effort] một sự cố gắng liên tục
unremittingly [01/,ʌnri'mitiηli/]	[01* trạng từ]\n- xem [03unremitting] 
unremittingness	- xem [03unremitting] 
unremorseful [01/,ʌnri'mɔ:sfl/]	như [03unrepented]
unremovable [01/,ʌnri'mu:vəbl/]	[01* ttừ]\n- không thể tháo mở được; không thể dời đi được\n- không thể bị cách chức (viên chức) 
unremunerated [01/,ʌnri'mju:nəreitid/]	[01* ttừ]\n- không được thưởng, không được tr công\n- không được tr tiền thù lao
unremunerative [01/,ʌnri'mju:nəvətiv/]	[01* ttừ]\n- không có lợi, không đem lại lợi lộc
unrenderable [01/'ʌn'rend(ə) rəbl/]	[01* ttừ]\n- không thể dịch (sang tiếng khác) 
unrendered [01/'ʌn'rendəd/]	[01* ttừ]\n- không được dịch
